gene_symbol,AnCg_DLPFC_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
TAS2R8,+-,0.4688659204837299,0.38974183244362165,0.7172019961671389,1,0.7794836648872433
TAS2R9,++,0.16794367116680464,0.08512897706132096,0.9608693133350605,1,0.1702579541226419
TASP1,++,0.41348719075929574,0.2644170398753038,0.8551780274259259,1,0.5288340797506076
TAT,++,0.3209629143524007,0.16850571620175833,0.9213932183216396,1,0.33701143240351666
TATDN1,--,0.3260963597218166,0.8433731321810602,0.24684881750793888,-1,0.49369763501587777
TATDN1P1,-+,0.39934179451997404,0.40459402696771324,0.6111790489113389,1,0.8091880539354265
TATDN2,+-,0.4266077986490983,0.369064720415863,0.720998765688329,1,0.738129440831726
TATDN2P1,++,0.4122411480364487,0.28761577711911296,0.8302686503900327,1,0.5752315542382259
TATDN2P2,--,0.6205005744667706,0.744085496766011,0.4171973731710578,-1,0.8343947463421156
TATDN2P3,++,0.05099723012639471,0.05576906871362164,0.9037474742887276,1,0.11153813742724328
TATDN3,++,0.17334532366903896,0.1290275180659678,0.9142540967116112,1,0.2580550361319356
TAX1BP1,++,0.19016590195935476,0.10419362597540294,0.9496551793042066,1,0.20838725195080587
TAX1BP3,--,0.2904375231442644,0.9063002398095764,0.17940060019489146,-1,0.3588012003897829
TAZ,+-,0.16413473253112124,0.738967573245745,0.19644632834424489,-1,0.39289265668848977
TBATA,++,0.5639358632180984,0.3361191575463929,0.8147576599603402,1,0.6722383150927858
TBC1D1,++,0.38023458066469856,0.1916252444786619,0.9107213376666258,1,0.3832504889573238
TBC1D10A,+-,0.16239690283095054,0.639711461126528,0.21806278541547533,-1,0.43612557083095066
TBC1D10B,+-,0.29915645349383296,0.4436146720823841,0.37939001112565934,-1,0.7587800222513187
TBC1D10C,++,0.32395017051671093,0.21696709041271753,0.8782689263896122,1,0.43393418082543506
TBC1D12,-+,0.045979958829646686,0.5691038610254745,0.08854215596543917,-1,0.17708431193087834
TBC1D13,+-,0.2729660631507701,0.319125566088319,0.6117132582536496,1,0.638251132176638
TBC1D14,++,0.10605873009382065,0.028123604486115027,0.9910035382025802,1,0.05624720897223005
TBC1D15,-+,0.0752114559558944,0.10071352114823241,0.7965288782203939,1,0.20142704229646483
TBC1D16,++,0.3740367075826341,0.3045156223249369,0.7892631696434698,1,0.6090312446498738
TBC1D17,+-,0.14576840528727134,0.4655754914749337,0.22815569876384795,-1,0.4563113975276959
TBC1D19,++,0.20308732942196192,0.16018373827453186,0.8891972593893056,1,0.3203674765490637
TBC1D2,-+,0.6439908374533065,0.6451002116295625,0.49843812284639727,-1,0.9968762456927945
TBC1D20,-+,0.42005517992262237,0.4397660887746432,0.5461328559496256,1,0.8795321775492864
TBC1D21,-+,0.5224298956277966,0.5987354041331158,0.47523800915448233,-1,0.9504760183089647
TBC1D22A,+-,0.3131546679342268,0.7491483176096512,0.2963799716071236,-1,0.5927599432142472
TBC1D22B,++,0.4680586858814463,0.24178013406164175,0.881358960372234,1,0.4835602681232835
TBC1D23,-+,0.08229586822768854,0.16028811229863438,0.3004595314152776,1,0.32057622459726876
TBC1D24,-+,0.5224115020599863,0.559555985717979,0.49192538753682985,-1,0.9838507750736597
TBC1D25,++,0.27666741536942085,0.19553257013383335,0.88413207272405,1,0.3910651402676667
TBC1D26,+-,0.30230586236363277,0.2962229216159908,0.7355278358838729,1,0.5924458432319816
TBC1D27,--,0.15009419167153817,0.9840877188445203,0.04637586400000978,-1,0.09275172800001956
TBC1D28,++,0.11772277734903402,0.11651030015226792,0.87549068553138365,1,0.23302060030453584
TBC1D29,--,0.686901942276285,0.7593568393268761,0.41180255490705175,-1,0.8236051098141035
TBC1D2B,++,0.12195650705905,0.11477692320554718,0.8871234577889747,1,0.22955384641109436
TBC1D3,--,0.3412875431244786,0.932241296564475,0.1550972115896333,-1,0.3101944231792666
TBC1D30,++,0.1596637478959091,0.043929793202400876,0.9854523893983665,1,0.08785958640480175
TBC1D31,--,0.3400027562313976,0.88713138231412,0.21288558926837145,-1,0.4257711785367429
TBC1D32,-+,0.8381110562066305,0.5636267058045618,0.6185470229692601,1,1.1272534116091235
TBC1D3B,--,0.4743008208879668,0.8672632042641923,0.2614527946982857,-1,0.5229055893965714
TBC1D3C,-+,0.24413433493234682,0.7604678534278406,0.2490802568686671,-1,0.4981605137373342
TBC1D3D,--,0.004506016072084959,0.9473137827311673,0.005691128991618724,-1,0.011382257983237448
TBC1D3E,++,0.2392184216486379,0.09821975791628997,0.9607446670504285,1,0.19643951583257993
TBC1D3F,+-,0.36124395061312625,0.6370092173713859,0.37187929171214423,-1,0.7437585834242885
TBC1D3G,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TBC1D3H,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TBC1D3I,--,0.1967099348155977,0.8482702367792749,0.18001347423629957,-1,0.36002694847259914
TBC1D3J,++,0.10102993508695622,0.06889821739967503,0.9523244458680725,1,0.13779643479935005
TBC1D3K,++,0.3874709472085318,0.3000636558778024,0.8037950954056001,1,0.6001273117556049
TBC1D3L,+-,0.006344563213710785,0.01202049015905734,0.8382483946145542,1,0.02404098031811468
TBC1D3P1,+-,0.3902479687650604,0.7158097432674467,0.3542320653056845,-1,0.708464130611369
TBC1D3P2,++,0.3050753577232221,0.1468362665207918,0.9350923394525172,1,0.2936725330415836
TBC1D3P3,++,0.1526584677690415,0.15024157648665432,0.8518278756221553,1,0.30048315297330863
TBC1D3P4,--,0.6294092337496067,0.7261922465075216,0.4347621250999892,-1,0.8695242501999784
TBC1D3P5,+-,0.20643162907709797,0.2133121885990723,0.7865486800185046,1,0.4266243771981446
TBC1D3P6,-+,0.4597240724017657,0.7141244887658041,0.3877011261482627,-1,0.7754022522965254
TBC1D3P7,-+,0.5827717896667721,0.46491895929524185,0.6657541833407182,1,0.9298379185904837
TBC1D4,-+,0.13055499976181734,0.744476365365778,0.16542640623581098,-1,0.33085281247162196
TBC1D5,++,0.09619510645786064,0.04763928902092682,0.976081640340619,1,0.09527857804185363
TBC1D7,--,0.07215677810789703,0.93518883238654,0.061910731111115426,-1,0.12382146222223085
TBC1D8,++,0.5408407675520945,0.3602842071330273,0.7874525344738078,1,0.7205684142660546
TBC1D8B,+-,0.5575450492226613,0.4240551547202255,0.7146482025707191,1,0.848110309440451
TBC1D9,-+,0.5274531327172528,0.4714944477313439,0.6119251485889766,1,0.9429888954626878
TBC1D9B,-+,0.2943627505793301,0.3506398149823958,0.5547729893268283,1,0.7012796299647917
TBCA,--,0.08811029281072054,0.9550212188243565,0.06097929479612247,-1,0.12195858959224494
TBCAP1,++,0.5061084408987615,0.3643674756038995,0.7725275767735996,1,0.728734951207799
TBCAP2,--,0.025794444996737425,0.9996487077867853,0.0016999393714306785,-1,0.003399878742861357
TBCAP3,++,0.5441898089600997,0.31957754027117263,0.8268698582053295,1,0.6391550805423453
TBCB,+-,0.13474772665310825,0.6487674668207597,0.18898143950114293,-1,0.37796287900228587
TBCC,+-,0.13746426978082746,0.5407819331725725,0.2089458330997245,-1,0.417891666199449
TBCCD1,--,0.5746001469350597,0.8223979480982012,0.32828576193195863,-1,0.6565715238639173
TBCD,+-,0.0707074571569754,0.33812149058579477,0.14063643298738626,-1,0.2812728659747725
TBCE,++,0.3755089660302399,0.19939529367380754,0.9046999149865089,1,0.3987905873476151
TBCEL,-+,0.07438369710460115,0.13497612255825464,0.5018859346161014,1,0.2699522451165093
TBCK,++,0.07996950235521424,0.08317687472422321,0.8903870484568048,1,0.16635374944844641
TBK1,++,0.12364658170296025,0.11567292932639772,0.8876643961064012,1,0.23134585865279544
TBKBP1,+-,0.04694817512142494,0.2534497984587213,0.10526359377171583,-1,0.21052718754343167
TBL1X,++,0.3111367019103951,0.13968862549821512,0.9401443698280442,1,0.27937725099643024
TBL1XR1,-+,0.17805833386070688,0.5359835625933013,0.25245247046167374,-1,0.5049049409233475
TBL1Y,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TBL1YP1,+-,0.5391500263713079,0.6989495478027207,0.42836759835923455,-1,0.8567351967184691
TBL2,+-,0.5779947112613051,0.6753848143026455,0.4572053688857122,-1,0.9144107377714245
TBL3,+-,0.13291840860216983,0.22487544687933728,0.3533913038577507,1,0.44975089375867455
TBP,-+,0.5627813135295208,0.6726313977486875,0.45348301846110345,-1,0.9069660369222069
TBPL1,--,0.5075172816535845,0.8216405780331166,0.31950561433622193,-1,0.6390112286724439
TBPL2,--,0.0888426007926556,0.9857891551752204,0.034369048052042654,-1,0.06873809610408531
TBR1,++,0.3857558128368953,0.17418085919237097,0.9222952890362672,1,0.34836171838474195
TBRG1,++,0.14289841629886965,0.12270169555775158,0.8982100893587643,1,0.24540339111550316
TBRG4,++,0.31731824285974153,0.11847261297880056,0.9521236437029943,1,0.23694522595760112
TBX1,--,0.2822032157793033,0.8751880708024135,0.20494796606528748,-1,0.40989593213057496
TBX10,-+,0.1760718924165946,0.18183889165814454,0.8131628789119112,1,0.3636777833162891
TBX15,++,0.1032608795138993,0.023501419025537956,0.992921535758027,1,0.04700283805107591
TBX18,--,0.14956583804287155,0.9825741954992887,0.049347568101357854,-1,0.09869513620271571
TBX19,--,0.047382617186812886,0.9372140401324083,0.044194532768891626,-1,0.08838906553778325
TBX2,+-,0.46150564170489294,0.40614168011899826,0.6821750481361186,1,0.8122833602379965
TBX20,--,0.07948732273716295,0.9715684146976449,0.04577479954422497,-1,0.09154959908844994
TBX21,--,0.1011519640451397,0.9526312886744136,0.06874926680837508,-1,0.13749853361675016
TBX22,--,0.400577974804646,0.7835967695149978,0.31936302199082756,-1,0.6387260439816551
TBX3,--,0.6770032968857882,0.7977375340689332,0.36482675358006567,-1,0.7296535071601313
TBX4,--,0.555195860584444,0.8245253290208765,0.3236813695093939,-1,0.6473627390187878
TBX5,--,0.0689531508714601,0.9532848433883598,0.051921491336113325,-1,0.10384298267222665
TBX6,--,0.3411260368036067,0.9243973476586452,0.16719954341186336,-1,0.3343990868237267
TBXA2R,--,0.03604234479229101,0.8842652890477609,0.04545340066141913,-1,0.09090680132283827
TBXAS1,--,0.09980980854395823,0.9928494890555589,0.02348257484063184,-1,0.04696514968126368
TC2N,--,0.5318385199028146,0.8507087876560719,0.28862157264000493,-1,0.5772431452800099
TCAF1,++,0.2615414137301338,0.11749502138299882,0.9505818625848309,1,0.23499004276599764
TCAF1P1,-+,0.452046805527675,0.45459599372681375,0.558376562094496,1,0.9091919874536275
TCAF2,++,0.11103989529774742,0.08929990821442065,0.9267585964627708,1,0.1785998164288413
TCAF2P1,--,0.33326045927491155,0.8373477631279197,0.2541981228151356,-1,0.5083962456302712
TCAIM,-+,0.068509373433409,0.09191915236462446,0.8068958440469582,1,0.18383830472924892
TCAM1P,--,0.32847676434213496,0.9413311984989023,0.13894919271880177,-1,0.27789838543760353
TCAP,--,0.13867397093562828,0.9049190849191606,0.11672017084336736,-1,0.23344034168673472
TCEA1,-+,0.36989457996207575,0.5299329437928756,0.41214276562848307,-1,0.8242855312569661
TCEA1P1,-+,0.010973382612643653,0.02250344289976719,0.7527801330875816,1,0.04500688579953438
TCEA1P2,++,0.008463920844988291,0.009702121867540766,0.9490468020838747,1,0.019404243735081532
TCEA1P3,+-,0.033721723013066855,0.0679389677634621,0.5902024949635143,1,0.1358779355269242
TCEA1P4,+-,0.0834872957102762,0.7960523093151682,0.10919102554658718,-1,0.21838205109317435
TCEA2,+-,0.08200137571893348,0.2750933681170556,0.16127596939102817,-1,0.32255193878205635
TCEA3,--,0.06692765617711664,0.986715332683944,0.027891394600048528,-1,0.055782789200097056
TCEAL1,+-,0.19887485636067867,0.602435082528916,0.2597607677210795,-1,0.519521535442159
TCEAL2,+-,0.09539312703388596,0.5484869370810413,0.1584218839524461,-1,0.3168437679048922
