gene_symbol,nAcc.F_nAcc.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
GJB5,++,0.14997332500632682,0.1010387627042619,0.9380935347582238,1,0.2020775254085238,0.08259183207848506,0.07232076655449723,0.14464153310899447
GJB4,+-,0.7453838626765742,0.6282742278182961,0.5379123681049148,-1,1.0758247362098297,0.5100096960018251,0.44860825918320785,0.8972165183664157
GJB3,-+,0.5879122279083818,0.6523344658394188,0.47491529315195385,-1,0.9498305863039077,0.46643472309359496,0.40742642026009585,0.8148528405201917
GJA4,++,0.2248381575420322,0.2111145411082039,0.8192031342399262,1,0.4222290822164078,0.19940679899612138,0.18570695260366166,0.3714139052073233
SMIM12,+-,0.09701356616813406,0.14959739879828904,0.6375781992993853,1,0.2991947975965781,0.13175906913073238,0.12348143500827012,0.24696287001654024
DLGAP3,+-,0.12541031863072258,0.14166302879107653,0.8180252081894293,1,0.28332605758215307,0.12405886379192334,0.11612388068214224,0.2322477613642845
TMEM35B,-+,0.06599090374615689,0.10119680245956934,0.7263676629338861,1,0.2023936049191387,0.08276294775268081,0.07254890777391206,0.1450978155478241
ZMYM6,+-,0.14692818930900645,0.7472271219633746,0.17946929442390008,-1,0.35893858884780017,0.16471796041749842,0.15320556696326718,0.30641113392653435
ZMYM1,+-,0.020201761804018694,0.6886060089482111,0.04073636244142497,-1,0.08147272488284994,0.024924428221068842,0.019336071184120465,0.03867214236824093
SFPQ,--,0.29579109442921586,0.9439618970384064,0.1320077188964077,-1,0.2640154377928154,0.11458392745109222,0.10563540953684691,0.21127081907369383
ZMYM4,+-,0.02928590267316727,0.618727248867782,0.0591820209403452,-1,0.1183640418806904,0.04163577254320424,0.0338238649326945,0.067647729865389
KIAA0319L,++,0.540057757610872,0.30374536201403163,0.839540001417141,1,0.6074907240280633,0.30219028062970565,0.2745679575657332,0.5491359151314664
NCDN,+-,0.07002691116486201,0.13318241349948245,0.4420320875434794,1,0.2663648269989649,0.11538900296600502,0.10694119660069583,0.21388239320139166
TFAP2E,-+,0.662794486990345,0.5906130981592187,0.5371131462577653,-1,1.0742262925155306,0.5096104488678492,0.44815195071868585,0.8963039014373717
PSMB2,++,0.20713954638428667,0.16769621502902565,0.8806315937308358,1,0.3353924300580513,0.15155144877937485,0.14184680317116294,0.2836936063423259
C1orf216,+-,0.21570092268218843,0.21287202569879743,0.802774972541733,1,0.42574405139759486,0.20123203285420946,0.18747504705412651,0.37495009410825303
CLSPN,-+,0.14641690162575294,0.18159500538323775,0.7370044112537295,1,0.3631900107664755,0.1672370522473192,0.1553641704214909,0.3107283408429818
AGO4,+-,0.15367487875369185,0.5108074803385846,0.23093192678319524,-1,0.4618638535663905,0.22135401813722694,0.2054528861510381,0.4109057723020762
AGO1,--,0.34484281788917714,0.7978399562058982,0.28609770555309477,-1,0.5721954111061895,0.28312325329378885,0.2578713210130048,0.5157426420260096
AGO3,-+,0.4644942793829715,0.7430827223386054,0.3717212090792542,-1,0.7434424181585084,0.37449381166942336,0.3330481405430071,0.6660962810860142
TEKT2,++,0.45956090464045374,0.32841485461617936,0.7993377852344892,1,0.6568297092323587,0.3325347935204198,0.2953858438373353,0.5907716876746706
ADPRHL2,-+,0.7399532316435309,0.6074225665167208,0.5508587463154897,-1,1.1017174926309794,0.51639765014544,0.45511065480264656,0.9102213096052931
