gene_symbol,sex,nAcc_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
GMPSP1,female,-,0.2222420991977229,0.8888789504011386,0.11112104959886145,-1,0.2222420991977229
GNA11,female,+,0.29437355893235495,0.14718677946617748,0.8528132205338226,1,0.29437355893235495
GNA12,female,-,0.9784641121065429,0.5107679439467285,0.48923205605327147,-1,0.9784641121065429
GNA13,female,-,0.7018156337087058,0.6490921831456471,0.3509078168543529,-1,0.7018156337087058
GNA14,female,-,0.6816214753171805,0.6591892623414097,0.34081073765859027,-1,0.6816214753171805
GNA15,female,+,0.6774636022332101,0.33873180111660506,0.6612681988833949,1,0.6774636022332101
GNAI1,female,-,0.9635691874261305,0.5182154062869347,0.48178459371306526,-1,0.9635691874261305
GNAI2,female,-,0.8118799293721044,0.5940600353139478,0.4059399646860522,-1,0.8118799293721044
GNAI2P1,female,-,0.7131886356365178,0.6434056821817411,0.3565943178182589,-1,0.7131886356365178
GNAI2P2,female,+,0.17153079820163222,0.08576539910081611,0.914234600899184,1,0.17153079820163222
GNAI3,female,-,0.5903687395956617,0.7048156302021691,0.29518436979783086,-1,0.5903687395956617
GNAL,female,+,0.24751306176987034,0.12375653088493517,0.8762434691150649,1,0.24751306176987034
GNAO1,female,-,0.824448186529771,0.5877759067351145,0.4122240932648855,-1,0.824448186529771
GNAQ,female,+,0.7582575044277436,0.3791287522138718,0.6208712477861282,1,0.7582575044277436
GNAQP1,female,-,0.2120970812759549,0.8939514593620226,0.10604854063797745,-1,0.2120970812759549
GNAS,female,-,0.6978690439891868,0.6510654780054066,0.3489345219945934,-1,0.6978690439891868
GNAT1,female,-,0.21097476497044762,0.8945126175147762,0.10548738248522381,-1,0.21097476497044762
GNAT2,female,+,0.14419547254178403,0.07209773627089201,0.927902263729108,1,0.14419547254178403
GNAT3,female,+,0.073519528218341,0.0367597641091705,0.9632402358908295,1,0.073519528218341
GNAZ,female,+,0.3596040566547005,0.17980202832735026,0.8201979716726497,1,0.3596040566547005
GNB1,female,+,0.465738173502685,0.2328690867513425,0.7671309132486575,1,0.465738173502685
GNB1L,female,-,0.739639424556821,0.6301802877215895,0.3698197122784105,-1,0.739639424556821
GNB2,female,+,0.39775408220219094,0.19887704110109547,0.8011229588989045,1,0.39775408220219094
GNB3,female,-,0.020709632040423098,0.9896451839797885,0.010354816020211549,-1,0.020709632040423098
GNB4,female,-,0.8755112427179776,0.5622443786410112,0.4377556213589888,-1,0.8755112427179776
GNB5,female,+,0.9995799663961051,0.49978998319805257,0.5002100168019474,1,0.9995799663961051
GNE,female,+,0.540373556812497,0.2701867784062485,0.7298132215937515,1,0.540373556812497
GNG10,female,+,0.5587365197767703,0.27936825988838515,0.7206317401116149,1,0.5587365197767703
GNG10P1,female,-,0.18475014631403006,0.9076249268429849,0.09237507315701503,-1,0.18475014631403006
GNG11,female,-,0.2757212384250638,0.8621393807874681,0.1378606192125319,-1,0.2757212384250638
GNG12,female,+,0.3127582134146838,0.1563791067073419,0.8436208932926581,1,0.3127582134146838
GNG13,female,-,0.35885389385294303,0.8205730530735285,0.17942694692647151,-1,0.35885389385294303
GNG2,female,+,0.4314547104785848,0.2157273552392924,0.7842726447607076,1,0.4314547104785848
GNG3,female,+,0.4680844334744939,0.23404221673724696,0.7659577832627531,1,0.4680844334744939
GNG4,female,+,0.06803960618285873,0.034019803091429365,0.9659801969085706,1,0.06803960618285873
GNG5,female,+,0.6655206259045285,0.33276031295226427,0.6672396870477357,1,0.6655206259045285
GNG5P1,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
GNG5P2,female,+,0.33241766349884355,0.16620883174942178,0.8337911682505782,1,0.33241766349884355
GNG5P3,female,-,0.32696616097922454,0.8365169195103878,0.16348308048961227,-1,0.32696616097922454
GNG5P5,female,+,0.4917215767469777,0.24586078837348885,0.7541392116265111,1,0.4917215767469777
GNG7,female,+,0.032762605789267006,0.016381302894633503,0.9836186971053664,1,0.032762605789267006
