gene_symbol,AnCg_nAcc_DLPFC_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
CD209,-+-,0.05388584039374223,0.745605176503574,0.11116064493885326,-1,0.22232128987770652,0.08954542862031598,0.08407483458818162,0.16814966917636323
CD22,-+-,0.08834598782383381,0.8166727120714464,0.09539019252950756,-1,0.19078038505901512,0.0744310728340843,0.06975815651380333,0.13951631302760667
CD226,-++,0.1973385440041698,0.36856800502018683,0.46831192492965606,1,0.7371360100403737,0.3476500114077116,0.3348542747960988,0.6697085495921976
CD244,-+-,0.06009537763926085,0.6917472258562103,0.12708817429235583,-1,0.25417634858471166,0.10426053727257172,0.0988478211270819,0.1976956422541638
CD247,---,0.03450664605822697,0.9862092086923313,0.013220263415365592,-1,0.026440526830731184,0.010380425483374209,0.005817932922655715,0.01163586584531143
CD248,++-,0.286027826222121,0.36389908919985947,0.7634834767700112,1,0.7277981783997189,0.343429158110883,0.33091883876119316,0.6618376775223863
CD27,---,0.04234216872198653,0.9710493599200584,0.02374297336259925,-1,0.0474859467251985,0.016654309017281696,0.011692904403376683,0.023385808806753366
CD274,+-+,0.10519554146489171,0.16241396494884033,0.5269411938957576,1,0.32482792989768067,0.13985854437599818,0.1336907545770832,0.2673815091541664
CD276,-+-,0.23088492078057907,0.8171852767128109,0.28887138929089395,-1,0.5777427785817879,0.2720013688473165,0.2593543235227013,0.5187086470454026
CD28,-++,0.5676861773247686,0.5690217641757286,0.6391753859760771,1,1.1380435283514572,0.48790782569016655,0.4733359949808932,0.9466719899617864
CD2AP,--+,0.5888278327623091,0.5845853352749677,0.6598262986330332,1,1.1691706705499354,0.4934976043805613,0.4789824901614099,0.9579649803228198
CD2BP2,++-,0.22043477291688154,0.384068097136952,0.5996390885399858,1,0.768136194273904,0.35974218571754507,0.34865681857069525,0.6973136371413905
CD300A,-+-,0.4662245130639936,0.598563233245195,0.5606089233280408,-1,1.1212178466560816,0.48422973820795073,0.46982660278348165,0.9396532055669633
CD300C,++-,0.45199938577903465,0.37243514089884133,0.8164833108389362,1,0.7448702817976827,0.3509582477754962,0.33816232247761363,0.6763246449552273
CD300E,-+-,0.35759554189355713,0.606358730641338,0.3946893628706985,-1,0.789378725741397,0.3687332458791992,0.3584873374401095,0.716974674880219
CD300LB,++-,0.5148850793639907,0.5754882655866328,0.5930087450556413,1,1.1509765311732656,0.4900182523385809,0.4752751953459191,0.9505503906918382
CD300LD,-+-,0.08912404482629122,0.3900779794028874,0.15074282543253792,-1,0.30148565086507584,0.1271316945189072,0.12206251425963952,0.24412502851927903
CD300LF,-+-,0.13745600290110116,0.36332949848956964,0.45153865674723986,1,0.7266589969791393,0.3426876568560347,0.33029145040780244,0.6605829008156049
CD300LG,-+-,0.2563071708913415,0.7022898806944132,0.29657695416962176,-1,0.5931539083392435,0.27918781725888325,0.26648414328085784,0.5329682865617157
CD302,--+,0.36779202765030994,0.7921711325423071,0.37181020886721206,-1,0.7436204177344241,0.3503678777163064,0.3376682637462925,0.675336527492585
CD320,++-,0.005325084035437163,0.0030517061404182685,0.9224022422028862,1,0.006103412280836537,0.00296600501939311,0.0013118120116352022,0.0026236240232704044
CD33,-++,0.009246106395914782,0.031041557150164708,0.8311423483855926,1,0.062083114300329416,0.021959844855122063,0.015456567615353904,0.03091313523070781
CD34,++-,0.1868178274283289,0.142161308976086,0.8726559841383006,1,0.284322617952172,0.11852612365959389,0.11395653909770148,0.22791307819540296
CD36,-++,0.3372189350914787,0.46745850160501945,0.5645555175588785,1,0.9349170032100389,0.43012776637006617,0.4170991843951406,0.8341983687902812
CD37,-+-,0.09986749169214408,0.3057323986831045,0.41856189183855946,1,0.611464797366209,0.2877595254391969,0.27633605201619804,0.5526721040323961
CD38,---,0.19617152705441732,0.9705051594344365,0.10208486169050887,-1,0.20416972338101774,0.08144641533108994,0.0756331279945243,0.1512662559890486
CD3D,-++,0.09026173998040744,0.11101327228587206,0.9022813795453456,1,0.22202654457174412,0.08937942048825005,0.08401300404950665,0.1680260080990133
CD3E,-+-,0.10866848056069375,0.5211883895284232,0.22559823471915075,-1,0.4511964694383015,0.20812182741116753,0.19849418206707733,0.39698836413415467
CD3EAP,++-,0.12614078034718332,0.2225528774297688,0.7010102288262248,1,0.4451057548595376,0.20465434633812457,0.19563109564820624,0.3912621912964125
CD3G,-+-,0.027714704480846935,0.11051251801403225,0.628511931690581,1,0.2210250360280645,0.08903718913985854,0.08327154508640848,0.16654309017281696
CD4,-+-,0.23612418935892376,0.48354120504669557,0.3872134298227229,-1,0.7744268596454458,0.362402327040438,0.351585671914214,0.703171343828428
CD40,+++,0.018088751984527154,0.03923490419976464,0.9210694882669666,1,0.07846980839952929,0.027948893451973534,0.02144527462499287,0.04289054924998574
CD44,-+-,0.0533516236957163,0.8677309802857602,0.023809193954172244,-1,0.04761838790834449,0.0167113443221354,0.011806981519507187,0.023613963039014373
CD46,+-+,0.3936487473141924,0.5224040278730275,0.5806358290121272,1,1.044808055746055,0.4653205566963267,0.4497233787714595,0.899446757542919
CD47,+-+,0.13294523807109992,0.44356978864126484,0.36627249306948473,-1,0.7325449861389695,0.34563394741344894,0.33270590919461557,0.6654118183892311
CD48,--+,0.19831500669859248,0.6726924687777455,0.3398545146801288,-1,0.6797090293602576,0.32190726059430785,0.30863563769107916,0.6172712753821583
CD5,---,0.23990577115775524,0.9735883530020388,0.11381319386847105,-1,0.2276263877369421,0.09159869959504933,0.08641341546885695,0.1728268309377139
CD52,+++,0.043039114579197464,0.036796051271190115,0.9596271681102027,1,0.07359210254238023,0.026180698151950718,0.019620144869674328,0.039240289739348656
CD53,+++,0.6432484807119222,0.40880597621029335,0.8410692207244557,1,0.8176119524205867,0.38147387634040614,0.3711287286830548,0.7422574573661096
CD55,---,0.47261043674487524,0.894622990238594,0.3002765079027897,-1,0.6005530158055794,0.2831802885986426,0.27076203513575176,0.5415240702715035
CD58,+-+,0.3974417032626202,0.3628993549280995,0.8258395349280554,1,0.725798709856199,0.34211727127538216,0.330177379798095,0.66035475959619
CD59,+--,0.23732113242610148,0.4946384731896779,0.43751261249702694,-1,0.8750252249940539,0.4061484058632293,0.39379420488250055,0.7875884097650011
CD5L,+--,0.5955824206648281,0.6788724740561174,0.5645513021654266,-1,1.1291026043308532,0.48582672674385446,0.4714807209673739,0.9429614419347478
CD6,-+-,0.12774764073826714,0.4304148756996514,0.15883007289362175,-1,0.3176601457872435,0.13648548451491474,0.1298197581565138,0.2596395163130276
CD63,++-,0.04385908410755646,0.06388599598426818,0.6957271802569667,1,0.12777199196853636,0.04677161761350673,0.04003878400730052,0.08007756801460104
CD68,-+-,0.3056812189761362,0.5023909291142203,0.528834930182422,1,1.0047818582284407,0.45300022815423224,0.43820224719101125,0.8764044943820225
CD7,---,0.009511379339683199,0.9830840478715621,0.009628656913408187,-1,0.019257313826816374,0.007756801460103805,0.004220853296828656,0.008441706593657313
CD70,---,0.2617043988068615,0.9444505805979719,0.17322277776397144,-1,0.34644555552794287,0.15068727542348714,0.14407939767282682,0.28815879534565364
CD72,-+-,0.185304986726266,0.4250958309774199,0.38022431315562283,-1,0.7604486263112457,0.3566987965550676,0.3462240474560803,0.6924480949121606
CD74,-+-,0.19111549994238636,0.8102302175969658,0.13503194408587652,-1,0.27006388817175303,0.11190326812296812,0.10654802646589094,0.21309605293178188
CD79A,--+,0.7350521089938242,0.7384793369080047,0.5513908124432655,-1,1.102781624886531,0.47955284320994696,0.4648642482318047,0.9297284964636094
