gene_symbol,t,P.Value,target_region
CDK11A,-4.104015237148113,0.007131600333936872,nAcc
CDK11A,-2.5371888325100826,0.042116718565283734,AnCg
CDK11A,-2.695135909081299,0.0429475148279752,DLPFC
SLC35E2,-2.6359370432339033,0.046113154679942765,DLPFC
SLC35E2,-2.0918627901856666,0.07880502778361147,AnCg
SLC35E2,-0.840133649714501,0.4348031525369243,nAcc
NADK,-1.1910824623684495,0.2869775532514874,DLPFC
NADK,-0.3127479348495926,0.7656474872327679,nAcc
NADK,-0.2456067310109598,0.8137293194688219,AnCg
GNB1,0.7817239736501477,0.465738173502685,nAcc
GNB1,0.37746906196103897,0.7181146025180163,AnCg
GNB1,-0.16317384388087092,0.8767597780848568,DLPFC
CALML6,-1.9208143212053324,0.11269853352124556,DLPFC
CALML6,-1.5371157281625616,0.1779884455528401,nAcc
CALML6,0.9663887423863047,0.369181158248975,AnCg
TMEM52,-1.4112227386840472,0.21715768680320804,DLPFC
TMEM52,0.7300040132173472,0.4914169947578899,AnCg
TMEM52,-0.41173044629060795,0.6956378444482318,nAcc
CFAP74,-2.9357396326028145,0.032340246353419456,DLPFC
CFAP74,-1.035219880673881,0.3426627193112677,nAcc
CFAP74,-0.7863102918668957,0.4599998275790471,AnCg
PRKCZ,-3.480048290343436,0.017602113783202422,DLPFC
PRKCZ,1.1058685898849299,0.3134604936020251,nAcc
PRKCZ,0.47469860656233775,0.6508806907229618,AnCg
FAAP20,-3.278744957831581,0.021922244152685726,DLPFC
FAAP20,-1.1567142773606705,0.2937632762990198,nAcc
FAAP20,-0.4385763993918669,0.6754907026657785,AnCg
SKI,-1.84470372214767,0.11189513918890805,AnCg
SKI,1.5220680718370467,0.1816193803335591,nAcc
SKI,-0.5814772820756742,0.5860992089365181,DLPFC
MORN1,-0.9826455144075352,0.37082567830359137,DLPFC
MORN1,0.8252047124545521,0.4425628515428746,nAcc
MORN1,0.21823668228091206,0.8340866172594976,AnCg
RER1,-0.9851224535534454,0.3697196265008142,DLPFC
RER1,-0.8352418269207125,0.43386060427151274,AnCg
RER1,0.04145243063868116,0.9683552816927258,nAcc
PEX10,-1.1906184536759294,0.2871441434996897,DLPFC
PEX10,0.6653636172584442,0.529219578097557,AnCg
PEX10,0.49787673884210754,0.6372751804448811,nAcc
PLCH2,-2.7121121606776377,0.042084459498437844,DLPFC
PLCH2,-1.1355330316645915,0.30183669671596397,nAcc
PLCH2,-0.489666532078802,0.6408185689398864,AnCg
PANK4,-0.33944189913177053,0.7480442216267339,DLPFC
PANK4,0.33244707682522434,0.7502478747987171,AnCg
PANK4,0.31459778187131476,0.764313605334564,nAcc
HES5,-2.3980068863835666,0.06167471966481982,DLPFC
HES5,-0.6689885389011719,0.5297669042928408,nAcc
HES5,-0.6001352369849792,0.5691900628030377,AnCg
TNFRSF14,-1.6919861871790234,0.14444575072398463,nAcc
TNFRSF14,-1.6956602384822077,0.15060374783721894,DLPFC
TNFRSF14,1.132659056250949,0.2982839775321011,AnCg
FAM213B,1.7480467275913938,0.13388990903583783,nAcc
FAM213B,1.4439608171317542,0.1961904232939524,AnCg
FAM213B,-1.2278040481782275,0.2740643483928652,DLPFC
MMEL1,3.9577549063333826,0.006657342168118565,AnCg
MMEL1,3.2770870134462764,0.018312841529765672,nAcc
MMEL1,1.0773036745114315,0.3304635063069046,DLPFC
TTC34,1.509630514189025,0.1791624982157287,AnCg
TTC34,0.47545440987335763,0.6522136048542546,nAcc
TTC34,-0.411570445440631,0.697670568467937,DLPFC
ACTRT2,-0.7604359208978605,0.4742601474274637,AnCg
ACTRT2,0.236502772965207,0.82134870380883,nAcc
ACTRT2,0.1311415213397011,0.9007670824456954,DLPFC
PRDM16,1.6597545009663637,0.14527240412482045,AnCg
PRDM16,1.5324737511658544,0.18586589324478148,DLPFC
PRDM16,-0.010691526915169627,0.9918355393597209,nAcc
ARHGEF16,-1.1765814406996198,0.28635989559097386,nAcc
ARHGEF16,-0.8831783067144696,0.4175001627336074,DLPFC
ARHGEF16,-0.4268443961981607,0.6835800372062111,AnCg
MEGF6,-5.569091833002124,0.002554295456760214,DLPFC
MEGF6,-1.262881515621178,0.2560532471704773,nAcc
MEGF6,-0.9089862572467927,0.39652703502875364,AnCg
TPRG1L,-1.7928956462027654,0.13285453132866767,DLPFC
TPRG1L,0.7741253304805349,0.4698758899090636,nAcc
TPRG1L,0.40567108754128056,0.6982942872115552,AnCg
WRAP73,-0.9900269566180543,0.36753756106053,DLPFC
WRAP73,0.3657833325317985,0.7263985280423442,AnCg
WRAP73,-0.30516718232971707,0.7711230683018347,nAcc
TP73,-1.3430311564309259,0.2252500184541749,AnCg
TP73,-1.1218427394667654,0.3128017460620864,DLPFC
TP73,-0.3346844253379536,0.749888294478666,nAcc
CCDC27,-0.8079572536965011,0.45575129026843825,DLPFC
CCDC27,-0.6521765164734727,0.5371548618591651,AnCg
CCDC27,-0.4381215959167524,0.6774850222079181,nAcc
SMIM1,-2.265716246503883,0.072725375724105007,DLPFC
SMIM1,0.5770036195274807,0.5837899316549306,AnCg
SMIM1,0.25812777623115424,0.8054154158162409,nAcc
LRRC47,-1.496856211816303,0.19457698498183076,DLPFC
LRRC47,0.5132370448971195,0.6271491549342789,nAcc
LRRC47,-0.10005547148916343,0.9233833158455377,AnCg
CEP104,-2.2876801736827086,0.059738898116138306,AnCg
CEP104,-0.38462850308243807,0.7145153763007023,nAcc
CEP104,-0.2670017029896032,0.800110408283218,DLPFC
DFFB,-0.7430357323231231,0.4908132408375523,DLPFC
DFFB,-0.15133395126671018,0.8844038533572707,AnCg
DFFB,-0.13552436136273083,0.896877163140252,nAcc
C1orf174,-1.5966297162989003,0.1711239899797329,DLPFC
C1orf174,-1.2980190538842915,0.23940874667142217,AnCg
C1orf174,-1.2969984272398283,0.24487755120247123,nAcc
AJAP1,-1.1223611043128272,0.3023243497326997,AnCg
AJAP1,1.1296410264686758,0.3041158645962098,nAcc
AJAP1,0.361057747808995,0.7327826702307845,DLPFC
NPHP4,-0.8560846672126253,0.4309835143864118,DLPFC
NPHP4,0.55493989943016,0.6001123438305151,nAcc
NPHP4,-0.5044191968705483,0.6309813023354482,AnCg
KCNAB2,1.678505017185138,0.1414936360976741,AnCg
KCNAB2,1.6640885929547398,0.1499981892628739,nAcc
KCNAB2,-0.8283357793922724,0.4451363265079286,DLPFC
CHD5,-2.2198905387616623,0.07703430303303135,DLPFC
CHD5,0.20375932222354698,0.8449123042868039,AnCg
CHD5,-0.021055151255706554,0.9839225146906707,nAcc
RPL22,-2.710986368495849,0.04214109741535944,DLPFC
RPL22,-1.1699134149512038,0.28404250823126176,AnCg
RPL22,0.8085721606337304,0.4513270394430218,nAcc
RNF207,-1.0670918429868839,0.3346313769214713,DLPFC
RNF207,0.7974749057862125,0.4539399955478598,AnCg
RNF207,-0.7999917808287763,0.45589726783673473,nAcc
