gene_symbol,AnCg_DLPFC_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
BOD1L2,-+,0.1853000354622421,0.44336472991412973,0.2740549934102571,-1,0.5481099868205142
BOK,--,2.753101830955955e-4,0.9846159765148322,2.730515850613651e-4,-1,5.461031701227302e-4
BOLA1,--,0.2734242262296525,0.9527594428934978,0.11523710802386701,-1,0.23047421604773402
BOLA3,+-,0.16009775261366038,0.2505890388680128,0.4140262904607215,1,0.5011780777360256
BOLL,+-,0.3662640853333444,0.4147555816775125,0.5113630772331185,1,0.829511163355025
BOP1,+-,0.008789981528707023,0.4325017414802825,0.02462838275839258,-1,0.04925676551678516
BORA,++,0.34876171365227926,0.17679259953217047,0.9184225894570028,1,0.35358519906434094
BORCS5,-+,0.12185022344245566,0.8175208843712983,0.13887702230101773,-1,0.27775404460203545
BORCS6,+-,0.220153982491993,0.323451085964782,0.3421358201883406,1,0.646902171929564
BORCS7,+-,0.7252254790687849,0.507275652135503,0.6630792283396374,1,1.014551304271006
BORCS8,+-,0.07023705149331175,0.28372190532286207,0.14277321527348294,-1,0.2855464305469659
BORCS8-MEF2B,-+,0.6918281333061118,0.5202754441047905,0.6336196299759425,1,1.040550888209581
BPGM,+-,0.5505341522203375,0.42753909263150003,0.7062546055300538,1,0.8550781852630001
BPHL,--,0.007500865696366222,0.9082155978250072,0.01111644214318938,-1,0.02223288428637876
BPI,--,0.3421681125450321,0.9049599470416274,0.19334281385567326,-1,0.3866856277113465
BPIFA1,-+,0.4771018361588447,0.569253724586079,0.4645158668089864,-1,0.9290317336179728
BPIFA2,+-,0.0984752187342023,0.6469228684051987,0.14999821026774635,-1,0.2999964205354927
BPIFA3,++,0.14413936280650577,0.05278911480776072,0.9803084273657063,1,0.10557822961552144
BPIFB1,+-,0.545966975010864,0.5954965834663705,0.4876402442708991,-1,0.9752804885417982
BPIFB2,-+,0.2768729721945113,0.6450767179214772,0.3123291519892076,-1,0.6246583039784152
BPIFB3,--,0.08944724469801744,0.9956551104994162,0.015675208560485997,-1,0.031350417120971995
BPIFB4,++,0.6895260832214188,0.40176464410968266,0.768381237922342,1,0.8035292882193653
BPIFB6,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
BPIFC,--,0.8702511938939878,0.6818411052069852,0.5063681170255455,-1,1.012736234051091
BPNT1,+-,0.6987049737238108,0.6557340377297437,0.5066871830215556,-1,1.0133743660431112
BPTF,--,0.18193436200940055,0.8364980465047627,0.1762740908788774,-1,0.3525481817577548
BRAF,-+,0.36529416270812864,0.31141778543814197,0.7718071686044562,1,0.6228355708762839
BRAP,++,0.05786665430934947,0.06804880781044295,0.8761654357031956,1,0.1360976156208859
BRAT1,+-,0.3839556516843377,0.4950451175212568,0.4313754857160865,-1,0.862750971432173
BRCA1,--,0.08219548536300297,0.9765978783419889,0.04257498570535182,-1,0.08514997141070364
BRCA2,--,0.3349532123941708,0.8434834956923607,0.250219798176005,-1,0.50043959635201
BRD1,--,0.3139943534315931,0.871747668276812,0.21951195377344687,-1,0.43902390754689374
BRD2,++,0.07999212339910294,0.07828510407992716,0.9056304039001256,1,0.1565702081598543
BRD3,--,0.06587006403521667,0.9770416722012079,0.03623740855380878,-1,0.07247481710761756
BRD4,--,0.22795938504301524,0.840008940655822,0.20235731425981907,-1,0.40471462851963813
BRD7,--,0.20130102312165546,0.9023607148035095,0.1503034032901951,-1,0.3006068065803902
BRD8,++,0.062384582922271406,0.04928427564834345,0.9507771558325692,1,0.0985685512966869
BRD9,+-,0.12187406776575987,0.21834034969529853,0.2591368586138863,1,0.43668069939059706
BRDT,++,0.7028799095177076,0.4150605750618093,0.757587001914058,1,0.8301211501236186
BRE,++,0.11498615180998294,0.0268941397645102,0.9917764874368855,1,0.0537882795290204
BRF1,--,0.11675070745966533,0.8662763178055817,0.11920376526998977,-1,0.23840753053997954
BRF2,++,0.366744666769843,0.16348321271345037,0.9281595500930834,1,0.32696642542690074
BRI3,--,0.056130295458633225,0.9321660063252579,0.052100765290609606,-1,0.10420153058121921
BRI3BP,+-,0.5872921566696947,0.4767705640646255,0.6488210635693135,1,0.953541128129251
BRICD5,+-,0.02792985283508184,0.6766794083282394,0.05387890482905025,-1,0.1077578096581005
BRINP1,++,0.24266182001281716,0.16203599903869167,0.9085183989418182,1,0.32407199807738335
BRINP2,++,0.3455722546338152,0.16422862014921133,0.9266944298378048,1,0.32845724029842266
BRINP3,-+,0.2690967341116964,0.30386767583478247,0.6540700358321844,1,0.6077353516695649
BRIP1,+-,0.30520586900825714,0.7088101350149629,0.30920635141769315,-1,0.6184127028353863
BRIX1,--,0.28772445146349435,0.957084262552953,0.10820378201114088,-1,0.21640756402228176
BRK1,+-,0.1513820194397552,0.24701316888130492,0.3551330191761105,1,0.49402633776260985
BRMS1,+-,0.3590326373278399,0.49927453178177283,0.41282414617152535,-1,0.8256482923430507
BRMS1L,++,0.22178527440697748,0.11743644803900637,0.9453628554224855,1,0.23487289607801273
BROX,-+,0.08553755580421864,0.16603912674957336,0.28405451111734364,1,0.3320782534991467
BRPF1,-+,0.37957830432648726,0.33059670099885363,0.75026863738424,1,0.6611934019977073
BRPF3,++,0.35724204028278256,0.27425659449880624,0.8230417668793469,1,0.5485131889976125
BRSK1,+-,0.01880388743739996,0.700250531375208,0.03787871714126093,-1,0.07575743428252187
BRSK2,+-,0.07421527269282202,0.7286002623483272,0.11052930158329746,-1,0.22105860316659492
BRWD1,++,0.0844711040046826,0.04029721157517487,0.9797365248367431,1,0.08059442315034974
BSCL2,++,0.062142014687792846,0.0784593359552183,0.844986072451241,1,0.1569186719104366
BSDC1,++,0.17333980559605555,0.1388260993043452,0.8993012809886745,1,0.2776521986086904
BSG,+-,0.12445094354445106,0.22275182713703132,0.24473045763485143,1,0.44550365427406263
BSN,++,0.351220339015081,0.19967316406049282,0.9012220613490469,1,0.39934632812098564
BSND,--,0.38493233004909466,0.817951548569805,0.28858489377349905,-1,0.5771697875469981
BSPH1,+-,0.5379052273603364,0.4097560156113597,0.725822077978014,1,0.8195120312227194
BSPRY,++,0.21152508585612378,0.17931659911217424,0.8651713022322904,1,0.35863319822434847
BST1,--,0.14405701320962505,0.8566457954513306,0.14237350029865561,-1,0.28474700059731123
BST2,--,0.12270426658759268,0.9894466737012528,0.03282561245982569,-1,0.06565122491965138
BSX,+-,0.14750870035363278,0.22150211361584768,0.53000114624118555,1,0.44300422723169536
BTAF1,-+,0.04775556370952934,0.08903060551265929,0.6011306156694867,1,0.17806121102531858
BTBD1,-+,0.24225848731452873,0.2772567632789025,0.6755746605976779,1,0.554513526557805
BTBD10,++,0.38867418102205337,0.24244505926896778,0.8705924118948689,1,0.48489011853793557
BTBD11,-+,0.2706963313991537,0.4228744716586397,0.35899419692888623,-1,0.7179883938577725
BTBD16,--,0.013631393879570394,0.992665181915602,0.006271897865709799,-1,0.012543795731419598
BTBD17,--,0.4510256349587965,0.888429381897222,0.23038087181397313,-1,0.46076174362794625
BTBD18,-+,0.24114722816531745,0.7666475212924735,0.24461129778418877,-1,0.48922259556837755
BTBD19,+-,0.06411858367850395,0.7550101421198986,0.0951728453080171,-1,0.1903456906160342
BTBD2,+-,0.062004778149296925,0.24806413746243391,0.1311746896626859,-1,0.2623493793253718
BTBD3,++,0.1891133004375283,0.16763585457001295,0.8637646435455527,1,0.3352717091400259
BTBD6,+-,0.13654590916592121,0.6589557095047006,0.18894894171711396,-1,0.3778978834342279
BTBD7,-+,0.35819642574925664,0.3895381775578633,0.5793011668587418,1,0.7790763551157266
BTBD8,-+,0.050092311440188546,0.103115357964601,0.4298737908804121,1,0.206230715929202
BTBD9,++,0.20864047843448175,0.07280573866164622,0.9731487487143856,1,0.14561147732329244
BTC,+-,0.26740073864999636,0.579309856467487,0.323316242451729,-1,0.646632484903458
BTD,-+,0.03592512033640215,0.44564070746564943,0.07846146760327208,-1,0.15692293520654416
BTF3,+-,0.2224906899839089,0.7813073364569032,0.22629672008089366,-1,0.4525934401617873
BTF3L4,-+,0.186092803184293,0.23582007349499715,0.6583275042947785,1,0.4716401469899943
BTG1,-+,0.3679913978569662,0.3477567858719461,0.7049029707883951,1,0.6955135717438922
BTG2,+-,0.9387411849812736,0.6002820717361903,0.5907950069943284,-1,1.1815900139886568
BTG3,-+,0.1950239380990883,0.7086137228969489,0.230470427547693,-1,0.460940855095386
BTG4,++,0.012864709269788444,0.016664252300065182,0.9202980037143483,1,0.033328504600130364
BTLA,++,0.3144828242141685,0.17002928626193925,0.9193374455698101,1,0.3400585725238785
BTN1A1,++,0.35090821214662116,0.27783321551342366,0.8144054514643901,1,0.5556664310268473
BTN2A1,--,0.29673455315883984,0.8246835289572725,0.24682505467539492,-1,0.49365010935078985
BTN2A2,--,0.21106972345481598,0.8150292008451088,0.20452506205038706,-1,0.4090501241007741
BTN3A1,--,0.33883739152767606,0.9176631863377772,0.17642382872975063,-1,0.35284765745950125
BTN3A2,+-,0.07824718682730628,0.7134106380852472,0.11732589248232866,-1,0.23465178496465733
BTN3A3,+-,0.6497826968680922,0.5763947437945364,0.539981008194506,-1,1.079962016389012
BTNL10,-+,0.4212466015146268,0.5491379720722114,0.43951434320327887,-1,0.8790286864065577
BTNL2,++,0.2939420525591622,0.13222357599832757,0.9437086109845996,1,0.26444715199665514
BTNL3,--,0.14077514874384503,0.9410455107756295,0.09483802135369998,-1,0.18967604270739996
BTNL8,-+,0.08838748265937747,0.1154616529437592,0.7890081011743835,1,0.2309233058875184
BTNL9,+-,0.6945959214460358,0.5825405835755793,0.5524771433884087,-1,1.1049542867768174
BTRC,++,0.10776202160786567,0.06721730896445191,0.9587435041860286,1,0.13443461792890382
BUB1,+-,0.21184450246641914,0.7698900813750718,0.2234158060229592,-1,0.4468316120459184
BUB1B,+-,0.25758506550073174,0.7308712509849675,0.2695960213601547,-1,0.5391920427203094
BUB3,--,0.8569188954732239,0.6886172828081967,0.49872888473143023,-1,0.9974577694628605
BUD13,--,0.23360303657171264,0.8747852040382303,0.18438285921714545,-1,0.3687657184342909
BUD31,--,0.09573889884571705,0.956475165190288,0.06364538161094734,-1,0.12729076322189467
BVES,-+,0.10003398225037823,0.34725149026673674,0.18255092513750815,-1,0.3651018502750163
BYSL,++,0.01074574368650613,0.010150647731086015,0.9652022229745452,1,0.02030129546217203
BZW1,-+,0.17874329688494098,0.7095156679124839,0.21670714731849933,-1,0.43341429463699865
BZW2,++,0.14728954064971314,0.1038962510994592,0.93274653751161,1,0.2077925021989184
C10orf10,++,0.003423271117713352,0.0035822556983412957,0.9688637379947651,1,0.0071645113966825914
C10orf105,+-,0.5511066544149705,0.6874893727447986,0.43999554954326847,-1,0.8799910990865369
C10orf107,-+,0.6769252539755521,0.5173996630797848,0.6313830560097349,1,1.0347993261595696
C10orf11,+-,0.41326745753266253,0.7074857499533205,0.3699889182003902,-1,0.7399778364007804
C10orf113,+-,0.010700010976651903,0.14568945065671246,0.03240165257000713,-1,0.06480330514001426
C10orf120,++,0.021486930505852386,0.03306334735871441,0.8475351009232519,1,0.06612669471742882
C10orf128,--,0.028644270245750152,0.9672950665669137,0.022418292933651572,-1,0.044836585867303144
C10orf142,+-,0.16471226687441654,0.4803208377214031,0.24711711795435623,-1,0.49423423590871246
C10orf2,++,0.42384162556079774,0.30801703575240985,0.8104275662194079,1,0.6160340715048197
C10orf35,+-,0.07877037426262666,0.3160161500886511,0.15412507094724812,-1,0.30825014189449623
C10orf53,--,0.23249561109776054,0.904969102721118,0.16133524015609924,-1,0.32267048031219847
C10orf54,++,0.6469081180538567,0.42351774322060964,0.7426746346855676,1,0.8470354864412193
C10orf55,+-,0.35446072499982006,0.5256098211739861,0.4026226875618936,-1,0.8052453751237872
C10orf62,+-,0.3945758851002103,0.609221552150399,0.40246665148806654,-1,0.8049333029761331
C10orf67,--,0.34018722567724496,0.8055765782378863,0.27907058883249714,-1,0.5581411776649943
C10orf71,-+,0.21567044845125258,0.6884478922770488,0.25281032742249915,-1,0.5056206548449983
C10orf76,++,0.09201891513350115,0.0746704839027684,0.9339420748759143,1,0.1493409678055368
C10orf82,--,0.13063775235803146,0.9565453817513591,0.07798680369507725,-1,0.1559736073901545
C10orf88,++,0.02307117669372538,0.005718051713129516,0.9974376867519643,1,0.011436103426259033
C10orf90,-+,0.009176887788316528,0.6687399791458895,0.021447148076015488,-1,0.042894296152030977
C10orf95,--,0.09091211612288146,0.9825144463874911,0.03902495353100939,-1,0.07804990706201878
C10orf99,-+,0.2157028300199414,0.22448850669650297,0.7741795930970523,1,0.44897701339300594
C11orf1,+-,0.3541692819947995,0.39640257268671336,0.5472088486223369,1,0.7928051453734267
C11orf16,--,0.0770219318939772,0.8558397826515723,0.09006429246038408,-1,0.18012858492076816
C11orf21,++,0.08487093573198214,0.0575759123837486,0.9579604994050039,1,0.1151518247674972
C11orf24,-+,0.4596414461152526,0.4135432694930693,0.6658896944462445,1,0.8270865389861386
C11orf31,+-,0.0032226597428508448,0.7817984133093123,0.0074789583446396,-1,0.0149579166892792
C11orf40,+-,0.0984752187342023,0.2564748176135151,0.1864247506467504,-1,0.3728495012935008
C11orf42,-+,0.4244427754002977,0.42162626352724464,0.6048083592683857,1,0.8432525270544893
C11orf45,++,0.3273358205567263,0.15435968380257026,0.9318849035941185,1,0.3087193676051405
C11orf49,+-,0.046257459083006575,0.07290814034544953,0.7609691445019552,1,0.14581628069089905
C11orf52,--,0.43849690619191706,0.7696552927090361,0.34379659779986566,-1,0.6875931955997313
C11orf53,++,0.4338755524461698,0.28842184481952005,0.8360515925808816,1,0.5768436896390401
C11orf54,--,0.047651842695883455,0.9165404166568157,0.049906418783401144,-1,0.09981283756680229
C11orf57,++,0.5193971950529588,0.323275521518889,0.8201598130983219,1,0.646551043037778
C11orf58,-+,0.3457930458949843,0.31198196956868585,0.7534826218464782,1,0.6239639391373717
C11orf63,--,0.6075800356806907,0.7315343489207702,0.42518988914683037,-1,0.8503797782936607
C11orf65,--,0.37342618368866254,0.9345150697947999,0.15246599096050906,-1,0.3049319819210181
