gene_symbol,AnCg.F_nAcc.F_DLPFC.F_AnCg.M_nAcc.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
FGF7,+++---,0.14653492040751606,0.9455395006102061,0.12116110966402235,-1,0.2423222193280447,0.09467860605714938,0.10381017567875885,0.18935721211429876
FGF8,+-+++-,0.595839443581257,0.7318332993105765,0.4980238898416416,-1,0.9960477796832832,0.44230878914047794,0.4274469541409993,0.8548939082819986
FGF9,++++--,0.33620018453650424,0.32129479538906164,0.8503776655387205,1,0.6425895907781233,0.28125712981975814,0.274796098785148,0.549592197570296
FGFBP1,-+++++,0.14014186432133038,0.09378824223183474,0.9448939610959837,1,0.18757648446366948,0.07186858316221766,0.08224490959904181,0.1437371663244353
FGFBP2,--+-++,0.004358619205212801,0.8200540148767724,0.01965113814502072,-1,0.03930227629004144,0.015456567615353904,0.019564225416381475,0.03091313523070781
FGFBP3,---+++,0.49802764644739994,0.31092435503146454,0.8829990384162809,1,0.6218487100629291,0.27150353639060004,0.26595562653282384,0.5319112530656477
FGFR1,---+--,0.22303149054476393,0.6934489064713617,0.3569530772325684,-1,0.7139061544651368,0.31614669480408375,0.3076659822039699,0.6153319644079398
FGFR1OP,+-+--+,0.5670354806033022,0.5235799240093864,0.6635483654707158,1,1.0471598480187727,0.4610426648414328,0.4451035190783095,0.890207038156619
FGFR1OP2,-+++-+,0.2116715199326706,0.5857717112937646,0.40652827509544837,-1,0.8130565501908967,0.36377117435692696,0.3531827515400411,0.7063655030800822
FGFR2,--+---,0.17778105328523275,0.9864600647179115,0.06475816498737098,-1,0.12951632997474197,0.047909656077111736,0.060860141455624,0.09581931215422347
FGFR3,+-++-+,0.26356068448903197,0.6440635328668094,0.43157313869346975,-1,0.8631462773869395,0.3867564022129698,0.3734314396532056,0.7468628793064112
FGFR4,----++,0.09127886183391945,0.14688140715198816,0.8824467101682036,1,0.2937628143039763,0.11664385124344057,0.12553470598300348,0.23328770248688113
FGFRL1,+-++--,0.08569997672487746,0.10369073932252607,0.9360734331321017,1,0.20738147864505213,0.08013917408167921,0.08971653453487709,0.16027834816335843
FGG,++++--,0.2107312022391108,0.29032372562133135,0.7975882707608848,1,0.5806474512426627,0.25376454483230665,0.24804654080876062,0.49609308161752125
FGGY,----++,0.17496172017517292,0.3244479446018465,0.5520770393698192,1,0.648895889203693,0.28388090349075973,0.27810414646666287,0.5562082929333257
FGL1,---+++,0.48209903972014023,0.7585630601238978,0.4057598542598098,-1,0.8115197085196196,0.3631437860035362,0.3527834816335843,0.7055669632671686
FGL2,-++-+-,0.13911047888236439,0.6681892787046168,0.25814223913456397,-1,0.5162844782691279,0.22118291222266584,0.21994067989961213,0.43988135979922427
FGR,++++++,0.01820624239880757,0.009034316349938608,0.9820428094181219,1,0.018068632699877216,0.0070727812000912615,0.009068613471739007,0.014145562400182523
FH,++++--,0.485967044937328,0.4937452657870222,0.6427865845485506,1,0.9874905315740444,0.43919689710244125,0.42451377402612217,0.8490275480522443
FHAD1,++--++,0.41013329742591853,0.5841797912684749,0.5516523016605366,-1,1.1033046033210732,0.4788684195517025,0.4625256673511294,0.9250513347022588
FHDC1,-+++--,0.23260785706974607,0.4255147820583117,0.4458507428171299,1,0.8510295641166234,0.38181610768879765,0.3688473164889066,0.7376946329778132
FHIT,-+-++-,0.4957063724550804,0.44482363207639314,0.7249271478533639,1,0.8896472641527863,0.3978439425051335,0.38424684879940685,0.7684936975988137
FHL2,++-+++,0.02974853673506711,0.035137217546801554,0.9487902910623126,1,0.07027443509360311,0.026066621035820213,0.034620430046198594,0.052133242071640426
FHL3,++-++-,0.008739682108211558,0.004215921514508537,0.9539880374200378,1,0.008431843029017075,0.003593429158110883,0.004049506644613015,0.007186858316221766
FHL5,----+-,0.10706823529424209,0.986269078854034,0.05189690241822308,-1,0.10379380483644617,0.03821365425198198,0.05019393109742186,0.07642730850396395
FHOD1,++-++-,0.25764491619816,0.1663338557156367,0.939742126856266,1,0.3326677114312734,0.1332991101984942,0.14070609707408885,0.2665982203969884
FHOD3,+++++-,0.6785810525501994,0.6762156131681434,0.5662005353654631,-1,1.1324010707309262,0.4869674328409285,0.4700547570157426,0.9401095140314852
FIBCD1,-+-+--,0.4434219537535443,0.7549153638448316,0.4622023353449789,-1,0.9244046706899578,0.4130496777505276,0.39858544375998173,0.7971708875199635
FIBIN,+++---,0.8173670331901575,0.6397279540387374,0.658408939223011,1,1.2794559080774748,0.508156513803331,0.490731762961273,0.981463525922546
FIBP,++-++-,0.25948731116386564,0.2855387362690753,0.7739638011804337,1,0.5710774725381506,0.2489162673967602,0.2437118576398791,0.4874237152797582
FICD,+-+---,0.439195428158373,0.836556312273287,0.375737570338979,-1,0.751475140677958,0.33320025095534134,0.3247775496235455,0.649555099247091
FIG4,++++-+,0.16430227816863283,0.474289021383802,0.37681671899970237,-1,0.7536334379994047,0.33451206296697655,0.3259753593429158,0.6519507186858317
FIGLA,+--++-,0.1993001802897601,0.34767132653390437,0.6654406865501117,1,0.6953426530678087,0.30646817248459957,0.2993783151770946,0.5987566303541892
FIGN,+-+--+,0.19336252944254267,0.2683803347202798,0.6263819872367563,1,0.5367606694405596,0.23049281314168377,0.22814121941481777,0.45628243882963554
FIGNL1,++++-+,0.07902890651749507,0.43115806566438364,0.2755853904734612,-1,0.5511707809469224,0.2384646095933383,0.23408624229979466,0.4681724845995893
FIGNL2,------,0.2675170464097153,0.9809390841401651,0.09683304295772203,-1,0.19366608591544407,0.07414589630981577,0.0850444900752909,0.14829179261963155
FILIP1,+++--+,0.08909140150964194,0.5588660006949154,0.238977734140118,-1,0.477955468280236,0.2027034734500656,0.20248688113164498,0.40497376226328996
FILIP1L,+-+-+-,0.4518346704820567,0.6364705537966732,0.46870460040672096,-1,0.9374092008134419,0.41881024354075175,0.4041181838923112,0.8082363677846224
FIP1L1,+++---,0.15548976626340458,0.9244535750255642,0.1414151983830384,-1,0.2828303967660768,0.11190326812296812,0.12075062742413872,0.22380653624593624
FIS1,----+-,0.29911538498739293,0.7958281417729376,0.24922225475079438,-1,0.49844450950158875,0.211886157531512,0.21195528177047684,0.423772315063024
FITM1,-+--++,0.5421641389275533,0.437395430878709,0.80197597950843,1,0.874790861757418,0.39117043121149897,0.37825814178976785,0.7565162835795357
FITM2,+-++--,0.38045713151503646,0.4944899630769033,0.6254970709944315,1,0.9889799261538066,0.4394820898927675,0.4248559858552444,0.8497119717104888
FIZ1,++-++-,0.44629965568304397,0.4622831160329978,0.6675473926799667,1,0.9245662320659956,0.4131873146246863,0.3986197456225404,0.7972394912450808
FJX1,++-++-,0.49196588453237466,0.8212907277120595,0.4114679844429229,-1,0.8229359688858457,0.3682769634403696,0.35700433493041295,0.7140086698608259
FKBP10,+-+-+-,0.5019503027499213,0.3541647309733521,0.8675497753753988,1,0.7083294619467042,0.31354095368469087,0.305481092796441,0.610962185592882
FKBP11,+++--+,0.3680906195166195,0.9256978705751633,0.22019049413420275,-1,0.4403809882684055,0.18376775223863573,0.1847478895733516,0.36753550447727146
FKBP14,+-+---,0.4831223017898624,0.4229806153899093,0.7880978954791146,1,0.8459612307798186,0.3795345653661875,0.3666229395996122,0.7332458791992243
FKBP15,+++---,0.38744837005764154,0.9609635314653955,0.16483047427162106,-1,0.3296609485432421,0.13237894256544802,0.13968742870180242,0.26475788513089604
FKBP1A,++++--,0.2968496537787086,0.34762772315701257,0.7772297730959551,1,0.6952554463140251,0.30641113392653435,0.2992642445673872,0.5985284891347744
FKBP1B,+--+++,0.19128755484672258,0.177144876036397,0.9279145791466918,1,0.354289752072794,0.14322381930184805,0.1500028517652427,0.2864476386036961
FKBP2,++-++-,0.09444687578620935,0.2114522794634302,0.4968912229664119,1,0.4229045589268604,0.17527948893451972,0.1772086921804597,0.35055897786903945
FKBP3,-+-++-,0.5235976930931396,0.41919888765138924,0.7888978712152223,1,0.8383977753027785,0.37548482774355463,0.3632008213083899,0.7264016426167798
FKBP4,---+--,0.3625673700969375,0.6544800513133441,0.34401359845146556,-1,0.6880271969029311,0.3030285746877317,0.2960871549167237,0.5921743098334474
FKBP5,++++--,0.23913007837805597,0.09997547003966746,0.9782689637362892,1,0.19995094007933492,0.0768309377138946,0.08720698112131409,0.1536618754277892
FKBP6,++---+,0.43232718627875033,0.46641360154327205,0.7463130010782925,1,0.9328272030865441,0.41678074378279717,0.40249814635259223,0.8049962927051845
FKBP7,---+++,0.4257314260987791,0.4177170498989658,0.7948548014676373,1,0.8354340997979316,0.37383070955966236,0.36245936234529175,0.7249187246905835
FKBP8,++-++-,0.300769214290576,0.28400085169071126,0.6695629351308433,1,0.5680017033814225,0.2471480720967374,0.24211486910397537,0.48422973820795073
FKBP9,+-++++,0.31860093851790755,0.37163118478388035,0.7714680521497737,1,0.7432623695677607,0.3294547113848962,0.32145097815547824,0.6429019563109565
FKRP,++++++,0.4587189985638529,0.3596487970396631,0.8565240283058019,1,0.7192975940793263,0.3185033082363678,0.3107853761478355,0.621570752295671
FKTN,-+++-+,0.09981473298609245,0.28898507523888156,0.4642994981722122,1,0.5779701504777631,0.25268081222906685,0.24667769349227173,0.49335538698454345
FLAD1,++-++-,0.22139229155957196,0.49225967548273236,0.4587566164272866,-1,0.9175132328545732,0.41025494781269606,0.3953342459502624,0.7906684919005248
FLCN,------,0.33546772159520744,0.8339081445675889,0.3474452212884959,-1,0.6948904425769918,0.30622255175953916,0.29888204426192105,0.5977640885238421
FLG,+-++++,0.23116138530864427,0.14817540113361066,0.9544488035722354,1,0.2963508022672213,0.1175564681724846,0.12656134147037015,0.2351129363449692
FLG2,+---+-,0.3331996339132659,0.5280773929624788,0.5314134978280146,1,1.0561547859249576,0.4636664385124344,0.44858267267438545,0.8971653453487709
FLI1,-+-+++,0.11362964548937621,0.1770202812175151,0.8388573709873388,1,0.3540405624350302,0.14293862651152178,0.14983174585068157,0.28587725302304356
FLII,++-++-,0.17640875513760362,0.8169413423222156,0.26083985081477085,-1,0.5216797016295417,0.22363543033137512,0.22205110654802646,0.4441022130960529
FLNB,----+-,0.22633385575201762,0.8289831974484116,0.25060327048274855,-1,0.5012065409654971,0.21336907545770833,0.21298197581565137,0.42596395163130274
FLNC,----+-,0.01732163148778961,0.9587249198400631,0.005322340212385605,-1,0.01064468042477121,0.004505789083442651,0.005076431667807438,0.009011578166885302
FLOT1,++-++-,0.041804112394881035,0.0824624764350359,0.7015132383892526,1,0.1649249528700718,0.06165868126853753,0.07294815490788799,0.12331736253707506
FLOT2,++++--,0.04249004131384321,0.1020168173580062,0.45369203250609685,1,0.2040336347160124,0.07831394022359114,0.088575828437803,0.1566278804471823
