gene_symbol,AnCg.F_nAcc.F_DLPFC.F_AnCg.M_nAcc.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
SLC4A1,-+--+-,0.14266003222216034,0.7738014657850153,0.303519073126547,-1,0.607038146253094,0.3333713568699025,0.2997376226328998,0.59947524526579965
RUNDC3A,++-++-,0.021751921318107225,0.4732019788228196,0.13413785462327715,-1,0.2682757092465543,0.1694518907203559,0.16278804471822952,0.32557608943645905
SLC25A39,+--++-,0.0691370348413846,0.8475893165306991,0.07537423801845441,-1,0.15074847603690883,0.09804368904351794,0.10284052019164955,0.19608737808703589
GRN,---++-,0.08753401446374168,0.880617029631716,0.15990568785574405,-1,0.3198113757114881,0.19591627217247476,0.18594569929272187,0.37189139858544373
FAM171A2,---++-,0.05918159260270659,0.915879216255332,0.21774991671424382,-1,0.43549983342848764,0.25631666001254777,0.23528405201916497,0.47056810403832994
ITGA2B,+---++,0.24265240777605426,0.7501734177297951,0.32752161462241164,-1,0.6550432292448233,0.3539611019220898,0.3177618069815195,0.635523613963039
GPATCH8,+-+-+-,0.04847240712542845,0.04200346547315728,0.9590231328764672,1,0.08400693094631456,0.054928131416837785,0.0667883419836879,0.10985626283367557
FZD2,+-+++-,0.048025511141400995,0.3022812698628228,0.42536523261568265,1,0.6045625397256456,0.33207848505589777,0.2985227856042891,0.5970455712085782
MEIOC,-++--+,0.32133686504181336,0.5640234798965664,0.7373023361202014,1,1.1280469597931329,0.49549395391284506,0.4480693549307021,0.8961387098614042
CCDC43,-+-++-,0.41654143950689815,0.8234616390857274,0.41658945928973723,-1,0.8331789185794745,0.4192094906747277,0.3757700205338809,0.7515400410677618
DBF4B,+---+-,0.1870061408120215,0.5112000683548371,0.6161557516432341,1,1.0224001367096742,0.47245037645448323,0.42708036274453887,0.8541607254890777
ADAM11,+--++-,0.19525604508606234,0.6911083932086901,0.38431703649081217,-1,0.7686340729816243,0.39474134489248847,0.3545516769336071,0.7091033538672142
GJC1,---++-,0.0784054391125969,0.97259606574077,0.06991548295753018,-1,0.13983096591506036,0.09034392288826784,0.0971937029431896,0.18068784577653568
HIGD1B,+--++-,0.0065347419128563445,0.9714475163267491,0.0025249267189521433,-1,0.005049853437904287,0.004220612559174129,0.008441706593657313,0.008441225118348258
EFTUD2,++++-+,0.03738142805673998,0.04593940398476808,0.5225010211818523,1,0.09187880796953617,0.06028975587497148,0.07129413106713055,0.12057951174994296
CCDC103,++++--,0.004062170867761208,1.609773897931496e-4,0.9821814695658089,1,3.219547795862992e-4,5.13347022587269e-4,0.0015969885359037243,0.001026694045174538
GFAP,++--+-,0.07292780236026694,0.1343109741871385,0.8668596738177095,1,0.268621948374277,0.16968971024412502,0.163063936576741,0.326127873153482
KIF18B,+--++-,0.052027606141656774,0.8036400071179348,0.1873556968217001,-1,0.3747113936434002,0.22517538356242514,0.20910335386721424,0.4182067077344285
C1QL1,++-+++,0.11389461613349523,0.2844739641917304,0.7607631371145812,1,0.5689479283834608,0.3170203057266712,0.28449210061027774,0.5689842012205555
DCAKD,++++--,0.0742740402525121,0.07206584257340799,0.981315994244057,1,0.14413168514681599,0.0932580424366872,0.09929846575029944,0.1865160848733744
NMT1,++++-+,0.05641934728287516,0.0996593822152954,0.8091070611819071,1,0.1993187644305908,0.12879306411133926,0.12775908287229795,0.2555181657445959
PLCD3,++-++-,0.2565527899769221,0.6363007395797355,0.5995788767526731,-1,1.1991577535053461,0.5059031540523584,0.4598448551220625,0.919689710244125
ACBD4,+---+-,0.12917550101759678,0.6739400625040202,0.3326489331906465,-1,0.665297866381293,0.35858096161523983,0.32089892767510836,0.6417978553502167
HEXIM1,---++-,0.04795500925471793,0.9498801063638225,0.06390445091528216,-1,0.12780890183056431,0.08304340386699367,0.09086242299794661,0.16608680773398735
HEXIM2,----+-,0.04006996061665461,0.8218799574770681,0.13496742971661835,-1,0.2699348594332367,0.17013631437860036,0.1637577002053388,0.3275154004106776
FMNL1,++-++-,0.010646270841757241,0.7678515789191014,0.11544776742870272,-1,0.23089553485740544,0.1476644042662408,0.14464978325347935,0.2892995665069587
SPATA32,----++,0.025446931873784644,0.8563580368228614,0.0173342043866222,-1,0.0346684087732444,0.02195859236867621,0.03296828656171572,0.04391718473735242
MAP3K14,++++--,0.2445923285890256,0.16529887986393826,0.9542983776845407,1,0.33059775972787653,0.20180241843486196,0.19044088290651914,0.3808817658130383
ARHGAP27,-+-+-+,0.4037393504025679,0.8718968998068932,0.5079304523877419,-1,1.0158609047754839,0.4707694062624765,0.4254506046087155,0.850901209217431
PLEKHM1,++----,0.30739613519207293,0.3109416995193127,0.932215448034458,1,0.6218833990386254,0.33829568788501024,0.3054240574915873,0.6108481149831746
CRHR1,++-+++,0.11492439145603393,0.5564601440860896,0.3593581881792269,-1,0.7187163763584538,0.3786003536188901,0.3389801505817933,0.6779603011635866
SPPL2C,++++-+,0.2107675277024157,0.2818342887196717,0.7897444832995597,1,0.5636685774393434,0.31485284052019163,0.2823817943306907,0.5647635886613814
MAPT,+++++-,0.10681542731440417,0.2609046080544233,0.7752372338563558,1,0.5218092161088466,0.29563084645220167,0.267267438544459,0.534534877088918
KANSL1,--++-+,0.09467276268348879,0.39527671066330583,0.4852739751112999,1,0.7905534213266117,0.4037189139858544,0.36126162094336395,0.7225232418867279
LRRC37A,---+++,0.04380343803908997,0.999989108298948,8.653551185309684e-4,-1,0.0017307102370619368,0.0013118120116352022,0.0046771617613506735,0.0026236240232704044
NSF,++++-+,0.06528814230050159,0.07025146875517235,0.791091494200773,1,0.1405029375103447,0.09074834588181611,0.0974733359949809,0.18149669176363223
WNT3,++++++,0.09017824401485611,0.35493834956579423,0.44910631995786543,1,0.7098766991315885,0.37571298197581565,0.33645126333200254,0.6729025266640051
WNT9B,+-++++,0.02545985420480615,0.5675555834628587,0.2128934393044423,-1,0.4257868786088846,0.2502138823932014,0.2307209673739448,0.4614419347478896
GOSR2,-+++-+,0.12916484673811496,0.4942885676286583,0.513319112009853,1,0.9885771352573166,0.4631530914898471,0.4190383847601665,0.838076769520333
RPRML,++-++-,0.0017708681340482622,0.6757513259546615,0.06905432199007006,-1,0.1381086439801401,0.08891804026692522,0.09605293178188455,0.17783608053385044
CDC27,+++---,0.060993360656920556,0.08080691466834354,0.98207175713041,1,0.16161382933668708,0.10500798539812914,0.10808190269776992,0.21001597079625828
MYL4,-+---+,0.017864826555312012,0.8009116775700772,0.17510266890243614,-1,0.3502053378048723,0.21160098100724348,0.1986652977412731,0.3973305954825462
ITGB3,+++-++,0.009874277458208102,0.06618969499738372,0.8102740520763025,1,0.13237938999476745,0.08595710700433493,0.09342382935036787,0.17191421400866985
EFCAB13,----++,0.023284659905122962,0.5129243061868592,0.046154331890566135,-1,0.09230866378113227,0.060571493754634116,0.07146931325576089,0.12114298750926823
NPEPPS,-+++-+,0.06076529565554606,0.14403026791160348,0.48264493966556393,1,0.28806053582320695,0.17967145790554415,0.17184737352421148,0.34369474704842295
KPNB1,++++--,0.11683839016207653,0.13203430343844888,0.9509744989811323,1,0.26406860687689776,0.16666666666666666,0.1606684537728854,0.3213369075457708
TBKBP1,+--++-,0.04694817512142494,0.7156985871356194,0.11821350299783495,-1,0.2364270059956699,0.14966063993612047,0.1472165183664157,0.2944330367328314
TBX21,-+--+-,0.06780034785200456,0.16190361279193718,0.28220326650051886,1,0.32380722558387437,0.19826602783481634,0.18770318827354132,0.37540637654708264
OSBPL7,+-+++-,0.45778410073884224,0.7219335759286899,0.6139630231434685,-1,1.227926046286937,0.5099526606969714,0.46383755418663014,0.9276751083732603
MRPL10,+++++-,0.11208274608875081,0.4237291729234747,0.5422029850601839,1,0.8474583458469493,0.4238535249828884,0.37956995380140307,0.7591399076028061
LRRC46,-+--+-,0.0638547732604962,0.8397505520221388,0.2270132414219478,-1,0.4540264828438956,0.265157132264872,0.24287018024184348,0.48574036048368696
SCRN2,+--++-,0.24579835917504958,0.6183915997980384,0.37436794776391996,-1,0.7487358955278399,0.3885244966634347,0.3481063198722336,0.6962126397444672
SP6,+++-++,0.06363209757876612,0.10721606563406565,0.903486368833014,1,0.2144321312681313,0.13734884782112708,0.13585809616152397,0.27171619232304794
SP2,++++--,0.16074699685427568,0.05853758890528337,0.9939125359932073,1,0.11707517781056674,0.07734428473648186,0.08583813380482519,0.15468856947296372
PNPO,++++-+,0.05448555706089576,0.11148067736079144,0.8977380186989223,1,0.22296135472158288,0.1430527036276523,0.14042092054982033,0.28084184109964067
PRR15L,++-++-,0.5150431004456705,0.7177962061583796,0.7255836085739327,1,1.4355924123167592,0.5243554642938627,0.47521816004106543,0.9504363200821309
CDK5RAP3,----+-,0.058047937540169646,0.9071987289536467,0.043833608331374285,-1,0.08766721666274857,0.0577767638168026,0.06867442391056354,0.1155535276336052
COPZ2,---++-,0.024782716476913148,0.9841318552558866,0.01800515716151269,-1,0.03601031432302538,0.023042263160896595,0.033994980606890254,0.04608452632179319
NFE2L1,++++--,0.20407563288623387,0.12256003746405222,0.8707132431319549,1,0.24512007492810445,0.15514487793748574,0.15194205213026862,0.30388410426053725
CBX1,-++++-,0.11712925111137215,0.7121420144198676,0.4254394695003005,-1,0.850878939000601,0.4251981976843666,0.38044718229523156,0.7608943645904631
SNX11,++++--,0.01525290515866228,0.2088539706838547,0.41812387725468775,1,0.4177079413677094,0.24612137805156287,0.22665830148862146,0.4533166029772429
SKAP1,+-+++-,0.04608886995567144,0.1199569512083137,0.5589662084334065,1,0.2399139024166274,0.15189368012776636,0.14920435749729083,0.29840871499458166
HOXB1,--+++-,0.22021455586416805,0.738293448287823,0.3167288143120569,-1,0.6334576286241138,0.34369474704842295,0.3094341775039927,0.6188683550079854
HOXB2,-+-+++,0.08908558280042146,0.9119414697109687,0.047254461598962336,-1,0.09450892319792467,0.06216848229053784,0.07232489162673968,0.12433696458107568
HOXB3,---+++,0.07284473809206933,0.9959205494419651,0.038327097002023844,-1,0.07665419400404769,0.0500769976615525,0.06188683550079854,0.100153995323105
