gene_symbol,sex,nAcc_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
DNAJC19P2,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
DNAJC19P3,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
DNAJC19P4,male,+,0.04079429275727432,0.02039714637863716,0.9796028536213629,1,0.04079429275727432
DNAJC19P5,male,+,0.966239421546871,0.4831197107734355,0.5168802892265645,1,0.966239421546871
DNAJC19P6,male,-,0.04794963291693907,0.97602518354153045,0.023974816458469536,-1,0.04794963291693907
DNAJC19P7,male,+,0.8749374049966913,0.43746870249834563,0.5625312975016543,1,0.8749374049966913
DNAJC19P8,male,+,0.8826846873951744,0.4413423436975872,0.5586576563024128,1,0.8826846873951744
DNAJC19P9,male,+,0.6047132665541044,0.3023566332770522,0.6976433667229478,1,0.6047132665541044
DNAJC2,male,+,0.4979004948168477,0.24895024740842386,0.7510497525915761,1,0.4979004948168477
DNAJC21,male,+,0.43800115252028193,0.21900057626014097,0.780999423739859,1,0.43800115252028193
DNAJC22,male,+,0.8716657595879664,0.4358328797939832,0.5641671202060168,1,0.8716657595879664
DNAJC24,male,-,0.3823191297356281,0.808840435132186,0.19115956486781405,-1,0.3823191297356281
DNAJC25,male,-,0.9653785870443632,0.5173107064778184,0.4826892935221816,-1,0.9653785870443632
DNAJC25-GNG10,male,+,0.3250856434372419,0.16254282171862094,0.8374571782813791,1,0.3250856434372419
DNAJC27,male,-,0.24509827563851078,0.8774508621807446,0.12254913781925539,-1,0.24509827563851078
DNAJC28,male,+,0.3059519414243789,0.15297597071218946,0.8470240292878105,1,0.3059519414243789
DNAJC3,male,-,0.16656309649562143,0.9167184517521894,0.08328154824781071,-1,0.16656309649562143
DNAJC30,male,+,0.5352630362306328,0.2676315181153164,0.7323684818846836,1,0.5352630362306328
DNAJC4,male,+,0.018115608462850485,0.009057804231425243,0.9909421957685748,1,0.018115608462850485
DNAJC5,male,-,0.2551489117872424,0.8724255441063788,0.1275744558936212,-1,0.2551489117872424
DNAJC5B,male,+,0.40936006089025023,0.20468003044512512,0.7953199695548749,1,0.40936006089025023
DNAJC5G,male,+,0.7168426953921005,0.3584213476960503,0.6415786523039497,1,0.7168426953921005
DNAJC6,male,-,0.08697291891516619,0.9565135405424169,0.043486459457583095,-1,0.08697291891516619
DNAJC7,male,-,0.8754185619809915,0.5622907190095042,0.4377092809904958,-1,0.8754185619809915
DNAJC8,male,+,0.2464723531397346,0.1232361765698673,0.8767638234301327,1,0.2464723531397346
DNAJC8P1,male,-,0.47545233405800635,0.7622738329709968,0.23772616702900318,-1,0.47545233405800635
DNAJC9,male,-,0.8652472503925603,0.5673763748037198,0.43262362519628017,-1,0.8652472503925603
DNAL1,male,+,0.9190855001159312,0.4595427500579656,0.5404572499420344,1,0.9190855001159312
DNAL4,male,+,0.5466732806995382,0.2733366403497691,0.7266633596502309,1,0.5466732806995382
DNALI1,male,+,0.9362488978731309,0.46812444893656546,0.5318755510634345,1,0.9362488978731309
DNASE1,male,+,0.08940067247595801,0.044700336237979005,0.955299663762021,1,0.08940067247595801
DNASE1L1,male,+,0.9848423896038688,0.4924211948019344,0.5075788051980656,1,0.9848423896038688
DNASE1L2,male,+,0.9249669462216525,0.46248347311082627,0.5375165268891737,1,0.9249669462216525
DNASE1L3,male,+,0.3093017659890632,0.1546508829945316,0.8453491170054683,1,0.3093017659890632
DNASE2,male,+,0.5842662634371367,0.29213313171856836,0.7078668682814316,1,0.5842662634371367
DNASE2B,male,-,0.19376843368734853,0.9031157831563257,0.09688421684367426,-1,0.19376843368734853
DND1,male,-,0.9454143189012086,0.5272928405493957,0.4727071594506043,-1,0.9454143189012086
DND1P1,male,+,0.9667175805920956,0.4833587902960478,0.5166412097039522,1,0.9667175805920956
DNER,male,-,0.45343220429495235,0.7732838978525238,0.22671610214747617,-1,0.45343220429495235
DNHD1,male,+,0.887956195595579,0.4439780977977895,0.5560219022022105,1,0.887956195595579
DNLZ,male,+,0.4354873204946347,0.21774366024731734,0.7822563397526827,1,0.4354873204946347
DNM1,male,-,0.5920182220382326,0.7039908889808837,0.2960091110191163,-1,0.5920182220382326
DNM1L,male,-,0.060019416600366436,0.9699902916998168,0.030009708300183218,-1,0.060019416600366436
DNM1P17,male,-,0.7781247604913921,0.6109376197543039,0.38906238024569606,-1,0.7781247604913921
DNM1P24,male,-,0.2332734919828098,0.8833632540085952,0.1166367459914049,-1,0.2332734919828098
DNM1P28,male,-,0.7001203401136868,0.6499398299431566,0.3500601700568434,-1,0.7001203401136868
DNM1P30,male,+,0.4759782655223682,0.2379891327611841,0.762010867238816,1,0.4759782655223682
DNM1P31,male,-,0.7339807536286109,0.6330096231856945,0.36699037681430546,-1,0.7339807536286109
DNM1P32,male,-,0.5412725259268458,0.7293637370365771,0.2706362629634229,-1,0.5412725259268458
DNM1P33,male,+,0.898284008050855,0.4491420040254275,0.5508579959745725,1,0.898284008050855
DNM1P34,male,+,0.6389980404000044,0.3194990202000022,0.6805009797999978,1,0.6389980404000044
DNM1P38,male,+,0.8397627231144505,0.4198813615572253,0.5801186384427748,1,0.8397627231144505
DNM1P46,male,+,0.1558506172274392,0.0779253086137196,0.9220746913862804,1,0.1558506172274392
DNM1P47,male,+,0.47822078398569035,0.23911039199284517,0.7608896080071548,1,0.47822078398569035
DNM1P48,male,+,0.42760058932358547,0.21380029466179273,0.7861997053382073,1,0.42760058932358547
DNM1P49,male,+,0.9760890994615334,0.4880445497307667,0.5119554502692333,1,0.9760890994615334
DNM1P50,male,-,0.2501725694698219,0.874913715265089,0.12508628473491096,-1,0.2501725694698219
DNM1P51,male,-,0.44694669333977666,0.7765266533301116,0.22347334666988833,-1,0.44694669333977666
DNM2,male,+,0.6006343221975459,0.30031716109877293,0.6996828389012271,1,0.6006343221975459
DNM3,male,-,0.07961553045085203,0.960192234774574,0.03980776522542601,-1,0.07961553045085203
DNMBP,male,-,0.24404642276418403,0.877976788617908,0.12202321138209202,-1,0.24404642276418403
DNMT1,male,+,0.43769168579689544,0.21884584289844772,0.7811541571015523,1,0.43769168579689544
DNMT3A,male,-,0.5407543566973141,0.729622821651343,0.27037717834865704,-1,0.5407543566973141
DNMT3B,male,+,0.44837356642665727,0.22418678321332863,0.7758132167866714,1,0.44837356642665727
DNMT3L,male,+,0.2928254291981542,0.1464127145990771,0.8535872854009229,1,0.2928254291981542
DNPEP,male,+,0.785606745345647,0.3928033726728235,0.6071966273271765,1,0.785606745345647
DNPH1,male,+,0.16736022615020738,0.08368011307510369,0.9163198869248963,1,0.16736022615020738
DNTT,male,+,0.34688819696758866,0.17344409848379433,0.8265559015162056,1,0.34688819696758866
DNTTIP1,male,+,0.6581984206759448,0.3290992103379724,0.6709007896620276,1,0.6581984206759448
DNTTIP2,male,+,0.5429629887023298,0.2714814943511649,0.728518505648835,1,0.5429629887023298
DOC2A,male,+,0.34885519071062165,0.17442759535531083,0.8255724046446892,1,0.34885519071062165
DOC2B,male,-,0.5104433435655102,0.7447783282172449,0.2552216717827551,-1,0.5104433435655102
DOC2GP,male,+,0.15101829764050645,0.07550914882025322,0.9244908511797467,1,0.15101829764050645
DOCK1,male,-,0.7542397830812237,0.6228801084593881,0.3771198915406119,-1,0.7542397830812237
DOCK10,male,-,0.2472887731198807,0.8763556134400596,0.12364438655994035,-1,0.2472887731198807
DOCK11,male,-,0.06861943967925307,0.9656902801603734,0.03430971983962654,-1,0.06861943967925307
DOCK11P1,male,+,0.799719453490211,0.3998597267451055,0.6001402732548945,1,0.799719453490211
DOCK2,male,+,0.45908019810989,0.229540099054945,0.770459900945055,1,0.45908019810989
DOCK3,male,-,0.0943880151729119,0.952805992413544,0.04719400758645595,-1,0.0943880151729119
DOCK4,male,-,0.028699286803046647,0.9856503565984767,0.014349643401523324,-1,0.028699286803046647
DOCK5,male,-,0.8423749263481771,0.5788125368259114,0.42118746317408856,-1,0.8423749263481771
DOCK6,male,+,0.039588193115218065,0.019794096557609032,0.9802059034423909,1,0.039588193115218065
DOCK7,male,-,0.7423922996623548,0.6288038501688227,0.3711961498311774,-1,0.7423922996623548
DOCK8,male,+,0.004488122142989972,0.002244061071494986,0.997755938928505,1,0.004488122142989972
DOCK9,male,-,0.4725185651880651,0.7637407174059674,0.23625928259403256,-1,0.4725185651880651
DOHH,male,+,0.11161802427159029,0.055809012135795144,0.9441909878642049,1,0.11161802427159029
DOK1,male,+,0.06952250108147864,0.03476125054073932,0.9652387494592607,1,0.06952250108147864
DOK2,male,+,0.5035049143610446,0.2517524571805223,0.7482475428194777,1,0.5035049143610446
DOK3,male,+,0.7331386838035041,0.36656934190175205,0.633430658098248,1,0.7331386838035041
DOK4,male,+,0.9595417026215889,0.47977085131079444,0.5202291486892056,1,0.9595417026215889
DOK5,male,-,0.4618544883404926,0.7690727558297537,0.2309272441702463,-1,0.4618544883404926
DOK6,male,-,0.30176051235078905,0.8491197438246054,0.15088025617539452,-1,0.30176051235078905
DOK7,male,+,0.3874493553678078,0.1937246776839039,0.8062753223160961,1,0.3874493553678078
DOLK,male,-,0.5186273096562111,0.7406863451718945,0.25931365482810553,-1,0.5186273096562111
DOLPP1,male,-,0.677506728838527,0.6612466355807365,0.3387533644192635,-1,0.677506728838527
DONSON,male,-,0.5032383730185142,0.7483808134907429,0.2516191865092571,-1,0.5032383730185142
DOPEY1,male,-,0.03993026059420696,0.9800348697028965,0.01996513029710348,-1,0.03993026059420696
DOPEY2,male,-,0.5481653535028244,0.7259173232485878,0.2740826767514122,-1,0.5481653535028244
DOT1L,male,+,0.42399665944722775,0.21199832972361388,0.7880016702763861,1,0.42399665944722775
DPAGT1,male,-,0.5270829459543138,0.7364585270228431,0.2635414729771569,-1,0.5270829459543138
DPCD,male,+,0.3147989175674501,0.15739945878372505,0.8426005412162749,1,0.3147989175674501
DPCR1,male,+,0.9799921127313389,0.48999605636566945,0.5100039436343305,1,0.9799921127313389
DPEP1,male,+,0.8232148479270628,0.4116074239635314,0.5883925760364686,1,0.8232148479270628
DPEP2,male,+,0.007092015934311431,0.0035460079671557156,0.9964539920328443,1,0.007092015934311431
DPEP3,male,-,0.7762984739260678,0.6118507630369661,0.3881492369630339,-1,0.7762984739260678
DPF1,male,+,0.5139157428082912,0.2569578714041456,0.7430421285958544,1,0.5139157428082912
DPF2,male,-,0.5185689111082474,0.7407155444458763,0.2592844555541237,-1,0.5185689111082474
DPF3,male,+,0.376227874283957,0.1881139371419785,0.8118860628580216,1,0.376227874283957
DPH1,male,+,0.7259206484793326,0.3629603242396663,0.6370396757603337,1,0.7259206484793326
DPH2,male,-,0.8932764025723465,0.5533617987138267,0.44663820128617326,-1,0.8932764025723465
DPH3,male,-,0.5762485874735517,0.7118757062632242,0.28812429373677584,-1,0.5762485874735517
DPH3P1,male,+,0.07070705856360845,0.03535352928180423,0.9646464707181958,1,0.07070705856360845
DPH3P2,male,-,0.6172686688106249,0.6913656655946876,0.30863433440531246,-1,0.6172686688106249
DPH5,male,-,0.16892283172558117,0.9155385841372093,0.08446141586279059,-1,0.16892283172558117
DPH6,male,+,0.8523182644226016,0.4261591322113008,0.5738408677886992,1,0.8523182644226016
DPH7,male,+,0.4789111903388519,0.23945559516942594,0.7605444048305741,1,0.4789111903388519
DPM1,male,+,0.650479238661694,0.325239619330847,0.674760380669153,1,0.650479238661694
DPM2,male,+,0.2987720899942389,0.14938604499711944,0.8506139550028806,1,0.2987720899942389
DPM3,male,+,0.12634587592928062,0.06317293796464031,0.9368270620353597,1,0.12634587592928062
DPP10,male,+,0.9130114495743182,0.4565057247871591,0.5434942752128409,1,0.9130114495743182
DPP3,male,+,0.5229420862967598,0.2614710431483799,0.7385289568516201,1,0.5229420862967598
DPP3P1,male,-,0.7223872462264421,0.6388063768867789,0.36119362311322106,-1,0.7223872462264421
DPP3P2,male,-,0.48056029173021564,0.7597198541348922,0.24028014586510782,-1,0.48056029173021564
DPP4,male,+,0.7771767577543327,0.38858837887716635,0.6114116211228336,1,0.7771767577543327
DPP6,male,-,0.7621683023166357,0.6189158488416822,0.38108415115831784,-1,0.7621683023166357
DPP7,male,+,0.3397788523328581,0.16988942616642905,0.830110573833571,1,0.3397788523328581
DPP8,male,-,0.3059058760877372,0.8470470619561314,0.1529529380438686,-1,0.3059058760877372
DPP9,male,+,0.41534238505709187,0.20767119252854593,0.7923288074714541,1,0.41534238505709187
DPPA2,male,-,0.30623626309064966,0.8468818684546752,0.15311813154532483,-1,0.30623626309064966
DPPA2P1,male,+,0.7927375560382174,0.3963687780191087,0.6036312219808913,1,0.7927375560382174
DPPA2P2,male,+,0.5703529477056515,0.28517647385282574,0.7148235261471743,1,0.5703529477056515
DPPA2P3,male,-,0.7411313913478508,0.6294343043260746,0.3705656956739254,-1,0.7411313913478508
DPPA2P4,male,+,0.5745487523182772,0.2872743761591386,0.7127256238408615,1,0.5745487523182772
DPPA3,male,-,0.17542058255720036,0.9122897087213998,0.08771029127860018,-1,0.17542058255720036
DPPA3P1,male,-,0.8644417042842885,0.5677791478578558,0.43222085214214423,-1,0.8644417042842885
DPPA3P2,male,+,0.008281896047698733,0.004140948023849366,0.9958590519761507,1,0.008281896047698733
DPPA3P3,male,-,0.7443276085875099,0.627836195706245,0.37216380429375495,-1,0.7443276085875099
DPPA4,male,+,0.05363542104302345,0.026817710521511724,0.9731822894784883,1,0.05363542104302345
DPPA5,male,-,0.9122951900534365,0.5438524049732818,0.45614759502671826,-1,0.9122951900534365
DPPA5P1,male,-,0.2928599956688655,0.8535700021655672,0.14642999783443275,-1,0.2928599956688655
DPPA5P2,male,+,0.8964599253630375,0.44822996268151877,0.5517700373184813,1,0.8964599253630375
DPPA5P4,male,-,0.8128953738233713,0.5935523130883144,0.40644768691168565,-1,0.8128953738233713
DPRX,male,+,0.035830275098600844,0.017915137549300422,0.9820848624506996,1,0.035830275098600844
DPRXP1,male,-,0.8506205589723876,0.5746897205138062,0.4253102794861938,-1,0.8506205589723876
DPRXP2,male,+,0.07336600873203274,0.03668300436601637,0.9633169956339837,1,0.07336600873203274
DPRXP3,male,+,0.9243283473864502,0.4621641736932251,0.5378358263067748,1,0.9243283473864502
DPRXP4,male,+,0.28007885843214914,0.14003942921607457,0.8599605707839254,1,0.28007885843214914
DPRXP5,male,-,0.9860067087280573,0.5069966456359714,0.49300335436402865,-1,0.9860067087280573
DPRXP6,male,+,0.5316592707373216,0.2658296353686608,0.7341703646313392,1,0.5316592707373216
DPRXP7,male,+,0.8468448056754213,0.42342240283771065,0.5765775971622893,1,0.8468448056754213
DPT,male,-,0.9910248243506137,0.5044875878246932,0.49551241217530684,-1,0.9910248243506137
DPY19L1,male,-,0.7003626655110423,0.6498186672444788,0.35018133275552116,-1,0.7003626655110423
DPY19L1P1,male,+,0.4287802857123906,0.2143901428561953,0.7856098571438047,1,0.4287802857123906
DPY19L1P2,male,-,0.6400645649433128,0.6799677175283436,0.3200322824716564,-1,0.6400645649433128
DPY19L2,male,-,0.2212469519693694,0.8893765240153153,0.1106234759846847,-1,0.2212469519693694
DPY19L2P1,male,-,0.14560117010466558,0.9271994149476672,0.07280058505233279,-1,0.14560117010466558
DPY19L2P2,male,-,0.13239214433751212,0.933803927831244,0.06619607216875606,-1,0.13239214433751212
DPY19L2P3,male,-,0.7576488054609523,0.6211755972695239,0.37882440273047613,-1,0.7576488054609523
DPY19L2P4,male,-,0.05420623389143353,0.9728968830542832,0.027103116945716765,-1,0.05420623389143353
DPY19L2P5,male,-,0.5072294103268542,0.7463852948365729,0.2536147051634271,-1,0.5072294103268542
DPY19L3,male,-,0.1801857377112721,0.909907131144364,0.09009286885563605,-1,0.1801857377112721
DPY19L4,male,-,0.5403053372158946,0.7298473313920527,0.2701526686079473,-1,0.5403053372158946
DPY30,male,+,0.2670926738659011,0.13354633693295054,0.8664536630670494,1,0.2670926738659011
DPYD,male,-,0.5872503423555465,0.7063748288222267,0.29362517117777326,-1,0.5872503423555465
DPYS,male,-,0.5405646495679206,0.7297176752160397,0.2702823247839603,-1,0.5405646495679206
DPYSL2,male,-,0.43782835578592194,0.781085822107039,0.21891417789296097,-1,0.43782835578592194
DPYSL3,male,-,0.5334380056259459,0.7332809971870271,0.26671900281297295,-1,0.5334380056259459
DPYSL4,male,+,0.686290500303121,0.3431452501515605,0.6568547498484395,1,0.686290500303121
DPYSL5,male,-,0.17783096129738624,0.9110845193513069,0.08891548064869312,-1,0.17783096129738624
DQX1,male,+,0.508214444389411,0.2541072221947055,0.7458927778052945,1,0.508214444389411
DR1,male,-,0.45075325295639,0.774623373521805,0.225376626478195,-1,0.45075325295639
DRAM1,male,+,0.08010160847233148,0.04005080423616574,0.9599491957638342,1,0.08010160847233148
DRAM2,male,-,0.4686297339605757,0.7656851330197121,0.23431486698028786,-1,0.4686297339605757
DRAP1,male,+,0.15304392048270404,0.07652196024135202,0.923478039758648,1,0.15304392048270404
DRAXIN,male,+,0.6225282284796374,0.3112641142398187,0.6887358857601813,1,0.6225282284796374
DRAXINP1,male,+,0.9482098395019956,0.4741049197509978,0.5258950802490022,1,0.9482098395019956
DRC1,male,+,0.7698031003356886,0.3849015501678443,0.6150984498321557,1,0.7698031003356886
DRC3,male,-,0.8929610072154126,0.5535194963922937,0.4464805036077063,-1,0.8929610072154126
DRC7,male,-,0.862553959347696,0.568723020326152,0.431276979673848,-1,0.862553959347696
DRD1,male,-,0.28998156700279404,0.855009216498603,0.14499078350139702,-1,0.28998156700279404
DRD2,male,-,0.4090819774042278,0.7954590112978861,0.2045409887021139,-1,0.4090819774042278
DRD3,male,-,0.05388578678781844,0.9730571066060908,0.02694289339390922,-1,0.05388578678781844
DRD4,male,+,0.2780436619291475,0.13902183096457374,0.8609781690354262,1,0.2780436619291475
DRD5,male,+,0.8053543097306469,0.40267715486532346,0.5973228451346766,1,0.8053543097306469
DRD5P1,male,+,0.8090489726196762,0.4045244863098381,0.5954755136901619,1,0.8090489726196762
DRD5P2,male,+,0.7310727794029845,0.36553638970149227,0.6344636102985077,1,0.7310727794029845
DRG1,male,-,0.21692838204949727,0.8915358089752514,0.10846419102474864,-1,0.21692838204949727
DRG2,male,+,0.7069517978218711,0.35347589891093556,0.6465241010890644,1,0.7069517978218711
DRGX,male,+,0.23067047622920553,0.11533523811460276,0.8846647618853972,1,0.23067047622920553
DRICH1,male,+,0.18285502942545925,0.09142751471272963,0.9085724852872703,1,0.18285502942545925
DROSHA,male,-,0.052349145594977525,0.9738254272025113,0.026174572797488763,-1,0.052349145594977525
DRP2,male,-,0.2038543123403475,0.8980728438298262,0.10192715617017375,-1,0.2038543123403475
DSC1,male,-,0.3680860254953445,0.8159569872523278,0.18404301274767226,-1,0.3680860254953445
DSC2,male,-,0.6497188073448545,0.6751405963275727,0.32485940367242727,-1,0.6497188073448545
DSC3,male,-,0.9601204066440159,0.5199397966779921,0.48006020332200794,-1,0.9601204066440159
DSCAM,male,-,0.7058320194916947,0.6470839902541526,0.35291600974584736,-1,0.7058320194916947
DSCAML1,male,-,0.5852021325871066,0.7073989337064467,0.2926010662935533,-1,0.5852021325871066
DSCC1,male,+,0.6602796658917637,0.33013983294588184,0.6698601670541182,1,0.6602796658917637
DSCR3,male,-,0.38359841228781266,0.8082007938560937,0.19179920614390633,-1,0.38359841228781266
DSCR4,male,+,0.41215390063799795,0.20607695031899897,0.793923049681001,1,0.41215390063799795
DSCR8,male,-,0.24318446400461177,0.878407767997694,0.12159223200230589,-1,0.24318446400461177
DSE,male,-,0.9412026507321618,0.5293986746339191,0.4706013253660809,-1,0.9412026507321618
DSEL,male,-,0.029509745177555242,0.9852451274112224,0.014754872588777621,-1,0.029509745177555242
DSG1,male,-,0.5319720575040198,0.7340139712479901,0.2659860287520099,-1,0.5319720575040198
DSG2,male,+,0.6256761841081868,0.3128380920540934,0.6871619079459066,1,0.6256761841081868
DSG3,male,+,0.4470881474935311,0.22354407374676555,0.7764559262532345,1,0.4470881474935311
DSG4,male,-,0.8583346887283533,0.5708326556358234,0.42916734436417664,-1,0.8583346887283533
DSN1,male,+,0.9471606002705076,0.4735803001352538,0.5264196998647461,1,0.9471606002705076
DSP,male,-,0.49205905813281126,0.7539704709335944,0.24602952906640563,-1,0.49205905813281126
DSPP,male,+,0.3670354980233853,0.18351774901169265,0.8164822509883074,1,0.3670354980233853
DST,male,-,0.8429762909134966,0.5785118545432517,0.4214881454567483,-1,0.8429762909134966
DSTN,male,+,0.5379539052925542,0.2689769526462771,0.7310230473537229,1,0.5379539052925542
DSTNP1,male,-,0.17584554151776205,0.912077229241119,0.08792277075888102,-1,0.17584554151776205
DSTNP2,male,+,0.22730345556457268,0.11365172778228634,0.8863482722177137,1,0.22730345556457268
DSTNP4,male,+,0.7507060989280098,0.3753530494640049,0.6246469505359951,1,0.7507060989280098
DSTNP5,male,+,0.5403344420328231,0.27016722101641155,0.7298327789835884,1,0.5403344420328231
DSTYK,male,-,0.9425656617389004,0.5287171691305498,0.4712828308694502,-1,0.9425656617389004
DTD1,male,-,0.7583039378730421,0.620848031063479,0.37915196893652103,-1,0.7583039378730421
DTD2,male,-,0.9463028607311564,0.5268485696344218,0.4731514303655782,-1,0.9463028607311564
DTHD1,male,-,0.732269728207721,0.6338651358961396,0.3661348641038605,-1,0.732269728207721
DTL,male,-,0.18874343220767476,0.9056282838961627,0.09437171610383738,-1,0.18874343220767476
DTNA,male,-,0.948747741573557,0.5256261292132215,0.4743738707867785,-1,0.948747741573557
DTNB,male,-,0.15006144201335944,0.9249692789933203,0.07503072100667972,-1,0.15006144201335944
DTNBP1,male,-,0.5230568259074357,0.7384715870462821,0.26152841295371787,-1,0.5230568259074357
DTWD1,male,-,0.04622858129760448,0.9768857093511978,0.02311429064880224,-1,0.04622858129760448
DTWD2,male,-,0.3357352297783035,0.8321323851108482,0.16786761488915175,-1,0.3357352297783035
DTX1,male,-,0.7823518196138269,0.6088240901930866,0.39117590980691347,-1,0.7823518196138269
DTX2,male,+,0.559242420675407,0.2796212103377035,0.7203787896622965,1,0.559242420675407
DTX2P1,male,+,0.8762461308776676,0.4381230654388338,0.5618769345611663,1,0.8762461308776676
DTX3,male,+,0.598487280831421,0.2992436404157105,0.7007563595842895,1,0.598487280831421
DTX3L,male,+,0.11149239495158711,0.055746197475793555,0.9442538025242064,1,0.11149239495158711
DTX4,male,-,0.7684746820713855,0.6157626589643073,0.38423734103569274,-1,0.7684746820713855
DTYMK,male,+,0.08395420940549199,0.041977104702745995,0.9580228952972539,1,0.08395420940549199
DUOX1,male,+,0.12383232800971625,0.061916164004858124,0.9380838359951419,1,0.12383232800971625
DUOX2,male,+,0.49118083739740237,0.24559041869870119,0.7544095813012988,1,0.49118083739740237
DUOXA1,male,+,0.4314649778199344,0.2157324889099672,0.7842675110900328,1,0.4314649778199344
DUOXA2,male,+,0.34032436371899233,0.17016218185949616,0.8298378181405038,1,0.34032436371899233
DUPD1,male,+,0.05410325665746795,0.027051628328733975,0.972948371671266,1,0.05410325665746795
DUS1L,male,+,0.3078710141420418,0.1539355070710209,0.8460644929289791,1,0.3078710141420418
DUS2,male,-,0.8683012165670053,0.5658493917164973,0.43415060828350266,-1,0.8683012165670053
DUS3L,male,+,0.7329830921474361,0.36649154607371803,0.633508453926282,1,0.7329830921474361
DUS4L,male,-,0.12697097492696613,0.936514512536517,0.06348548746348306,-1,0.12697097492696613
DUSP1,male,-,0.3276257546611452,0.8361871226694274,0.1638128773305726,-1,0.3276257546611452
DUSP10,male,-,0.4446569261937108,0.7776715369031446,0.2223284630968554,-1,0.4446569261937108
DUSP11,male,+,0.4205439014617177,0.21027195073085886,0.7897280492691412,1,0.4205439014617177
DUSP12,male,+,0.7680681535940685,0.3840340767970343,0.6159659232029657,1,0.7680681535940685
DUSP12P1,male,-,0.8144201936896267,0.5927899031551866,0.40721009684481335,-1,0.8144201936896267
DUSP13,male,+,0.3202996848399118,0.1601498424199559,0.8398501575800441,1,0.3202996848399118
DUSP14,male,-,0.43121097504251904,0.7843945124787405,0.21560548752125952,-1,0.43121097504251904
DUSP15,male,+,0.18341433741320023,0.09170716870660012,0.9082928312933999,1,0.18341433741320023
DUSP16,male,-,0.23766338940329682,0.8811683052983517,0.11883169470164841,-1,0.23766338940329682
DUSP18,male,+,0.7147260280079747,0.35736301400398734,0.6426369859960126,1,0.7147260280079747
DUSP19,male,-,0.3787531429352027,0.8106234285323987,0.18937657146760134,-1,0.3787531429352027
DUSP2,male,-,0.4588365398495251,0.7705817300752374,0.22941826992476255,-1,0.4588365398495251
DUSP21,male,-,0.4975864459457061,0.7512067770271469,0.24879322297285306,-1,0.4975864459457061
DUSP22,male,+,0.9710067150759271,0.48550335753796353,0.5144966424620365,1,0.9710067150759271
DUSP23,male,+,0.048716774528194985,0.024358387264097493,0.9756416127359024,1,0.048716774528194985
DUSP26,male,+,0.8539610781166345,0.42698053905831723,0.5730194609416828,1,0.8539610781166345
DUSP27,male,+,0.021346250436905606,0.010673125218452803,0.9893268747815471,1,0.021346250436905606
DUSP28,male,+,0.023929194775130568,0.011964597387565284,0.9880354026124347,1,0.023929194775130568
DUSP3,male,-,0.4820547137992365,0.7589726431003818,0.24102735689961824,-1,0.4820547137992365
DUSP4,male,-,0.25010437263020296,0.8749478136848985,0.12505218631510148,-1,0.25010437263020296
DUSP5,male,-,0.12667180551061993,0.93666409724469,0.06333590275530997,-1,0.12667180551061993
DUSP5P1,male,-,0.2711485677762856,0.8644257161118571,0.1355742838881428,-1,0.2711485677762856
DUSP5P2,male,+,0.5530669645313941,0.2765334822656971,0.7234665177343029,1,0.5530669645313941
DUSP6,male,-,0.6185694837855602,0.6907152581072199,0.3092847418927801,-1,0.6185694837855602
DUSP7,male,+,0.777381812563084,0.388690906281542,0.611309093718458,1,0.777381812563084
DUSP8,male,-,0.9341361786642753,0.5329319106678623,0.46706808933213767,-1,0.9341361786642753
DUSP8P3,male,+,0.7397746632363287,0.36988733161816434,0.6301126683818357,1,0.7397746632363287
DUSP8P4,male,+,0.4194030338949051,0.20970151694745254,0.7902984830525475,1,0.4194030338949051
DUSP8P5,male,-,0.5366954316803885,0.7316522841598058,0.26834771584019423,-1,0.5366954316803885
DUSP9,male,-,0.463542518026272,0.768228740986864,0.231771259013136,-1,0.463542518026272
DUT,male,+,0.5229367344815257,0.26146836724076283,0.7385316327592372,1,0.5229367344815257
DUTP1,male,-,0.5057860660390363,0.7471069669804818,0.25289303301951815,-1,0.5057860660390363
DUTP2,male,+,0.44629000667034524,0.22314500333517262,0.7768549966648274,1,0.44629000667034524
DUTP3,male,-,0.29331012423167163,0.8533449378841642,0.14665506211583582,-1,0.29331012423167163
DUTP4,male,+,0.9191677839975836,0.4595838919987918,0.5404161080012082,1,0.9191677839975836
DUTP5,male,+,0.338524470622943,0.1692622353114715,0.8307377646885286,1,0.338524470622943
DUTP6,male,+,0.622236984106189,0.3111184920530945,0.6888815079469055,1,0.622236984106189
DUTP7,male,-,0.036772958182723,0.9816135209086385,0.0183864790913615,-1,0.036772958182723
DUTP8,male,-,0.42327800923132686,0.7883609953843366,0.21163900461566343,-1,0.42327800923132686
DUX4,male,+,0.026117540401049206,0.013058770200524603,0.9869412297994754,1,0.026117540401049206
DUX4L1,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
DUX4L10,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
DUX4L11,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
DUX4L12,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
DUX4L13,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
