gene_symbol,sex,nAcc_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
MTATP8P2,male,+,0.6634604817015874,0.3317302408507937,0.6682697591492063,1,0.6634604817015874
MTBP,male,+,0.2733015251171901,0.13665076255859504,0.8633492374414049,1,0.2733015251171901
MTCH1,male,-,0.3062503700209994,0.8468748149895002,0.1531251850104997,-1,0.3062503700209994
MTCH2,male,-,0.4117712178267132,0.7941143910866434,0.2058856089133566,-1,0.4117712178267132
MTCL1,male,-,0.6811718647952163,0.6594140676023919,0.34058593239760815,-1,0.6811718647952163
MTCL1P1,male,-,0.8304615811427065,0.5847692094286467,0.41523079057135326,-1,0.8304615811427065
MTCO1P1,male,-,0.6796232784844356,0.6601883607577822,0.3398116392422178,-1,0.6796232784844356
MTCO1P11,male,-,0.3109182731299053,0.8445408634350473,0.15545913656495264,-1,0.3109182731299053
MTCO1P12,male,-,0.10548219466246973,0.9472589026687651,0.05274109733123487,-1,0.10548219466246973
MTCO1P14,male,-,0.09538115746494606,0.952309421267527,0.04769057873247303,-1,0.09538115746494606
MTCO1P15,male,+,0.8824142842416562,0.4412071421208281,0.5587928578791719,1,0.8824142842416562
MTCO1P17,male,+,0.4967902002771114,0.2483951001385557,0.7516048998614443,1,0.4967902002771114
MTCO1P18,male,-,0.2100239317229985,0.8949880341385008,0.10501196586149925,-1,0.2100239317229985
MTCO1P19,male,-,0.9462032895846111,0.5268983552076945,0.47310164479230554,-1,0.9462032895846111
MTCO1P2,male,-,0.8977474371005165,0.5511262814497417,0.44887371855025826,-1,0.8977474371005165
MTCO1P20,male,+,0.8868390609693708,0.4434195304846854,0.5565804695153146,1,0.8868390609693708
MTCO1P21,male,-,0.37274937642141104,0.8136253117892944,0.18637468821070552,-1,0.37274937642141104
MTCO1P22,male,+,0.6539021769959426,0.3269510884979713,0.6730489115020287,1,0.6539021769959426
MTCO1P23,male,+,0.6801785030075953,0.34008925150379765,0.6599107484962023,1,0.6801785030075953
MTCO1P24,male,-,0.6325374182794787,0.6837312908602606,0.31626870913973937,-1,0.6325374182794787
MTCO1P25,male,+,0.3563643534323302,0.1781821767161651,0.8218178232838349,1,0.3563643534323302
MTCO1P27,male,-,0.9203239331129435,0.5398380334435282,0.46016196655647174,-1,0.9203239331129435
MTCO1P28,male,-,0.01743557461770581,0.991282212691147,0.008717787308852904,-1,0.01743557461770581
MTCO1P29,male,-,0.38458655731562597,0.807706721342187,0.19229327865781298,-1,0.38458655731562597
MTCO1P3,male,+,0.5230793173489674,0.2615396586744837,0.7384603413255163,1,0.5230793173489674
MTCO1P30,male,-,0.7938703660228835,0.6030648169885582,0.39693518301144176,-1,0.7938703660228835
MTCO1P31,male,-,0.37429221304784044,0.8128538934760798,0.18714610652392022,-1,0.37429221304784044
MTCO1P35,male,+,0.954043423765273,0.4770217118826365,0.5229782881173635,1,0.954043423765273
MTCO1P39,male,+,0.8487470987723651,0.42437354938618255,0.5756264506138175,1,0.8487470987723651
MTCO1P4,male,-,0.9821257731774737,0.5089371134112631,0.49106288658873687,-1,0.9821257731774737
MTCO1P40,male,-,0.6818331518397671,0.6590834240801164,0.34091657591988356,-1,0.6818331518397671
MTCO1P42,male,-,0.23834319570087686,0.8808284021495616,0.11917159785043843,-1,0.23834319570087686
MTCO1P43,male,-,0.7659657176106149,0.6170171411946925,0.38298285880530747,-1,0.7659657176106149
MTCO1P44,male,+,0.7863676567897271,0.39318382839486354,0.6068161716051365,1,0.7863676567897271
MTCO1P45,male,-,0.8559771235629807,0.5720114382185096,0.42798856178149036,-1,0.8559771235629807
MTCO1P46,male,-,0.0032584268569848937,0.9983707865715076,0.0016292134284924468,-1,0.0032584268569848937
MTCO1P47,male,-,0.4554544993613332,0.7722727503193334,0.2277272496806666,-1,0.4554544993613332
MTCO1P48,male,+,0.9465889514140577,0.47329447570702887,0.5267055242929711,1,0.9465889514140577
MTCO1P49,male,+,0.6253502409889533,0.31267512049447665,0.6873248795055233,1,0.6253502409889533
MTCO1P5,male,-,0.3214389034222227,0.8392805482888887,0.16071945171111135,-1,0.3214389034222227
MTCO1P51,male,+,0.8425844287334341,0.42129221436671704,0.578707785633283,1,0.8425844287334341
MTCO1P52,male,+,0.48056851914624477,0.24028425957312238,0.7597157404268776,1,0.48056851914624477
MTCO1P53,male,-,0.5064181976747337,0.7467909011626331,0.25320909883736686,-1,0.5064181976747337
MTCO1P54,male,+,0.6212738025755868,0.3106369012877934,0.6893630987122066,1,0.6212738025755868
MTCO1P55,male,-,0.010655483511325168,0.9946722582443374,0.005327741755662584,-1,0.010655483511325168
MTCO1P56,male,+,0.6449559471256596,0.3224779735628298,0.6775220264371702,1,0.6449559471256596
MTCO1P6,male,+,0.335046042564338,0.167523021282169,0.832476978717831,1,0.335046042564338
MTCO1P7,male,+,0.11334610951919155,0.056673054759595776,0.9433269452404043,1,0.11334610951919155
MTCO1P8,male,-,0.4075016327644535,0.7962491836177732,0.20375081638222675,-1,0.4075016327644535
MTCO1P9,male,+,0.7569670160288516,0.3784835080144258,0.6215164919855742,1,0.7569670160288516
MTCO2P1,male,+,0.8458079448293631,0.42290397241468153,0.5770960275853185,1,0.8458079448293631
MTCO2P11,male,-,0.3322148940729669,0.8338925529635166,0.16610744703648345,-1,0.3322148940729669
MTCO2P12,male,+,0.038072052658348884,0.019036026329174442,0.9809639736708256,1,0.038072052658348884
MTCO2P15,male,-,0.9149154347348329,0.5425422826325835,0.45745771736741647,-1,0.9149154347348329
MTCO2P16,male,-,0.21014537235447436,0.8949273138227628,0.10507268617723718,-1,0.21014537235447436
MTCO2P17,male,-,0.14628364977575153,0.9268581751121242,0.07314182488787577,-1,0.14628364977575153
MTCO2P18,male,+,0.7749307685682065,0.38746538428410326,0.6125346157158967,1,0.7749307685682065
MTCO2P19,male,+,0.7511327477570096,0.3755663738785048,0.6244336261214952,1,0.7511327477570096
MTCO2P2,male,+,0.3912700966496303,0.19563504832481515,0.8043649516751848,1,0.3912700966496303
MTCO2P20,male,-,0.8710355211144033,0.5644822394427984,0.43551776055720165,-1,0.8710355211144033
MTCO2P21,male,-,0.744591125299411,0.6277044373502945,0.3722955626497055,-1,0.744591125299411
MTCO2P22,male,+,0.515459333589489,0.2577296667947445,0.7422703332052555,1,0.515459333589489
MTCO2P23,male,+,0.43255078376329825,0.21627539188164913,0.7837246081183509,1,0.43255078376329825
