gene_symbol,AnCg_nAcc_DLPFC_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
BLVRA,++-,0.13158485798926753,0.1343104358099863,0.4773728725533738,1,0.2686208716199726,0.20978781656399725,0.4540269221994068,0.4195756331279945
BLVRB,++-,0.1538791266492315,0.25275031638367496,0.7747841498396554,1,0.5055006327673499,0.3357859913301392,0.6699749030344513,0.6715719826602784
BLZF1,+++,0.3835186457426243,0.33572067041629217,0.8540982663928611,1,0.6714413408325843,0.40953684690851017,0.7434976043805612,0.8190736938170203
BMF,---,0.38344476294447943,0.9000625149431409,0.2831869425394167,-1,0.5663738850788334,0.8478211270819074,0.31177275838466806,0.6235455167693361
BMI1,--+,0.24612452089973005,0.7428337274088922,0.3564460139973447,-1,0.7128920279946894,0.7168035592060232,0.36892539356605064,0.7378507871321013
BMP1,---,0.24975336843779203,0.9465327615887649,0.15518134723742735,-1,0.3103626944748547,0.8963039014373717,0.20505361624458135,0.4101072324891627
BMP10,--+,0.20779585477328655,0.3465028311552303,0.7144260849874953,1,0.6930056623104606,0.41872005475701574,0.6224617841660963,0.8374401095140315
BMP2,-+-,0.27404635363283064,0.7763209099132035,0.33341774064785845,-1,0.6668354812957169,0.7411019849418207,0.3506160164271047,0.7012320328542094
BMP2K,--+,0.04416328837075381,0.1631582000187133,0.5686597588006128,1,0.3263164000374266,0.24252794889345197,0.5151152178872918,0.48505589778690394
BMP3,+-+,0.03605207300205,0.11645391043169769,0.3269227636571701,1,0.23290782086339537,0.18645904631530916,0.344798083504449,0.3729180926306183
BMP4,++-,0.11738889338078587,0.29571458411602947,0.3615778630284392,1,0.5914291682320589,0.37548482774355463,0.37217659137577,0.74435318275154
BMP5,---,0.004525421561360674,0.9591613831552787,0.007957979823754067,-1,0.015915959647508134,0.91290212183436,0.029603011635865845,0.05920602327173169
BMP6,+++,0.034930868156532215,0.03134840818204922,0.9753429730830239,1,0.06269681636409843,0.05783709787816564,0.9195756331279945,0.11567419575633128
BMP7,---,0.2598058700130179,0.9571988190996301,0.14816073715306985,-1,0.2963214743061397,0.9100501939310974,0.19872233629933836,0.3974446725986767
BMP8A,-+-,0.1625267635534473,0.8387730738728414,0.10643500880151921,-1,0.21287001760303842,0.7926078028747433,0.16107688797627195,0.3221537759525439
BMP8B,---,0.02893504156618206,0.9950047504592324,0.009542276021805554,-1,0.01908455204361111,0.9763860369609856,0.0338238649326945,0.067647729865389
BMPER,+++,0.26048753839731376,0.09418685386091813,0.9815508853678274,1,0.18837370772183626,0.15451745379876797,0.9358316221765913,0.30903490759753593
BMPR1A,+++,0.04495918675651505,0.06135668247831431,0.9462327622401376,1,0.12271336495662861,0.10746064339493498,0.862194843714351,0.21492128678986996
BMPR1B,+-+,0.22654300107392789,0.17920042554087084,0.8715549246018465,1,0.3584008510817417,0.2599817476614191,0.7630618297969427,0.5199634953228383
BMPR2,-++,0.217087815302136,0.22987232942128327,0.7365326974515973,1,0.45974465884256654,0.312000912616929,0.6385466575404973,0.624001825233858
BMS1,-++,0.8049939634721868,0.5695691256679818,0.7188998080573931,1,1.1391382513359636,0.5896075747205111,0.6254848277435546,1
BMT2,--+,0.09715610335680334,0.23801066260074374,0.676498384447746,1,0.4760213252014875,0.32129819758156514,0.5917180013689254,0.6425963951631303
BNC1,--+,0.20981704388107236,0.505473848750171,0.29773435840239654,-1,0.5954687168047931,0.5399269906456765,0.32295231576545746,0.6459046315309149
BNC2,-++,0.22440408502319537,0.7942182794297518,0.31662289976648406,-1,0.6332457995329681,0.7561601642710473,0.33686972393337894,0.6737394478667579
BNIP1,+--,0.7684933731529484,0.7068918894890175,0.5684763470871722,-1,1.1369526941743444,0.6903376682637463,0.51494410221309606,1
BNIP2,-++,0.22704459177908595,0.2939841050827927,0.684128994338099,1,0.5879682101655854,0.37417294090805386,0.5977640885238421,0.7483458818161077
BNIP3,+-+,0.40365075948606427,0.38468337872031777,0.7154198584375957,1,0.7693667574406355,0.4480378736025553,0.6231462468628793,0.8960757472051106
BNIP3L,--+,0.10895294044631268,0.6558043866135298,0.2436300919286654,-1,0.4872601838573308,0.6542322610084417,0.28125712981975814,0.5625142596395163
BNIPL,---,0.028885774262018857,0.9643167475875787,0.007360693530134622,-1,0.014721387060269243,0.9196326716860598,0.028177047684234544,0.05635409536846909
BOC,--+,0.7895252396987953,0.6799000732601675,0.6118625495286993,-1,1.2237250990573987,0.6716290212183436,0.5457449235683322,1
BOD1,-+-,0.37081872745827243,0.8124571750475897,0.36163020651101047,-1,0.7232604130220209,0.7706479580196213,0.3722906684919005,0.744581336983801
BOD1L1,+++,0.5906915829528308,0.45289018434473705,0.8048383632738878,1,0.9057803686894741,0.4998859228838695,0.6950718685831622,0.999771845767739
BOD1L2,-++,0.16823060599080508,0.1921454761075216,0.5050371280562272,1,0.3842909522150432,0.27367100159707963,0.4733629933835273,0.5473420031941593
BOK,---,2.753101830955955e-4,0.9989596295734888,2.1570942109868412e-5,-1,4.3141884219736824e-5,0.9911590234998859,3.992699064567648e-4,7.985398129135296e-4
BOLA1,---,0.2734242262296525,0.925829780637218,0.1757929640799595,-1,0.351585928159919,0.8737166324435318,0.2245037645448323,0.4490075290896646
BOLA3,++-,0.16009775261366038,0.2882031049229322,0.5612150652367973,1,0.5764062098458644,0.36846908510152865,0.5103239790098106,0.7369381702030573
BOLL,+--,0.3662640853333444,0.579132685012999,0.4790568418996338,-1,0.9581136837992676,0.5966803559206023,0.45505361624458135,0.9101072324891627
BOP1,+--,0.008789981528707023,0.537779531999316,0.04762300209127791,-1,0.09524600418255583,0.5643965320556696,0.09377138945927448,0.18754277891854895
BORA,+++,0.34876171365227926,0.2378126769104272,0.9135206647573764,1,0.4756253538208544,0.32089892767510836,0.8134839151266255,0.6417978553502167
BORCS5,-++,0.12185022344245566,0.6156308253039884,0.27887990575245475,-1,0.5577598115049095,0.6244010951403148,0.30817932922655716,0.6163586584531143
