gene_symbol,nAcc.F_nAcc.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
TSPAN9,++,0.1923810968498441,0.370840073792312,0.2910683251412281,-1,0.5821366502824562,0.38609399954369156,0.29962354551676934,0.5992470910335387
TSPEAR,--,0.3308384441980119,0.5254919990134814,0.38562117949394364,-1,0.7712423589878873,0.5128336755646817,0.3812457221081451,0.7624914442162902
TSPO,-+,0.11808066747259412,0.8607666564091195,0.12214203747943186,-1,0.24428407495886373,0.8221537759525439,0.13597992242756102,0.27195984485512203
TSPO2,--,0.32643639156665527,0.2985066976360587,0.7597717705887022,1,0.5970133952721174,0.32745836185261235,0.6852041980378736,0.6549167237052247
TSPOAP1,+-,0.6569206707821652,0.39225644587624275,0.7744155735571085,1,0.7845128917524855,0.40309148984713666,0.6985512206251426,0.8061829796942733
TSPYL1,+-,0.20674680306787147,0.1011392737171019,0.955429853187962,1,0.2022785474342038,0.1385466575404974,0.9213438284280173,0.2770933150809948
TSPYL4,+-,0.04598128783706196,0.03249248823425624,0.967595932643928,1,0.06498497646851248,0.03639060004563085,0.9449007529089665,0.0727812000912617
TSPYL5,+-,0.060613415145790064,0.05070514331387825,0.9446907786185184,1,0.1014102866277565,0.0661076887976272,0.9018366415697011,0.1322153775952544
TSPYL6,--,0.20271361132307572,0.46948741727349136,0.2878188144040395,-1,0.575637628808079,0.4650353639060005,0.2964864248231805,0.592972849646361
TSR1,++,0.501764017900141,0.4575442723336911,0.6159726639232183,1,0.9150885446673822,0.4545973077800593,0.5649098790782568,0.9091946155601186
TSR3,-+,0.17698592047030876,0.9288835287622498,0.11957715191932297,-1,0.23915430383864594,0.9030344512890714,0.13301391740816793,0.26602783481633585
TSSC1,--,0.7143468885765154,0.5405197046067636,0.6124672903732763,1,1.0810394092135271,0.5246976956422542,0.5621149897330595,1
TSSC4,-+,0.1007706184109133,0.9106234235394398,0.09077671241253106,-1,0.18155342482506212,0.8792493725758613,0.10124344056582249,0.20248688113164498
TSSK1B,++,0.5463053362198482,0.48134691435392785,0.6090942225823286,1,0.9626938287078557,0.47433264887063653,0.558806753365275,0.9486652977412731
TSSK2,++,0.82134870380883,0.5843204819523452,0.5869050081629714,1,1.1686409639046904,0.5609742185717546,0.541638147387634,1
TSSK3,-+,0.47491718339161193,0.831204716662103,0.302970570481314,-1,0.605941140962628,0.789812913529546,0.3102897558749715,0.620579511749943
TSSK4,-+,0.5891575253462189,0.7537687284939931,0.40180671843482973,-1,0.8036134368696595,0.7100730093543235,0.39333789641797856,0.7866757928359571
TSSK6,-+,0.19903608102543044,0.8789039919608663,0.1646034269799447,-1,0.3292068539598894,0.8425735797399042,0.1809263061829797,0.3618526123659594
TST,-+,0.17802811200943136,0.9827139259295405,0.05091465446729853,-1,0.10182930893459706,0.9771275382158339,0.05789413643623089,0.11578827287246178
TSTA3,-+,0.4308712222093716,0.7994468739113108,0.31911239353156434,-1,0.6382247870631287,0.7558749714807209,0.32489162673967603,0.6497832534793521
TSTD1,++,0.33086675758527817,0.6717476896995225,0.3398559681878751,-1,0.6797119363757502,0.6353524982888432,0.3422883869495779,0.6845767738991558
TSTD2,--,0.16979029296475323,0.2428368737593067,0.5436200285333437,1,0.4856737475186134,0.2783481633584303,0.506787588409765,0.5566963267168606
TSTD3,-+,0.9449987813800985,0.6200695383467135,0.5724199495178844,-1,1.1448398990357689,0.5921743098334474,0.5305156285649099,1
TTBK1,+-,0.19463242106932024,0.13063689364300324,0.9240059149263227,1,0.2612737872860065,0.1711727127538216,0.8641341546885695,0.3423454255076432
TTBK2,+-,0.40597897391525756,0.2645996775785276,0.8531226341338497,1,0.5291993551570552,0.297513118868355,0.7745836185261237,0.59502623773671
TTC1,++,0.6277113830749543,0.7038384041871041,0.4524467901572844,-1,0.9048935803145688,0.664499201460187,0.43372119552817706,0.8674423910563541
TTC12,+-,0.5258469555418347,0.3702456140828342,0.7721343847559247,1,0.7404912281656684,0.3856947296372348,0.696155601186402,0.7713894592744696
TTC13,+-,0.018937890950736058,0.002397150948041006,0.999323692628226,1,0.004794301896082012,7.415012548482775e-4,0.999771845767739,0.001483002509696555
TTC14,-+,0.27693859980226737,0.8965315220364605,0.18478057385433136,-1,0.3695611477086627,0.8627081907369382,0.2012890714122747,0.4025781428245494
TTC16,++,0.36921858753396075,0.7327516906385161,0.33483761127468,-1,0.66967522254936,0.6903376682637463,0.3381245722108145,0.676249144421629
TTC17,-+,0.8819599211063365,0.657228070418547,0.5328937185489402,-1,1.0657874370978804,0.622632899840292,0.4972621492128679,0.9945242984257358
TTC19,+-,0.43264907538298747,0.23790101843464573,0.881475869638129,1,0.47580203686929146,0.27446954140999313,0.8066963267168606,0.5489390828199863
TTC21A,+-,0.6294818049212385,0.36041550244320203,0.7997501144704857,1,0.7208310048864041,0.3774241387177732,0.7218229523157654,0.7548482774355464
TTC21B,+-,0.014735226422486952,0.018042972573131158,0.9269910163662898,1,0.036085945146262316,0.01597079625827059,0.8688683550079854,0.03194159251654118
TTC22,+-,0.31557039291902184,0.18171457042109676,0.9099705608341921,1,0.3634291408421935,0.22342003194159252,0.842972849646361,0.44684006388318503
TTC23,-+,0.4024243890500129,0.8304568396619537,0.28441131096468536,-1,0.5688226219293707,0.7889573351585671,0.2930070727812001,0.5860141455624002
TTC23L,+-,0.11409714966872024,0.06679387405923515,0.9622596651976445,1,0.1335877481184703,0.0932580424366872,0.9347478895733515,0.1865160848733744
TTC24,+-,0.4906729008526941,0.28460515043328566,0.8503361260518909,1,0.5692103008665713,0.3145676477298654,0.7717316906228611,0.6291352954597308
TTC25,+-,0.18977893016849376,0.16254200385265594,0.873871469012098,1,0.3250840077053119,0.20476842345425508,0.7967716176135067,0.40953684690851017
TTC26,--,0.9373765119928633,0.5856487964513122,0.6058289791511541,1,1.1712975929026244,0.561772758384668,0.5558407483458818,1
TTC27,--,0.11646808571647929,0.18580898191967302,0.5337293080514353,1,0.37161796383934603,0.2279831165868127,0.49794661190965095,0.4559662331736254
TTC28,+-,0.18696570965203949,0.12032435418804388,0.9325221157467086,1,0.24064870837608776,0.15919461556011863,0.8779945242984257,0.31838923112023726
TTC29,+-,0.7329109137099384,0.42536072353523185,0.7501285561844383,1,0.8507214470704637,0.42813141683778233,0.6752224503764545,0.8562628336755647
TTC3,++,0.5888341899149094,0.53321395916905,0.5365214294366824,1,1.0664279183381,0.5187086470454026,0.5009696554871093,1
TTC30A,+-,0.07606084663868759,0.03239150717617762,0.9848736651085732,1,0.06478301435235524,0.03593429158110883,0.9808350444900753,0.07186858316221766
TTC30B,--,0.26058511680961743,0.2472538012134908,0.7882991173611282,1,0.4945076024269816,0.28256901665525896,0.7100730093543235,0.5651380333105179
TTC31,-+,0.3213538376257551,0.8689372959859515,0.22448638153160644,-1,0.4489727630632129,0.8316221765913757,0.24001825233858087,0.48003650467716175
TTC32,+-,0.30983722719906714,0.25994442338406554,0.8136191974574787,1,0.5198888467681311,0.29346338124572213,0.7353981291352955,0.5869267624914443
TTC33,+-,0.017109302534278486,0.011328067691943977,0.9819812798957673,1,0.022656135383887954,0.0069016655258955055,0.9752452657996806,0.013803331051791011
TTC34,++,0.6122176127494241,0.5625319520912503,0.5319046006125355,-1,1.063809201225071,0.5430070727812001,0.4963495322838239,0.9926990645676478
TTC36,+-,0.2521593952603465,0.23019555415901705,0.8129773665447158,1,0.4603911083180341,0.26745379876796715,0.7348847821127082,0.5349075975359343
TTC37,+-,0.21397147178113143,0.13587093134343273,0.9260677961480523,1,0.27174186268686545,0.17659137577002054,0.8679557380789413,0.3531827515400411
TTC38,++,0.18162042628966868,0.5754378451828644,0.24899691004197716,-1,0.4979938200839543,0.5535592060232717,0.262662559890486,0.525325119780972
TTC39A,+-,0.1610989377315516,0.07205694309920554,0.9697097785190787,1,0.1441138861984111,0.1002737850787132,0.9492927218799909,0.2005475701574264
TTC39B,+-,0.3433513585689773,0.1971734386734604,0.9019741522232669,1,0.3943468773469208,0.23767967145790556,0.8325347935204198,0.4753593429158111
TTC39C,+-,0.35205800232643636,0.15164132970857624,0.9346991514548787,1,0.3032826594171525,0.19336071184120465,0.8823294547113849,0.3867214236824093
TTC4,++,0.4480855433954979,0.3883351776737727,0.703914072486035,1,0.7766703553475454,0.40012548482774357,0.635067305498517,0.8002509696554871
TTC5,+-,0.15011268421986304,0.153554816468178,0.8389226288208773,1,0.307109632936356,0.19524298425735798,0.7608943645904631,0.39048596851471595
TTC6,++,0.4418730313781466,0.6637677005757061,0.40583574324088895,-1,0.8116714864817779,0.6286789869952087,0.3964179785535022,0.7928359571070044
TTC7A,-+,0.2773401966766578,0.8657644232389232,0.21022546167701028,-1,0.42045092335402057,0.8279146703171344,0.22718457677389917,0.45436915354779833
TTC7B,+-,0.18568207409454593,0.12061075457889782,0.9316605835485706,1,0.24122150915779564,0.1595938854665754,0.8761692904403376,0.3191877709331508
TTC8,+-,0.165894270097171,0.041519180703143976,0.9864808439423918,1,0.08303836140628795,0.05127766370066165,0.9834588181610769,0.1025553274013233
TTC9,+-,0.04028110958296523,0.0200612560148016,0.9859226116144518,1,0.0401225120296032,0.01808122290668492,0.9824321241159023,0.03616244581336984
TTC9B,++,0.06766048560897327,0.5803683712510971,0.11898465816989372,-1,0.23796931633978743,0.5576089436459046,0.13261464750171115,0.2652292950034223
TTC9C,-+,0.16887916999781422,0.9488664789465245,0.09858455321483714,-1,0.19716910642967428,0.9291010723248916,0.1095710700433493,0.2191421400866986
TTF1,++,0.2860470909381827,0.7271638602053275,0.28969169941412576,-1,0.5793833988282515,0.6845197353410906,0.2980264658909423,0.5960529317818846
TTF2,-+,0.6157410678286823,0.75686970484621785,0.4044550544008169,-1,0.8089101088016338,0.7134382842801734,0.39522016883413186,0.7904403376682637
TTI1,+-,0.026068667357471695,0.031051440434367188,0.9137985497239858,1,0.062102880868734375,0.034223134839151265,0.8484485512206251,0.06844626967830253
TTI2,--,0.05812533875256798,0.11285220300040112,0.48010219083233563,1,0.22570440600080224,0.1508099475245266,0.45539584759297286,0.3016198950490532
TTK,--,0.2827663948525973,0.34516239412295474,0.5400010897148843,1,0.6903247882459095,0.364704540269222,0.5038786219484371,0.729409080538444
TTL,+-,0.5466764174380261,0.29138046775101156,0.8493864607173442,1,0.5827609355020231,0.32124115902349987,0.7705338809034907,0.6424823180469997
TTLL1,+-,0.6126196549566059,0.31808132762646435,0.8316166909057008,1,0.6361626552529287,0.3420602327173169,0.7537645448323066,0.6841204654346338
TTLL10,-+,0.38591092694188867,0.8253011590157687,0.2831785313041625,-1,0.566357062608325,0.78279717088752,0.2921514944102213,0.5843029888204426
TTLL11,-+,0.6689319063770593,0.7060465141798175,0.46039704477912485,-1,0.9207940895582497,0.6661533196440794,0.4397672826830938,0.8795345653661876
TTLL12,++,0.19070082026046026,0.22944946145250786,0.699408161875775,1,0.4588989229050157,0.2665982203969884,0.6316449920146019,0.5331964407939768
TTLL2,++,0.33951468741145624,0.39713594718054557,0.5053124094173742,1,0.7942718943610911,0.40668491900524756,0.47467488021902804,0.8133698380104951
TTLL3,-+,0.18501454880028717,0.9740423924324386,0.06900656633332226,-1,0.13801313266664453,0.965149441022131,0.07808578599133013,0.15617157198266027
TTLL4,-+,0.26629475345881626,0.7990775655533446,0.24530084021066575,-1,0.4906016804213315,0.7553045859000684,0.25924024640657084,0.5184804928131417
TTLL5,++,0.32527070690276344,0.3367908850450632,0.6704765694489194,1,0.6735817700901264,0.35808806753365274,0.606091718001369,0.7161761350673055
TTLL6,++,0.7171370263465111,0.6636063075035175,0.5051077084311236,-1,1.0102154168622473,0.6284508327629478,0.47456080310289755,0.9491216062057951
TTLL7,--,0.5802404348924508,0.6483028128327393,0.47445658765198623,-1,0.9489131753039725,0.614932694501483,0.4508898015058179,0.9017796030116358
TTLL8,+-,0.4201645329748743,0.32554118348764155,0.7857203022218373,1,0.6510823669752831,0.3480492813141684,0.7077914670317135,0.6960985626283368
TTLL9,--,0.8137834055698908,0.6294562457496742,0.5508811284795612,-1,1.1017622569591223,0.5990759753593429,0.5132899840292038,1
TTN,++,0.17469178304706434,0.524445049114136,0.2509415795107165,-1,0.501883159021433,0.5121492128678987,0.2648870636550308,0.5297741273100616
TTPA,-+,0.09784763682543446,0.9593828334888808,0.06254080681183859,-1,0.12508161362367717,0.9443874058863791,0.07038558065252111,0.14077116130504222
TTPAL,++,0.6253376504225108,0.5951153768417505,0.5209547519108225,-1,1.041909503821645,0.5705566963267169,0.4873944786675793,0.9747889573351586
TTR,+-,0.03073125442255618,0.019697065703025634,0.9786086147285754,1,0.03939413140605127,0.01756787588409765,0.9686287930641113,0.0351357517681953
TTYH1,-+,0.08536572993436276,0.9857991566215007,0.03357841967502362,-1,0.06715683935004724,0.9815765457449236,0.035706137348847825,0.07141227469769565
TTYH2,--,0.08166450506106343,0.7671986117690934,0.11266256997480696,-1,0.22532513994961392,0.7233629933835273,0.12616929044033767,0.25233858088067534
TTYH3,+-,0.34805229359894935,0.2180031508611839,0.8842417128743929,1,0.4360063017223678,0.2569016655258955,0.8099475245265799,0.513803331051791
TUB,+-,0.38605283331300533,0.1915733575598506,0.9111736697093824,1,0.3831467151197012,0.23260323979009812,0.8443988135979923,0.46520647958019623
TUBA1A,+-,0.6252954180671109,0.37155096916830666,0.7899497579705214,1,0.7431019383366133,0.38694957791467033,0.7120693588866074,0.7738991558293407
TUBA1B,++,0.3475374646840828,0.40692038330201663,0.4896340444270876,1,0.8138407666040333,0.41398585443759983,0.4625256673511294,0.8279717088751997
TUBA1C,+-,0.7054486526431978,0.4248483453684095,0.7489684985202154,1,0.849696690736819,0.42767510837326034,0.6740246406570842,0.8553502167465207
TUBA3C,-+,0.23189034412833948,0.8056149766764351,0.2218124851884319,-1,0.4436249703768638,0.7617499429614419,0.23710928587725302,0.47421857175450605
TUBA3D,--,0.21254273441708849,0.5511456836096157,0.28272830596581056,-1,0.5654566119316211,0.534166096281086,0.29175222450376453,0.5835044490075291
TUBA3E,--,0.050472815918228525,0.7774715816410407,0.07616567926684938,-1,0.15233135853369875,0.7331736253707506,0.08578599133013917,0.17157198266027834
TUBA4A,+-,0.12472306854510641,0.13856022262380915,0.8264302031764554,1,0.2771204452476183,0.17955738078941363,0.7490303445128907,0.35911476157882727
TUBA8,++,0.20291535843656155,0.2234598610064255,0.7514288120227122,1,0.446919722012851,0.2612936344969199,0.676705452886151,0.5225872689938398
TUBAL3,++,0.8035292983846999,0.5372630613243594,0.6439947504442513,1,1.0745261226487188,0.5220168834131873,0.5847592972849647,1
TUBB,+-,0.09797608592308227,0.06986041325401028,0.9485360293490692,1,0.13972082650802056,0.09713666438512435,0.9089664613278576,0.1942733287702487
TUBB1,--,0.18165082890536216,0.20519890124212006,0.7576732100613561,1,0.4103978024842401,0.24555099247091033,0.6833219256217202,0.49110198494182067
TUBB2A,+-,0.17273030540113357,0.15126611604814635,0.8768546210831475,1,0.3025322320962927,0.19301848049281314,0.8005361624458134,0.3860369609856263
TUBB2B,-+,0.7357410974136558,0.6812565531326275,0.49438669004997193,-1,0.9887733800999439,0.6435090120921743,0.4672598676705453,0.9345197353410906
TUBB3,++,0.37655935959143466,0.3167663144684704,0.7715526467728027,1,0.6335326289369408,0.3408624229979466,0.69569929272188,0.6817248459958932
TUBB4A,+-,0.28949488619630576,0.22807108676405835,0.8481466071690796,1,0.4561421735281167,0.2651722564453571,0.76922199406799,0.5303445128907142
TUBB6,++,0.4230107864631973,0.4589021327155054,0.48931132180040227,1,0.9178042654310108,0.45573807894136437,0.4622404745608031,0.9114761578827287
TUBD1,-+,0.15898042954963876,0.9727576494726947,0.06724046733758396,-1,0.13448093467516792,0.9635523613963038,0.07643166780743783,0.15286333561487567
TUBE1,--,0.14523368314568436,0.24484144761517218,0.2996866622159186,1,0.48968289523034436,0.2804015514487794,0.30755190508783936,0.5608031028975587
TUBG1,++,0.12944348286730142,0.16350763495946433,0.7483162967304772,1,0.32701526991892865,0.20585215605749488,0.6732261008441707,0.41170431211498976
TUBG2,++,0.35987705520449675,0.6807554085605987,0.35382441771843537,-1,0.7076488354368707,0.6432808578599133,0.35335386721423684,0.7067077344284737
