gene_symbol,AnCg_DLPFC_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
TAF1C,++,0.3793951821300994,0.20435505816771105,0.9013971002510733,1,0.4087101163354221
TAF1D,-+,0.40598337437565013,0.7596088219847019,0.3371567011325489,-1,0.6743134022650978
TAF1L,-+,0.39555468301733054,0.37258032426775145,0.683495480364486,1,0.7451606485355029
TAF2,--,0.6648899174744992,0.7414351593084083,0.42767704134650164,-1,0.8553540826930033
TAF3,+-,0.24293600521258005,0.7002282571993821,0.27002969796744924,-1,0.5400593959348985
TAF4,-+,0.45074412787844265,0.627542664062207,0.4267714926762747,-1,0.8535429853525494
TAF4B,++,0.5355422065451121,0.3263117981861896,0.8198657278558839,1,0.6526235963723792
TAF5,--,0.4440147750936265,0.7903073883253121,0.33066870632039874,-1,0.6613374126407975
TAF5L,++,0.46692331730257786,0.3072271888702198,0.8251152930575407,1,0.61445437774043965
TAF6,+-,0.13760573646231974,0.18488497234671347,0.685402759349384,1,0.36976994469342694
TAF6L,+-,0.42039202464245606,0.40838895006061504,0.6323378134702201,1,0.8167779001212301
TAF7,--,0.0700839865163897,0.8598339044380244,0.0828646485249652,-1,0.1657292970499304
TAF8,--,0.8331351574890005,0.6699140939626949,0.5172707415121615,-1,1.034541483024323
TAF9,+-,0.12300485184946085,0.18045771313379338,0.6259447159846135,1,0.36091542626758677
TAGAP,-+,0.5240826379488832,0.4515092857826881,0.6489613008160028,1,0.9030185715653762
TAGLN,--,0.42982140691668314,0.7851538092779986,0.3295345910816996,-1,0.6590691821633992
TAGLN2,+-,0.3681159779582004,0.42827324774842274,0.46338804655151844,1,0.8565464954968455
TAGLN3,+-,0.17026891418793702,0.24166292807979795,0.5535898507417386,1,0.4833258561595959
TAL1,-+,0.45619951687464044,0.7083387862527334,0.3894954385970589,-1,0.7789908771941177
TAL2,--,0.7271015472329492,0.7643492995874966,0.408151911751471,-1,0.816303823502942
TALDO1,--,0.1844332254197624,0.9297669555087107,0.12177963323183254,-1,0.24355926646366508
TAMM41,-+,0.4096275412969812,0.41680001083652063,0.5946075982882918,1,0.8336000216730413
TANC1,--,0.04264932309602401,0.9737134958411945,0.02793040079392742,-1,0.05586080158785484
TANC2,++,0.4614358629921358,0.23159576363977083,0.8880921033869151,1,0.46319152727954166
TANGO2,+-,0.10349077677026373,0.8263962424081894,0.12084225823093687,-1,0.24168451646187375
TANGO6,-+,0.7483740208195807,0.5306017822020137,0.6392079962349089,1,1.0612035644040274
TANK,+-,0.5053192193624807,0.45538009401156887,0.6242689760169136,1,0.9107601880231377
TAOK1,-+,0.4220546735277222,0.4102043596612463,0.6301659153342438,1,0.8204087193224926
TAOK2,+-,0.6956980556675932,0.5834409549348281,0.5523307975151659,-1,1.1046615950303318
TAOK3,--,0.2906802086402367,0.84152455992009,0.23311207116578525,-1,0.4662241423315705
TAP1,+-,0.10577487557884296,0.7888611387973712,0.1321753023823435,-1,0.264350604764687
TAP2,+-,0.503485522987755,0.4586954930229621,0.6152639508315418,1,0.9173909860459242
TAPBP,--,0.6364323721356084,0.8010814707967283,0.35924100670920944,-1,0.7184820134184189
TAPBPL,--,0.3278519911695943,0.9085426685092626,0.1860820646201985,-1,0.372164129240397
TAPT1,+-,0.45452763121525686,0.3643599037979926,0.7483750988557812,1,0.7287198075959852
TARBP1,-+,0.22703810513278389,0.23459578552595234,0.7681277778636469,1,0.4691915710519047
TARBP2,--,0.37107869569441454,0.7791981495632279,0.3096031469657948,-1,0.6192062939315895
TARDBP,+-,0.22844306800659211,0.2387523466195696,0.7598313208297138,1,0.4775046932391392
TARM1,-+,0.37331989487454886,0.47947312236206374,0.4280208052392214,-1,0.8560416104784428
TARS,+-,0.4782189022837994,0.5746878539290321,0.4630150594371237,-1,0.9260301188742474
TARS2,--,0.9642895134633662,0.6177151425976621,0.5751251521015629,-1,1.1502503042031258
TARSL2,--,0.24828764523933244,0.9584926268264279,0.1030157892504337,-1,0.2060315785008674
TAS1R1,-+,0.4208325674315804,0.37056396983530576,0.713328219575897,1,0.7411279396706115
TAS1R2,++,0.1820952902262242,0.050137780659026514,0.9830768829575793,1,0.10027556131805303
TAS1R3,++,0.7064871414643298,0.46695601440211065,0.7066910330044174,1,0.9339120288042213
TAS2R1,--,0.20267999942601592,0.862360614381998,0.17608947579274192,-1,0.35217895158548385
TAS2R13,-+,0.0012403682132721846,0.754198138457826,0.0033738094950205326,-1,0.006747618990041065
TAS2R14,-+,0.1939652807164993,0.2805148608849228,0.4601478786291014,1,0.5610297217698456
TAS2R16,+-,0.03362231488795514,0.08215586908393394,0.1923436732468282,1,0.16431173816786787
TAS2R19,-+,0.0358403043928626,0.08037013296672493,0.3929973765286783,1,0.16074026593344987
TAS2R20,-+,0.04713188518994887,0.08968840471972954,0.5782853316312275,1,0.17937680943945908
TAS2R3,-+,0.14802806162042056,0.5490925926986444,0.21925734209353087,-1,0.43851468418706174
TAS2R30,-+,0.32861063490623255,0.31591408035457996,0.7260858185497872,1,0.6318281607091599
TAS2R31,--,0.4287206266705117,0.7624949891886272,0.3448200219312973,-1,0.6896400438625946
TAS2R38,++,0.46070982623165346,0.2548707437519206,0.87111298501162715,1,0.5097414875038412
TAS2R4,++,0.7938002833021479,0.4799504592151873,0.70381002227429,1,0.9599009184303746
TAS2R40,--,0.005933609469661311,0.9998250679125783,5.119455620259932e-4,-1,0.0010238911240519864
TAS2R41,++,0.5473354752392308,0.3248033969562052,0.8227238850919577,1,0.6496067939124104
TAS2R42,--,0.10308107246602281,0.9462093504562002,0.07384420989720487,-1,0.14768841979440975
TAS2R46,++,0.33158253967825424,0.24530023290258654,0.848157412735744,1,0.4906004658051731
TAS2R5,-+,0.1997323050470373,0.2916319785747284,0.4241772264104164,1,0.5832639571494568
TAS2R50,-+,0.7394983175508143,0.6584310626142419,0.5139231994488356,-1,1.0278463988976712
TAS2R60,-+,0.56360439136581,0.499570848573814,0.5868736439901313,1,0.999141697147628
TAS2R7,-+,0.187569536348878,0.6585344380414249,0.2370751900820868,-1,0.4741503801641736
TAS2R8,++,0.027869143405187164,0.03383426004663445,0.9068521307364406,1,0.0676685200932689
TAS2R9,-+,0.18004130534761845,0.27518866595041674,0.3923722038286771,1,0.5503773319008335
TASP1,++,0.10763598461249088,0.06883837111494659,0.9565643897312436,1,0.13767674222989318
TAT,++,0.3967851489921713,0.2627216715294541,0.8525404861726652,1,0.5254433430589082
TATDN1,-+,0.5851421372411798,0.6227099368316589,0.4906541634039331,-1,0.9813083268078662
TATDN2,++,0.054383230132557484,0.032211840550191335,0.9759966909328425,1,0.06442368110038267
TATDN3,-+,0.27109741022812806,0.250845201189589,0.7934816232492066,1,0.501690402379178
TAX1BP1,--,0.44525740801778857,0.8144343340737701,0.3112870013782002,-1,0.6225740027564004
TAX1BP3,--,0.23955025074010944,0.8843528234169349,0.18035815238206301,-1,0.36071630476412603
TBATA,-+,0.1465773067207,0.23800449211888736,0.38758876076535215,1,0.4760089842377747
TBC1D1,--,0.9319084450690802,0.6344519645726086,0.5576416386962073,-1,1.1152832773924146
TBC1D10A,+-,0.4078458382596444,0.39759027966016375,0.6415601901884008,1,0.7951805593203275
TBC1D10B,+-,0.15686147193283548,0.5805892285644301,0.22348447200797275,-1,0.4469689440159455
TBC1D10C,--,0.08907306798232517,0.9107667783644718,0.08288056027983659,-1,0.16576112055967318
TBC1D12,--,0.1447733732875625,0.9815791888244911,0.05065044810212452,-1,0.10130089620424904
TBC1D13,+-,0.3584252045750612,0.3204686977799022,0.7496930215452082,1,0.6409373955598044
TBC1D14,++,0.1335011283397842,0.07150937236590134,0.96426459898668,1,0.14301874473180268
TBC1D15,--,0.787986672806329,0.7064708748601439,0.4767657275682282,-1,0.9535314551364564
TBC1D16,++,0.26880301880307633,0.23428130276850442,0.8222549502229105,1,0.46856260553700885
TBC1D17,+-,0.37983987990289214,0.6954547116502661,0.35859203641433307,-1,0.7171840728286661
TBC1D19,++,0.3095158467629004,0.2653643675793722,0.8043490999002265,1,0.5307287351587444
TBC1D2,--,0.11419944435032106,0.9178468243210028,0.09575615647492186,-1,0.19151231294984372
TBC1D20,+-,0.23689923373213856,0.2902459701328843,0.6127080245401291,1,0.5804919402657686
TBC1D21,++,0.014912957635760527,0.013290900889871142,0.9659108376561947,1,0.026581801779742283
TBC1D22A,--,0.33855679054540533,0.8298500376831542,0.2618221757713241,-1,0.5236443515426482
TBC1D22B,+-,0.06830691363836511,0.11234449822083867,0.6563235522014927,1,0.22468899644167734
TBC1D23,+-,0.9174981309076999,0.6185706093138308,0.5725483289982327,-1,1.1450966579964654
TBC1D24,--,0.20645704545242557,0.8397562838870579,0.19006287168290886,-1,0.3801257433658177
TBC1D26,-+,0.2749155846328646,0.27939089246300586,0.7350337251883884,1,0.5587817849260117
TBC1D27,--,0.0587905931788013,0.9140622052367018,0.05954180970900337,-1,0.11908361941800674
TBC1D29,--,0.04906512892730735,0.9616662490983736,0.03678428401263252,-1,0.07356856802526504
TBC1D2B,++,0.347025069047987,0.1406415512892597,0.940750328856057,1,0.2812831025785194
TBC1D30,++,0.05340983382485495,0.046072960756652556,0.9444992456838925,1,0.09214592151330511
TBC1D31,--,0.14128773279103782,0.930469550085073,0.10272023325855423,-1,0.20544046651710846
TBC1D32,-+,0.28424674865023,0.6096087753617372,0.32824445121543167,-1,0.6564889024308633
TBC1D3P6,++,0.4573249153804553,0.2793235475676245,0.8500960424403812,1,0.558647095135249
TBC1D4,++,0.03193971060344909,0.01034928141442242,0.9948359554716011,1,0.02069856282884484
TBC1D5,++,0.6662944627253286,0.41911531760604226,0.750260607592669,1,0.8382306352120845
TBC1D7,++,0.6324715243004375,0.4167500590216352,0.7471115701458613,1,0.8335001180432704
TBC1D8,++,0.47644801632493594,0.3335267007541916,0.799130777763061,1,0.6670534015083832
TBC1D9,++,0.34172761856714173,0.18591560039216262,0.9108405274562217,1,0.37183120078432524
TBC1D9B,+-,0.278020609029667,0.3110940766229149,0.6517536284650812,1,0.6221881532458298
TBCA,++,0.729737149127081,0.4748672141718697,0.7020500416833187,1,0.9497344283437394
TBCB,+-,0.31996529797961526,0.5810694800012861,0.36256835666378895,-1,0.7251367133275779
TBCC,+-,0.06186994585359957,0.12973461780231074,0.27627331547552486,1,0.2594692356046215
TBCCD1,--,0.24970763466128845,0.9419056728852375,0.12800138324221744,-1,0.2560027664844349
TBCD,++,0.21829643204579838,0.19484270166581982,0.8438932992392336,1,0.38968540333163965
TBCE,++,0.18034862856047976,0.12913054846232738,0.9184922963256216,1,0.25826109692465476
TBCEL,++,0.5534666256804102,0.31179324762341626,0.8341373676600413,1,0.6235864952468325
TBCK,++,0.0810410063231823,0.07892716582759776,0.9060015429951813,1,0.15785433165519552
TBK1,++,0.6670570079446205,0.38509156740671113,0.7813307502354792,1,0.7701831348134223
TBKBP1,+-,0.4792781258254937,0.44044900584184443,0.6294131951578701,1,0.8808980116836889
TBL1XR1,-+,0.4449488525683447,0.38239111539105436,0.7120682793949976,1,0.7647822307821087
TBL2,+-,0.43356435668992677,0.5940673584190135,0.43092323202188393,-1,0.8618464640437679
TBL3,+-,0.4429348140522317,0.7207555910684095,0.3765493820910746,-1,0.7530987641821492
TBP,--,0.942652482357224,0.6232479653919462,0.5691990539878112,-1,1.1383981079756225
TBPL1,+-,0.6023570121454979,0.44482161074245963,0.7047589570563898,1,0.8896432214849193
TBPL2,--,0.6798692309106183,0.696656792670335,0.47054652713743655,-1,0.9410930542748731
TBR1,++,0.2286471489080796,0.2202666558088475,0.804618729097127,1,0.440533311617695
TBRG1,+-,0.3369793869037908,0.3383907725218384,0.6851181226821693,1,0.6767815450436768
TBRG4,+-,0.15949544677187294,0.31768352189478427,0.2602518347459656,-1,0.5205036694919312
TBX1,++,0.3764733222742571,0.16810082912317928,0.9256865024333775,1,0.33620165824635856
TBX10,--,0.4294398059374571,0.818140182626961,0.30336013279917845,-1,0.6067202655983569
TBX15,+-,0.25541563262106365,0.34314579267432693,0.435626881823259,1,0.6862915853486539
TBX18,+-,0.7753362494563382,0.5715585410492316,0.5899154535501269,1,1.1431170820984633
TBX19,--,0.6199967726224149,0.7805395496416087,0.3813121249446457,-1,0.76262424988929145
TBX2,--,0.9110288976744084,0.6500700137095894,0.5411059453322876,-1,1.0822118906645752
TBX20,++,0.6408768510039121,0.42735792189199023,0.7373353070864294,1,0.8547158437839805
TBX21,--,0.06780034785200456,0.9976373135387931,0.009235338248341893,-1,0.018470676496683786
TBX3,+-,0.7586299301747792,0.5598862817245107,0.6011504404318139,1,1.1197725634490214
TBX4,-+,0.03482405008294675,0.7557336832440544,0.05847431047363588,-1,0.11694862094727176
TBX5,+-,0.34961490214357427,0.4196128907982806,0.44174406864082216,1,0.8392257815965612
TBX6,--,0.2712088203829638,0.8771081249401955,0.19908632997896294,-1,0.3981726599579259
