gene_symbol,nAcc.F_nAcc.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
SLC25A15P5,--,0.3377291036131459,0.9346451567811074,0.15089609160623288,-1,0.30179218321246576
SLC25A16,++,0.521033642940181,0.32078629098315986,0.8227411242418898,1,0.6415725819663197
SLC25A17,+-,0.1724376568758336,0.598176710269356,0.2358451727013709,-1,0.4716903454027418
SLC25A18,-+,0.09137016273142902,0.6261962065732243,0.14441464363636056,-1,0.2888292872727211
SLC25A18P1,--,0.506016440052835,0.831708707460435,0.3084119077818269,-1,0.6168238155636538
SLC25A19,++,0.32999245831295476,0.20898526250652222,0.8882975980597545,1,0.41797052501304444
SLC25A1P1,++,0.3650798220865011,0.2796778158455373,0.8198390937195398,1,0.5593556316910746
SLC25A1P2,-+,0.7282343208665663,0.6630662805549027,0.50792281745168,-1,1.01584563490336
SLC25A1P3,+-,0.5612177780621928,0.45630173395421,0.6670148145374244,1,0.91260346790842
SLC25A1P4,-+,0.5807032280223209,0.42883348648824476,0.7178387661714647,1,0.8576669729764895
SLC25A1P5,--,0.08066040382708123,0.9883585981360162,0.02909919859149696,-1,0.05819839718299392
SLC25A2,-+,0.09091023261940848,0.16996060772659843,0.34542015838346357,1,0.33992121545319687
SLC25A20,-+,0.47289392482484327,0.6863037600103853,0.409115938228011,-1,0.818231876456022
SLC25A20P1,-+,0.4941829315683408,0.7267251232625777,0.39377564295634576,-1,0.7875512859126915
SLC25A21,-+,0.05899449039089513,0.09954757007320805,0.6629420716990712,1,0.1990951401464161
SLC25A22,++,0.031304897062470964,0.04367501091218715,0.8596365142597714,1,0.0873500218243743
SLC25A23,++,0.06444023405421084,0.08187774854829516,0.8390159932685497,1,0.16375549709659032
SLC25A24,+-,0.1570758736796739,0.46781624197942767,0.24051112389171522,-1,0.48102224778343045
SLC25A24P1,++,0.7252979314371648,0.40037081578538536,0.7705483302075575,1,0.8007416315707707
SLC25A24P2,-+,0.36578054788623543,0.6052181579987725,0.3860216582938106,-1,0.7720433165876212
SLC25A25,+-,0.1516336595189709,0.5012027093483108,0.23004990240905915,-1,0.4600998048181183
SLC25A26,++,0.3777773423249037,0.30227660296178976,0.795028098243332,1,0.6045532059235795
SLC25A27,+-,0.38322925232418825,0.7444128693639441,0.33561706112501816,-1,0.6712341222500363
SLC25A28,++,0.6007839016432779,0.31339642353918606,0.834858306502911,1,0.6267928470783721
SLC25A29,+-,0.8186568622674425,0.6037847831049371,0.5716122087692362,-1,1.1432244175384725
SLC25A3,+-,0.37766591572373565,0.42838027696221515,0.4899400445507528,1,0.8567605539244303
SLC25A30,+-,0.535684804813087,0.5928242872026646,0.4841369337697181,-1,0.9682738675394362
SLC25A31,--,0.28470603112679194,0.9423385083440299,0.13325638344979215,-1,0.2665127668995843
SLC25A32,+-,0.07523003097206626,0.66448453289778,0.12009515119822879,-1,0.24019030239645758
SLC25A33,-+,0.13481679663784776,0.33393703594620333,0.22898593660628772,-1,0.45797187321257543
SLC25A34,-+,0.31822610435409565,0.7695205883299413,0.28908600403311957,-1,0.5781720080662391
SLC25A35,++,0.3960055794842433,0.21917794508255525,0.8919137216737907,1,0.4383558901651105
SLC25A36,+-,0.7094159464388532,0.5497551070458627,0.5952948046445271,1,1.0995102140917254
SLC25A36P1,+-,0.09631026597628616,0.6246166997871115,0.1504963172617553,-1,0.3009926345235106
SLC25A37,++,0.30270066736312484,0.26072882108624523,0.8064743589228988,1,0.5214576421724905
SLC25A38,+-,0.34193956129989245,0.4940876907951189,0.40170415260626735,-1,0.8034083052125347
SLC25A38P1,+-,0.08461149832986345,0.14807029991050402,0.5121728564118483,1,0.29614059982100804
SLC25A39,-+,0.0691370348413846,0.10704444982699261,0.710149030991193,1,0.21408889965398523
SLC25A39P1,--,0.15460307999803338,0.9054797566703537,0.12524689530290714,-1,0.2504937906058143
SLC25A39P2,-+,0.35174914432767845,0.720105235067047,0.331725083026569,-1,0.663450166053138
SLC25A3P1,--,0.8839382997460564,0.6482699834362097,0.5419956664806954,-1,1.0839913329613908
SLC25A3P2,--,0.07713565214593776,0.9773739511476218,0.040128108971214556,-1,0.08025621794242911
SLC25A4,+-,0.38888347287463154,0.5957656661719055,0.40380783885417404,-1,0.8076156777083481
SLC25A40,+-,0.08353785046313239,0.35129777434967224,0.15899517004345107,-1,0.31799034008690213
SLC25A41,++,0.1203961513720901,0.11559512307716528,0.882584685189713,1,0.23119024615433056
