gene_symbol,AnCg.F_DLPFC.F_AnCg.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
SMIM6,----,0.11623544603429965,0.9877834363269793,0.03569109284870785,-1,0.0713821856974157,0.01950607425996692,0.0351357517681953,0.03901214851993384
SMIM7,+---,0.4041460982804269,0.77086836305857,0.3292520673505222,-1,0.6585041347010444,0.28426395939086296,0.29066849190052474,0.5685279187817259
SMIM8,++++,0.021995909964327112,0.008408020110294968,0.9940063181591537,1,0.016816040220589936,0.004334930412959161,0.008954542862031598,0.008669860825918321
SMKR1,+-++,0.5093727534146784,0.30073068585041257,0.8389480460410161,1,0.6014613717008251,0.25627424138717775,0.2660696971425312,0.5125484827743555
SMLR1,---+,0.10023800469362118,0.6573312669885114,0.1505143991465977,-1,0.3010287982931954,0.1142987509268237,0.13050422085329683,0.2285975018536474
SMNDC1,-++-,0.3811243411326233,0.18633483433589093,0.9143812885490021,1,0.37266966867178186,0.1447068218115446,0.16312097188159472,0.2894136436230892
SMO,+-+-,0.4794230890901212,0.3837839947893051,0.7334469801791887,1,0.7675679895786102,0.3381245722108145,0.3410711230251526,0.676249144421629
SMOC1,++-+,0.4687008667051772,0.7424977609080547,0.373727086680282,-1,0.747454173360564,0.32715450864084866,0.3321925621720283,0.6543090172816973
SMOC2,--+-,0.10120158101456238,0.902384071872937,0.09448375610929018,-1,0.18896751221858035,0.06462100039924713,0.0836185261236596,0.12924200079849427
SMOX,+++-,0.6573624841095687,0.5178977100986739,0.6207232225228384,1,1.0357954201973478,0.4584188911704312,0.45656761535390405,0.9131352307078081
SMPD1,+-+-,0.6572220921811375,0.7044305150509056,0.45916853447743955,-1,0.9183370689548791,0.40803057092340156,0.41073465662788045,0.8160611418468031
SMPD2,--+-,0.539372688173414,0.4893852920109842,0.5849725197223122,1,0.9787705840219684,0.43588866073465665,0.4352934466434723,0.8705868932869446
