gene_symbol,AnCg.F_DLPFC.F_AnCg.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
ARL16,+---,0.1740351152303781,0.569966468669427,0.4795263523203075,-1,0.959052704640615,0.4427650715793076,0.4302988820442619,0.8605977640885238
ARL2,+-+-,0.046841319904318335,0.4996624010043831,0.2048449052441117,-1,0.4096898104882234,0.20618262704614157,0.2043691535477983,0.4087383070955966
ARL2BP,+++-,0.04290320841986316,0.0892582018905868,0.37023199002069007,1,0.1785164037811736,0.08487337440109514,0.09399418239890492,0.1697467488021903
ARL3,+++-,0.10166103271253674,0.24739267054295522,0.8147202163248892,1,0.49478534108591044,0.24851699749030345,0.24445331660297726,0.4889066332059545
ARL4A,++++,0.00944546109885671,0.00696593613468613,0.4457389325332416,1,0.01393187226937226,0.006445357061373488,0.009467860605714938,0.012890714122746977
ARL4C,+-++,0.09627632484178845,0.8525178290212413,0.13169226299738301,-1,0.26338452599476603,0.13072491872469058,0.13535249828884327,0.26144983744938116
ARL4D,--+-,0.0028408799361372174,0.1930201789147192,0.03249599230099995,-1,0.0649919846019999,0.03125534705983003,0.03627652292950034,0.06251069411966007
ARL5A,++++,0.46694261531555165,0.5832223423907894,0.6836955395818436,1,1.1664446847815788,0.4891626739676021,0.47818399589345806,0.9563679917869161
ARL5B,-+++,0.12790633197343867,0.3819644361245504,0.6734351028685637,1,0.7639288722491008,0.372632899840292,0.3645696686248788,0.7291393372497575
ARL5C,--++,0.04858071643531062,0.947359051695477,0.0804318881155684,-1,0.1608637762311368,0.07654137911367136,0.08441706593657312,0.1530827582273427
ARL6,++++,0.10372029749653075,0.3015309507982409,0.3338063515026506,1,0.6030619015964818,0.3037303216974675,0.29316146694804085,0.5863229338960817
ARL6IP1,++++,0.04555520540240426,0.44344452215428454,0.14916189526953652,-1,0.29832379053907304,0.14960360463126676,0.15309148984713666,0.2992072092625335
ARL6IP4,--+-,0.0028451667318399256,0.8527804301360022,0.014480633003124474,-1,0.02896126600624895,0.01437289682313352,0.017339721651836643,0.02874579364626704
ARL6IP5,-+++,0.04640865433233084,0.6734799409766127,0.16811798157782828,-1,0.33623596315565657,0.16808304340386698,0.17060232717316906,0.33616608680773397
ARL6IP6,---+,0.0566985606929283,0.7034610628044511,0.16943948831191918,-1,0.33887897662383837,0.16950892602520962,0.17168605977640886,0.33901785205041923
ARL8A,+-+-,0.08353223639963836,0.14638231156726883,0.7649268013572802,1,0.29276462313453766,0.1464750171115674,0.15005988707009638,0.2929500342231348
ARL8B,++++,0.056648334415392666,0.08042376209729102,0.6025118800691238,1,0.16084752419458204,0.07648870636550308,0.08441225118348257,0.15297741273100615
ARL9,--++,0.36740394635529683,0.8851184898496799,0.3583028009002183,-1,0.7166056018004366,0.3521930074716249,0.34365731234314395,0.6873146246862879
ARMC1,--++,0.2110310165001454,0.9241595775571787,0.23769229858109367,-1,0.47538459716218734,0.2388068214224605,0.23574036048368696,0.4714807209673739
ARMC10,-+++,0.5115429994167848,0.7005499052171995,0.5787999584797446,-1,1.1575999169594893,0.48782296241373413,0.47684234542550763,0.9536846908510153
ARMC12,-+-+,0.7189648890246538,0.7374999805566567,0.6081767450714282,-1,1.2163534901428563,0.495750869788399,0.4849988592288387,0.9699977184576773
