gene_symbol,Updated_Gene_Names,Ramaker.Gene,Labonte.Gene,Ding.Gene,Match Across Studies?
ZKSCAN4,ZKSCAN4,ZKSCAN4,ZKSCAN4,ZKSCAN4,TRUE
ERBB4,ERBB4,ERBB4,ERBB4,ERBB4,TRUE
ZKSCAN8,ZKSCAN8,ZKSCAN8,ZKSCAN8,unused,FALSE
BTN3A2,BTN3A2,BTN3A2,BTN3A2,BTN3A2,TRUE
PCLO,PCLO,PCLO,PCLO,NA,FALSE
ZSCAN16,ZSCAN16,ZSCAN16,ZSCAN16,unused,FALSE
ZSCAN9,ZSCAN9,ZSCAN9,ZSCAN9,unused,FALSE
TMEM106B,TMEM106B,TMEM106B,TMEM106B,TMEM106B,TRUE
MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,TRUE
OLFM4,OLFM4,OLFM4,OLFM4,unused,FALSE
GRM8,GRM8,GRM8,GRM8,GRM8,TRUE
ZNF165,ZNF165,ZNF165,ZNF165,unused,FALSE
LRFN5,LRFN5,LRFN5,LRFN5,LRFN5,TRUE
HIST1H2BL,HIST1H2BL,HIST1H2BL,HIST1H2BL,NA,FALSE
ZCCHC7,ZCCHC7,ZCCHC7,ZCCHC7,ZCCHC7,TRUE
B3GALTL,B3GLCT,B3GLCT,B3GLCT,B3GALTL,FALSE
BTN2A1,BTN2A1,BTN2A1,BTN2A1,BTN2A1,TRUE
RERE,RERE,RERE,RERE,RERE,TRUE
CDH13,CDH13,CDH13,CDH13,CDH13,TRUE
ASTN2,ASTN2,ASTN2,ASTN2,ASTN2,TRUE
CACNA1E,CACNA1E,CACNA1E,CACNA1E,CACNA1E,TRUE
HLA-B,HLA-B,HLA-B,HLA-B,HLA-B,TRUE
ZSCAN12,ZSCAN12,ZSCAN12,ZSCAN12,unused,FALSE
CHD6,CHD6,CHD6,CHD6,CHD6,TRUE
CTNNA3,CTNNA3,CTNNA3,CTNNA3,unused,FALSE
METTL9,METTL9,METTL9,METTL9,METTL9,TRUE
MEGF11,MEGF11,MEGF11,MEGF11,unused,FALSE
ZSCAN31,ZSCAN31,ZSCAN31,ZSCAN31,ZNF323,FALSE
ZNF197,ZNF197,ZNF197,ZNF197,unused,FALSE
KLC1,KLC1,KLC1,KLC1,KLC1,TRUE
ZNF660,ZNF660,ZNF660,ZNF660,unused,FALSE
SPPL3,SPPL3,SPPL3,SPPL3,NA,FALSE
YLPM1,YLPM1,YLPM1,YLPM1,NA,FALSE
PCDH9,PCDH9,PCDH9,PCDH9,PCDH9,TRUE
ZNF445,ZNF445,ZNF445,ZNF445,ZNF445,TRUE
ZKSCAN7,ZKSCAN7,ZKSCAN7,ZKSCAN7,unused,FALSE
LIN28B,LIN28B,LIN28B,LIN28B,unused,FALSE
FAM172A,FAM172A,FAM172A,FAM172A,NA,FALSE
CELF4,CELF4,CELF4,CELF4,BRUNOL4,FALSE
