gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
PCSK5,---+,0.100230816,0.4657968304448365,0.25409116347361443,-1,0.5081823269472289,0.24684004067993606,0.26429349800217944,0.4936800813598721
RFK,-+--,0.067311916,0.170291791414577,0.4223719353831716,1,0.340583582829154,0.1686887032328369,0.17920964695626906,0.3373774064656738
GCNT1,--+-,0.03391574,0.2387489671445917,0.426580857006779,1,0.4774979342891834,0.23269160915365056,0.24960046491355514,0.4653832183073011
PRUNE2,++++,0.033798636,0.2273812848733292,0.3869635730453737,1,0.4547625697466584,0.22244823828550672,0.23892198169402876,0.44489647657101344
VPS13A,-+--,0.23018988,0.4965772161673609,0.5766007969849991,1,0.9931544323347218,0.43007628042135854,0.46084556152840334,0.8601525608427171
GNA14,----,0.272536997,0.3379850839317321,0.8073482638241425,1,0.6759701678634642,0.32088630584816563,0.3427284614267035,0.6417726116963313
GNAQ,-+--,0.050419278,0.01655966979578118,0.9447321429352156,1,0.03311933959156236,0.01249545949872866,0.014819119569954962,0.02499091899745732
CEP78,+++-,0.085776827,0.06803330281767898,0.932993701655983,1,0.13606660563535797,0.06022520886305848,0.06842946389655673,0.12045041772611696
PSAT1,++-+,0.027004057,0.014340816624978285,0.9586847608156688,1,0.02868163324995657,0.010316018888485289,0.011768124364376,0.020632037776970577
TLE4,--++,0.273425968,0.957378024109484,0.1658597015979175,-1,0.331719403195835,0.16460845561528403,0.17428260079912822,0.32921691123056807
TLE1,+-+-,0.420930649,0.8531313442043784,0.3718719513293584,-1,0.7437439026587168,0.35021066395467093,0.37479113694151833,0.7004213279093419
RASEF,--+-,0.021300179,0.7785222285982087,0.09214175406056753,-1,0.18428350812113506,0.08600900770013076,0.09320741009807483,0.17201801540026151
FRMD3,+-++,0.117231245,0.9313938212230071,0.1413486920428078,-1,0.2826973840856156,0.13918349556879267,0.14914638576098802,0.27836699113758534
