gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
NFATC3,+++-+-++-+++,0.053988757,0.02215297793695827,0.9754127199926287,1,0.04430595587391654
GADD45G,------+++---,0.035517577,0.996978183014711,0.02215706356972253,-1,0.04431412713944506
BBS9,+++---++-+++,0.049662955,0.022158939718577065,0.9809224587543929,1,0.04431787943715413
CASC2,-++-++----+-,0.018959447,0.8449063328835317,0.022161859241206443,-1,0.044323718482412885
IL12RB1,-++-+++-++++,0.045731216,0.022174529159416385,0.9273485273068006,1,0.04434905831883277
IFNAR1,++++++-----+,0.01526316,0.022190488796348485,0.3788900309072605,1,0.04438097759269697
CACNG5,--+------+-+,0.062577287,0.9520526834574539,0.022203783628811518,-1,0.044407567257623036
DLGAP1,-------++---,0.032197785,0.9698455932504485,0.022215719978591654,-1,0.04443143995718331
STRADB,+++++++-----,0.017386075,0.02221782500180626,0.5279821371113704,1,0.04443565000361252
RPL23AP57,---+--++++++,0.016181918,0.02221834171305996,0.9111717272901023,1,0.04443668342611992
SLC3A2,++++++++--++,0.072867346,0.022236729970516195,0.9955309988728707,1,0.04447345994103239
ZBTB45,--+++-+-++-+,2.01396e-4,0.02223731468258643,0.47114769551323465,1,0.04447462936517286
PTGES2,++++--+++++-,0.01958802,0.02228236187457145,0.946040213111157,1,0.0445647237491429
RP11-100M12.2,----+------+,0.075418207,0.9788532309153704,0.02228683886676862,-1,0.04457367773353724
PHF21B,+-----+---++,0.006210897,0.8366985660266333,0.022295124447305147,-1,0.044590248894610295
ZNF33BP1,++++++----++,0.009539101,0.02230434202091332,0.9407508065236617,1,0.04460868404182664
DOCK6,++--+-++++++,0.012440006,0.02230670358482175,0.9504365506918621,1,0.0446134071696435
EID2,++++-+-+++--,0.046636939,0.022308103592803854,0.8720522400566253,1,0.04461620718560771
ALKBH4,++++--+++++-,0.039865281,0.022309939515405587,0.9761276932924603,1,0.044619879030811174
SPDYA,--+-++----+-,0.027396424,0.8402531480900763,0.022311628280116538,-1,0.044623256560233075
AP1S1,++-+-++++++-,0.010315193,0.022320376779826453,0.9832046862586822,1,0.044640753559652906
SCML2P2,+-----+---+-,0.050679151,0.9898200374833631,0.02239563845534,-1,0.04479127691068
MPV17,+-+-+++-+++-,0.059326765,0.022405485461086744,0.959295017885305,1,0.04481097092217349
POLL,+++-+++-++++,0.073492935,0.022409392289716386,0.9935381013823127,1,0.04481878457943277
TEDC1,+++-+-+-++++,0.015452543,0.02241181717504578,0.9752644222100432,1,0.04482363435009156
PPIL3,++++++----+-,0.027635807,0.022429333438915892,0.7999481870512557,1,0.044858666877831785
HOPX,++-+-+++++--,0.018427818,0.022457097861175144,0.5958840670804759,1,0.04491419572235029
MYORG,-----------+,0.044887936,0.9991189331221016,0.022482610851893105,-1,0.04496522170378621
RP11-2J18.1,----+-+---+-,0.052717173,0.9925724519564205,0.02249793703630536,-1,0.04499587407261072
ANKRD44-IT1,----++------,2.94935e-4,0.23502054395514577,0.022498771512115715,-1,0.04499754302423143
JAK1,+++++++-----,6.4064e-4,0.02250509734653514,0.45176658468618097,1,0.04501019469307028
SUV39H2,+-----------,0.004990957,0.9947382080728934,0.022514492363451117,-1,0.045028984726902234
DMAC2L,-+++++-+-+++,0.085042619,0.022518099776884515,0.9849667595596128,1,0.04503619955376903
RN7SL47P,++--------+-,0.026212692,0.9865347651185069,0.02252017946813806,-1,0.04504035893627612
PLP1,++++++---++-,0.036692944,0.022523858552574983,0.8939547985151215,1,0.045047717105149966
EMG1,+++++++++++-,0.032929294,0.02254373220413079,0.9956261050671152,1,0.04508746440826158
HNRNPLP2,---------+++,0.025599257,0.9830188096808833,0.022564140456499047,-1,0.045128280912998094
FBXL18,----+-++++-+,0.008674832,0.4271730136891014,0.022564363327636717,-1,0.045128726655273434
MSRB2,+++--+++++++,0.040212893,0.02256869042874482,0.9915242863315903,1,0.04513738085748964
ENPP7P1,+-----++++-+,0.015722171,0.02258626922763105,0.06312967854450947,1,0.0451725384552621
RP11-286E11.2,++++++----++,6.99684e-4,0.02259954936243239,0.0333718053050269,1,0.04519909872486478
TAS2R6P,-+--++----++,0.005539299,0.6222142059029162,0.02261751393877155,-1,0.0452350278775431
RP11-1017G21.4,++-+++-+++--,0.004581031,0.022622457889305062,0.9564719019297121,1,0.045244915778610124
CLK1,+++-++------,0.011685752,0.8579886494092956,0.022637529717667266,-1,0.04527505943533453
MIR24-2,----------+-,0.030088744,0.9604470927029591,0.022638653744415347,-1,0.045277307488830694
CAVIN1,+++++-++++++,0.110006742,0.022646144520243088,0.9993044668729452,1,0.045292289040486176
RPS20P22,-----++-----,0.040296199,0.9903783663354611,0.022658202369569627,-1,0.045316404739139254
TIGD7,++++++++-+++,0.009563335,0.022676721864763855,0.9948370404423906,1,0.04535344372952771
CA4,----+-++++--,0.013660504,0.28662935639368686,0.02268109024439317,-1,0.04536218048878634
TCEAL9,+--+++------,0.048103464,0.8278287896601028,0.02268314204862911,-1,0.04536628409725822
KDM2A,---------++-,0.0777173,0.9930658748007343,0.02268746791937048,-1,0.04537493583874096
LINC01561,+++++++---+-,0.025584838,0.022740343536697544,0.9616442399020585,1,0.04548068707339509
STC2,+-++++------,0.018903067,0.742538193931111,0.02275433039015451,-1,0.04550866078030902
LRRC63,++++++----++,0.017283517,0.022761987014022104,0.7141912780151694,1,0.04552397402804421
PLOD2,+++-++------,0.01557003,0.4980981482791158,0.02278490988145126,-1,0.04556981976290252
DGKQ,-----+++++++,0.001684276,0.02280045039234179,0.8452558287921625,1,0.04560090078468358
VPS33B,++++-++++++-,0.076222703,0.02280076053827545,0.9970691788769506,1,0.0456015210765509
HRAS,++++-+-+++++,0.015527613,0.022812772497837665,0.997381210505753,1,0.04562554499567533
KIAA0408,++--+++---++,0.004047671,0.6918696301996572,0.0228211363952297,-1,0.0456422727904594
TMEM186,+++--+++++-+,0.097759585,0.02282528409258357,0.979610962407659,1,0.04565056818516714
RAB30,++++++-----+,0.012157444,0.7807729723514729,0.02282564084629028,-1,0.04565128169258056
CYP4F3,+++++++--++-,0.044148896,0.022832272279206103,0.9919484300942898,1,0.04566454455841221
WDHD1,+++++++---+-,0.030929635,0.022836427701551254,0.8099257686703644,1,0.04567285540310251
OXLD1,++++-++-++--,0.064447967,0.022856484667983505,0.9887992612245678,1,0.04571296933596701
RP11-252I14.1,++--++++-+++,0.048322131,0.022893459952279312,0.9819334221986248,1,0.045786919904558625
GS1-124K5.12,----+-+-++++,0.023631117,0.48626681846778536,0.022913344570009826,-1,0.04582668914001965
JARID2,------+--+-+,0.08007845,0.9887795122480025,0.022924418096118785,-1,0.04584883619223757
CCDC24,+-+---++++++,0.030253492,0.02294937617668824,0.6936996941256485,1,0.04589875235337648
CORO1B,++++++-+++++,0.087853194,0.0229728236091576,0.9985388109294381,1,0.0459456472183152
ST3GAL5-AS1,++++++---+++,0.01094287,0.02297712238225794,0.5394616819016524,1,0.04595424476451588
MYADML2,-++++-++++++,0.019563103,0.022982456364379934,0.9872926114778517,1,0.04596491272875987
METTL6,+++--++++++-,0.065211488,0.022986044229925732,0.9977325290510181,1,0.045972088459851464
ATP5F1E,++---++++++-,0.054373913,0.023013798124294826,0.981758105952916,1,0.04602759624858965
CNPY1,-++-+++---++,0.00403332,0.023019175524620687,0.724150638809905,1,0.04603835104924137
DCAF4L1,-+--+-----+-,0.023997483,0.9775109095252028,0.02302359496058728,-1,0.04604718992117456
WDR5B,++++++------,0.045988346,0.02302429111750582,0.6743096974282907,1,0.04604858223501164
ADNP2,-------+--+-,0.037939378,0.9992032470628693,0.023041552895853717,-1,0.046083105791707435
SLC22A10,------+++--+,0.03109854,0.4686560790333602,0.023046114540189625,-1,0.04609222908037925
RP11-61E11.2,-+----------,0.011631942,0.991721106651998,0.02304844060414345,-1,0.0460968812082869
FAM171B,++++-+------,0.009590907,0.566549252876254,0.023065285807918844,-1,0.04613057161583769
ZXDA,++++++------,0.001852783,0.023085224077907404,0.24505563913811668,1,0.04617044815581481
CSNK1G2,-+--+-++++-+,0.007327559,0.02308773220309454,0.6357837544895855,1,0.04617546440618908
GPKOW,+++--+++++++,0.053832203,0.023094226519252258,0.9843642709946031,1,0.046188453038504516
ADAMTS4,++++++---+++,0.019784139,0.02309834614638089,0.701458782966458,1,0.04619669229276178
IFI27,+++++-++++++,0.145783128,0.02310181673547571,0.9981400244199576,1,0.04620363347095142
