gene_symbol,male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
RPL36,++++++,2.28312e-4,5.57119232591679e-7,0.9999514090761277,1,1.114238465183358e-6,0.0012350163458045768,0.989248092989466,0.0024700326916091537
CHCHD10,++++-+,7.98659e-4,5.734474645273884e-7,0.9997356788585531,1,1.1468949290547769e-6,0.0013076643661460226,0.9757355612059572,0.0026153287322920452
PILRB,++++++,0.002967031,6.066249476798907e-7,0.999999967542125,1,1.2132498953597814e-6,0.0013803123864874682,0.9998547039593171,0.0027606247729749364
NDUFB9,++++++,0.001398063,6.572729388800291e-7,0.9999546557756706,1,1.3145458777600583e-6,0.001452960406828914,0.9895386850708319,0.002905920813657828
RPL7A,++++++,1.14484e-4,7.178132240632783e-7,0.9993176877930949,1,1.4356264481265565e-6,0.0015256084271703595,0.9620050853614239,0.003051216854340719
FAU,++++++,1.41275e-4,7.406461760004028e-7,0.9999988529288466,1,1.4812923520008056e-6,0.0015982564475118053,0.9983290955321468,0.0031965128950236107
FKBP8,-+++++,4.35437e-6,7.644601727184458e-7,0.9976248069436422,1,1.5289203454368916e-6,0.001670904467853251,0.9342535415909916,0.003341808935706502
ELOF1,++++++,9.19193e-5,7.68244671433302e-7,0.9997627705588411,1,1.536489342866604e-6,0.0017435524881946967,0.9769705775517618,0.0034871049763893934
DEAF1,++++++,0.001223482,8.560408862177689e-7,0.9999455453094261,1,1.7120817724355378e-6,0.0018162005085361425,0.9888848528877588,0.003632401017072285
STK17A,-----+,0.002774788,0.9853672635099611,9.219154533251244e-7,-1,1.843830906650249e-6,0.907737014166364,7.26480203414457e-4,0.001452960406828914
RPS14,++++++,1.74313e-4,9.265154899830329e-7,0.999983419260374,1,1.8530309799660658e-6,0.001888848528877588,0.9938975662913185,0.003777697057755176
MRPL21,++++++,6.72138e-4,9.36228591951123e-7,0.9999998552491874,1,1.872457183902246e-6,0.0019614965492190336,0.9990555757355613,0.003922993098438067
EHBP1L1,++++++,0.006129588,9.730102092500248e-7,0.9999999083581602,1,1.9460204185000495e-6,0.0020341445695604794,0.999346167816927,0.004068289139120959
PRDX5,++++++,1.42607e-6,1.0382178905963035e-6,0.9982623393058483,1,2.076435781192607e-6,0.002106792589901925,0.9427533599709408,0.00421358517980385
NOS3,++++++,8.2228e-4,1.0964581391910583e-6,0.9999956329090691,1,2.1929162783821166e-6,0.002179440610243371,0.9968034871049763,0.004358881220486742
RPS21,++++-+,0.004426264,1.125104063294534e-6,0.9998231913840411,1,2.250208126589068e-6,0.0022520886305848167,0.9800944424264438,0.0045041772611696335
NRG4,++++++,0.003636789,1.1393300585273267e-6,0.9999999854662249,1,2.2786601170546535e-6,0.002324736650926262,0.9999273519796585,0.004649473301852524
COX6B1,++++-+,1.16734e-4,1.2164189559198271e-6,0.992698304253808,1,2.4328379118396542e-6,0.002397384671267708,0.892408281874319,0.004794769342535416
MRPL4,++++-+,4.65164e-4,1.2632211794809767e-6,0.9986036041839194,1,2.5264423589619535e-6,0.0024700326916091537,0.9479840174355249,0.004940065383218307
RPL14,++++++,0.001688182,1.3879338161610431e-6,0.9999775800940931,1,2.7758676323220863e-6,0.0025426807119505995,0.9927351979658554,0.005085361423901199
MPND,++++++,4.67658e-4,1.462117653607141e-6,0.9999364625075129,1,2.924235307214282e-6,0.0026153287322920452,0.9882310207046858,0.0052306574645840905
REX1BD,-+++-+,1.43341e-5,2.0259582237958314e-6,0.9872438839991928,1,4.051916447591663e-6,0.0026879767526334906,0.8616781692698874,0.005375953505266981
GADD45GIP1,++++++,1.26471e-6,2.096149208575688e-6,0.9991124709105256,1,4.192298417151376e-6,0.0027606247729749364,0.9562658917544496,0.005521249545949873
RPS2,++++++,6.73894e-4,2.100270333116695e-6,0.9994390092017277,1,4.20054066623339e-6,0.002833272793316382,0.9655648383581548,0.005666545586632764
RPL32,++++++,8.79551e-4,2.1021037857970866e-6,0.9999554962680552,1,4.204207571594173e-6,0.002905920813657828,0.9897566291318561,0.005811841627315656
HSD17B6,------,1.4783e-4,0.9999994262206764,2.1568910186585362e-6,-1,4.3137820373170724e-6,0.9989102796948783,7.991282237559027e-4,0.0015982564475118053
ABHD11,++++++,0.002229753,2.1700943968829325e-6,0.9999999607588669,1,4.340188793765865e-6,0.0029785688339992737,0.9997820559389756,0.0059571376679985475
INAFM2,---+--,0.001927182,0.9937548993776635,2.2453651918547665e-6,-1,4.490730383709533e-6,0.935779150018162,8.717762440973483e-4,0.0017435524881946967
GPNMB,++++++,0.014694136,2.3056944212244504e-6,0.9999998534930725,1,4.611388842448901e-6,0.003051216854340719,0.9989829277152198,0.006102433708681438
NUFIP2,------,0.006423197,0.9999999435452434,2.6065492165591143e-6,-1,5.213098433118229e-6,0.9996367598982928,9.44424264438794e-4,0.001888848528877588
RPL29,++++++,0.00166316,2.7203397234101395e-6,0.9999973151166965,1,5.440679446820279e-6,0.003123864874682165,0.9973120232473666,0.00624772974936433
INO80E,++++++,0.003972043,2.878083696320814e-6,0.9999998309163589,1,5.756167392641628e-6,0.0031965128950236107,0.9989102796948783,0.006393025790047221
SAMD8,------,5.94461e-4,0.9999985963866358,3.2099161952195712e-6,-1,6.4198323904391424e-6,0.9984743915728297,0.0010170722847802397,0.0020341445695604794
SUGT1,------,0.007355833,0.9999991346737636,3.365323360447823e-6,-1,6.730646720895646e-6,0.9987649836541954,0.0010897203051216855,0.002179440610243371
TTC16,++++++,0.001186609,3.4716063466758915e-6,0.9999196487830143,1,6.943212693351783e-6,0.0032691609153650564,0.9868507083181983,0.006538321830730113
FAM98C,++++++,0.00700334,3.6311530348523944e-6,0.999998644279764,1,7.262306069704789e-6,0.003341808935706502,0.9981111514711224,0.006683617871413004
DDT,+++++-,5.17889e-4,3.651287792591403e-6,0.998146025173992,1,7.302575585182806e-6,0.0034144569560479476,0.9408645114420632,0.006828913912095895
SPTLC1,------,0.001247492,0.9999997263047565,3.820955709170808e-6,-1,7.641911418341616e-6,0.999346167816927,0.001162368325463131,0.002324736650926262
MDGA2,-----+,0.002616667,0.99907253642050875,3.965437328783875e-6,-1,7.93087465756775e-6,0.9737014166363966,0.0012350163458045768,0.0024700326916091537
RGPD8,++++++,0.011761116,4.058714310853834e-6,0.9999999598789924,1,8.117428621707668e-6,0.0034871049763893934,0.9997094079186342,0.006974209952778787
AP1G1,------,0.001502811,0.9999889838012865,4.05913819770897e-6,-1,8.11827639541794e-6,0.9961496549219033,0.0013076643661460226,0.0026153287322920452
ERP44,------,7.58422e-4,0.999018576503943,4.12187810535086e-6,-1,8.24375621070172e-6,0.9729022884126407,0.0013803123864874682,0.0027606247729749364
TSTA3,+++++-,9.53332e-5,4.350224738010712e-6,0.9885879898482194,1,8.700449476021423e-6,0.003559752996730839,0.8682164911006175,0.007119505993461678
ZBTB21,------,0.00525223,0.9999995067800367,4.473605169979997e-6,-1,8.947210339959994e-6,0.9990555757355613,0.001452960406828914,0.002905920813657828
PIK3CA,------,0.002521271,0.9999800883040013,4.627988685427451e-6,-1,9.255977370854902e-6,0.995277878677806,0.0015256084271703595,0.003051216854340719
EDF1,++++++,2.97582e-4,4.67681824496704e-6,0.9999819465023909,1,9.35363648993408e-6,0.003632401017072285,0.9936069742099528,0.00726480203414457
NDUFB7,++++++,7.87668e-5,4.704964403883655e-6,0.9996310217821519,1,9.40992880776731e-6,0.0037050490374137303,0.9722484562295678,0.007410098074827461
LRRC8C,------,0.002213602,0.9999476794690698,4.7405902952647436e-6,-1,9.481180590529487e-6,0.9929531420268798,0.0015982564475118053,0.0031965128950236107
NCS1,++++--,5.09994e-4,4.749894545664125e-6,0.9845737387767444,1,9.49978909132825e-6,0.003777697057755176,0.8492553577915002,0.007555394115510352
GPX4,++++-+,8.7679e-4,4.783606263262817e-6,0.998705456436987,1,9.567212526525634e-6,0.003850345078096622,0.9498728659644025,0.007700690156193244
ANKRD24,++++++,0.002183442,5.4864449904663675e-6,0.9999980589986394,1,1.0972889980932735e-5,0.003922993098438067,0.9978205593897567,0.007845986196876134
TMED5,------,8.06631e-4,0.9999996346434894,5.553914769069964e-6,-1,1.1107829538139928e-5,0.9992008717762441,0.001670904467853251,0.003341808935706502
TMEM33,------,0.001588586,0.9999997425617675,5.560270451437763e-6,-1,1.1120540902875526e-5,0.9994914638576099,0.0017435524881946967,0.0034871049763893934
MRPL2,++++++,0.003019543,5.682159070242383e-6,0.9998332989268073,1,1.1364318140484766e-5,0.003995641118779513,0.9806756265891754,0.007991282237559027
RPL27A,++++++,0.001389884,5.726288878455206e-6,0.9999943476609922,1,1.1452577756910412e-5,0.004068289139120959,0.9962949509625862,0.008136578278241918
ATP9B,++++++,0.003208123,5.756291422106716e-6,0.9999998764647727,1,1.1512582844213432e-5,0.004140937159462405,0.9992008717762441,0.00828187431892481
FBXL19,+++++-,6.51407e-4,5.979260682444139e-6,0.9964977432109098,1,1.1958521364888278e-5,0.00421358517980385,0.9216854340719215,0.0084271703596077
WBP2,++++++,1.74752e-4,6.015979605442614e-6,0.9959411933701066,1,1.2031959210885228e-5,0.004286233200145296,0.9169633127497275,0.008572466400290591
UBQLN4,++++++,0.001285136,6.118149544895947e-6,0.9998434956868345,1,1.2236299089791893e-5,0.004358881220486742,0.9816200508536143,0.008717762440973484
MAP3K10,++++++,8.37482e-4,6.542938908564269e-6,0.9997078054248751,1,1.3085877817128539e-5,0.004431529240828187,0.974573192880494,0.008863058481656375
ERCC1,+++++-,2.64684e-4,7.104772074856757e-6,0.9955213243935838,1,1.4209544149713514e-5,0.0045041772611696335,0.9135488557936796,0.009008354522339267
NDUFB4,++++--,4.69955e-5,8.174535557680126e-6,0.9821962034890616,1,1.6349071115360253e-5,0.004576825281511079,0.8421358517980385,0.009153650563022158
PDE4D,------,3.30356e-4,0.9999900103995757,8.391209618525111e-6,-1,1.6782419237050223e-5,0.9963675989829277,0.0018162005085361425,0.003632401017072285
MRPL36,++++-+,7.38268e-6,8.560124469532448e-6,0.993311275427562,1,1.7120248939064897e-5,0.004649473301852524,0.8961133309117326,0.009298946603705048
SCAND1,-++++-,7.81571e-7,8.602600377014165e-6,0.6146399154757006,1,1.720520075402833e-5,0.00472212132219397,0.4680711950599346,0.00944424264438794
RPLP2,++++++,0.005080981,8.739587848339402e-6,0.99999990965685015,1,1.7479175696678804e-5,0.004794769342535416,0.9994188158372684,0.009589538685070832
AES,++++-+,2.76229e-4,8.768309477917858e-6,0.998963638625603,1,1.7536618955835715e-5,0.004867417362876862,0.953214674900109,0.009734834725753724
MTCL1,++++++,0.009754643,8.995342854915536e-6,0.9999999319432744,1,1.799068570983107e-5,0.004940065383218307,0.9994914638576099,0.009880130766436615
AGRN,++++++,1.77111e-4,9.364531413870396e-6,0.9999412153008127,1,1.8729062827740792e-5,0.005012713403559753,0.9885216127860516,0.010025426807119505
NR1D1,++++++,0.007710126,9.381584487404525e-6,0.9999999484076274,1,1.876316897480905e-5,0.005085361423901199,0.9996367598982928,0.010170722847802398
AKR1C2,++++++,0.01018392,9.679646892772178e-6,0.9999942443290684,1,1.9359293785544356e-5,0.005158009444242644,0.9962223029422448,0.010316018888485289
POGLUT1,------,3.16374e-4,0.9999882170650836,9.769625634768209e-6,-1,1.9539251269536418e-5,0.9959317108608791,0.001888848528877588,0.003777697057755176
DDX41,++++-+,0.005890925,1.0199733483309604e-5,0.9992481195287791,1,2.0399466966619207e-5,0.0052306574645840905,0.9602615328732292,0.010461314929168181
RPL35,++++++,0.002585066,1.039235719624199e-5,0.999998335060135,1,2.078471439248398e-5,0.005303305484925536,0.9979658554304395,0.010606610969851072
KLHL28,------,4.32442e-4,0.9999946764490228,1.0500118016586967e-5,-1,2.1000236033173935e-5,0.9971667272066836,0.0019614965492190336,0.003922993098438067
SEMA3G,++++++,0.01806958,1.100382492909323e-5,0.9999996184157659,1,2.200764985818646e-5,0.005375953505266981,0.998547039593171,0.010751907010533962
SPATC1L,++++++,0.001343689,1.1367969879581468e-5,0.9991851855904771,1,2.2735939759162935e-5,0.005448601525608427,0.9585906284053759,0.010897203051216855
ABLIM3,++++++,0.01513121,1.1630734358866628e-5,0.9999997509911921,1,2.3261468717733256e-5,0.005521249545949873,0.998692335633854,0.011042499091899746
TTLL11,++++++,0.007048079,1.185192771748055e-5,0.9999621803210028,1,2.37038554349611e-5,0.005593897566291319,0.9903378132945877,0.011187795132582638
SHARPIN,++++++,0.003023448,1.261082860845453e-5,0.9999873398162631,1,2.522165721690906e-5,0.005666545586632764,0.9947693425354159,0.011333091173265529
RSBN1,------,0.005439128,0.9999956223151649,1.2798365856435828e-5,-1,2.5596731712871656e-5,0.9976026153287323,0.0020341445695604794,0.004068289139120959
AIP,++++++,8.51329e-4,1.279857299389835e-5,0.9996577736689652,1,2.55971459877967e-5,0.00573919360697421,0.9730475844533236,0.01147838721394842
ALS2CL,++++++,0.001439797,1.2871136729917806e-5,0.9999985417508637,1,2.5742273459835612e-5,0.005811841627315656,0.9980385034507809,0.011623683254631312
GUK1,++++-+,5.48489e-4,1.2938279980176149e-5,0.9927178539912601,1,2.5876559960352298e-5,0.005884489647657101,0.8924809298946603,0.011768979295314203
NHP2,+++++-,2.40017e-4,1.3182449476076054e-5,0.9939126074153353,1,2.6364898952152108e-5,0.0059571376679985475,0.9001816200508536,0.011914275335997095
MICALL2,++++++,0.005340717,1.3282484397530273e-5,0.9999972250512713,1,2.6564968795060547e-5,0.006029785688339993,0.9972393752270251,0.012059571376679986
PRRX1,------,0.005571028,0.9999989811098193,1.3288496024234914e-5,-1,2.657699204846983e-5,0.9986196876135125,0.002106792589901925,0.00421358517980385
ERCC2,++++++,0.001112135,1.3307411927287887e-5,0.9999885100087396,1,2.6614823854575773e-5,0.006102433708681438,0.9949872865964402,0.012204867417362876
COPS9,+++++-,2.72445e-4,1.336647226927725e-5,0.9846909212049285,1,2.67329445385545e-5,0.006175081729022884,0.8499091899745732,0.012350163458045769
PRPF31,++++++,0.003767644,1.5352056766624402e-5,0.9999966871518289,1,3.0704113533248804e-5,0.00624772974936433,0.9970214311660007,0.01249545949872866
GUF1,------,0.012553861,0.9999996622990104,1.5468120517441514e-5,-1,3.093624103488303e-5,0.9992735197965855,0.002179440610243371,0.004358881220486742
SSSCA1,++++++,0.001210416,1.6099740770357154e-5,0.999890718898627,1,3.219948154071431e-5,0.006320377769705775,0.9843080276062477,0.01264075553941155
ITPA,+++++-,0.002905959,1.647892332235855e-5,0.9995536367112441,1,3.29578466447171e-5,0.006393025790047221,0.9694878314565928,0.012786051580094443
INTS1,++++++,1.36703e-4,1.6486729057519113e-5,0.9998397713845073,1,3.2973458115038225e-5,0.006465673810388667,0.9813294587722484,0.012931347620777333
NEURL4,++++++,0.003755728,1.6840087429896647e-5,0.9998635098500589,1,3.3680174859793294e-5,0.006538321830730113,0.9829277152197603,0.013076643661460226
MYO1C,-+++++,0.003119416,1.6863901702609323e-5,0.9973660905650382,1,3.3727803405218645e-5,0.006610969851071558,0.9299673083908464,0.013221939702143116
SH2B2,++++++,0.001523392,1.690151856183034e-5,0.9999798177029492,1,3.380303712366068e-5,0.006683617871413004,0.993171086087904,0.013367235742826007
APRT,++++++,0.00110347,1.7013238988445456e-5,0.9998130983809921,1,3.402647797689091e-5,0.00675626589175445,0.9792226661823465,0.0135125317835089
SLC9A3R2,++++++,0.003973199,1.7022572215021142e-5,0.9999977916926253,1,3.4045144430042284e-5,0.006828913912095895,0.9975299673083908,0.01365782782419179
RPS6KA4,++++++,2.40346e-4,1.7837912999592235e-5,0.9999057601158294,1,3.567582599918447e-5,0.006901561932437341,0.9856156919723937,0.013803123864874683
CLCN3,------,0.002810463,0.9999990222407665,1.803074552656175e-5,-1,3.60614910531235e-5,0.998692335633854,0.0022520886305848167,0.0045041772611696335
NMRAL1,+++++-,0.003247795,1.830822507025771e-5,0.9996122843506369,1,3.661645014051542e-5,0.006974209952778787,0.9715946240464948,0.013948419905557573
RPL4,+++++-,0.00471706,1.9323614368983358e-5,0.9988314215234925,1,3.8647228737966716e-5,0.007046857973120232,0.9513984743915729,0.014093715946240464
BAP1,+++++-,7.89107e-4,2.0100683061335362e-5,0.9967880575604353,1,4.0201366122670725e-5,0.007119505993461678,0.9244460588448965,0.014239011986923357
SOCS4,------,5.17462e-4,0.9999720120589272,2.032360873028608e-5,-1,4.064721746057216e-5,0.9944787504540501,0.002324736650926262,0.004649473301852524
DCTN3,++++++,5.09701e-4,2.0354446131984246e-5,0.9999153602545062,1,4.070889226396849e-5,0.007192154013803124,0.9866327642571739,0.014384308027606247
TMED7,------,3.26372e-4,0.9999946048256975,2.0386523233198953e-5,-1,4.0773046466397906e-5,0.9970940791863422,0.002397384671267708,0.004794769342535416
RPL6,++++++,0.00453247,2.0417855178821117e-5,0.999572103743307,1,4.0835710357642233e-5,0.00726480203414457,0.9701416636396658,0.01452960406828914
OXSR1,------,0.004242959,0.9999202547098112,2.1673201402916653e-5,-1,4.3346402805833306e-5,0.991354885579368,0.0024700326916091537,0.004940065383218307
ADCY4,++++++,0.024461555,2.1697918286207707e-5,0.9999999330599478,1,4.3395836572415413e-5,0.007337450054486015,0.9995641118779514,0.01467490010897203
USP37,------,0.004584095,0.9999678167054847,2.172246081867401e-5,-1,4.344492163734802e-5,0.9942608063930258,0.0025426807119505995,0.005085361423901199
RINL,++++++,0.001930082,2.1760874045968362e-5,0.9995541837001223,1,4.3521748091936724e-5,0.007410098074827461,0.9695604794769342,0.014820196149654921
ARL5B,------,0.002460311,0.9999858531259239,2.1937575184005185e-5,-1,4.387515036801037e-5,0.9957137667998547,0.0026153287322920452,0.0052306574645840905
GAREM1,------,5.08029e-4,0.9998701984730174,2.2110990642534306e-5,-1,4.422198128506861e-5,0.9888122048674174,0.0026879767526334906,0.005375953505266981
YPEL3,++++++,2.52184e-4,2.2729189476769224e-5,0.9985304744663677,1,4.545837895353845e-5,0.007482746095168907,0.9469669451507446,0.014965492190337814
TBX2,++++++,0.018914857,2.3302722501961862e-05,0.9999998579756197,1,4.6605445003923723e-05,0.007555394115510352,0.9991282237559026,0.015110788231020704
CBX7,++++++,0.008582432,2.3324435543090264e-5,0.9999949349346907,1,4.664887108618053e-5,0.007628042135851798,0.9966581910642935,0.015256084271703597
TAOK1,------,0.005214149,0.9999994337282361,2.3607400648127057e-5,-1,4.7214801296254114e-5,0.9989829277152198,0.0027606247729749364,0.005521249545949873
LRRC58,------,5.81324e-4,0.9999887216203907,2.524235183427738e-5,-1,5.048470366855476e-5,0.996077006901562,0.002833272793316382,0.005666545586632764
SLC5A4,++++++,0.00147793,2.5314775920524943e-5,0.9999582092558896,1,5.0629551841049886e-5,0.007700690156193244,0.9899745731928805,0.015401380312386487
YOD1,------,0.006846365,0.9999986896883264,2.5341334851526068e-5,-1,5.0682669703052136e-5,0.998547039593171,0.002905920813657828,0.005811841627315656
RPL18,++++++,0.004467738,2.540935683176926e-5,0.9998367489733245,1,5.081871366353852e-5,0.007773338176534689,0.9809662186705412,0.015546676353069378
FBXO30,------,0.002150127,0.9998923489068632,2.542023021448279e-5,-1,5.084046042896558e-5,0.9899745731928805,0.0029785688339992737,0.0059571376679985475
QPRT,++++++,6.52847e-5,2.6732956007320133e-5,0.9996004812564265,1,5.3465912014640265e-5,0.007845986196876134,0.9710134398837632,0.01569197239375227
TEK,++++++,3.77471e-4,2.7017761125266887e-5,0.9997878961728958,1,5.4035522250533774e-5,0.007918634217217582,0.9784235379585906,0.015837268434435163
MAP3K7,------,0.017856927,0.9999982897643461,2.718911636172485e-5,-1,5.43782327234497e-5,0.9983290955321468,0.003051216854340719,0.006102433708681438
SPIDR,++++++,0.012936018,2.787756504195297e-5,0.9999997103992254,1,5.575513008390594e-5,0.007991282237559027,0.9986196876135125,0.015982564475118054
SESN3,------,0.001293481,0.9996543566378556,2.788499679353174e-5,-1,5.576999358706348e-5,0.9836541954231747,0.003123864874682165,0.00624772974936433
RPL13,++++++,0.001804768,2.797990014427511e-5,0.9998578064594015,1,5.595980028855022e-5,0.008063930257900472,0.9824191790773702,0.016127860515800944
FLYWCH2,-+++++,0.005700617,2.989624718701775e-5,0.9940888882180066,1,5.97924943740355e-5,0.008136578278241918,0.9014166363966581,0.016273156556483835
CPSF1,++++++,0.006458765,3.032001425926671e-5,0.999996793937667,1,6.064002851853342e-5,0.008209226298583363,0.9970940791863422,0.016418452597166726
TPM2,++++++,0.016394646,3.042270136021087e-5,0.9999685036575469,1,6.084540272042174e-5,0.00828187431892481,0.991354885579368,0.01656374863784962
CAND2,++++++,0.009275163,3.0538923967390674e-5,0.9999979114569446,1,6.107784793478135e-5,0.008354522339266255,0.9976752633490737,0.01670904467853251
RIF1,----+-,0.003727931,0.9939350925060564,3.0630759577198946e-5,-1,6.126151915439789e-5,0.9365782782419179,0.0031965128950236107,0.006393025790047221
MED13,------,0.005020675,0.9999970296307331,3.073777698503962e-5,-1,6.147555397007924e-5,0.9980385034507809,0.0032691609153650564,0.006538321830730113
ARID4A,------,0.001366282,0.9998834088993227,3.212230476977353e-5,-1,6.424460953954705e-5,0.9896113330911732,0.003341808935706502,0.006683617871413004
NAA15,------,0.002721547,0.9981400768209164,3.250540183959742e-5,-1,6.501080367919484e-5,0.963167453686887,0.0034144569560479476,0.006828913912095895
RPS8,++++++,0.007266848,3.262431944640005e-5,0.9999715147505386,1,6.52486388928001e-5,0.0084271703596077,0.9920087177624409,0.0168543407192154
SEL1L3,-----+,0.003823645,0.9990424514302162,3.283151708005054e-5,-1,6.566303416010108e-5,0.9734108245550309,0.0034871049763893934,0.006974209952778787
TINAGL1,++++++,0.012516564,3.2917732148610744e-5,0.9999997712709359,1,6.583546429722149e-5,0.008499818379949146,0.9987649836541954,0.016999636759898292
LCOR,-----+,0.001961434,0.9986285901978689,3.323006368631317e-5,-1,6.646012737262635e-5,0.968543407192154,0.003559752996730839,0.007119505993461678
MCRS1,++++++,0.001828229,3.357720340672882e-5,0.9996012694732793,1,6.715440681345764e-5,0.008572466400290591,0.9710860879041047,0.017144932800581183
NSFL1C,++++-+,0.00296874,3.373270823213419e-5,0.998538417740516,1,6.746541646426838e-5,0.0086451144206320385,0.9471122411914276,0.017290228841264077
C1orf43,++++-+,0.001660319,3.374564698098834e-5,0.9873726317434474,1,6.749129396197668e-5,0.008717762440973484,0.8626225935343262,0.017435524881946968
EIF3K,+++++-,0.001011124,3.374824287262091e-5,0.9964470796815721,1,6.749648574524182e-5,0.00879041046131493,0.9211768979295314,0.01758082092262986
ST6GALNAC1,++++++,0.015975231,3.377273491058906e-5,0.9999899308061341,1,6.754546982117811e-5,0.008863058481656375,0.9954958227388304,0.01772611696331275
RPL13A,++++++,0.01279658,3.409134851434631e-5,0.9998888498335099,1,6.818269702869262e-5,0.00893570650199782,0.9841627315655649,0.01787141300399564
C9orf16,++++--,8.81537e-5,3.4127060640117785e-5,0.7045999946400081,1,6.825412128023557e-5,0.009008354522339267,0.5252451870686524,0.018016709044678534
PQLC1,++++++,0.004284092,3.435914366306576e-5,0.9989756478765413,1,6.871828732613152e-5,0.009081002542680712,0.9535779150018162,0.018162005085361425
MLLT6,++++++,0.001018653,3.532930280353583e-5,0.9998464688934332,1,7.065860560707167e-5,0.009153650563022158,0.98191064293498,0.018307301126044315
