gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
IFT172,--++,0.069001549,0.22810863178782495,0.7096771906724186,1,0.4562172635756499,0.26749001089720303,0.18516635188144703,0.37033270376289407
FNDC4,---+,0.044996438,0.9684209961090331,0.036110014323107786,-1,0.07222002864621557,0.04954235071916316,0.02361060661096985,0.0472212132219397
GCKR,-+++,0.227247809,0.12912162478432027,0.9504971032181728,1,0.25824324956864053,0.16331274972756993,0.10111869824204563,0.20223739648409125
C2orf16,+--+,0.024963493,0.08967453823707704,0.8585356582708102,1,0.17934907647415407,0.11703596077006902,0.06697660903675723,0.13395321807351446
ZNF512,+--+,0.367779615,0.8005477197609037,0.4701868321274116,-1,0.9403736642548232,0.4787883190469272,0.3724664002905921,0.7449328005811842
CCDC121,-+--,0.415017475,0.8832696841770691,0.32165747312154264,-1,0.6433149462430853,0.3579107947116083,0.2605158009444243,0.5210316018888486
GPN1,-+--,0.00695751,0.8175466108428069,0.03156700438565831,-1,0.06313400877131661,0.04344036030800523,0.020849981837994913,0.041699963675989826
SUPT7L,+++-,0.174503154,0.13672054803823955,0.6807019524630858,1,0.2734410960764791,0.17232110424990918,0.10743861688217347,0.21487723376434695
SLC4A1AP,-+++,0.147293764,0.2927002008821611,0.6979489462424,1,0.5854004017643222,0.33265528514347986,0.23725119860525934,0.4745023972105187
MRPL33,-++-,0.299785556,0.509260675731816,0.599310741279367,1,1.018521351463632,0.5022884126407555,0.39452273717855585,0.7890454743571117
RBKS,+-++,0.233373549,0.5820131298158647,0.5427623630302257,-1,1.0855247260604515,0.5210663954670929,0.4119142753359971,0.8238285506719942
BABAM2,--+-,0.216711637,0.9688911635019463,0.09623607070085574,-1,0.19247214140171148,0.12429173325584775,0.07243007628042136,0.14486015256084273
FOSL2,----,0.023749959,0.9999896717216605,3.7325077289083374e-4,-1,7.465015457816675e-4,0.00123492663082958,8.717762440973483e-4,0.0017435524881946967
PLB1,-+++,0.362535989,0.4675246576570558,0.7831819422302777,1,0.9350493153141116,0.47693425354159097,0.3709138457068139,0.7418276914136278
PPP1CB,-+--,0.215977398,0.5944901028081226,0.4582528541399829,-1,0.9165057082799658,0.47043440360308003,0.36571013439883765,0.7314202687976753
SPDYA,+++-,0.110406807,0.16986572154066595,0.6581550372148393,1,0.3397314430813319,0.2082818743189248,0.13460700276042423,0.26921400552084845
TRMT61B,+++-,0.082929961,0.10066552444343932,0.877664538959821,1,0.20133104888687864,0.1300399564111878,0.07634752288246405,0.1526950457649281
WDR43,-++-,0.53831138,0.6229502525780359,0.6870014492618446,1,1.2459005051560719,0.5473301852524519,0.43752724102862123,0.8750544820572425
TOGARAM2,+++-,0.080851096,0.1086096103765925,0.8448874058995509,1,0.217219220753185,0.14108245550308754,0.08303065523754177,0.16606131047508355
PCARE,----,0.025316992,0.9727572407636533,0.04495078413153334,-1,0.08990156826306668,0.06080197588260933,0.03138394478750454,0.06276788957500908
CLIP4,-++-,0.193804191,0.3665374413166308,0.6306974864161718,1,0.7330748826332616,0.3986196876135125,0.29819845997384864,0.5963969199476973
ALK,---+,0.007322388,0.7413264808350262,0.051877228402030816,-1,0.10375445680406163,0.07046346070027604,0.036687250272430076,0.07337450054486015
YPEL5,-+--,0.02401671,0.2657293394461391,0.16365245280960913,-1,0.32730490561921827,0.20216475374110127,0.1288049400653832,0.2576098801307664
LBH,---+,0.020893218,0.9289065598691362,0.039272876244743925,-1,0.07854575248948785,0.05375562981258172,0.025935343261896112,0.051870686523792224
LCLAT1,-+--,0.329893472,0.755644152617183,0.4102209184989028,-1,0.8204418369978056,0.4362196716548017,0.3324373410824555,0.664874682164911
CAPN13,++++,0.03953739,0.03743901116694926,0.9877328884418928,1,0.07487802233389852,0.051071558300036325,0.024625889873601627,0.04925177974720325
GALNT14,--++,0.118381082,0.6344594092936634,0.2745162223686086,-1,0.5490324447372172,0.3145430771465931,0.22310207046857974,0.4462041409371595
CAPN14,+-++,0.157412921,0.1598858887007829,0.8938740997673813,1,0.3197717774015658,0.19898292771521975,0.12603515908760715,0.2520703181752143
EHD3,++--,0.121773155,0.804812562988587,0.2326418595472647,-1,0.4652837190945294,0.2726282144413773,0.18946603705049037,0.37893207410098073
MEMO1,+-+-,0.217159761,0.34183801152304943,0.8293819808293033,1,0.6836760230460989,0.37813294587722485,0.27843963388057535,0.5568792677611507
DPY30,-+++,0.171414222,0.218328869203108,0.8978293359862599,1,0.436657738406216,0.25673810388666907,0.17659450820862996,0.3531890164172599
SPAST,-+--,0.240174136,0.61211419775842,0.4214371230988422,-1,0.8428742461976844,0.4449368008135987,0.34050127134035596,0.6810025426807119
SLC30A6,+++-,0.256525798,0.47960052771819867,0.6637112662478104,1,0.9592010554363973,0.4852887758808572,0.37694319337498183,0.7538863867499637
NLRC4,-+++,0.217161736,0.2324368530828819,0.9247965573684698,1,0.4648737061657638,0.2723574282600799,0.18930698823187564,0.3786139764637513
YIPF4,-++-,0.215205952,0.6795599144869644,0.3634416190632605,-1,0.726883238126521,0.3956123783234055,0.2960406828913912,0.5920813657827824
BIRC6,++--,0.180180056,0.35411700641513394,0.6478334924436635,1,0.7082340128302679,0.38692335633853975,0.288173761441232,0.576347522882464
TTC27,++++,0.168380381,0.045581006064931755,0.9950004814150799,1,0.09116201212986351,0.061823465310570286,0.031890164172599156,0.06378032834519831
LTBP1,+++-,0.104818025,0.0598146032011928,0.939427579171798,1,0.1196292064023856,0.08056665455866327,0.04329507482202528,0.08659014964405055
RASGRP3,++++,0.243054017,0.2791414833088248,0.9135531002365587,1,0.5582829666176496,0.31979658554304397,0.22693592910068283,0.45387185820136566
FAM98A,+++-,0.058867238,0.18383508764902742,0.5507976321712005,1,0.36767017529805485,0.2225935343261896,0.14579398518088044,0.2915879703617609
CRIM1,+--+,0.200297398,0.2841358590595839,0.8279523799358685,1,0.5682717181191678,0.32488194696694517,0.2302774952782217,0.4605549905564434
FEZ2,+++-,0.017726053,0.040460198026806046,0.9304194941507196,1,0.08092039605361209,0.0548492553577915,0.027095743135260787,0.054191486270521574
VIT,----,0.133320877,0.9793748038027904,0.09527490604665663,-1,0.19054981209331326,0.12298416388202818,0.071558300036324,0.143116600072648
STRN,+++-,0.091490892,0.06303647833808249,0.9528028634609054,1,0.12607295667616497,0.08543407192154014,0.046128141798634316,0.09225628359726863
HEATR5B,-++-,0.177753767,0.3516654964234966,0.6985863301218325,1,0.7033309928469932,0.38539774791136944,0.28613976463751273,0.5722795292750255
GPATCH11,-++-,0.037106585,0.17823860856442195,0.7436733321962558,1,0.3564772171288439,0.21721758082092263,0.14158070608746187,0.28316141217492374
EIF2AK2,++-+,0.273186225,0.45878427764456137,0.6259491855551693,1,0.9175685552891227,0.4707591718125681,0.3661920674124655,0.732384134824931
CEBPZ,++--,0.073296514,0.6393863794031842,0.26309323571890203,-1,0.5261864714378041,0.3039372366700567,0.2144569560479477,0.4289139120958954
NDUFAF7,+++-,0.119213703,0.13044320813728996,0.7786752880238732,1,0.2608864162745799,0.16541954231747186,0.10228098212988522,0.20456196425977044
PRKD3,++--,0.053102311,0.16640048974144675,0.3745000352269501,1,0.3328009794828935,0.2044315292408282,0.1320645067557751,0.2641290135115502
QPCT,-+--,0.169862028,0.839174251512383,0.12022380719873922,-1,0.24044761439747844,0.15392997239575767,0.09342535415909917,0.18685070831819833
CDC42EP3,--+-,0.029626498,0.9763753918589103,0.013058865254091124,-1,0.02611773050818225,0.01888711317739358,0.00944424264438794,0.01888848528877588
RMDN2,--+-,0.125684742,0.6238201682495202,0.32765218327759255,-1,0.6553043665551851,0.36459392706668603,0.26618234653105705,0.5323646930621141
CYP1B1,--+-,0.092113972,0.9396741003149628,0.06220372984117881,-1,0.12440745968235763,0.08390236815342147,0.04591354885579368,0.09182709771158735
ATL2,---+,0.375228293,0.925719448228691,0.2507495303812584,-1,0.5014990607625168,0.29231439779166063,0.20385034507809663,0.40770069015619326
HNRNPLL,-+--,0.032412113,0.7189168679654157,0.07402162257238333,-1,0.14804324514476666,0.09959320063925614,0.05419542317471849,0.10839084634943698
GALM,-++-,0.262057603,0.6108914033920415,0.4978267470843437,-1,0.9956534941686874,0.49600464913555137,0.38786778060297855,0.7757355612059571
SRSF7,-++-,0.206193261,0.8348369351064823,0.2758925491380359,-1,0.5517850982760718,0.31606857474938255,0.2241917907737014,0.4483835815474028
GEMIN6,+++-,0.313891391,0.32280708800004565,0.8637428685729456,1,0.6456141760000913,0.3590991645477661,0.26165916024989105,0.5233183204997821
DHX57,-++-,0.426733569,0.8288349361743281,0.40129927281696726,-1,0.8025985456339345,0.4296091820427139,0.32568107519070105,0.6513621503814021
MORN2,-++-,0.182340088,0.6173523821416094,0.3632955534026341,-1,0.7265911068052682,0.39546709283742554,0.2958953868507083,0.5917907737014166
ARHGEF33,-+++,0.063569081,0.01598653682784654,0.9766700550483488,1,0.03197307365569308,0.02361060661096985,0.011259625163446172,0.022519250326892344
SOS1,+++-,0.074322759,0.17196724581645725,0.7221479595822275,1,0.3439344916329145,0.21031601888848528,0.1364957140781636,0.2729914281563272
CDKL4,-+++,0.209037878,0.23157184523613844,0.9033915768141486,1,0.4631436904722769,0.27148565201598257,0.18836263257300595,0.3767252651460119
MAP4K3,+++-,0.028183262,0.28923321147046627,0.23908928388049117,-1,0.47817856776098233,0.2789481330815052,0.19476934253541592,0.38953868507083184
TMEM178A,+---,0.327790904,0.6468230028475895,0.5231643368095349,-1,1.0463286736190698,0.5108964114484963,0.4020341445695605,0.804068289139121
THUMPD2,+-+-,0.023777265,0.05032955821493818,0.5577659725075748,1,0.10065911642987636,0.06857973120232473,0.03537701583611797,0.07075403167223594
SLC8A1,-+--,0.197275207,0.905180912108583,0.12773807461589368,-1,0.25547614923178735,0.16213860235362487,0.09981837994914639,0.19963675989829277
PKDCC,---+,0.033529061,0.9759910698759483,0.014622794428136063,-1,0.029245588856272126,0.021574894668022666,0.010461314929168181,0.020922629858336362
EML4,+-+-,0.101681717,0.23574967149225176,0.7524337504317562,1,0.4714993429845035,0.2755539411551035,0.19141362777858492,0.38282725555716984
COX7A2L,-++-,0.138005657,0.4256574985684641,0.35116745852172443,-1,0.7023349170434489,0.38507918058985907,0.28586996004358883,0.5717399200871777
KCNG3,-++-,0.099033253,0.5152023707718202,0.2818324049322632,-1,0.5636648098645264,0.3223158506465204,0.22855067199418816,0.4571013439883763
MTA3,+-+-,0.818868398,0.7265955001605167,0.6542284534145412,-1,1.3084569068290823,0.5517942757518524,0.4433708681438431,0.8867417362876862
HAAO,-+--,0.470296549,0.6482102384034261,0.6362081860074165,-1,1.272416372014833,0.5495423507191631,0.44075553941155104,0.8815110788231021
ZFP36L2,++-+,0.252719678,0.36161603575169904,0.7600891000913896,1,0.7232320715033981,0.3937522702506357,0.2947842510533198,0.5895685021066396
THADA,-+++,0.006547669,0.022782727097284728,0.9305667514691792,1,0.045565454194569456,0.03196512895023611,0.015254976027894813,0.030509952055789626
PLEKHH2,+-++,0.16829833,0.12353977749978107,0.9406356370461925,1,0.24707955499956213,0.15764620414093716,0.0964695626906872,0.1929391253813744
C1GALT1C1L,++--,0.330303721,0.8133109976721797,0.4427203211310526,-1,0.8854406422621052,0.46084556152840334,0.35510352342898654,0.7102070468579731
DYNC2LI1,-++-,0.177875459,0.6627151330270857,0.38760566831737864,-1,0.7752113366347573,0.41842219962225774,0.3154377043225572,0.6308754086451144
ABCG8,+-++,0.213138347,0.22019088863453173,0.9042483127917081,1,0.44038177726906347,0.2591354885579368,0.17841057678337935,0.3568211535667587
LRPPRC,-+--,0.108711761,0.46238850241188534,0.4307019747258344,-1,0.8614039494516688,0.4519105041406363,0.34725753723211045,0.6945150744642209
PPM1B,++++,0.065018122,0.033230475264829286,0.9762768518907475,1,0.06646095052965857,0.04598619687613512,0.021720180154002615,0.04344036030800523
SLC3A1,-+--,0.060584704,0.4203518949180642,0.1395600756217363,-1,0.2791201512434726,0.17572279529275026,0.11042499091899746,0.22084998183799492
PREPL,-+--,0.226278982,0.8403931941909039,0.18310412104670148,-1,0.36620824209340297,0.22170565160540462,0.1454413367235743,0.2908826734471486
CAMKMT,-++-,0.126533505,0.31504990004561123,0.7114831029248962,1,0.6300998000912225,0.3524881946966945,0.25606566903966294,0.5121313380793259
SRBD1,-+-+,0.859548374,0.6939084288822251,0.6888525972587638,-1,1.3777051945175276,0.5539009152985617,0.44613149291681803,0.8922629858336361
PRKCE,-+--,0.171593731,0.9355241966456415,0.08387404458905731,-1,0.16774808917811462,0.11041696934476246,0.06116963312749728,0.12233926625499456
EPAS1,+-++,0.090817214,0.06483401129939168,0.7101689718175169,1,0.12966802259878335,0.08768616055212496,0.047072497457504,0.094144994915008
ATP6V1E2,++--,0.504282185,0.7232445919042089,0.5542546460747816,-1,1.1085092921495632,0.5258608165044312,0.4177987649836542,0.8355975299673084
RHOQ,+++-,0.250941109,0.26352169342138754,0.8868304455463203,1,0.5270433868427751,0.30403196512895025,0.214731948278367,0.429463896556734
PIGF,++--,0.023608209,0.09711393217995547,0.17628629506181612,1,0.19422786435991093,0.12509989102796948,0.07336917041987505,0.1467383408397501
CRIPT,-++-,0.092816968,0.6096276574613981,0.1933847796471613,-1,0.3867695592943226,0.23151242190905127,0.1548855793679622,0.3097711587359244
SOCS5,----,0.189081916,0.9836094231208786,0.0737659881501606,-1,0.1475319763003212,0.09937527241028621,0.05397747911369415,0.1079549582273883
MCFD2,-++-,0.38842209,0.7074951577353121,0.5119090232627984,-1,1.0238180465255968,0.5038500653784687,0.395931710860879,0.791863421721758
TTC7A,+-++,0.106599802,0.04485621349715826,0.9730011490739812,1,0.08971242699431652,0.06066109698510715,0.03130902222867935,0.0626180444573587
CALM2,+++-,0.121487126,0.34440663104852376,0.5330585285421845,1,0.6888132620970475,0.38031238648746823,0.2804009879413047,0.5608019758826094
EPCAM,-++-,0.031969172,0.26851198727282305,0.17684537513233548,-1,0.35369075026467095,0.2158215894232166,0.14042862332001452,0.28085724664002903
MSH2,-++-,0.30589868,0.35512576227916365,0.7181145340811881,1,0.7102515245583273,0.3877224845622957,0.2887549033851518,0.5775098067703036
KCNK12,---+,0.163175165,0.7702409210488055,0.20747628131161175,-1,0.4149525626232235,0.2452419003341566,0.16854340719215402,0.33708681438430804
MSH6,++++,0.082165554,0.10259283180921011,0.933819626307172,1,0.20518566361842022,0.1325826371231384,0.07794566322824349,0.15589132645648698
FBXO11,-+--,0.448038213,0.6663128350699452,0.5983348233356381,-1,1.1966696466712763,0.5421327909341856,0.4333454413367236,0.8666908826734472
FOXN2,++--,0.148226173,0.2826992533961831,0.7374935281327001,1,0.5653985067923663,0.3231383944787505,0.22926049687636205,0.4585209937527241
PPP1R21,--++,0.731059174,0.6636997284106236,0.6841331667736403,1,1.3273994568212473,0.5524881946966945,0.4446462298416388,0.8892924596832776
STON1,+-+-,0.218660107,0.5886937407738941,0.5100597170679905,-1,1.020119434135981,0.502905709719599,0.3949146385760988,0.7898292771521976
NRXN1,---+,0.030829089,0.8893938838563662,0.04737445052233118,-1,0.09474890104466235,0.06385297108818828,0.033345441336723576,0.06669088267344715
ASB3,----,0.248452158,0.971505644009933,0.14843613232832184,-1,0.2968722646566437,0.18582013656835683,0.11703596077006902,0.23407192154013803
GPR75-ASB3,++++,0.063522648,0.07006533785068099,0.9649494461328648,1,0.14013067570136198,0.09466037050490374,0.051358419293912536,0.10271683858782507
CHAC2,-+--,0.227997839,0.7699311585232871,0.34941114416115626,-1,0.6988222883223125,0.38362632573005956,0.28448964765710133,0.5689792953142027
ERLEC1,-++-,0.433958741,0.6412354551271356,0.5648197825493685,-1,1.129639565098737,0.5300014528548598,0.42295677442789686,0.8459135488557937
GPR75,-+-+,0.207199697,0.7639485933410959,0.41046359975568425,-1,0.8209271995113685,0.43629231439779165,0.33265528514347986,0.6653105702869597
PSME4,+-++,0.463811907,0.41149699665801054,0.7635086431061002,1,0.8229939933160211,0.43734108245550307,0.33364811855295656,0.6672962371059131
ACYP2,-+--,0.054458001,0.23996510157267348,0.6991100112990604,1,0.47993020314534696,0.2799854703959317,0.19540897864303355,0.3908179572860671
TSPYL6,--++,0.005750884,0.016382993934642237,0.6958276898020244,1,0.032765987869284474,0.02397384671267708,0.011550196135406072,0.023100392270812144
C2orf73,+-+-,0.109303523,0.3075246723800293,0.6778807099182377,1,0.6150493447600586,0.3458045768252815,0.2504721778294348,0.5009443556588696
SPTBN1,+-++,0.08996935,0.09275174906476047,0.782936596649651,1,0.18550349812952094,0.12037776970577552,0.06944646229841639,0.13889292459683278
EML6,+-++,0.303684754,0.4897053446463182,0.6363461597697745,1,0.9794106892926364,0.49081002542680713,0.38311782652912973,0.7662356530582595
RTN4,++++,0.084126835,0.1121316762960558,0.961357311505856,1,0.2242633525921116,0.1452960406828914,0.08579107947116082,0.17158215894232165
CLHC1,+++-,0.009700835,0.0023991819447436377,0.9894155739540009,1,0.0047983638894872754,0.0037050490374137303,0.00246985326165916,0.00493970652331832
RPS27A,-+++,0.317098532,0.5212156939363505,0.6432278355210905,1,1.042431387872701,0.5099164547766073,0.4009152985616737,0.8018305971233474
MTIF2,+++-,0.224635751,0.22756105429172083,0.8799335097131891,1,0.45512210858344165,0.26698147475481293,0.18494842365247713,0.36989684730495426
CCDC88A,++++,0.008637567,0.010096496060429522,0.9773097563530874,1,0.020192992120859045,0.014021067925899019,0.0077727734999273575,0.015545546999854715
CFAP36,-+++,0.377500064,0.4095900617973444,0.7700287190505277,1,0.8191801235946888,0.4359607700690156,0.3319773354641871,0.6639546709283742
SMEK2,-+-+,0.42081933,0.5777587001731991,0.697457860370786,1,1.1555174003463982,0.5345441336723574,0.42742989975301465,0.8548597995060293
PNPT1,++--,0.179456188,0.1456238295229478,0.9065935518173618,1,0.2912476590458956,0.1820559389756629,0.11506610489612087,0.23013220979224175
EFEMP1,++--,0.207252811,0.7179260213507389,0.33615571894366447,-1,0.6723114378873289,0.3723667005666134,0.2733018525245187,0.5466037050490374
CCDC85A,-+++,0.047022079,0.05956775630031884,0.8361038441702155,1,0.11913551260063768,0.08042135851798038,0.04314978933604533,0.08629957867209066
VRK2,++++,0.142738844,0.1010988231826346,0.9685703759854134,1,0.2021976463652692,0.1306937885942608,0.0767833793404039,0.1535667586808078
FANCL,++++,0.10532925,0.05725634261308133,0.9904451683889919,1,0.11451268522616266,0.07729749364329822,0.041261078018305974,0.08252215603661195
BCL11A,---+,0.066084545,0.9352891511245363,0.09642435019045283,-1,0.19284870038090565,0.12436437599883772,0.07257537232110425,0.1451507446422085
PAPOLG,++--,0.171538186,0.6543678178608019,0.4249263833243917,-1,0.8498527666487834,0.44726136858927795,0.3438430802760625,0.687686160552125
REL,+-+-,0.551858598,0.7724951045635527,0.541308488340806,-1,1.082616976681612,0.5199767543222432,0.4111151471122412,0.8222302942244823
PUS10,+++-,0.226663918,0.27336273260755944,0.8423203081796724,1,0.5467254652151189,0.31354885579367964,0.22214150806334448,0.44428301612668897
PEX13,-+--,0.142569762,0.7162220237634703,0.27403100861201346,-1,0.5480620172240269,0.31425250617463313,0.2227388303668725,0.445477660733745
KIAA1841,+++-,0.09482974,0.061906857375572576,0.9529306473005535,1,0.12381371475114515,0.08354522339266254,0.045692285340694465,0.09138457068138893
AHSA2P,++++,0.001588407,4.773626330326107e-5,0.9996733385005543,1,9.547252660652214e-5,3.632401017072285e-4,7.26427429899753e-5,1.452854859799506e-4
USP34,++-+,0.085182522,0.09195171202599714,0.936284771902302,1,0.18390342405199428,0.11957864148201962,0.06886532035449659,0.13773064070899319
XPO1,+++-,0.072973738,0.2422243292583281,0.76646645759191,1,0.4844486585166562,0.2831093352706139,0.19816940287665263,0.39633880575330527
FAM161A,--++,0.486448863,0.7723619346449077,0.49723912561448813,-1,0.9944782512289763,0.4957140781635915,0.38757718852161277,0.7751543770432255
CCT4,-+--,0.200411574,0.6608314931220717,0.2233895311879503,-1,0.4467790623759006,0.2626035159087607,0.18038503450780966,0.3607700690156193
COMMD1,++++,0.222824842,0.36859801481570376,0.8338033510560072,1,0.7371960296314075,0.40072648020341445,0.29994188580560804,0.5998837716112161
B3GNT2,-+++,0.106024474,0.7739875505078359,0.30135541571043917,-1,0.6027108314208783,0.3409850355949441,0.24511442063203778,0.49022884126407557
TMEM17,-++-,0.107382792,0.31528533581883694,0.4251517421869198,1,0.6305706716376739,0.35263349073737743,0.25642888275461284,0.5128577655092257
EHBP1,-++-,0.309737194,0.5037571916740907,0.5921124399752755,1,1.0075143833481814,0.49923719578641484,0.39168967020194684,0.7833793404038937
