gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
HNRNPCP2,-++-,0.282173076,0.585990335479857,0.5575180799915259,-1,1.1150361599830518
B4GALT3,--+-,0.245936401,0.5576625295599253,0.5726923973973563,1,1.1153250591198507
RP5-1024G6.5,-++-,0.296076387,0.5791389752480229,0.5576655144815154,-1,1.1153310289630307
MORF4L1P1,-++-,0.616683378,0.557686563520122,0.7651959040079959,1,1.115373127040244
RPL39P40,+-++,0.394789217,0.5577664263744695,0.6481488150735708,1,1.115532852748939
TRAF3IP2,-+-+,0.501289269,0.5578625721553336,0.6689242925109145,1,1.1157251443106673
ZNF574,+-++,0.247776227,0.5581395843230079,0.5757545618590025,1,1.1162791686460158
VN1R1,+++-,0.510390196,0.7747347982195777,0.5581512708044357,-1,1.1163025416088714
RNF17,+++-,0.435942041,0.747164082168319,0.5581720023595657,-1,1.1163440047191313
VASP,--++,0.272055522,0.5581930443591024,0.5583142939999963,1,1.1163860887182049
MIR548AV,-+--,0.55982512,0.7569332013916018,0.5582287816737261,-1,1.1164575633474523
MBD5,+-++,0.614883952,0.5582316762427477,0.7401372736966585,1,1.1164633524854954
RP11-838N2.5,++-+,0.368651476,0.5583176975438292,0.6416568132595059,1,1.1166353950876584
SUMF1,--+-,0.293712182,0.5583696727150393,0.6029212257575479,1,1.1167393454300787
RP11-390P2.2,-+++,0.325687859,0.6310792636008843,0.5585389396452731,-1,1.1170778792905462
STRC,++--,0.441357515,0.5586110568109807,0.6606114089229629,1,1.1172221136219613
PGAM2,--++,0.477223735,0.7606274772526626,0.5587268795636884,-1,1.1174537591273768
MEGF8,+-++,0.415064571,0.5587444240983493,0.6576680874596961,1,1.1174888481966987
PEX1,-++-,0.524169965,0.5587651070700631,0.6932033106363431,1,1.1175302141401262
GFPT1,--++,0.498189538,0.7679983789154989,0.5588251763705145,-1,1.117650352741029
TRIM27,+++-,0.393207877,0.5589244009280565,0.655098988880477,1,1.117848801856113
ALDH3B1,+-+-,0.382709678,0.5591040962137337,0.6003959026055784,1,1.1182081924274674
RP3-462E2.5,+-+-,0.451232556,0.7145119163055098,0.5592115800778592,-1,1.1184231601557184
COPG1,+++-,0.507464734,0.5593300256218956,0.7588113841277193,1,1.1186600512437912
TENM4,---+,0.565919583,0.7805705039227224,0.559340217216276,-1,1.118680434432552
