gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
NIN,+-------,0.121174201,0.9969102540108906,0.02702105545679818,-1,0.05404211091359636
RN7SL118P,+---++++,0.004020146,0.027044132238914043,0.6771115799385166,1,0.05408826447782809
FOXN3-AS1,+-++-+++,0.007081879,0.02707028405360203,0.9762573173214142,1,0.05414056810720406
AC105760.2,+++---++,0.00111073,0.027085542902544963,0.7839975314107229,1,0.054171085805089926
ZNF410,--------,0.034416697,0.9973512516098357,0.027093493132213927,-1,0.054186986264427854
ZNF839,++++++++,0.080636037,0.027104459748822203,0.9979145835257257,1,0.054208919497644406
CDON,-+--+---,0.092991745,0.991954092894077,0.027118950963122272,-1,0.054237901926244544
RBM33,----+--+,0.069331127,0.9445070811567639,0.027121148209872322,-1,0.054242296419744644
DLC1,--------,0.047503255,0.9977102356926866,0.02714343609980665,-1,0.0542868721996133
NHLRC1,++++--++,0.023769858,0.027149715187119734,0.9412719648615195,1,0.05429943037423947
ZNF24,-++-----,0.023361611,0.8386596983118975,0.027154182392624574,-1,0.05430836478524915
AP3B2,----++++,0.006220148,0.2764147741959073,0.027154474996660103,-1,0.054308949993320206
PAPOLG,+-++----,0.044353886,0.7366682339180246,0.02715722244566225,-1,0.0543144448913245
CHRNA7,++-++++-,0.011718631,0.02719506517532534,0.954794877914557,1,0.05439013035065068
SLC9B2,++++-+++,0.053708694,0.02719570548170596,0.9822770674166184,1,0.05439141096341192
PPP6R3,+++-----,0.025814872,0.6866007729448484,0.027197324769622305,-1,0.05439464953924461
MSL2,----++--,0.064553851,0.9903321178959533,0.02720526055478282,-1,0.05441052110956564
RP11-51J9.5,-++--+++,0.053236905,0.02720808706701895,0.8666982726078649,1,0.0544161741340379
BBS1,+---+---,0.075510045,0.9864190610265091,0.027208602849171152,-1,0.054417205698342304
CTA-797E19.1,--------,0.105423472,0.9985737186376197,0.02723391803224562,-1,0.05446783606449124
NOS1AP,------++,0.007078853,0.901169130790763,0.02724012315485239,-1,0.05448024630970478
B3GALNT1,++++++--,0.010922674,0.027243567554246104,0.9705953354240346,1,0.05448713510849221
TP53I11,----++++,0.008008719,0.17005319983672407,0.027270420487488206,-1,0.05454084097497641
RP11-400K9.4,++++++-+,0.045736637,0.02727893666297925,0.9156451288106666,1,0.0545578733259585
MCF2L,-+--++++,0.030073267,0.027285487754964397,0.8581327381805786,1,0.054570975509928794
IFI27,++++++++,0.145783128,0.02728809606045409,0.9991056978809241,1,0.05457619212090818
C6orf163,+++-----,0.037933992,0.9641595456214798,0.027303047777669502,-1,0.054606095555339004
CHMP6,++----++,0.004023867,0.027303456682849562,0.7156446521419955,1,0.054606913365699124
ALPL,----++++,0.007175037,0.027324621373267226,0.3572492307705238,1,0.05464924274653445
ZBTB12,+-++++++,0.026594005,0.027327239087675884,0.7422899548750919,1,0.05465447817535177
GFOD2,++++++++,0.026636499,0.027334356215641516,0.9962346387340156,1,0.05466871243128303
NSUN7,+-+-++-+,0.003158257,0.027336937833222892,0.6949972518055263,1,0.054673875666445784
MARCH7,++---+--,0.001315912,0.2462810300275742,0.02733751268377353,-1,0.05467502536754706
ATP8B1,-----+++,0.011174647,0.8265971988772082,0.027357192243099463,-1,0.054714384486198926
YJEFN3,+---++-+,0.001172554,0.42794930321385677,0.027361032146696388,-1,0.054722064293392776
CUL9,----++++,0.027324156,0.02736243831790548,0.18682252498301427,1,0.05472487663581096
CLTC,++++-++-,0.004383192,0.02736788971558205,0.9219698351632224,1,0.0547357794311641
PCDHB17P,--------,0.156909471,0.999449546050587,0.027376630613093627,-1,0.054753261226187254
