gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
RP11-253M7.1,++++-+,0.002734542,0.040181015323267726,0.8885419917478616,1,0.08036203064653545
C1QTNF7,------,0.035265047,0.9803892489034971,0.04018298272821164,-1,0.08036596545642329
MYRFL,------,0.091018888,0.9950961998099609,0.040192649971661124,-1,0.08038529994332225
UBR3,++-+-+,0.060397071,0.04022618652791291,0.9559198493651284,1,0.08045237305582582
H2AFY2,--+---,0.080946769,0.7438125090384506,0.040232304076442856,-1,0.08046460815288571
STK19,------,0.065077223,0.9932467331876379,0.04025005070309266,-1,0.08050010140618533
ZNF385D,----+-,0.093798001,0.9925327912604504,0.04028406185252464,-1,0.08056812370504927
CD84,++++++,0.046963558,0.040290405682595905,0.9913006103368693,1,0.08058081136519181
MPO,+++-++,0.017046232,0.04029123370216838,0.9837272560673377,1,0.08058246740433676
RASL11B,++++--,0.060417004,0.04029570367106846,0.8861931920770634,1,0.08059140734213692
RP11-83J16.3,+-+---,0.04555165,0.8439236070172395,0.04031220966906565,-1,0.0806244193381313
WAC,+---+-,0.011122403,0.8304049973066786,0.040321372257004384,-1,0.08064274451400877
TK2,++++++,0.069583245,0.04032449771948705,0.9924313730790509,1,0.0806489954389741
COA7,++++++,0.161494268,0.040350799885941514,0.9977347781545383,1,0.08070159977188303
GPR158-AS1,+++++-,0.047948944,0.04037437266408661,0.8793327633271867,1,0.08074874532817322
RP11-173D3.1,------,0.127077465,0.9953657651330345,0.04037960472461941,-1,0.08075920944923883
GRAMD2B,+++-++,0.080305164,0.04038985515246877,0.9882284022987181,1,0.08077971030493754
ZNF81,+++-++,0.06190725,0.04040244567948406,0.9807725612355203,1,0.08080489135896812
NDUFS7,+++++-,0.087657929,0.04040776209868758,0.9795817750410993,1,0.08081552419737516
CLIP2,----+-,0.063213404,0.9345555307990185,0.04041664524981853,-1,0.08083329049963706
RPRML,+---+-,0.005912747,0.8631687425153677,0.0404244010026071,-1,0.0808488020052142
SLC2A11,------,0.088302898,0.9958329404183944,0.04043322935153213,-1,0.08086645870306426
VRK2,++++++,0.094100164,0.040444294139103575,0.9912496532694799,1,0.08088858827820715
FAM98C,------,0.060968024,0.9938355895144628,0.04046835426817203,-1,0.08093670853634406
PJVK,+++--+,0.046601184,0.040500370542530875,0.9401174707565624,1,0.08100074108506175
ZCRB1,++++++,0.097953709,0.040536793260437645,0.9970073156934688,1,0.08107358652087529
COMMD4,++++++,0.09506237,0.040538504627103816,0.9962870840314787,1,0.08107700925420763
MPRIP,----+-,0.154889105,0.9849477426991922,0.04056204619129665,-1,0.0811240923825933
BTF3L4,++++-+,0.032820013,0.04058657869614708,0.8901954544297689,1,0.08117315739229417
SAC3D1,--+---,0.183608658,0.9609944854175616,0.040598156064086253,-1,0.08119631212817251
SYT3,----+-,0.090115436,0.9798234955007775,0.04061054977099778,-1,0.08122109954199556
RAN,++++-+,0.088896562,0.040621425400516935,0.8762699724599803,1,0.08124285080103387
LINC02519,------,0.134035719,0.9963440865499877,0.04062527168995228,-1,0.08125054337990456
PDCL3P6,+-----,0.034028683,0.9548095405048683,0.04066858403307221,-1,0.08133716806614442
C11orf95,------,0.102044975,0.9957042907287623,0.04069266810346022,-1,0.08138533620692044
RP11-350G24.2,+--+++,0.005172191,0.040700200635165704,0.90491801257783,1,0.08140040127033141
NXF1,+-+---,0.017609949,0.8780353863571762,0.04070502415645861,-1,0.08141004831291722
RPL13AP2,----+-,0.070666451,0.7033163585781105,0.04071889627108485,-1,0.0814377925421697
CXXC4-AS1,-+----,0.032179343,0.8213051129735861,0.040719386624243875,-1,0.08143877324848775
FBXW12,++----,0.03423385,0.9675008571935223,0.04073235446035753,-1,0.08146470892071506
CDK13,+-----,0.048310354,0.962709016214122,0.04076920674728758,-1,0.08153841349457516
TAS2R9,++++++,0.206372956,0.0407748121745845,0.9982966464801115,1,0.081549624349169
ANK1,------,0.174377224,0.9979159799566346,0.04079381487878279,-1,0.08158762975756557
SGO2,+++-++,0.075271208,0.040803556808301646,0.9922692761713551,1,0.08160711361660329
UBALD2,----+-,0.05908289,0.9898631597827879,0.04088407624137482,-1,0.08176815248274964
HPRT1,-+---+,0.03368268,0.8892419234321236,0.04095203175747549,-1,0.08190406351495098
COX7A2L,++++-+,0.027437868,0.04095670414985656,0.8171285405952369,1,0.08191340829971312
TRRAP,----+-,0.147824486,0.9943382556698366,0.04096038329600905,-1,0.0819207665920181
U2AF1,----+-,0.067249548,0.9711480884419265,0.04098118396011847,-1,0.08196236792023694
PDXK,------,0.161243078,0.996712595720593,0.04099722883846114,-1,0.08199445767692227
PLPPR2,------,0.087482413,0.9957428276093817,0.04104702233589407,-1,0.08209404467178814
BAK1P1,--+-++,0.015412884,0.56358286960748,0.04104862798886798,-1,0.08209725597773596
NAGPA-AS1,--+++-,0.001806031,0.8289358694477363,0.04105802574450272,-1,0.08211605148900544
PDZD8,++++++,0.060783566,0.04107964274973905,0.9960506110391995,1,0.0821592854994781
LHX2,----+-,0.136892388,0.9960965156823066,0.04108461676180277,-1,0.08216923352360554
PRDM4,------,0.132670147,0.9960443645976012,0.0410967845802523,-1,0.0821935691605046
DTWD2,+++-+-,0.013123316,0.04110878997140074,0.9401078189923551,1,0.08221757994280147
UBQLN1,++++-+,0.033079272,0.04114224615153657,0.8482688255985342,1,0.08228449230307314
IL4R,+-++++,0.092307706,0.04114873942765237,0.9944837646669289,1,0.08229747885530474
PRDM16,--+---,0.01469335,0.9749164657342926,0.04115413194122177,-1,0.08230826388244354
MINDY3,++++-+,0.026156171,0.04116948141371893,0.918504550403002,1,0.08233896282743786
