gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
NUS1P1,+-++-+,0.02348839,0.20887458441145262,0.3089656892610703,1,0.41774916882290525
RFX3,-+----,0.161191898,0.8268050511720153,0.20894632048179693,-1,0.41789264096359385
HELZ2,--+-+-,0.022869829,0.20895233613322295,0.40359486188658295,1,0.4179046722664459
RP11-430H10.2,+--+--,0.107070287,0.8985684931588169,0.20897811323522478,-1,0.41795622647044955
THAP12P2,----+-,0.0633613,0.6590224780676128,0.20898483664414186,-1,0.4179696732882837
AGBL2,+-+-++,0.131435189,0.20899313887356094,0.9029797587939692,1,0.4179862777471219
LINC01547,-+---+,0.026498256,0.49708068900960467,0.20900937644074752,-1,0.41801875288149504
POU2F1,----+-,0.118220387,0.9069666797254509,0.20904664351014698,-1,0.41809328702029397
NDUFAF4P3,-+--+-,0.15868694,0.9485268311470083,0.2091199766611734,-1,0.4182399533223468
TMEM161B,+++--+,0.20461888,0.20912210987709415,0.825229146410385,1,0.4182442197541883
RP1-223E5.4,+--+-+,0.070442226,0.370461035336856,0.2091236424771516,-1,0.4182472849543032
DAZAP1,--+-+-,0.046107128,0.4040295577055943,0.20915037157670824,-1,0.4183007431534165
PACSIN3,-+++++,0.235824701,0.20916506364052503,0.9673448624972754,1,0.41833012728105007
LETM1P2,+++-+-,0.135419864,0.20917309588163968,0.7028572598948546,1,0.41834619176327936
RUNX2,+-++++,0.120330318,0.20924437267421206,0.8357681812481064,1,0.4184887453484241
TPD52L1,------,0.167973151,0.9636510456067623,0.20927822885598432,-1,0.41855645771196864
CYSLTR1,++---+,0.101437402,0.2093280078121913,0.9207929862334289,1,0.4186560156243826
SNORD113-7,-++---,0.096020815,0.7582831614021948,0.2093343763493191,-1,0.4186687526986382
DCUN1D1,++++++,0.126744308,0.20936294343840453,0.9547787915005759,1,0.41872588687680906
RNU1-88P,+-++++,0.233382653,0.20942734001087615,0.9567813309803259,1,0.4188546800217523
AC006195.2,--+-+-,0.023716699,0.2532225356229695,0.20944616868744062,-1,0.41889233737488124
C6orf136,+-+---,0.190908856,0.9251454208524124,0.2094564335199377,-1,0.4189128670398754
CHFR,--+-+-,0.216702812,0.897463038718599,0.2094708055944878,-1,0.4189416111889756
C17orf67,--+-++,0.120927883,0.20952044600919426,0.45144457295118634,1,0.4190408920183885
STX16,--+-++,0.074280897,0.6296300619194181,0.20957751307894146,-1,0.4191550261578829
SCYL2,++-+-+,0.201075294,0.20963150813422296,0.9190206575942667,1,0.4192630162684459
RNF40,--+-+-,0.089624539,0.7231542834406239,0.2096365209452833,-1,0.4192730418905666
CDKL5,++-++-,0.069802775,0.2096521350579135,0.6460071888683501,1,0.419304270115827
LINC00324,+----+,0.034056382,0.3612718358763711,0.20965506190462688,-1,0.41931012380925375
DNAJA1,+-++-+,0.130943235,0.2096599345552198,0.5576565293663117,1,0.4193198691104396
ZMYM4,-+---+,0.153731412,0.9155257150848964,0.20969864050479964,-1,0.4193972810095993
HOOK3,----+-,0.112243975,0.9289102051828022,0.20971204492085307,-1,0.41942408984170615
CYSTM1,-++---,0.05263968,0.7325253152646976,0.20972128946124208,-1,0.41944257892248415
PHB2,++++--,0.044423099,0.2097469445070987,0.4529435751427632,1,0.4194938890141974
RP11-1060G2.2,+-+-++,0.008678349,0.23019366880772835,0.20976790087643704,-1,0.4195358017528741
ARL13B,+++++-,0.133365371,0.20977084180756195,0.7934414405131689,1,0.4195416836151239
ZNF33A,++++++,0.160121415,0.20977740792686747,0.9673837117249545,1,0.41955481585373494
UBE2Q2P1,+---+-,0.019886903,0.2098251710115876,0.3720748577292292,1,0.4196503420231752
DNAJC10,++++-+,0.156526389,0.2098527231942062,0.9025634883643433,1,0.4197054463884124
MSL1,+--++-,0.031171105,0.74801910128873506,0.20991175740771684,-1,0.4198235148154337
SERHL,++----,0.083348299,0.5625069689267514,0.20993320423611272,-1,0.41986640847222545
STAU2,-+-+--,0.045032792,0.513915201402239,0.20997737594541452,-1,0.41995475189082904
DR1,---+--,0.112437215,0.9582818664188947,0.21002057873765345,-1,0.4200411574753069
MITD1,+++-++,0.236068967,0.2100264369227473,0.9253252606160847,1,0.4200528738454946
ATP2B1,-+++-+,0.092478019,0.21007561298240243,0.9149547315261615,1,0.42015122596480486
TJP1,+-+-++,0.036215634,0.21009688532142007,0.8473980980326437,1,0.42019377064284014
RP11-654D12.2,---+--,0.226950378,0.9259602894526792,0.2101600508416317,-1,0.4203201016832634
CDS2,++++++,0.292228205,0.2102180709488236,0.9669928280788133,1,0.4204361418976472
OR2L8,++-+++,0.089894696,0.210218210189961,0.9477541600841575,1,0.420436420379922
AL590452.1,----+-,0.13682837,0.754844154827826,0.21024544449022467,-1,0.42049088898044934
RP11-173B14.4,+---+-,0.221395021,0.9374871944648484,0.2102471449192708,-1,0.4204942898385416
RP11-1263C18.1,++-+-+,0.052569552,0.2102639753128287,0.514148107882203,1,0.4205279506256574
CAPS,-+++++,0.085666477,0.21027328758329175,0.8816015908847399,1,0.4205465751665835
PRELID1,-++++-,0.034272952,0.6659283427018854,0.21029257720078842,-1,0.42058515440157684
SUN2,-+++++,0.078714093,0.2103175369960097,0.8619100896585697,1,0.4206350739920194
U47924.30,-+++-+,0.069348271,0.21032438334010578,0.89845932118797045,1,0.42064876668021156
IPO5P1,-+---+,0.021770417,0.6135397993220079,0.21032469732739006,-1,0.42064939465478013
GAK,--+-+-,0.158631382,0.885216374606997,0.21033926907754313,-1,0.42067853815508627
MAF1,-++---,0.052896064,0.5517606578528124,0.21035892117165256,-1,0.4207178423433051
CEP44,+++-++,0.215671341,0.2103925696906808,0.9493443958532262,1,0.4207851393813616
WRAP53,--+-++,0.136907624,0.7709463979067543,0.21041706406497734,-1,0.4208341281299547
PPRC1,--+---,0.087523956,0.9333196835689551,0.21043684961373382,-1,0.42087369922746765
AC004538.3,+++-++,0.054401816,0.2105147946225372,0.6611607435224927,1,0.4210295892450744
NPTX1,---+--,0.342742253,0.9616921143013684,0.21053049791156295,-1,0.4210609958231259
TEX10,-+---+,0.06528772,0.7990104314161219,0.2105468002813611,-1,0.4210936005627222
CLCN7,++----,0.340137534,0.956418737369398,0.21058730355312696,-1,0.42117460710625393
LINC01351,++++-+,0.184946629,0.2106192101146533,0.8831216339181933,1,0.4212384202293066
RP11-798M19.3,-+-+++,0.056287129,0.21075660806306795,0.8754528485488368,1,0.4215132161261359
CCDC141,+-+-++,0.092332062,0.21076505469670662,0.5166423712555156,1,0.42153010939341323
ID4,+-+-++,0.123329817,0.21086321401262773,0.9502438436383658,1,0.42172642802525545
RP11-294J22.6,+++--+,0.23292157,0.21096594352710674,0.922471860673036,1,0.4219318870542135
SNAP23,+-++++,0.212007196,0.21097083627282434,0.9590283395968783,1,0.4219416725456487
SAR1AP4,-+---+,0.207284935,0.9014433428823314,0.2110665604204405,-1,0.422133120840881
LRSAM1,+---+-,0.145913887,0.8767380496682704,0.21107057350195854,-1,0.4221411470039171
RP11-923I11.3,-+-+++,0.078936403,0.21113276100741388,0.9119507476376781,1,0.42226552201482775
RP11-416N4.1,+-+---,0.118337666,0.7075301442899931,0.21121326580962604,-1,0.4224265316192521
SLC22A5,+-+-++,0.134669007,0.2112434927402315,0.4781155803091626,1,0.422486985480463
NRDC,++--++,0.197438831,0.21125794796177141,0.9472913024282924,1,0.42251589592354283
C21orf58,--++++,0.060864909,0.2112850546475617,0.8956105747444895,1,0.4225701092951234
SVOP,++++-+,0.081229588,0.21128671417480227,0.6535768449015202,1,0.42257342834960454
RP11-686G23.2,-----+,0.150056625,0.765534951647519,0.2112979713002996,-1,0.4225959426005992
LDLR,+---++,0.029057163,0.21134709891061404,0.8534835270564363,1,0.4226941978212281
AKR7A3,-+--+-,0.258029373,0.9203871205583329,0.21134980916794724,-1,0.4226996183358945
RP11-49O14.2,--+-+-,0.161900452,0.9069119691493936,0.21135858445364517,-1,0.42271716890729033
AC006277.2,+-+--+,0.042623456,0.7990487221410101,0.21135866020698083,-1,0.42271732041396165
ZNF829,++----,0.096067302,0.8991419341390018,0.21145735379370553,-1,0.42291470758741107
ANKRD36,+---+-,0.105940865,0.8716224973539203,0.21146937225921486,-1,0.4229387445184297
ITGB4,--+-++,0.12900204,0.21151911065343743,0.7943694923681229,1,0.42303822130687485
CYB561,--++--,0.107240546,0.6945582994052371,0.21153401073922723,-1,0.42306802147845446
SIX5,+-+-++,0.052241553,0.21155550494326433,0.6345569213688286,1,0.42311100988652867
EPB42,+-+-+-,0.030067149,0.7394245670716963,0.21158956316467664,-1,0.4231791263293533
PANK4,+++++-,0.235495597,0.2116187379707591,0.8650741955894176,1,0.4232374759415182
GRM5-AS1,++-+++,0.135406544,0.21163048981711588,0.7552711931576944,1,0.42326097963423176
BMPER,++-++-,0.111290849,0.21165137859142424,0.8770159317848395,1,0.4233027571828485
LRP3,++--+-,0.083822795,0.8917758799934824,0.2117248417378404,-1,0.4234496834756808
AKIRIN2,----++,0.122547605,0.8493922895945627,0.21172595727095916,-1,0.42345191454191833
RAB11FIP2,-+-+-+,0.096674242,0.8082972159947546,0.21174903954312913,-1,0.42349807908625825
NDUFB9,++++++,0.179363871,0.2117856805733274,0.9687141983091428,1,0.4235713611466548
MPLKIP,+-+++-,0.247462474,0.21182817961266853,0.8985981688315821,1,0.42365635922533706
ADAMTS10,+---+-,0.200965294,0.889724144626902,0.21183804075461796,-1,0.4236760815092359
RPS15A,+-+---,0.090665431,0.747366317547955,0.21184432976234768,-1,0.42368865952469537
KBTBD11,-+-+--,0.107001622,0.8796516266383325,0.2118445764576169,-1,0.4236891529152338
ATP23,+++--+,0.181533731,0.2118520383220745,0.8465114358871283,1,0.423704076644149
TYROBP,+++-++,0.120579159,0.21186245857076327,0.9232170105901499,1,0.42372491714152655
SPINT2,++++-+,0.172053064,0.21189236658637228,0.8142465975126048,1,0.42378473317274457
MLEC,++++-+,0.089595499,0.21189678672801354,0.7407149876638603,1,0.4237935734560271
PSMC4,-+++-+,0.196885465,0.2119064336186575,0.8427474394235847,1,0.423812867237315
CORO2B,--+-++,0.094856218,0.8868462267433271,0.2119234824072734,-1,0.4238469648145468
ELMO1,--+++-,0.017769074,0.537737798869559,0.21193753109894709,-1,0.42387506219789417
SLCO3A1,--++++,0.03801769,0.2119824477295365,0.8597528359140659,1,0.423964895459073
EXD3,----+-,0.143370514,0.8972102102044397,0.21201973831238105,-1,0.4240394766247621
PSENEN,+++---,0.049077576,0.21209598478057298,0.6865554174728548,1,0.42419196956114597
SNORD115-38,----+-,0.017236983,0.3133031274649279,0.21213981279377755,-1,0.4242796255875551
NDUFB11,+-++++,0.285644662,0.21215986199042705,0.969894864119374,1,0.4243197239808541
NT5DC3,-+-+++,0.219164218,0.2121691541114369,0.8081026668901197,1,0.4243383082228738
RN7SL308P,+-+-++,0.082395761,0.212207632294137,0.27359579976153314,1,0.424415264588274
RMDN3,+-+--+,0.07880432,0.8186936443700968,0.2122585803443075,-1,0.424517160688615
CNOT2,-++-++,0.133383343,0.2122835903308437,0.7231113425086154,1,0.4245671806616874
OCLNP1,------,0.241193211,0.973133854054343,0.21229556071075517,-1,0.42459112142151034
RAB12,-+++-+,0.161936344,0.21232932007502464,0.9291649615706349,1,0.4246586401500493
AOC2,--+-+-,0.060396672,0.9208693248518346,0.21233403067454446,-1,0.4246680613490889
MCMBP,-++-+-,0.09647844,0.21235826170620786,0.9086138457506177,1,0.4247165234124157
CTA-373H7.7,++----,0.043831973,0.8399437725066152,0.21239427513383743,-1,0.42478855026767487
NFKBIB,+-+-++,0.028461556,0.21239465705555094,0.8352775835939026,1,0.4247893141111019
SEC14L2,+-----,0.214142429,0.8854289335292415,0.21240417449846208,-1,0.42480834899692416
SLC5A2,++-+--,0.039003892,0.21242779297797504,0.7687617691274482,1,0.4248555859559501
CENPT,+-----,0.127276654,0.9109184361489292,0.2124701724092079,-1,0.4249403448184158
ELOVL4,-+++-+,0.064562467,0.2125047736693473,0.5195057498683893,1,0.4250095473386946
RP11-20O24.4,-++--+,0.015298077,0.21254916986574776,0.4217797972846692,1,0.4250983397314955
ARHGAP11A,--+-+-,0.039545816,0.8832549953087395,0.21259431328725942,-1,0.42518862657451884
AC009245.3,+-++++,0.005149737,0.2126178468200712,0.22340212738265597,1,0.4252356936401424
GRK5-IT1,-+----,0.104417905,0.9341548289013444,0.21262597914633416,-1,0.4252519582926683
RPS6KC1,++-+-+,0.070580079,0.21265738914263607,0.9205786933250342,1,0.42531477828527214
AC093627.10,+++---,0.093759015,0.6809205232811719,0.21268693580728343,-1,0.42537387161456686
CCM2,-+++--,0.108586169,0.8944086353225229,0.2126949206450528,-1,0.4253898412901056
TMEM222,++-++-,0.041463566,0.21271973239394418,0.6611437880074478,1,0.42543946478788836
ARID4B-IT1,+++-++,0.251449351,0.212732448299524,0.9262689330281925,1,0.425464896599048
SNX19P2,-+-++-,0.067084316,0.7762153141495827,0.21274986915685187,-1,0.42549973831370375
ARHGEF1,--+-+-,0.200039994,0.9080322509315807,0.21278343167512417,-1,0.42556686335024835
STXBP5-AS1,-+--+-,0.257770434,0.9188291592226733,0.2128263899992367,-1,0.4256527799984734
FMOD,+-++--,0.013173408,0.5787018824253606,0.21285018689103602,-1,0.42570037378207204
C3orf67-AS1,+-++++,0.297392808,0.2128978324862262,0.9719788010954307,1,0.4257956649724524
AVIL,-----+,0.102462097,0.9446349061259702,0.21291072997536037,-1,0.42582145995072074
KRT8P12,+++--+,0.1084811,0.21292076015202677,0.9090748813021666,1,0.42584152030405353
GTDC1,-+--++,0.111421239,0.21294100251647982,0.7207326924126403,1,0.42588200503295964
RP11-362K14.5,+-+-+-,0.07063247,0.2129858110019805,0.8879004103667535,1,0.425971622003961
R3HCC1L,+++---,0.085358964,0.21298653491296393,0.8594451595501935,1,0.42597306982592786
ANKRD2,+----+,0.040405883,0.8123213637548872,0.21306614825503337,-1,0.42613229651006673
MDH2,++++-+,0.117354926,0.2130732334296075,0.749534640555796,1,0.426146466859215
WWTR1,-++-++,0.129401818,0.21307676538794135,0.9236023732688321,1,0.4261535307758827
MCF2L,-+----,0.256291672,0.9659070268277636,0.21315814583604092,-1,0.42631629167208185
PTOV1,-++-+-,0.177203054,0.8643787761266674,0.2131811533253946,-1,0.4263623066507892
DDX1,++++-+,0.296677401,0.21318650773890863,0.8814687438389786,1,0.42637301547781725
RP11-473I1.10,-+-+-+,0.059691267,0.8578385409277786,0.21319310847866563,-1,0.42638621695733125
NDUFAF2,++++-+,0.155266812,0.21320258329783343,0.9529129689404269,1,0.42640516659566685
GPN1,++-+-+,0.00695751,0.4046122248624226,0.2132630810310076,-1,0.4265261620620152
ZNF189,-+--++,0.089058819,0.21329174376992457,0.8910235982607946,1,0.42658348753984915
PARG,+++--+,0.013890854,0.21332461231181227,0.295479037137019,1,0.42664922462362453
CA13,-++--+,0.047951398,0.2133921313555303,0.7890970542376704,1,0.4267842627110606
KCNH7,++----,0.145260211,0.8775376924169338,0.21354673835858226,-1,0.4270934767171645
F7,+-+---,0.144028183,0.8431454383816749,0.21357624410560677,-1,0.42715248821121354
MAPK15,++--+-,0.016899211,0.21368852601315427,0.6509931037576676,1,0.42737705202630855
ZNF682,--+-++,0.160500206,0.21374142871331908,0.77622114467722,1,0.42748285742663816
MEIS3P2,-++-++,0.103483748,0.21376832503815515,0.7726094960486976,1,0.4275366500763103
TBC1D7,-----+,0.185957863,0.9165330059215961,0.2138050731638424,-1,0.4276101463276848
INIP,++++++,0.334475288,0.21384458878321033,0.9806732050725304,1,0.42768917756642066
SF3B6,-++--+,0.181137867,0.21389476031947544,0.7945796754458962,1,0.42778952063895087
CWC15,++++-+,0.156206121,0.21393682597822664,0.917214093970254,1,0.42787365195645327
RP11-274B21.1,--+-+-,0.172332098,0.7746172837637064,0.21401825909828412,-1,0.42803651819656824
HERC2P9,+-+-+-,0.144658843,0.7929643528066903,0.21403856955217102,-1,0.42807713910434203
PSKH1,--+-++,0.047851394,0.6628995849351949,0.21405642430820734,-1,0.4281128486164147
RP11-173P15.3,+----+,0.10669536,0.8584907730997793,0.21405764244957395,-1,0.4281152848991479
EYA2,+-+--+,0.122334651,0.8081300457681441,0.2140641204318151,-1,0.4281282408636302
KCTD14,-++---,0.226416332,0.8675290190801411,0.21414162627707006,-1,0.4282832525541401
AREL1,----++,0.072541244,0.8941006762434078,0.21421378572683755,-1,0.4284275714536751
SNORD12,--+++-,0.019043085,0.7135512674772794,0.2142187239628611,-1,0.4284374479257222
ANP32B,+-+-++,0.010676594,0.4503178768451712,0.21425201653620518,-1,0.42850403307241036
RP11-45M22.5,-++-+-,0.108878126,0.6945391198651942,0.21426432277864085,-1,0.4285286455572817
ZNF384,+---+-,0.088004407,0.7287738259458025,0.2142964158204966,-1,0.4285928316409932
RRP12,----+-,0.187777481,0.9644790440813796,0.21432654420250408,-1,0.42865308840500815
RDH12,-++-+-,0.053569053,0.21435749148901098,0.7658249683806775,1,0.42871498297802196
RP11-248J23.6,++---+,0.14901042,0.8752234521872209,0.2143777149261118,-1,0.4287554298522236
PCDHB3,----++,0.213825777,0.9176394713964404,0.21439111698391766,-1,0.4287822339678353
RP11-311F12.1,-+----,0.205712536,0.9493565610651546,0.21445543495960168,-1,0.42891086991920335
ZNF37A,+-+-++,0.06013432,0.21457225776576389,0.3739806320675563,1,0.42914451553152777
NPR2,--+-+-,0.240625743,0.8614541675538014,0.2148255474455076,-1,0.4296510948910152
PHKG1,-++--+,0.068544237,0.7774847727889809,0.2148475950493415,-1,0.429695190098683
KRT10,-+++++,0.235543241,0.21488120025859483,0.9643064763951164,1,0.42976240051718967
ZFP82,+-+--+,0.04682622,0.2149457844143093,0.8617878400200103,1,0.4298915688286186
DIRC3-AS1,+++++-,0.18838971,0.21499331908193592,0.9108331822339986,1,0.42998663816387184
MRPL35,++-+-+,0.097741158,0.21503155238879526,0.9138465413536225,1,0.4300631047775905
CDH3,---+--,0.165379718,0.9012781359660724,0.21505523338531118,-1,0.43011046677062237
MT-ND4L,+--+--,0.126919585,0.9219964415354795,0.2150558037402378,-1,0.4301116074804756
GALNT9,-+----,0.225398177,0.9611868983766612,0.21511256968140108,-1,0.43022513936280216
TOMM5,+-----,0.27819669,0.967001094115771,0.21514494719454005,-1,0.4302898943890801
IL17RC,------,0.198118016,0.9741135942951269,0.2152016602240546,-1,0.4304033204481092
AC008440.5,+--+++,0.025075022,0.2730387714470077,0.21523593077244327,-1,0.43047186154488654
RP11-383I23.2,-+++++,0.162178157,0.2152955538283074,0.9656774049385219,1,0.4305911076566148
CHDH,-+---+,0.025076017,0.8043095206559353,0.2153073754980848,-1,0.4306147509961696
DEDD,+-+-+-,0.11114501,0.21532059319440194,0.5214228301079158,1,0.4306411863888039
CACNB4,-+-+--,0.154873389,0.7458741191900617,0.21539251241866414,-1,0.4307850248373283
MDFIC,+++-+-,0.087021333,0.21542662167255067,0.8840407030167962,1,0.43085324334510133
TMC1,-+--+-,0.195619612,0.9210657031554286,0.2154379327502392,-1,0.4308758655004784
LINC01301,+++-+-,0.119439081,0.21544352072498674,0.8227344149698342,1,0.4308870414499735
NDUFV2,+++-++,0.174346417,0.21544919274343535,0.8667415485481024,1,0.4308983854868707
MRPS9,++++-+,0.262424155,0.21547925998987527,0.9737144359464425,1,0.43095851997975054
BCAS4,-+-+-+,0.059501874,0.49867205262105463,0.21553200938694472,-1,0.43106401877388945
DDX54,+-++--,0.178949072,0.21559367922723183,0.8380874366736049,1,0.43118735845446365
GABPB1,-+----,0.087656686,0.6502561433293172,0.21562230875372979,-1,0.43124461750745957
CYP2D8P,++--++,0.026246084,0.5570843040312895,0.21563453384159337,-1,0.43126906768318674
COL19A1,++---+,0.140316844,0.9111131241184165,0.21563975565569463,-1,0.43127951131138925
PCDHB19P,--+-++,0.052662297,0.21564442999451316,0.36452670787074815,1,0.43128885998902633
LINC00488,++-+--,0.149311321,0.21565729512958984,0.8419033660392142,1,0.4313145902591797
ZIC5,+++++-,0.08771075,0.21572579959448582,0.9371331936917074,1,0.43145159918897164
MTF2,+++-++,0.335701137,0.21580528784858244,0.9590424924528301,1,0.4316105756971649
RP1-30E17.2,-+---+,0.057257717,0.5194176367795151,0.2158669296575348,-1,0.4317338593150696
ABCA10,-+----,0.14418591,0.9588646954974783,0.2159200301747855,-1,0.431840060349571
EPOR,+++-++,0.177392582,0.21593870725140887,0.9490741546914958,1,0.43187741450281775
LINC00907,--+-++,0.023541176,0.2352159966994722,0.2159445426844588,-1,0.4318890853689176
SCHIP1,----++,0.017922973,0.39219856812920567,0.21597705594194838,-1,0.43195411188389676
PRKCZ,-+----,0.224615421,0.9396262285712534,0.2160050748633771,-1,0.4320101497267542
RP11-31F15.2,-++-++,0.165658119,0.2160539946668994,0.7431482882032587,1,0.4321079893337988
ROR1,-++-+-,0.184874241,0.2161873573463748,0.9133740276154751,1,0.4323747146927496
CDKN2D,++----,0.162689639,0.8349557634698032,0.21620862945523903,-1,0.43241725891047805
COL5A1,----+-,0.186640287,0.8865340366293626,0.2162357118391412,-1,0.4324714236782824
ELF1,++++++,0.228065041,0.2162359584920046,0.9727595951081583,1,0.4324719169840092
C8orf88,-+-+-+,0.086295644,0.2162474318814651,0.7680173295151079,1,0.4324948637629302
RP11-49K24.8,+++-+-,0.089738604,0.2162893391007126,0.8574912518189369,1,0.4325786782014252
ST6GALNAC1,++++++,0.336605929,0.21633568278517337,0.9807149021594554,1,0.43267136557034674
STAT3,+++-++,0.185250405,0.21637941220523316,0.9426199829531761,1,0.4327588244104663
CTBP2,+-++++,0.287106313,0.2164068167201553,0.9399552054455257,1,0.4328136334403106
DIDO1,+++-++,0.095716227,0.21645089775860427,0.8573503521191319,1,0.43290179551720853
DSTNP2,++++-+,0.245609067,0.21646524628563532,0.9564209519615848,1,0.43293049257127064
RP11-61A14.3,++--+-,0.077880875,0.21650532400932931,0.8734265018032847,1,0.43301064801865863
TAZ,----+-,0.176020029,0.8433260506654758,0.21651518618527194,-1,0.43303037237054387
CFAP52,+++-+-,0.262376335,0.21658140897822012,0.9536640392903505,1,0.43316281795644024
PTPRS,---++-,0.143634825,0.9019115934368886,0.21667858033700663,-1,0.43335716067401325
EIF4A2P2,+-+--+,0.078013717,0.2166806714214571,0.7015724447577312,1,0.4333613428429142
GREM2,----+-,0.23103119,0.9637824195170513,0.21674266785002475,-1,0.4334853357000495
MT1E,++---+,0.03057333,0.6658386331633338,0.2167598509089256,-1,0.4335197018178512
TSEN54,--+-+-,0.133432005,0.8666094847039161,0.21677852408140133,-1,0.43355704816280266
SRSF4,+-+-+-,0.025087697,0.2167823397618573,0.26887277063325044,1,0.4335646795237146
RP11-635N19.1,--+---,0.040791984,0.7871302796680602,0.21681410335931142,-1,0.43362820671862284
ACTC1,--+---,0.192559579,0.9117656381123536,0.21689410889472954,-1,0.4337882177894591
GYPC,++++--,0.107032711,0.2169050978662958,0.8455962428087913,1,0.4338101957325916
RP11-48G14.1,+-+-+-,0.129465918,0.2169343520406054,0.7802687118093556,1,0.4338687040812108
GBAP1,--+-+-,0.182322857,0.9189318700940395,0.2170122599928141,-1,0.4340245199856282
RPS3AP6,+++--+,0.193538993,0.21703688260918566,0.8648767375616678,1,0.4340737652183713
ZNF765,++++++,0.130762894,0.21706019699570964,0.9625095464702226,1,0.4341203939914193
LYRM7,-+----,0.333873421,0.9759035742258836,0.2170988164393323,-1,0.4341976328786646
CTSS,++++-+,0.109395781,0.21711789837900677,0.9302963911006356,1,0.43423579675801355
TAS2R18,----+-,0.187261226,0.8254576797469919,0.21712613487768548,-1,0.43425226975537096
SPOUT1,+-+-+-,0.06303166,0.21713082302007902,0.7296843589233337,1,0.43426164604015804
GPR158,-+++++,0.131594255,0.21729756429518315,0.9140837273932332,1,0.4345951285903663
PLEKHG2,-+--+-,0.049961303,0.8322821852165279,0.21732414726373941,-1,0.43464829452747883
ATF6,-+++++,0.218244294,0.21733680700457603,0.8835495022143731,1,0.43467361400915205
ARL9,---+--,0.236487958,0.9550191628769996,0.2174150865033806,-1,0.4348301730067612
WNT5B,++++-+,0.328990868,0.21744918307888172,0.9767388415599655,1,0.43489836615776345
PPDPF,--+-+-,0.161197028,0.9123238511678444,0.21746689834224273,-1,0.43493379668448545
YWHAZP6,+----+,0.032181486,0.21750068879229292,0.32467195428469664,1,0.43500137758458585
MAK16,++++-+,0.073619554,0.21751227363846673,0.8244411388868149,1,0.43502454727693346
NAB1,-++---,0.039563362,0.5988615501673642,0.21752091887727346,-1,0.4350418377545469
RP11-302M6.5,+++-++,0.281846025,0.21760346121410187,0.9288115465191775,1,0.43520692242820375
SLC4A8,----++,0.064199224,0.4108951059091563,0.21761875615431633,-1,0.43523751230863267
RARRES2,-++---,0.102977775,0.8388304791343736,0.21763905002158648,-1,0.43527810004317297
AGPAT2,++----,0.139776753,0.926925060427195,0.21766242988437132,-1,0.43532485976874263
MED10,+-+--+,0.050023735,0.303047077799011,0.21770125891737296,-1,0.43540251783474593
RP11-255P5.2,+++-++,0.175760565,0.21772164115080395,0.8113933534631568,1,0.4354432823016079
MICU2,++---+,0.0977398,0.21777373730240687,0.838156184052314,1,0.43554747460481374
MSL3P1,++++-+,0.260689826,0.21782819874560766,0.9711564296490921,1,0.4356563974912153
RP11-32B5.2,-++---,0.017907468,0.2178462014990085,0.6279866971306927,1,0.435692402998017
CYP2U1,+++-+-,0.181883278,0.2178710721649982,0.8548723443679817,1,0.4357421443299964
RP13-15M17.1,+---++,0.060169827,0.8511127713618001,0.21791856492954706,-1,0.4358371298590941
FRMD8,---++-,0.047391857,0.5543028438932976,0.2179210133753007,-1,0.4358420267506014
WDR77,-++---,0.078194689,0.7532599021133708,0.21800897544457226,-1,0.4360179508891445
ZNF83,+++-++,0.23510688,0.21801541096286167,0.9536974864515949,1,0.43603082192572334
BMP1,--+-+-,0.139647484,0.7280427997930676,0.21801547098024976,-1,0.4360309419604995
PSMA2,-+++++,0.271066959,0.2180248263505941,0.9542860034820029,1,0.4360496527011882
ZFP2,++++-+,0.292310265,0.21804898935318648,0.9660453400410286,1,0.43609797870637296
GART,+++--+,0.202839241,0.2180579960054509,0.9263181887325774,1,0.4361159920109018
L1CAM,---++-,0.207971223,0.9478616752796725,0.21810710579983317,-1,0.43621421159966633
EMB,-++--+,0.016372362,0.5946650904600606,0.21811080810737096,-1,0.4362216162147419
PDPN,--+-++,0.069694794,0.2181646320635945,0.7028922124317086,1,0.436329264127189
HCCS,++-+-+,0.058575284,0.21821517096879575,0.5874334904501595,1,0.4364303419375915
CIDEA,++-+--,0.102212877,0.21822029659378595,0.6533983464383347,1,0.4364405931875719
BVES,-+++-+,0.168533564,0.2182769511572899,0.9253773858047182,1,0.4365539023145798
BMP2K,+++-++,0.155143223,0.2183360631802679,0.9207339119104869,1,0.4366721263605358
RP11-1277A3.3,+++-++,0.205307332,0.21833714751527428,0.9529930219078635,1,0.43667429503054855
PCSK1N,+--+--,0.079537698,0.8621982206099545,0.218400018034264,-1,0.436800036068528
FAR2P1,+++-+-,0.186527606,0.21842222941229786,0.9148491264287019,1,0.4368444588245957
AKAP12,++-+--,0.135224985,0.7143437502566696,0.21842803597887978,-1,0.43685607195775955
RP5-991G20.4,+-++-+,0.189908628,0.2184512397398778,0.9430878191027341,1,0.4369024794797556
CNGA3,-++-+-,0.115847143,0.218453838420145,0.8549745395490866,1,0.43690767684029
TREX1,++++-+,0.123202156,0.21848796030992132,0.9293344775986168,1,0.43697592061984264
MAP2,+----+,0.135371751,0.8357141285597438,0.21863059193492712,-1,0.43726118386985424
SMARCD1,--+-+-,0.258378454,0.9385029644525007,0.21865640836244712,-1,0.43731281672489425
