gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
DDT,+-+++++++++-,5.17889e-4,1.8106383681567284e-8,0.9999927711316855,1,3.621276736313457e-8,1.4530659691950015e-4,0.0010897203051216855,2.906131938390003e-4
LRRC8C,------------,0.002213602,0.9999999826665619,1.9048081469222006e-8,-1,3.809616293844401e-8,2.1794406102433709e-4,0.001089799476896251,4.3588812204867417e-4
MMAB,++++++++++++,0.004444297,2.882758852433255e-8,0.9999999999804046,1,5.76551770486651e-8,2.1795989537925023e-4,0.001162368325463131,4.3591979075850045e-4
AGBL5,+++---++++-+,1.31829e-4,3.2564014787074765e-8,0.9671089414651785,1,6.512802957414953e-8,2.906131938390003e-4,0.001162368325463131,5.812263876780006e-4
NOL6,------+-+---,4.95106e-4,0.9997031121125458,4.179989219041227e-8,-1,8.359978438082454e-8,3.632401017072285e-4,0.0011624527753560012,7.26480203414457e-4
EGR4,------------,0.002035188,0.9999999597402935,4.350511005169547e-8,-1,8.701022010339095e-8,3.632401017072285e-4,0.0012351060738157512,7.26480203414457e-4
GPX4,++++++++++-+,8.7679e-4,5.034144093268006e-8,0.9999992702427859,1,1.0068288186536011e-7,3.632664922987504e-4,0.0013076643661460226,7.265329845975008e-4
TCFL5,++++++---+++,0.003414279,6.086212391444919e-8,0.9871472289336821,1,1.2172424782889838e-7,4.3591979075850045e-4,0.0013076643661460226,8.718395815170009e-4
ANKRD37,-+-++-------,0.001004973,0.9834377629411494,8.21610707784351e-8,-1,1.643221415568702e-7,5.085361423901198e-4,0.0013077593722755014,0.0010170722847802397
TRIB1,-----------+,0.001304623,0.9996906103061758,8.563123922850641e-8,-1,1.7126247845701282e-7,5.085361423901198e-4,0.0013804126707352513,0.0010170722847802397
HERC6,++++++++++++,0.00288934,8.741733606588718e-8,0.9999999992051569,1,1.7483467213177436e-7,5.085730892182505e-4,0.001452960406828914,0.001017146178436501
PCDHB4,-----+------,6.68832e-4,0.9999873307556023,9.052431504609245e-8,-1,1.810486300921849e-7,5.811841627315655e-4,0.0014530659691950015,0.001162368325463131
PDE4D,-+----------,3.30356e-4,0.9999998772270062,1.184956551176583e-7,-1,2.369913102353166e-7,5.811841627315655e-4,0.0015257192676547515,0.001162368325463131
GBP3,++++++++--++,0.002975392,1.2244356082018576e-7,0.9951309205024409,1,2.448871216403715e-7,5.812263876780006e-4,0.0015982564475118053,0.0011624527753560012
LAMTOR4,+++-++++++++,7.60347e-4,2.1837677944261939e-7,0.9999776542854063,1,4.3675355888523877e-7,6.538796861377507e-4,0.0015982564475118053,0.0013077593722755014
JUNB,------------,0.001521794,0.999999842974109,3.227853291658862e-7,-1,6.455706583317724e-7,7.26480203414457e-4,0.0015983725661145017,0.001452960406828914
NDUFA2,++++-++++++-,6.12726e-5,3.3001273816290514e-7,0.99368101665115,1,6.600254763258103e-7,7.265329845975008e-4,0.001670904467853251,0.0014530659691950015
RPS28,+++---++++++,4.3403e-4,4.857224785478107e-7,0.7580668263768744,1,9.714449570956214e-7,7.991862830572508e-4,0.001670904467853251,0.0015983725661145017
SPTY2D1,------------,0.002723638,0.9999980222315923,4.906898072160549e-7,-1,9.813796144321098e-7,8.717762440973483e-4,0.0016710258645742516,0.0017435524881946967
VEGFA,+-+-+-------,0.003807741,0.9952939988344982,5.170791123181998e-7,-1,1.0341582246363996e-6,8.717762440973483e-4,0.0017436791630340018,0.0017435524881946967
DNAJB5,------------,4.07769e-4,0.999998400823641,5.906093268585115e-7,-1,1.181218653717023e-6,8.717762440973483e-4,0.0018163324614937518,0.0017435524881946967
SPRED2,--------+--+,0.002121304,0.9961941299594803,5.985870787783745e-7,-1,1.197174157556749e-6,8.717762440973483e-4,0.001888985759953502,0.0017435524881946967
QPRT,++++++++++++,6.52847e-5,6.244499727581246e-7,0.9999997486536383,1,1.2488999455162491e-6,8.718395815170009e-4,0.0019614965492190336,0.0017436791630340018
TET3,------+-----,0.001737538,0.9999842091664377,7.774172156375398e-7,-1,1.5548344312750797e-6,9.44424264438794e-4,0.001961639058413252,0.001888848528877588
ZNF10,-----+------,0.003490946,0.9999998976381833,7.786056758663715e-7,-1,1.557211351732743e-6,9.44424264438794e-4,0.002034292356873002,0.001888848528877588
SPRY2,-----------+,0.00653533,0.9999973998004588,7.823448437397304e-7,-1,1.5646896874794609e-6,9.44424264438794e-4,0.0021069456553327523,0.001888848528877588
ARL5B,-+----------,0.002460311,0.999995585313359,8.562308096514372e-7,-1,1.7124616193028743e-6,9.44424264438794e-4,0.002179598953792502,0.001888848528877588
DUSP4,------------,0.007261581,0.9999999259807655,9.732213509013013e-7,-1,1.9464427018026026e-6,9.44424264438794e-4,0.0022522522522522522,0.001888848528877588
INAFM2,-+-------+--,0.001927182,0.9939181419368721,9.786917322943316e-7,-1,1.957383464588663e-6,9.44424264438794e-4,0.0023249055507120024,0.001888848528877588
TSGA10,++++++++-+++,1.63682e-4,9.961762121372665e-7,0.9996218246988869,1,1.992352424274533e-6,9.44492879976751e-4,0.002397384671267708,0.001888985759953502
NHP2,+++++++++++-,2.40017e-4,1.0555300091774848e-6,0.9999750336289988,1,2.1110600183549695e-6,0.001017146178436501,0.002397384671267708,0.002034292356873002
RPS14,+++-++++++++,1.74313e-4,1.2535378871113053e-6,0.99970675435399,1,2.5070757742226105e-6,0.001089799476896251,0.002397384671267708,0.002179598953792502
MDGA2,-----------+,0.002616667,0.9999985058680182,1.2723922861815425e-6,-1,2.544784572363085e-6,0.001162368325463131,0.0023975588491717526,0.002324736650926262
ZNF30,++++++++-+++,0.00207997,1.5911634678615177e-6,0.9989094702965154,1,3.1823269357230354e-6,0.0011624527753560012,0.0024700326916091537,0.0023249055507120024
YPEL5,++++-+++++--,0.001303795,1.6818536992885894e-6,0.9600156409214087,1,3.363707398577179e-6,0.0012351060738157512,0.0024700326916091537,0.0024702121476315024
GPR3,--------+---,0.001015085,0.9999881703525311,1.7062709381695952e-6,-1,3.4125418763391903e-6,0.0013076643661460226,0.0024702121476315024,0.0026153287322920452
DUSP1,------------,0.002136191,0.9999998232585838,1.8170954685587989e-6,-1,3.6341909371175977e-6,0.0013076643661460226,0.0025428654460912525,0.0026153287322920452
CYTH4,++++++++++++,0.002469272,1.9958788904001736e-6,0.9999989539432687,1,3.991757780800347e-6,0.0013077593722755014,0.0026153287322920452,0.0026155187445510027
LMO2,+++++++++++-,0.001281322,2.095930100380606e-6,0.999939556834043,1,4.191860200761212e-6,0.0013804126707352513,0.0026153287322920452,0.0027608253414705027
GPR19,-------+----,0.00199779,0.9986005800285236,2.5344120050115367e-6,-1,5.068824010023073e-6,0.001452960406828914,0.0026155187445510027,0.002905920813657828
MRPL4,++-++-++++-+,4.65164e-4,2.5668923332398725e-6,0.998174581905163,1,5.133784666479745e-6,0.0014530659691950015,0.0026879767526334906,0.002906131938390003
COPS9,+++++++++++-,2.72445e-4,2.578294004428419e-6,0.9998474860711937,1,5.156588008856838e-6,0.0015257192676547515,0.0026879767526334906,0.003051438535309503
ERRFI1,-------+----,0.017079355,0.9999994744392263,2.6044666375400913e-6,-1,5.208933275080183e-6,0.0015982564475118053,0.002688172043010753,0.0031965128950236107
TRIB2,--------+--+,0.012802278,0.9800564771858417,2.7289385279617262e-6,-1,5.4578770559234524e-6,0.0015982564475118053,0.0027608253414705027,0.0031965128950236107
BLVRB,++++-+++++++,0.001006611,2.783541207177351e-6,0.9997263268817187,1,5.567082414354702e-6,0.0015983725661145017,0.002833272793316382,0.0031967451322290033
ATXN7,----------++,0.002090582,0.9999245200574233,2.8554179965007293e-6,-1,5.710835993001459e-6,0.001670904467853251,0.002833478639930253,0.003341808935706502
CLUL1,------------,0.011649265,0.9999999978985096,2.8642216522153452e-6,-1,5.7284433044306905e-6,0.001670904467853251,0.002906131938390003,0.003341808935706502
FOSB,----------+-,0.001839652,0.9999792688168931,3.0012079245924306e-6,-1,6.002415849184861e-6,0.001670904467853251,0.0029787852368497528,0.003341808935706502
SOX17,++++++++++++,0.00124281,3.0744230109681358e-6,0.9999960273442122,1,6.1488460219362715e-6,0.0016710258645742516,0.003051216854340719,0.0033420517291485033
RGS2,-------++---,0.005417929,0.9994895400836092,3.0925147180573685e-6,-1,6.185029436114737e-6,0.0017435524881946967,0.003051438535309503,0.0034871049763893934
REX1BD,+++++--+++-+,1.43341e-5,3.104501912273535e-6,0.9978406636632411,1,6.20900382454707e-6,0.0017436791630340018,0.003123864874682165,0.0034873583260680036
HDDC3,++++++-+++++,0.00210592,3.1287114378077375e-6,0.9999984825305924,1,6.257422875615475e-6,0.0018163324614937518,0.003123864874682165,0.0036326649229875036
HLA-A,++++++++++-+,0.00774014,3.2049809508693056e-6,0.9981983604545484,1,6.409961901738611e-6,0.001888985759953502,0.003123864874682165,0.003777971519907004
RPL8,++++--++++-+,2.1357e-5,3.4634774751225785e-6,0.9945747867862452,1,6.926954950245157e-6,0.001961639058413252,0.003123864874682165,0.003923278116826504
KLF4,----------+-,2.45318e-4,0.9999727030162127,3.4985955628176676e-6,-1,6.997191125635335e-6,0.0020341445695604794,0.003124091833769253,0.004068289139120959
UFC1,++++-+++++++,0.009203424,3.584070882126755e-6,0.9993495652088921,1,7.16814176425351e-6,0.002034292356873002,0.0031965128950236107,0.004068584713746004
ESYT1,++++++++++++,0.002725509,3.6678008764397546e-6,0.9999989870176965,1,7.335601752879509e-6,0.0021069456553327523,0.0031965128950236107,0.004213891310665505
RPL10A,+++--+++++++,2.61478e-4,3.952608789518703e-6,0.9915549160280307,1,7.905217579037406e-6,0.002179598953792502,0.0031965128950236107,0.004359197907585004
EEF2,-+----++++++,8.97529e-5,4.466209901590655e-6,0.6188031069353701,1,8.93241980318131e-6,0.0022522522522522522,0.0031965128950236107,0.0045045045045045045
PTGS2,--------+---,2.67881e-4,0.9999095286189671,4.947852421778286e-6,-1,9.895704843556572e-6,0.002324736650926262,0.0031967451322290033,0.004649473301852524
ITPR3,++--+-++++++,0.001833984,4.990324660809433e-6,0.9971143767955997,1,9.980649321618865e-6,0.0023249055507120024,0.0032691609153650564,0.004649811101424005
PRDX5,++++--++++++,1.42607e-6,5.024971548597978e-6,0.9992648713444319,1,1.0049943097195956e-5,0.0023975588491717526,0.0032691609153650564,0.004795117698343505
ERCC2,++++++++++++,0.001112135,5.078985549438746e-6,0.9999994589651807,1,1.0157971098877492e-5,0.0024702121476315024,0.0032691609153650564,0.004940424295263005
FOS,------------,0.019294293,0.9999999224331286,5.1331074993421e-6,-1,1.02662149986842e-5,0.0025426807119505995,0.003269398430688753,0.005085361423901199
HLA-C,++++++++++++,0.007461564,5.162091685459528e-6,0.9999998860271153,1,1.0324183370919057e-5,0.0025428654460912525,0.003341808935706502,0.005085730892182505
NDUFB9,++++++++++++,0.001398063,5.328726966023686e-6,0.999940637829611,1,1.0657453932047371e-5,0.0026155187445510027,0.003341808935706502,0.0052310374891020054
MRPL2,+-+-++++++++,0.003019543,5.3997054343096034e-06,0.9679813189013934,1,1.0799410868619207e-5,0.002688172043010753,0.003341808935706502,0.005376344086021506
C7orf50,-++++-++++++,1.35065e-4,5.614892028098017e-6,0.9956908699301016,1,1.1229784056196033e-5,0.0027608253414705027,0.003341808935706502,0.005521650682941005
ITGAX,++++++++++++,0.004399138,5.686007620381206e-6,0.9999999728620589,1,1.1372015240762412e-5,0.002833478639930253,0.003341808935706502,0.005666957279860506
DUSP6,--------+--+,0.00841003,0.9999782850682696,6.0351946994713355e-6,-1,1.2070389398942671e-5,0.002905920813657828,0.0033420517291485033,0.005811841627315656
NDUFS6,++++++++++-+,0.002055551,6.226746798250494e-6,0.9999547002071958,1,1.2453493596500987e-5,0.002906131938390003,0.0034144569560479476,0.005812263876780006
MRPL36,++++-+++++-+,7.38268e-6,6.638742660096359e-6,0.9991840755806753,1,1.3277485320192718e-5,0.0029787852368497528,0.0034144569560479476,0.0059575704736995055
INHBA,------+++---,1.88165e-4,0.9933853633403108,6.795832872157396e-6,-1,1.3591665744314791e-5,0.003051216854340719,0.0034147050276082534,0.006102433708681438
KLHDC9,-++---++++++,4.84111e-6,6.843207048226987e-6,0.9765360680681843,1,1.3686414096453974e-5,0.003051438535309503,0.0034871049763893934,0.006102877070619006
RBM24,------------,0.012052711,0.9999977972906312,7.035526987250834e-6,-1,1.4071053974501668e-5,0.003123864874682165,0.0034873583260680036,0.00624772974936433
DDX55,+++-++++++++,1.07752e-4,7.4230316935698766e-6,0.9994875925660626,1,1.4846063387139753e-5,0.003124091833769253,0.003559752996730839,0.006248183667538506
COX6B1,++++-+++++-+,1.16734e-4,7.71436659991866e-6,0.9918416109832242,1,1.542873319983732e-5,0.0031967451322290033,0.003559752996730839,0.006393490264458007
ASB4,++++++----+-,0.001065553,7.880737353497473e-6,0.5584987251423849,1,1.5761474706994945e-5,0.003269398430688753,0.003559752996730839,0.006538796861377506
HECTD2,------------,0.003155724,0.9999998078537422,7.978037788238103e-6,-1,1.5956075576476207e-5,0.003341808935706502,0.0035600116245277534,0.006683617871413004
CCNH,----------+-,0.005131359,0.9999975931240496,8.276299802451602e-6,-1,1.6552599604903204e-5,0.003341808935706502,0.0036326649229875036,0.006683617871413004
IRF2BP2,-+----------,0.012098605,0.999987452008187,8.459262624184479e-6,-1,1.6918525248368958e-5,0.003341808935706502,0.0037053182214472537,0.006683617871413004
LONRF1,----+-------,0.004010672,0.9999987013818219,8.461031577788396e-6,-1,1.6922063155576792e-5,0.003341808935706502,0.003777971519907004,0.006683617871413004
PTPRE,------------,0.013984058,0.9999994625381221,8.822805039539229e-6,-1,1.7645610079078457e-5,0.003341808935706502,0.0038506248183667537,0.006683617871413004
RPS21,+++--+++++-+,0.004426264,9.149583253874185e-6,0.9990903357368743,1,1.829916650774837e-5,0.0033420517291485033,0.003922993098438067,0.0066841034582970065
GRASP,--------+-++,0.00157049,0.980131258770269,9.346200859466937e-6,-1,1.8692401718933875e-5,0.0034144569560479476,0.003923278116826504,0.006828913912095895
DHRS9,++++++++++++,0.003274032,9.450018066634403e-6,0.9999773112718989,1,1.8900036133268807e-5,0.0034147050276082534,0.003995641118779513,0.006829410055216507
C1orf43,+++---++++-+,0.001660319,9.52804852943638e-6,0.9785517962028992,1,1.905609705887276e-5,0.0034873583260680036,0.003995641118779513,0.006974716652136007
MIF,++-++-+++++-,5.35398e-4,1.010776708669258e-5,0.9885896095557453,1,2.021553417338516e-5,0.0035600116245277534,0.003995641118779513,0.007120023249055507
NDUFB7,++++-+++++++,7.87668e-5,1.0174326114491409e-5,0.9999318092076945,1,2.0348652228982817e-5,0.0036326649229875036,0.003995641118779513,0.007265329845975007
APOBEC3G,++++++++++-+,0.005256815,1.0202481531653193e-5,0.9999956093688183,1,2.0404963063306386e-5,0.0037053182214472537,0.003995641118779513,0.0074106364428945075
NDUFB4,+++-++++++--,4.69955e-5,1.025944031131566e-5,0.9984444194426841,1,2.051888062263132e-5,0.003777971519907004,0.003995641118779513,0.007555943039814008
PI16,++++++++-+++,0.005665047,1.1250149496381002e-5,0.9999696896407135,1,2.2500298992762005e-5,0.0038506248183667537,0.003995641118779513,0.007701249636733507
HSD11B1,++++++-++++-,0.003603646,1.149730499486107e-5,0.998748335288504,1,2.299460998972214e-5,0.003923278116826504,0.003995641118779513,0.007846556233653008
NFIL3,--------++--,0.004388214,0.999818278859134,1.2388945185287023e-5,-1,2.4777890370574046e-5,0.003995641118779513,0.003995931415286254,0.007991282237559027
IRF3,++++++++++++,0.00722052,1.2503273792104675e-5,0.9999992314337786,1,2.500654758420935e-5,0.003995931415286254,0.004068289139120959,0.007991862830572507
RPL36,+++---++++++,2.28312e-4,1.2897987736431141e-5,0.9947372680044871,1,2.5795975472862282e-5,0.004068584713746004,0.004068289139120959,0.008136578278241918
PRPSAP2,++++++++-+--,2.27577e-4,1.3389655667138604e-5,0.9960752152015508,1,2.677931133427721e-5,0.004141238012205754,0.004068289139120959,0.008136578278241918
CRY1,-++-+-------,0.001297082,0.9926977387526277,1.383691127728063e-5,-1,2.767382255456126e-5,0.00421358517980385,0.004068584713746004,0.008137169427492008
SH3BGRL2,+++++++++++-,1.95883e-4,1.4077447921703418e-5,0.9997309777056468,1,2.8154895843406837e-5,0.004213891310665505,0.004140937159462405,0.00828187431892481
SPRY4,-----------+,0.004499285,0.9999247492925198,1.452240791837797e-5,-1,2.904481583675594e-5,0.004286233200145296,0.004141238012205754,0.008282476024411508
NOS3,++--+-++++++,8.2228e-4,1.4755328480308465e-5,0.9993715050774489,1,2.951065696061693e-5,0.004286544609125254,0.00421358517980385,0.0084271703596077
SCUBE1,---------+-+,3.81305e-4,0.9893334876431469,1.5592004257306424e-5,-1,3.118400851461285e-5,0.004358881220486742,0.004213891310665505,0.00842778262133101
CCDC85B,+++++--+++-+,1.76488e-5,1.5654256975907638e-5,0.9973097445662158,1,3.1308513951815276e-5,0.004359197907585004,0.004286233200145296,0.008572466400290591
CCDC124,+-----++++++,9.17799e-7,1.5672340525081977e-5,0.578281734066818,1,3.1344681050163954e-5,0.004431851206044755,0.004286233200145296,0.008572466400290591
SURF1,++++--++++++,0.007982506,1.587140709998719e-5,0.9992988857626656,1,3.174281419997438e-5,0.0045045045045045045,0.004286233200145296,0.008572466400290591
RPL15,++++-+++++-+,0.001276514,1.620425213719161e-5,0.9850852398480007,1,3.240850427438322e-5,0.004577157802964254,0.004286233200145296,0.008572466400290591
FAM160A1,------+---+-,0.001171402,0.9995184178305746,1.654054985759136e-5,-1,3.308109971518272e-5,0.004649473301852524,0.004286544609125254,0.008573089218250509
CITED2,-------+++-+,0.004709407,0.80641998239781,1.6671133963485524e-5,-1,3.334226792697105e-5,0.004649473301852524,0.004359197907585004,0.008718395815170008
LYPLAL1,++++++++-+++,8.96139e-4,1.6824890095444877e-5,0.996307189479497,1,3.3649780190889754e-5,0.004649811101424005,0.004431529240828187,0.008863058481656375
BTG2,------------,0.034984151,0.9999992941329849,1.6984482792784116e-5,-1,3.396896558556823e-5,0.00472212132219397,0.004431851206044755,0.00886370241208951
NR1D1,++++++++++++,0.007710126,1.745331871544528e-5,0.9999997474671267,1,3.490663743089056e-5,0.004722464399883755,0.0045041772611696335,0.009008354522339267
ZNF304,------------,0.03180612,0.999999985694791,1.7544941296458605e-5,-1,3.508988259291721e-5,0.004794769342535416,0.0045045045045045045,0.009009009009009009
SPRED1,-+----------,0.002482216,0.9999763861484741,1.7760314717957535e-5,-1,3.552062943591507e-5,0.004794769342535416,0.004577157802964254,0.009154315605928508
RPL7A,++++--++++++,1.14484e-4,1.916618243061503e-5,0.9942520460932471,1,3.833236486123006e-5,0.004795117698343505,0.004649473301852524,0.009298946603705048
NLRP1,++-+++-+++--,3.34038e-4,1.952317149320079e-5,0.9940653292129253,1,3.904634298640158e-5,0.004867770996803255,0.004649473301852524,0.009298946603705048
XPOT,++++++-+----,3.48571e-4,1.98494318058534e-5,0.7858817935850084,1,3.96988636117068e-5,0.004940424295263005,0.004649473301852524,0.009298946603705048
UBE2M,-+----++++++,4.9052e-5,1.9961720242092113e-5,0.669262094215674,1,3.992344048418423e-5,0.005013077593722755,0.004649473301852524,0.009298946603705048
STAT6,-------+++++,4.06613e-5,0.7480750865711152,2.0331228603568196e-5,-1,4.066245720713639e-5,0.005085361423901199,0.004649811101424005,0.00929962220284801
SEL1L3,-----------+,0.003823645,0.9999872491970925,2.0394989026963783e-5,-1,4.0789978053927566e-5,0.005085361423901199,0.004722464399883755,0.00944492879976751
C8orf33,++++++-+-+--,4.21041e-4,2.3295062331976806e-5,0.8447893778446973,1,4.659012466395361e-5,0.005085730892182505,0.004794769342535416,0.009589538685070832
CSRNP1,----+-----+-,0.004429018,0.9999040649527955,2.398576828671106e-5,-1,4.797153657342212e-5,0.005158009444242644,0.004795117698343505,0.00959023539668701
BCL11A,-----------+,0.007064712,0.9999566054304846,2.4020735250330207e-5,-1,4.8041470500660415e-5,0.005158009444242644,0.004867770996803255,0.00973554199360651
FOSL2,------------,0.016231813,0.9999991023994916,2.433348668771203e-5,-1,4.866697337542406e-5,0.005158009444242644,0.004940424295263005,0.00988084859052601
CPEB4,------------,0.001845536,0.9999883594747112,2.456652583785785e-5,-1,4.91330516757157e-5,0.005158009444242644,0.005013077593722755,0.01002615518744551
GABRG3,-----------+,0.001534699,0.9999861253836799,2.505431208980709e-5,-1,5.010862417961418e-5,0.005158009444242644,0.005085730892182505,0.01017146178436501
RPS2,++++--++++++,6.73894e-4,2.5062991097121732e-5,0.9973757629214406,1,5.0125982194243464e-5,0.005158384190642255,0.005158009444242644,0.010316018888485289
CCDC28A,++++-+--+++-,2.76058e-4,2.51325011654567e-5,0.9227009828952502,1,5.02650023309134e-5,0.0052310374891020054,0.005158009444242644,0.010316018888485289
PCCB,++++++-+----,5.58917e-4,2.5968487641084985e-5,0.8443970505332834,1,5.193697528216997e-5,0.005303690787561755,0.005158009444242644,0.010316018888485289
BCL6,-----------+,0.026456644,0.9999763120613373,2.653152566732946e-5,-1,5.306305133465892e-5,0.005375953505266981,0.005158384190642255,0.01031676838128451
SNU13,++++-+++++-+,6.21323e-4,2.6703118619740107e-5,0.9688220005670095,1,5.3406237239480214e-5,0.005376344086021506,0.0052306574645840905,0.010461314929168181
DCTN3,++-+-+++++++,5.09701e-4,2.7185190029108607e-5,0.992921786970158,1,5.4370380058217214e-5,0.0054489973844812556,0.0052306574645840905,0.010461314929168181
FNBP1L,----+-----++,0.001051041,0.9732014591229391,2.7250630150716294e-5,-1,5.450126030143259e-5,0.005521249545949873,0.0052310374891020054,0.010462074978204011
SIAH3,------+-+---,0.001398796,0.9931148831245412,2.727023994365095e-5,-1,5.45404798873019e-5,0.005521249545949873,0.005303690787561755,0.01060738157512351
XRRA1,------+++++-,0.005265531,0.69290354583336,2.828848635714862e-5,-1,5.657697271429724e-5,0.005521249545949873,0.005376344086021506,0.010752688172043012
CLTCL1,++++++---+++,0.001117366,2.830096293961157e-5,0.9339556890038091,1,5.660192587922314e-5,0.005521650682941005,0.005448601525608427,0.010897203051216855
DBP,++++++++++++,0.03491466,2.8583254620619596e-5,0.9999999210283103,1,5.716650924123919e-5,0.005594303981400756,0.005448601525608427,0.010897203051216855
SLCO4C1,-------++--+,0.001876387,0.9936408783850479,2.8746291228787707e-5,-1,5.7492582457575414e-5,0.005666545586632764,0.0054489973844812556,0.010897994768962511
SOCS5,------------,0.013140496,0.999997269008825,2.9372219761381733e-5,-1,5.8744439522763466e-5,0.005666545586632764,0.005521650682941005,0.01104330136588201
BACH2,-----------+,0.024064661,0.9999861872515052,3.0310896543155626e-5,-1,6.062179308631125e-5,0.005666545586632764,0.005594303981400756,0.011188607962801512
NR4A2,------------,0.019463351,0.9999993857150805,3.0498029704400955e-5,-1,6.099605940880191e-5,0.005666545586632764,0.005666957279860506,0.011333091173265529
PALM2,-+----------,0.017933334,0.9999951933624829,3.0978564485708245e-5,-1,6.195712897141649e-5,0.005666545586632764,0.005739610578320255,0.011333091173265529
SORBS2,----+-+-+-++,0.001787139,0.9670387274410825,3.155732172535008e-5,-1,6.311464345070016e-5,0.005666545586632764,0.005812263876780006,0.011333091173265529
LIPG,+++++++++++-,0.048137989,3.220661484889191e-5,0.9999896999097755,1,6.441322969778382e-5,0.005666957279860506,0.005884489647657101,0.011333914559721011
EGR3,------+-----,0.006875591,0.9998696936727429,3.2837062542489224e-5,-1,6.567412508497845e-5,0.00573919360697421,0.005884917175239756,0.01147838721394842
CCDC115,++++++++++++,0.00926366,3.2963093628203405e-5,0.999953897303841,1,6.592618725640681e-5,0.005739610578320255,0.0059571376679985475,0.01147922115664051
CCDC25,++++++++++++,0.057155901,3.366289223007765e-5,0.9999999944333925,1,6.73257844601553e-5,0.005812263876780006,0.0059571376679985475,0.011624527753560012
CLDN1,----+-------,0.002607686,0.9993832013000997,3.372004684326168e-5,-1,6.744009368652336e-5,0.005884489647657101,0.0059575704736995055,0.011768979295314203
GADD45GIP1,++++--++++++,1.26471e-6,3.373908144116625e-5,0.8081455227778871,1,6.74781628823325e-5,0.005884917175239756,0.006029785688339993,0.011769834350479512
MYLK2,+-++++++++++,0.031270442,3.471158447635553e-5,0.99999933286905,1,6.942316895271106e-5,0.0059575704736995055,0.006029785688339993,0.011915140947399011
FAM43B,--+-+-----+-,0.003739818,0.9439023393270419,3.559429752817539e-5,-1,7.118859505635078e-5,0.006029785688339993,0.006030223772159256,0.012059571376679986
ERP44,-+--+-------,7.58422e-4,0.9949822581512535,3.5644041898002896e-5,-1,7.128808379600579e-5,0.006029785688339993,0.006102877070619006,0.012059571376679986
