gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
PCDHGC5,----++++,0.257220496,0.9886645922724742,0.175084623898554,-1,0.350169247797108
ESCO1,++--++--,0.175489517,0.43852046626175795,0.7043853352082982,1,0.8770409325235159
C3orf80,---+-++-,0.125501744,0.938523277205429,0.24402208799083766,-1,0.4880441759816753
BMPR1A,-++-++--,0.193235522,0.5319063010642797,0.6169195768577507,1,1.0638126021285594
FAM241A,++++----,0.205930646,0.06888070523426162,0.9973132355467891,1,0.13776141046852325
WDR90,----++++,0.268175805,0.9923300815823949,0.18919266600140444,-1,0.3783853320028089
GEMIN5,+++-+---,0.163471332,0.1526847108032004,0.9259772936955573,1,0.3053694216064008
KCNJ1,+++++---,0.102305751,0.06652960110289177,0.9899615409527754,1,0.13305920220578354
ACTG1P20,-----+-+,0.255343463,0.9867895838187394,0.13662664088495086,-1,0.2732532817699017
ONECUT2,-++-+---,0.129888629,0.522288143830067,0.6676057187257174,1,1.044576287660134
HDAC2,++++----,0.157570339,0.10452979514007506,0.9952734380083437,1,0.20905959028015011
RBP1,+-+-----,0.164762158,0.3372173447691079,0.9185800437351103,1,0.6744346895382158
CDH26,+++-+--+,0.186889165,0.2929291482602527,0.8227728986569903,1,0.5858582965205054
YAE1,+++-++--,0.147687653,0.32703023291154515,0.8878438488141465,1,0.6540604658230903
CTD-2555O16.3,+-+-+-++,0.304976326,0.8954276993817569,0.4008398568537648,-1,0.8016797137075296
OTUD7A,----+-++,0.158073238,0.9789122398039,0.07971914954446525,-1,0.1594382990889305
AF127936.7,+++++-+-,0.163241402,0.28451178604095145,0.9428712025581111,1,0.5690235720819029
ARMC6,--+-++++,0.149943894,0.9633070470337817,0.20820620236673107,-1,0.41641240473346214
BEST4,--+++--+,0.155134202,0.5339610201883324,0.46533478671841755,-1,0.9306695734368351
RPS3AP43,+-+-+--+,0.121164532,0.6320033741269147,0.5219851737761063,-1,1.0439703475522126
VIT,-+-++-++,0.168178567,0.9202802351065422,0.20000786582327193,-1,0.40001573164654386
NUP50-DT,++---++-,0.188801489,0.6311440440015426,0.7367025157668008,1,1.2622880880030851
CACNA1S,++-++-+-,0.166994547,0.1886866347522576,0.9545620728540825,1,0.3773732695045152
FAM47E,+-+++---,0.143514978,0.09426636150753717,0.9760616739083158,1,0.18853272301507434
IQCF3,+-+---++,0.243789301,0.8294632196043077,0.40300576259063886,-1,0.8060115251812777
PDE3B,++--+++-,0.156418294,0.6731666379321635,0.340368882746312,-1,0.680737765492624
SLC2A3P2,-++--+--,0.23662936,0.6508349225730546,0.6521925584533779,1,1.3016698451461093
PTPRA,++-++---,0.3153022,0.40734910301613836,0.9000343404219048,1,0.8146982060322767
SNRPF,+---+-++,0.266678412,0.846056156026896,0.43930759077056086,-1,0.8786151815411217
SRR,-+++----,0.343132518,0.20027385028431607,0.9903257890074104,1,0.40054770056863215
POLR1B,-+++-+--,0.216249636,0.4211465764958185,0.7786696069882332,1,0.842293152991637
RPS19P3,+-+-+-++,0.235707756,0.7257892969416795,0.6634567792045993,-1,1.3269135584091987
RPA2P3,++--+-+-,0.1725577,0.44004914064241074,0.5827256324224143,1,0.8800982812848215
HIST1H3A,-+---+++,0.154478342,0.8177106685472302,0.279688647724473,-1,0.559377295448946
RP11-747H7.3,+-----+-,0.355354813,0.4598102907773092,0.9149181042511308,1,0.9196205815546185
FAM92A,++--+++-,0.21796897,0.8950915151844379,0.2604975501091466,-1,0.5209951002182932
AC147651.3,--+-++++,0.116015108,0.9619756383148876,0.2591978485707247,-1,0.5183956971414494
TMEM217,+-----++,0.090487461,0.6930874030916852,0.3406678345925266,-1,0.6813356691850532
UAP1,-+-+---+,0.316320008,0.6548286769813456,0.6898747243758192,1,1.3096573539626912
CAP2,+--+-+++,0.203567724,0.6957614567986836,0.5274930715655628,-1,1.0549861431311256
HOGA1,+++-+---,0.243930936,0.41686276550402557,0.8567239750135025,1,0.8337255310080511
SEZ6L2,----++++,0.129319133,0.996093389444541,0.06553112784870742,-1,0.13106225569741484
INPP5B,+++-+-+-,0.165256674,0.48274667897041856,0.7260289539355399,1,0.9654933579408371
GPR161,--+-++++,0.302758032,0.9747333754694625,0.19156298338156597,-1,0.38312596676313193
MRS2,++++++++,0.424468016,0.5786257647152774,0.8977907584691238,1,1.1572515294305548
RP11-571M6.17,++--++-+,0.208586783,0.8273879701381122,0.19992157560725068,-1,0.39984315121450137
CTF1,+-+-++--,0.110220197,0.6160812562201938,0.41109816322888426,-1,0.8221963264577685
TRIM36,+-++--+-,0.103679864,0.10653192723628421,0.9574738090993434,1,0.21306385447256843
NOS1,+-++--++,0.252503223,0.8689699426956115,0.43385823482383995,-1,0.8677164696476799
SNTA1,-++--++-,0.069130162,0.9228065178305258,0.14501545417849396,-1,0.2900309083569879
FHL3,++-++-++,0.363582807,0.7088386260317263,0.6841752654673676,-1,1.3683505309347352
INF2,--+-++++,0.248471497,0.9758971147210193,0.13912691070887728,-1,0.27825382141775457
TSFM,-++-+-+-,0.179598729,0.651653864007544,0.5875417159698163,-1,1.1750834319396326
RP11-96D1.10,--+-+---,0.365201386,0.6435741158045347,0.665556784630949,1,1.2871482316090694
