gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
MRPL36,++++++++,7.38268e-6,0.28191183885834425,1.6975419678953797e-4,-1,3.3950839357907594e-4,0.38539774791136944,0.01852524518706865,0.0370504903741373
YPEL5,++++++++,0.001303795,0.0018127175226063284,0.07104612383179208,1,0.0036254350452126567,0.03530693788594261,0.21133309117326554,0.07061387577188522
EGR4,--------,0.002035188,0.5371193940563364,5.7302917692312537e-5,-1,1.1460583538462507e-4,0.5375227025063567,0.010243370868143843,0.020486741736287686
COX6B1,++++++++,1.16734e-4,0.6568213944798591,2.295078420816392e-5,-1,4.590156841632784e-5,0.6071921540138031,0.00573919360697421,0.01147838721394842
UFC1,++++++++,0.009203424,0.083855933225649,0.0019000116921120264,-1,0.0038000233842240528,0.21896113330911732,0.04903741373047584,0.09807482746095168
ANKRD37,-+-+----,0.001004973,8.359211415682401e-8,0.998283395086301,1,1.6718422831364802e-7,1.4529604068289138e-4,0.9434798401743553,2.9059208136578276e-4
EEF2,-+--++++,8.97529e-5,0.9997399860030526,2.6845599460616883e-8,-1,5.3691198921233766e-8,0.9760988013076644,1.4529604068289138e-4,2.9059208136578276e-4
PCDHB4,--------,6.68832e-4,4.6274884425061947e-4,0.20805282431866987,1,9.254976885012389e-4,0.016781692698873956,0.32887758808572465,0.03356338539774791
RPS14,+++-++++,1.74313e-4,0.41653538603024215,5.032719198610563e-5,-1,1.0065438397221126e-4,0.46908826734471487,0.009153650563022158,0.018307301126044315
QPRT,++++++++,6.52847e-5,0.11353502237047772,0.0014831471780467162,-1,0.0029662943560934325,0.25012713403559755,0.0438794042862332,0.0877588085724664
RPL10A,+++-++++,2.61478e-4,0.9437101569301793,3.302321961927459e-6,-1,6.604643923854918e-6,0.8174355248819469,0.002106792589901925,0.00421358517980385
KLHDC9,-++-++++,4.84111e-6,0.009021644193334117,0.008332385734086454,-1,0.01666477146817291,0.07976752633490737,0.08863058481656375,0.15953505266981474
SURF1,++++++++,0.007982506,0.027033915762295684,0.012338615898264625,-1,0.02467723179652925,0.13142026879767527,0.10468579731202325,0.2093715946240465
ATXN7,--------,0.002090582,0.12863469823862705,0.0017795274377625009,-1,0.0035590548755250018,0.2660370504903741,0.04809298946603705,0.0961859789320741
ZNF10,--------,0.003490946,0.0159108930121674,0.024688482568164194,1,0.0318217860243348,0.10265165274246277,0.13701416636396657,0.20530330548492554
FNBP1L,--------,0.001051041,0.0012831780752995646,0.1332890722285071,1,0.002566356150599129,0.02971304031965129,0.27097711587359247,0.05942608063930258
LRRC8C,--------,0.002213602,0.0010313213492049807,0.19659571742553933,1,0.0020626426984099613,0.026371231383944788,0.32132219397021433,0.052742462767889575
NDUFS6,++++++++,0.002055551,0.19894788984629608,8.727474848726725e-4,-1,0.001745494969745345,0.3267707954958227,0.035815474028332725,0.07163094805666545
MDGA2,--------,0.002616667,1.988303494103979e-4,0.4889113798843827,1,3.976606988207958e-4,0.011841627315655648,0.49277152197602614,0.023683254631311296
RPL7A,++++++++,1.14484e-4,0.824730922704643,2.123422310632882e-5,-1,4.246844621265764e-5,0.7147112241191428,0.005375953505266981,0.010751907010533962
COPS9,++++++++,2.72445e-4,0.4073060000524918,2.63791074821549e-4,-1,5.27582149643098e-4,0.46356701779876497,0.02157646204140937,0.04315292408281874
RPL36,+++-++++,2.28312e-4,0.8008819226236614,1.83170282598401e-5,-1,3.66340565196802e-5,0.6961859789320741,0.005158009444242644,0.010316018888485289
FAM118A,--------,0.0042653430000000004,0.07063326324639935,0.007131929092621992,-1,0.014263858185243984,0.2021067925899019,0.08398111151471123,0.16796222302942246
MIF,++-+++++,5.35398e-4,0.06842146089466337,0.0017203726026644053,-1,0.0034407452053288106,0.19891027969487832,0.0472212132219397,0.0944424264438794
REX1BD,++++-+++,1.43341e-5,0.2499198894415098,0.00050577042510440665,-1,0.0010115408502088133,0.36331274972756994,0.02818743189248093,0.05637486378496186
HERC6,++++++++,0.00288934,0.014937063448303946,0.03182488316898113,1,0.029874126896607893,0.09916454776607338,0.1527787867780603,0.19832909553214675
RPS2,++++++++,6.73894e-4,0.7089060660306199,6.532429231492094e-5,-1,1.3064858462984188e-4,0.6379222666182347,0.011260443152924083,0.022520886305848167
SPRED2,------+-,0.002121304,0.8848707288353757,9.020483559620406e-6,-1,1.804096711924081e-5,0.7583726843443516,0.003632401017072285,0.00726480203414457
MRPL4,++-+++++,4.65164e-4,0.4274761022947692,1.5509073337336828e-4,-1,3.1018146674673656e-4,0.47569923719578644,0.01758082092262986,0.03516164184525972
TET3,----+---,0.001737538,0.7780955000827926,4.0802017423334477e-5,-1,8.160403484666895e-5,0.6806393025790047,0.008209226298583363,0.016418452597166726
RPL15,++++++++,0.001276514,0.269599706573206,8.581430824558219e-4,-1,0.0017162861649116438,0.3770432255721032,0.035524881946966944,0.07104976389393389
CCDC124,+---++++,9.17799e-7,0.9786361851649675,4.769959679315403e-7,-1,9.539919358630806e-7,0.87286596440247,7.26480203414457e-4,0.001452960406828914
SNU13,++++++++,6.21323e-4,0.2704562181685455,0.0010576943490510074,-1,0.0021153886981020147,0.3779150018162005,0.03843080276062477,0.07686160552124954
UBE2M,-+--++++,4.9052e-5,0.970830953240946,1.3589951084606037e-6,-1,2.7179902169212073e-6,0.8577551761714494,0.0010897203051216855,0.002179440610243371
SPRY2,--------,0.00653533,0.6143205829087184,1.5408028843101498e-4,-1,3.0816057686202996e-4,0.582564475118053,0.017508172902288413,0.035016345804576826
NDUFB7,++++++++,7.87668e-5,0.4878655893540288,3.300230684203551e-4,-1,6.600461368407102e-4,0.509698510715583,0.02411914275335997,0.04823828550671994
RPS21,+++-++++,0.004426264,0.6716793994198322,9.922626217118475e-5,-1,1.984525243423695e-4,0.6160552124954595,0.013367235742826007,0.026734471485652014
C7orf50,-+++++++,1.35065e-4,0.8639334120693426,2.5906555252152446e-5,-1,5.181311050430489e-5,0.7404286233200146,0.006393025790047221,0.012786051580094443
NLRP1,++-+-+++,3.34038e-4,0.13047552241815805,0.002061487254098866,-1,0.004122974508197732,0.2680711950599346,0.050926262259353434,0.10185252451870687
MICOS13,+++-++++,1.45234e-5,0.153341786821303,0.001406791475297069,-1,0.002813582950594138,0.29051943334544134,0.04249909189974573,0.08499818379949146
NDUFB9,++++++++,0.001398063,0.7168202857109199,1.331594619006663e-4,-1,2.663189238013326e-4,0.6423537958590628,0.015982564475118054,0.03196512895023611
RPL18,+++-++++,0.004467738,0.33216009592653783,4.518455203534386e-4,-1,9.036910407068772e-4,0.4154013803123865,0.0270250635670178,0.0540501271340356
GPR3,------+-,0.001015085,0.8269888215250005,5.4355068756840496e-5,-1,1.0871013751368099e-4,0.7164547766073375,0.00980748274609517,0.01961496549219034
SCAND1,+-++-+++,7.81571e-7,0.38892127285598915,8.452894168751798e-5,-1,1.6905788337503595e-4,0.45194333454413366,0.012568107519070105,0.02513621503814021
ELOF1,++--++++,9.19193e-5,0.9314568872496574,1.0729484452648773e-5,-1,2.1458968905297547e-5,0.8045768252815111,0.003995641118779513,0.007991282237559027
DEAF1,++--++++,0.001223482,0.9325451623501552,5.045958841351516e-6,-1,1.0091917682703032e-5,0.8059571376679986,0.003051216854340719,0.006102433708681438
OST4,++++++++,5.97486e-4,0.2684620609279905,0.0020990160492930115,-1,0.004198032098586023,0.37573556120595714,0.05128950236106066,0.10257900472212132
GADD45GIP1,++++++++,1.26471e-6,0.6058998905402345,2.5111813425675387e-4,-1,5.022362685135077e-4,0.5770432255721032,0.021213221939702143,0.04242644387940429
LONRF1,--------,0.004010672,0.01190333168135934,0.09149574068956429,1,0.02380666336271868,0.0893570650199782,0.23421721758082092,0.1787141300399564
FAM43B,--+-----,0.003739818,0.10492648116877187,0.00526700268067965,-1,0.0105340053613593,0.2406828913912096,0.07293861242281148,0.14587722484562296
CCDC85B,++++-+++,1.76488e-5,0.07706498675042273,0.00580958840373702,-1,0.01161917680747404,0.21038866690882674,0.07664366146022521,0.15328732292045041
NDUFB4,+++-++++,4.69955e-5,0.7950544229279213,7.69976643939165e-5,-1,1.53995328787833e-4,0.6920450417726117,0.012204867417362876,0.024409734834725753
KLF4,--------,2.45318e-4,0.5164125623582553,5.711173571868328e-4,-1,0.0011422347143736657,0.5267707954958227,0.029640392299309842,0.059280784598619685
IMP4,-++-++++,4.99604e-4,0.9852761647634826,5.017565762968748e-6,-1,1.0035131525937497e-5,0.8898656011623683,0.0029785688339992737,0.0059571376679985475
DCTN3,++-+++++,5.09701e-4,0.348429742424217,8.207105354279822e-4,-1,0.0016414210708559644,0.4258626952415547,0.034871049763893935,0.06974209952778787
SPTY2D1,--------,0.002723638,0.7711185304034149,1.687650170356174e-4,-1,3.375300340712348e-4,0.6766436614602253,0.018452597166727206,0.03690519433345441
ERP44,-+------,7.58422e-4,6.393249841840477e-5,0.7385344748523406,1,1.2786499683680954e-4,0.006610969851071558,0.6279694878314566,0.013221939702143116
MMAB,++++++++,0.004444297,0.03516458941127683,0.05008328754564624,1,0.07032917882255366,0.14747548129313476,0.18300036324010172,0.2949509625862695
STAT6,-----+++,4.06613e-5,0.9995273180796425,9.151867618334893e-8,-1,1.8303735236669785e-7,0.9680348710497639,2.9059208136578276e-4,5.811841627315655e-4
OSBPL6,------+-,0.001862636,0.04698943148738497,0.023444879219713628,-1,0.046889758439427255,0.16825281511078824,0.13461678169269886,0.2692335633853977
DNAJB5,--------,4.07769e-4,0.7803337619485005,2.1244544435157812e-4,-1,4.2489088870315624e-4,0.6826007991282238,0.02005085361423901,0.04010170722847802
PROCR,++++++++,0.007670732,0.14739420151599789,0.00985143156376386,-1,0.01970286312752772,0.2853614239011987,0.09589538685070832,0.19179077370141664
NOL6,----+-+-,4.95106e-4,0.6894616447647258,9.406846291479071e-5,-1,1.8813692582958142e-4,0.6258626952415547,0.012931347620777333,0.025862695241554667
LMO2,++++++++,0.001281322,7.391548575528437e-4,0.5278093417948145,1,0.0014783097151056875,0.021140573919360698,0.513766799854704,0.042281147838721396
HDDC3,++++-+++,0.00210592,0.032894123627027275,0.04054718374986965,1,0.06578824725405455,0.14253541590991645,0.16861605521249545,0.2850708318198329
FAM220A,++++-+++,0.014461234,0.05214006049507548,0.02579802414929501,-1,0.05159604829859002,0.17508172902288413,0.13919360697420996,0.2783872139484199
NMRAL1,++++++++,0.003247795,0.48777010752834216,0.001085702085564942,-1,0.002171404171129884,0.5095532146749001,0.03886669088267345,0.0777333817653469
FKBP8,+++--+++,4.35437e-6,0.9149082615770674,2.242217227126764e-5,-1,4.484434454253528e-5,0.7868507083181984,0.005521249545949873,0.011042499091899746
DUSP1,--------,0.002136191,0.25472616392026715,0.005009589336357916,-1,0.010019178672715833,0.36701779876498364,0.07163094805666545,0.1432618961133309
RINL,++++++++,0.001930082,0.48116398211179723,0.0012117186499621178,-1,0.0024234372999242357,0.506284053759535,0.04024700326916091,0.08049400653832182
COPZ1,++++++++,2.97504e-4,0.0018729367634328139,0.3763919527148812,1,0.0037458735268656278,0.036396658191064295,0.431456592807846,0.07279331638212859
VEGFA,+-+-----,0.003993285,2.1750220244521964e-5,0.9595637696833744,1,4.350044048904393e-5,0.0037050490374137303,0.8193243734108245,0.007410098074827461
BCL6,--------,0.026456644,0.21244862939069425,0.008256909162197314,-1,0.01651381832439463,0.33708681438430804,0.08826734471485652,0.17653468942971304
CCNH,--------,0.005131359,0.091733023232823,0.022686742609942297,-1,0.045373485219884595,0.2279694878314566,0.13345441336723574,0.26690882673447147
SAMD4A,--------,7.16375e-4,0.33090002161188425,0.0020153688450215462,-1,0.0040307376900430925,0.41482019614965493,0.050345078096621865,0.10069015619324373
TRMT9B,--+-----,0.004323589,0.0016594976778855392,0.4225701273328242,1,0.0033189953557710783,0.033999273519796584,0.45702869596803486,0.06799854703959317
ERCC1,-++-++++,2.64684e-4,0.9116163239728159,2.3494492971167352e-5,-1,4.6988985942334704e-5,0.7838721394841991,0.0059571376679985475,0.011914275335997095
SCUBE1,-------+,3.81305e-4,0.8808374269595127,6.794088607318965e-5,-1,1.358817721463793e-4,0.7543043952052306,0.011696331274972757,0.023392662549945514
ESYT1,++++++++,0.002725509,0.0026795479436897934,0.36862819272835623,1,0.005359095887379587,0.04300762804213585,0.42738830366872504,0.0860152560842717
CKB,++--++++,1.82118e-5,0.9741417381507036,9.815714615408023e-6,-1,1.9631429230816047e-5,0.8645840900835452,0.003850345078096622,0.007700690156193244
SH3BGRL2,++++++++,1.95883e-4,0.0060794510626980365,0.1948363093525678,1,0.012158902125396073,0.06465673810388667,0.3198692335633854,0.12931347620777334
GRASP,------+-,0.00157049,0.8520658956829813,8.294341953190789e-5,-1,1.6588683906381579e-4,0.7324373410824555,0.012422811478387214,0.02484562295677443
BTG2,--------,0.034984151,0.17923940580689512,0.012057641539446658,-1,0.024115283078893317,0.3111514711224119,0.10359607700690156,0.20719215401380311
EIF3K,++++++++,0.001011124,0.7219628677733154,4.91312537836692e-4,-1,9.82625075673384e-4,0.6449691245913549,0.027969487831456592,0.055938975662913185
SLCO4C1,-----++-,0.001876387,0.4913637765297775,4.911864996429933e-4,-1,9.823729992859867e-4,0.5115147112241192,0.027896839811115147,0.055793679622230294
CCDC28A,++++--++,2.76058e-4,4.614529789823814e-5,0.9529827044755562,1,9.229059579647628e-5,0.005375953505266981,0.808645114420632,0.010751907010533962
AIP,+++-++++,8.51329e-4,0.7664632805582157,2.0203174454267277e-4,-1,4.0406348908534554e-4,0.6729386124228115,0.019542317471848893,0.03908463494369779
PDE4D,-+------,3.30356e-4,0.010935782492482416,0.13977187073641015,1,0.02187156498496483,0.08572466400290592,0.2770069015619324,0.17144932800581184
RPL5,++++++++,0.002390898,0.3025194559823542,0.004411748144469607,-1,0.008823496288939215,0.3978932074100981,0.06865237922266618,0.13730475844533235
INHBA,----+++-,1.88165e-4,0.9983137200651788,3.6014829172684806e-6,-1,7.202965834536961e-6,0.9509625862695241,0.0022520886305848167,0.0045041772611696335
B4GALNT4,----++++,1.57781e-4,0.99999274320034,2.2407058896456005e-7,-1,4.481411779291201e-7,0.9950599346167817,4.3588812204867417e-4,8.717762440973483e-4
SOX17,++++++++,0.00124281,0.0269348774390491,0.08206736377691494,1,0.0538697548780982,0.13112967671630948,0.2241917907737014,0.26225935343261897
LDLRAD4,--------,0.003274262,6.60919914950565e-4,0.6384553791543334,1,0.00132183982990113,0.01990555757355612,0.5725390483109335,0.03981111514711224
ORAI1,++++++++,0.009650818,0.018401607227548654,0.13994094824483477,1,0.03680321445509731,0.1114420632037777,0.2772974936432982,0.2228841264075554
JUNB,--------,0.013079518,0.5288314465783096,0.0018303227076306976,-1,0.0036606454152613953,0.5338903014892844,0.04874682164911006,0.09749364329822012
SOD1,++++++++,0.004808796,0.08235666424456879,0.035636690114699915,-1,0.07127338022939983,0.21692698873955685,0.15968034871049763,0.31936069742099527
EIF3I,++++++++,0.002014523,0.2319527573683979,0.005487783290954125,-1,0.01097556658190825,0.3508172902288413,0.07475481293134761,0.14950962586269523
FIS1,++++++++,0.008277055,0.06294654145766279,0.035168145798066396,-1,0.07033629159613279,0.19070105339629495,0.15902651652742464,0.3180530330548493
CRY1,-++-----,0.001297082,3.154308980826612e-5,0.9654102851020583,1,6.308617961653224e-5,0.0045041772611696335,0.8302942244823829,0.009008354522339267
DCAF11,++-+++++,0.0025305,0.46639500930021816,0.0011837910968231522,-1,0.0023675821936463043,0.4985833636033418,0.03981111514711224,0.07962223029422448
ITPR3,++--++++,0.001833984,0.9635004782948714,4.215663380974054e-5,-1,8.431326761948108e-5,0.8446058844896477,0.0084271703596077,0.0168543407192154
DHRS9,++++++++,0.003274032,0.0034831622808961546,0.3880240117763598,1,0.006966324561792309,0.04932800581184163,0.4382128586996004,0.09865601162368326
NAA38,+++-++++,9.04149e-4,0.4875955456132898,0.0017690025759675107,-1,0.0035380051519350213,0.5093352706138757,0.04794769342535416,0.09589538685070832
HLA-A,++++++++,0.00774014,6.8998008501574125e-05,0.966192790909461,1,1.3799601700314825e-4,0.00675626589175445,0.8316018888485289,0.0135125317835089
R3HDM2,------+-,2.67589e-4,0.9827335280390693,3.5925563526136134e-5,-1,7.185112705227227e-5,0.8830366872502724,0.007555394115510352,0.015110788231020704
SELENOW,+++-++++,0.002793305,0.2320641525337316,0.0030974445092355352,-1,0.0061948890184710705,0.35110788231020706,0.06066109698510715,0.1213221939702143
GBP3,++++++--,0.004561531,1.7069479504451196e-5,0.9801916573822212,1,3.413895900890239e-5,0.003051216854340719,0.8603705049037413,0.006102433708681438
SORBS2,----+-+-,0.001787139,0.8021513539273257,1.51453160326306e-4,-1,3.02906320652612e-4,0.6972756992371958,0.017217580820922628,0.034435161641845256
GUK1,-+--++++,5.48489e-4,0.7924161247149161,3.619171686709478e-5,-1,7.238343373418956e-5,0.689647657101344,0.007628042135851798,0.015256084271703597
PITHD1,++++++++,0.01079795,0.15221704077940237,0.020757604105399806,-1,0.04151520821079961,0.2892117689792953,0.1292408281874319,0.2584816563748638
C8orf33,++++-+-+,4.21041e-4,1.416958022158391e-4,0.696155538026642,1,2.833916044316782e-4,0.009298946603705048,0.6034144569560479,0.018597893207410097
NOS3,++--++++,8.2228e-4,0.894434290531432,1.2501206861746417e-4,-1,2.5002413723492834e-4,0.7676716309480567,0.015328732292045042,0.030657464584090084
LCOR,-+------,0.001961434,0.0013411878703454643,0.5880502861444672,1,0.0026823757406909286,0.03073011260443153,0.5463131129676716,0.06146022520886306
RBBP9,++++++--,2.26421e-4,1.0719632324495607e-5,0.9921614020003795,1,2.1439264648991214e-5,0.002324736650926262,0.8998183799491464,0.004649473301852524
MAPK1IP1L,--------,0.037330675,0.2342257174610141,0.011503555303393828,-1,0.023007110606787656,0.3524881946966945,0.10156193243734109,0.20312386487468218
CCDC115,++++++++,0.00926366,0.21438814519602428,0.011004596496954814,-1,0.02200919299390963,0.3386850708318198,0.09916454776607338,0.19832909553214675
PTPRE,--------,0.013984058,0.22671897567172064,0.011257985059297579,-1,0.022515970118595158,0.34762077733381763,0.10039956411187795,0.2007991282237559
MRPL51,++++++++,0.00270936,0.08310158955131008,0.03900111329053343,-1,0.07800222658106686,0.21801670904467854,0.1662913185615692,0.3325826371231384
BCL11A,--------,0.007064712,0.6659528660076233,0.001050046289819883,-1,0.002100092579639766,0.6125681075190701,0.038212858699600435,0.07642571739920087
ERCC2,++++++++,0.001112135,0.7025451091834989,9.834890063682743e-4,-1,0.0019669780127365487,0.6338539774791137,0.03748637849618598,0.07497275699237196
MARCH2,-++-++++,1.74212e-4,0.49302307864288625,1.7009951771054503e-4,-1,3.4019903542109007e-4,0.5122411914275335,0.018597893207410097,0.037195786414820194
RNF5,++++++++,0.015069626,0.11322282814174985,0.03391623241677913,-1,0.06783246483355826,0.24969124591354885,0.15662913185615693,0.31325826371231386
ITPA,-+++++++,0.002905959,0.8133752147295131,3.604066562529081e-4,-1,7.208133125058162e-4,0.7062114057391936,0.024772974936432983,0.049545949872865966
OAZ1,-+--++++,0.00423757,0.621361260968929,4.3951471589131114e-4,-1,8.790294317826223e-4,0.5873592444605884,0.026734471485652014,0.05346894297130403
LAMTOR2,++++++++,0.006408072,0.04182784810649861,0.07980275141459635,1,0.08365569621299722,0.15859062840537597,0.22135851798038503,0.31718125681075193
ARL5B,-+------,0.002460311,0.00596159605419333,0.25236919430059096,1,0.01192319210838666,0.06385760988013077,0.3600435888122049,0.12771521976026154
RPL14,+-+-++++,0.001688182,0.99364846303977294,3.2888390169841755e-6,-1,6.577678033968351e-6,0.919142753359971,0.0020341445695604794,0.004068289139120959
CSRNP1,--------,0.004429018,0.43242174068152595,0.004456059875645986,-1,0.008912119751291973,0.4787504540501271,0.06894297130403197,0.13788594260806394
MCRS1,-++-++++,0.001828229,0.6585535703767247,5.71146407960223e-4,-1,0.001142292815920446,0.607991282237559,0.02971304031965129,0.05942608063930258
NCS1,+---++++,5.09994e-4,0.9985250089256705,4.161102720689254e-6,-1,8.322205441378508e-6,0.9530693788594261,0.0026879767526334906,0.005375953505266981
CHCHD10,+---++++,7.98659e-4,0.9995995942406765,3.2655740293812184e-6,-1,6.531148058762437e-6,0.9703596077006902,0.0019614965492190336,0.003922993098438067
TEK,++--++++,3.77471e-4,0.6504317384918271,6.72088661237498e-4,-1,0.001344177322474996,0.6034871049763894,0.032328369051943334,0.06465673810388667
HLA-C,++++++++,0.007461564,0.015958841393866264,0.22147336605169402,1,0.03191768278773253,0.10294224482382855,0.3383218307301126,0.2058844896476571
PALM2,-+------,0.017933334,0.06565455729375021,0.0558697202983788,-1,0.1117394405967576,0.19476934253541592,0.1925172539048311,0.3850345078096622
SPRY4,--------,0.004499285,0.5958073946068998,0.002078028306054061,-1,0.004156056612108122,0.5711587359244461,0.051071558300036325,0.10214311660007265
C3orf18,++++++++,0.011239099,0.17031394134254002,0.01919512887727439,-1,0.03839025775454878,0.3046131492916818,0.1256084271703596,0.2512168543407192
MEA1,++++++++,3.31177e-4,0.5253950430161711,0.0022647070179725916,-1,0.004529414035945183,0.5317835088993825,0.05339629495096258,0.10679258990192517
MZT2B,++++++++,3.5281e-4,0.5843393169322605,0.001453567166727222,-1,0.002907134333454444,0.5635306937885942,0.043080276062477295,0.08616055212495459
COPRS,++++++++,9.94745e-4,0.3651103105562796,0.006613445103999183,-1,0.013226890207998367,0.4361060661096985,0.08100254268071196,0.1620050853614239
GABRG3,--------,0.001534699,0.3032706183967247,0.008299644830612346,-1,0.016599289661224693,0.3982564475118053,0.0885579367962223,0.1771158735924446
ASAP2,--------,0.012309429,0.10461511621197171,0.03969677703556455,-1,0.0793935540711291,0.24031965128950236,0.1675263349073738,0.3350526698147476
RPS7,+++-++++,0.005129765,0.6122810502454896,0.0011299938988467196,-1,0.0022599877976934393,0.5813294587722485,0.03937522702506357,0.07875045405012714
SPATC1L,++++++++,0.001343689,0.8047516981298085,4.942485283921345e-4,-1,9.88497056784269e-4,0.6996730839084635,0.028042135851798038,0.056084271703596075
OXSR1,+-------,0.004242959,4.77492021317165e-4,0.8098244861147165,1,9.5498404263433e-4,0.016999636759898292,0.6734471485652016,0.033999273519796584
PSME4,--------,0.012233025,0.2740850627168367,0.01410630428091223,-1,0.02821260856182446,0.3808935706501998,0.11093352706138758,0.22186705412277516
RBM24,--------,0.012052711,0.2778190097929044,0.012975527078693917,-1,0.025951054157387833,0.38270977115873595,0.10708318198329096,0.21416636396658192
KLF7,--------,0.055251243,0.02649091532428456,0.18663723302952057,1,0.05298183064856912,0.1300399564111878,0.31449328005811844,0.2600799128223756
NPAP1,--------,0.002353525,0.15682843198618163,0.024332581401937885,-1,0.04866516280387577,0.29371594624046493,0.1362150381402107,0.2724300762804214
FRG1,++++++++,0.028499879,0.02344340012184113,0.19857768265846842,1,0.04688680024368226,0.12313839447875045,0.32299309843806756,0.2462767889575009
RPL29,+-+-++++,0.00166316,0.9566884440336691,7.170423370233863e-5,-1,1.4340846740467725e-4,0.8339992735197966,0.01198692335633854,0.02397384671267708
COMMD9,++++++++,0.013983813,0.10161277149824363,0.048782686673642536,-1,0.09756537334728507,0.2371957864148202,0.1808935706501998,0.3617871413003996
UST,--+-----,0.002246584,0.06792478211433035,0.03905228237199264,-1,0.07810456474398528,0.19789320741009808,0.16650926262259352,0.33301852524518705
