gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
DNAJB5,------,4.07769e-4,0.9999963662752465,1.3841863171241768e-7,-1,2.7683726342483536e-7,5.811419439198024e-4,0.0015982564475118053,0.0011622838878396049
BHLHE41,++++++,0.005542234,1.6234283617877348e-7,0.9999999997061333,1,3.2468567235754695e-7,5.811841627315655e-4,0.001670783088769432,0.001162368325463131
CHURC1,++++++,0.004305976,1.8065555209977399e-7,0.9999999994177919,1,3.6131110419954797e-7,6.538321830730113e-4,0.001670783088769432,0.0013076643661460226
ZBTB21,------,0.004106003,0.9999999920423042,1.9647968219222376e-7,-1,3.929593643844475e-7,7.26427429899753e-4,0.001670904467853251,0.001452854859799506
HK2,++++++,0.001113167,2.0851774699602463e-7,0.9999999844071028,1,4.1703549399204927e-7,7.26480203414457e-4,0.0017434258317594073,0.001452960406828914
GRASP,------,0.00157049,0.9999985416200099,2.27637511839719e-7,-1,4.55275023679438e-7,7.990701728897283e-4,0.0017435524881946967,0.0015981403457794566
SPRY2,------,0.00653533,0.9999999550806229,3.1874502389334947e-7,-1,6.374900477866989e-7,7.990701728897283e-4,0.0018162005085361425,0.0015981403457794566
LYPLAL1,++++++,8.96139e-4,3.300130694801297e-7,0.9999990325233583,1,6.600261389602594e-7,7.991282237559027e-4,0.0018887113177393578,0.0015982564475118053
NFIL3,------,0.004388214,0.9999999974466949,3.6836012743788907e-7,-1,7.367202548757781e-7,8.717129158797036e-4,0.001888848528877588,0.0017434258317594073
HLA-DRB5,++++++,0.001867568,3.7892939602791397e-7,0.9999999768186217,1,7.578587920558279e-7,8.717762440973483e-4,0.0019613540607293332,0.0017435524881946967
CCDC28A,++++-+,2.76058e-4,3.9217835194973115e-7,0.9897019890740314,1,7.843567038994623e-7,9.44424264438794e-4,0.0019613540607293332,0.001888848528877588
PHLDB2,----+-,0.001950897,0.9996146947596163,4.2333058877817545e-7,-1,8.466611775563509e-7,0.0010169984018596541,0.0019614965492190336,0.0020339968037193083
INHBA,------,1.88165e-4,0.9999826000232257,4.2374192302149536e-7,-1,8.474838460429907e-7,0.0010169984018596541,0.0020341445695604794,0.0020339968037193083
R3HDM2,----+-,2.67589e-4,0.9982233422200666,4.376142796489542e-7,-1,8.752285592979084e-7,0.0010169984018596541,0.002106792589901925,0.0020339968037193083
GPR3,------,0.001015085,0.9999980649304242,5.444249066983195e-7,-1,1.088849813396639e-6,0.0010169984018596541,0.002179440610243371,0.0020339968037193083
NOL6,------,4.95106e-4,0.9999998195826997,5.572961760045556e-7,-1,1.1145923520091112e-6,0.0010169984018596541,0.0022520886305848167,0.0020339968037193083
JUNB,------,0.001521794,0.9999863626751726,5.670844720023993e-7,-1,1.1341689440047985e-6,0.0010169984018596541,0.002324736650926262,0.0020339968037193083
RBBP9,++++++,2.26421e-4,5.959215364122581e-7,0.9999835465364442,1,1.1918430728245162e-6,0.0010170722847802397,0.0023972105186691847,0.0020341445695604794
SCUBE1,------,3.81305e-4,0.9991220329369455,6.564755584537534e-7,-1,1.3129511169075067e-6,0.0010896411448496296,0.002397384671267708,0.002179282289699259
AMACR,++++++,0.003676632,6.71970185244357e-7,0.9999994454036775,1,1.343940370488714e-6,0.0010897203051216855,0.00246985326165916,0.002179440610243371
PTGS2,------,2.67881e-4,0.9999999095347682,6.737968328949882e-7,-1,1.3475936657899764e-6,0.0011622838878396049,0.0024700326916091537,0.0023245677756792097
CAPN3,++++++,0.012722892,8.049416101901291e-7,0.999999998115305,1,1.6098832203802582e-6,0.001162368325463131,0.0025424960046491357,0.002324736650926262
DUSP6,------,0.00841003,0.9999999986306882,8.625987167101454e-7,-1,1.7251974334202909e-6,0.00123492663082958,0.0025426807119505995,0.00246985326165916
GCDH,------,1.25616e-4,0.9999872362675479,9.234930177272702e-7,-1,1.8469860354545404e-6,0.00123492663082958,0.0026153287322920452,0.00246985326165916
FOSB,------,0.001839652,0.9999988829115495,9.881293448577586e-7,-1,1.976258689715517e-6,0.00123492663082958,0.0026879767526334906,0.00246985326165916
IP6K3,++++++,0.005503084,1.0219958734345074e-6,0.9999991315464799,1,2.043991746869015e-6,0.0012350163458045768,0.0027604242336190616,0.0024700326916091537
LMO2,++++++,0.001281322,1.0264222406461657e-6,0.9999957133394037,1,2.0528444812923314e-6,0.0013076643661460226,0.0027604242336190616,0.0026153287322920452
KLF4,------,2.45318e-4,0.9999952002043029,1.3493785184838527e-6,-1,2.6987570369677054e-6,0.0013802121168095308,0.0027606247729749364,0.0027604242336190616
C8orf33,++++++,4.21041e-4,1.3720986952241982e-6,0.99996147410674,1,2.7441973904483964e-06,0.0013803123864874682,0.0028330669766090367,0.0027606247729749364
HSD11B1,++++++,0.003603646,1.3904812297561877e-6,0.9999997856376261,1,2.7809624595123753e-6,0.001452960406828914,0.0028330669766090367,0.002905920813657828
SORBS2,----+-,0.001787139,0.9990892783100693,1.458847831476384e-6,-1,2.917695662952768e-6,0.0015254976027894813,0.002833272793316382,0.0030509952055789626
PLA2G12A,++++++,0.003857064,1.5692396072493046e-6,0.9999999348942106,1,3.138479214498609e-6,0.0015256084271703595,0.002905709719599012,0.003051216854340719
ARPP21,------,0.001519169,0.9999871033855454,1.5755325357986885e-6,-1,3.151065071597377e-6,0.0015981403457794566,0.002905920813657828,0.003196280691558913
FMNL1,------,0.001258154,0.9999787972428043,1.587305026701093e-6,-1,3.174610053402186e-6,0.0015981403457794566,0.0029785688339992737,0.003196280691558913
VPS37B,------,0.002284135,0.9999548871284969,1.6211710445913167e-6,-1,3.2423420891826334e-6,0.0015981403457794566,0.003051216854340719,0.003196280691558913
EGR3,------,0.006875591,0.9999994532342795,1.8515393481189717e-6,-1,3.7030786962379434e-6,0.0015981403457794566,0.003123864874682165,0.003196280691558913
PDE4C,------,0.00293972,0.9999999701762189,1.855878605829459e-6,-1,3.711757211658918e-6,0.0015981403457794566,0.0031965128950236107,0.003196280691558913
PLPP2,++++++,0.005977219,1.9244571248039993e-6,0.9999999842309981,1,3.848914249607999e-6,0.0015982564475118053,0.0032689234345488886,0.0031965128950236107
KIF21B,------,0.007252197,0.9999999308661086,2.0956078485415886e-6,-1,4.191215697083177e-6,0.001670783088769432,0.0032691609153650564,0.003341566177538864
CNDP1,++++++,0.008086068,2.127861629357045e-6,0.9999983407333642,1,4.25572325871409e-6,0.001670904467853251,0.003341566177538864,0.003341808935706502
MANEA,++++++,7.71466e-4,2.1534080139415603e-6,0.9999454509169916,1,4.306816027883121e-6,0.0017435524881946967,0.003341566177538864,0.0034871049763893934
PRDM1,------,0.005110793,0.9999998551429193,2.184666719446558e-6,-1,4.369333438893116e-6,0.0018160685747493825,0.003341808935706502,0.003632137149498765
ZNF30,++++++,0.00207997,2.2107658248637934e-6,0.9997876329315546,1,4.421531649727587e-6,0.0018162005085361425,0.003414208920528839,0.003632401017072285
ECT2,++++++,1.74409e-4,2.5711661188383472e-6,0.9999975052839389,1,5.1423322376766944e-6,0.001888848528877588,0.003414208920528839,0.003777697057755176
KLF2,------,0.001068659,0.9999998859091286,2.5935788947242266e-6,-1,5.187157789448453e-6,0.0019613540607293332,0.0034144569560479476,0.0039227081214586665
FIG4,++++++,3.96231e-4,3.059265255940997e-6,0.9999920340071043,1,6.118530511881994e-6,0.0019614965492190336,0.0034868516635188146,0.003922993098438067
APOBEC3G,++++++,0.005256815,3.1991923351268297e-6,0.999999972930214,1,6.398384670253659e-6,0.0020341445695604794,0.0034868516635188146,0.004068289139120959
GALK2,++++++,0.007327929,3.5249017159395987e-6,0.9999998791705965,1,7.0498034318791974e-06,0.002106792589901925,0.0034868516635188146,0.00421358517980385
STK40,------,0.00848893,0.9999998876596933,3.5361770575147735e-6,-1,7.072354115029547e-6,0.002179282289699259,0.0034871049763893934,0.004358564579398518
PCYOX1,++++-+,3.21724e-4,3.882206624041654e-6,0.9973818524170862,1,7.764413248083308e-6,0.002179440610243371,0.0035594944065087896,0.004358881220486742
FAM118A,------,0.0042653430000000004,0.9999999605425004,4.000219942256439e-6,-1,8.000439884512878e-6,0.0022519250326892342,0.003559752996730839,0.0045038500653784685
DUSP1,------,0.002136191,0.9999990683063269,4.0133213321109444e-6,-1,8.026642664221889e-6,0.0022519250326892342,0.003632401017072285,0.0045038500653784685
CPSF2,++++++,0.016079405,4.036325446559313e-6,0.9999999672631408,1,8.072650893118626e-6,0.0022520886305848167,0.0037047798924887405,0.0045041772611696335
THBS2,++++++,0.014780808,4.090979799382081e-6,0.9999950796960704,1,8.181959598764162e-6,0.002324736650926262,0.0037047798924887405,0.004649473301852524
MIS12,++++++,0.005850567,4.181118228163324e-6,0.9999998282014635,1,8.362236456326648e-6,0.002397384671267708,0.0037047798924887405,0.004794769342535416
RAB29,++++++,0.002971452,4.398941931470698e-6,0.9999998915216826,1,8.797883862941396e-6,0.0024700326916091537,0.0037047798924887405,0.004940065383218307
PPA1,++++-+,0.002445574,4.428177526219134e-6,0.9987022299375073,1,8.856355052438267e-6,0.0025426807119505995,0.0037047798924887405,0.005085361423901199
SLC8A3,------,0.003421707,0.9999404289768414,4.765156027963443e-6,-1,9.530312055926886e-6,0.0026151387476391107,0.0037050490374137303,0.005230277495278221
MTPAP,------,0.006696149,0.9999991344798386,4.880545978100847e-6,-1,9.761091956201693e-6,0.0026151387476391107,0.003777697057755176,0.005230277495278221
SPRY4,------,0.004499285,0.9999995907710297,5.610709029538469e-6,-1,1.1221418059076938e-5,0.0026151387476391107,0.003850345078096622,0.005230277495278221
COX18,++++++,0.002192579,5.643606739575059e-6,0.9999383653867668,1,1.1287213479150118e-5,0.0026153287322920452,0.0039227081214586665,0.0052306574645840905
FDFT1,++++++,0.001357612,5.760713099728557e-6,0.9999995450650676,1,1.1521426199457113e-5,0.0026879767526334906,0.0039227081214586665,0.005375953505266981
BCL11A,------,0.007064712,0.9999947743907611,5.876585212406167e-6,-1,1.1753170424812333e-5,0.0027604242336190616,0.003922993098438067,0.005520848467238123
C12orf60,++++++,0.00136315,6.104711008788959e-6,0.9999985258775314,1,1.2209422017577918e-5,0.0027606247729749364,0.003995350864448642,0.005521249545949873
FRG1,++++++,0.013663789,6.108864786563671e-6,0.9999999845462111,1,1.2217729573127342e-5,0.002833272793316382,0.003995350864448642,0.005666545586632764
THNSL1,++++-+,0.003251169,6.1471035621343555e-6,0.9990268226963186,1,1.2294207124268711e-5,0.002905920813657828,0.003995350864448642,0.005811841627315656
MARCH4,------,0.001438913,0.9999930281876648,6.444453729241441e-6,-1,1.2888907458482882e-5,0.002978352462588987,0.003995641118779513,0.005956704925177974
BRD2,----+-,2.1607e-4,0.9993575694325028,6.467295290837336e-6,-1,1.2934590581674671e-5,0.002978352462588987,0.004068289139120959,0.005956704925177974
HIVEP3,------,0.002627787,0.9999833412284449,6.845265223866671e-6,-1,1.3690530447733341e-5,0.002978352462588987,0.004140937159462405,0.005956704925177974
YPEL5,++++-+,0.001303795,7.167230921866205e-6,0.8633543872391566,1,1.433446184373241e-5,0.0029785688339992737,0.0042132790934185675,0.0059571376679985475
TRIM67,------,6.03854e-4,0.9998224313008701,7.207516744165268e-6,-1,1.4415033488330536e-5,0.0030509952055789626,0.00421358517980385,0.006101990411157925
TIGD4,++++++,0.006802064,7.897419120691912e-6,0.9999997263696435,1,1.5794838241383825e-5,0.003051216854340719,0.004285921836408543,0.006102433708681438
C12orf73,++++++,0.001894337,8.11720987374406e-6,0.9998589728148993,1,1.623441974748812e-5,0.003123864874682165,0.004285921836408543,0.00624772974936433
DHRS9,++++++,0.003274032,8.192683450212266e-6,0.999926233040013,1,1.6385366900424532e-5,0.0031965128950236107,0.004285921836408543,0.006393025790047221
ISG20L2,------,0.001851455,0.9999778883601745,9.110466718729549e-6,-1,1.8220933437459097e-5,0.0032689234345488886,0.004286233200145296,0.006537846869097777
DDX27,------,0.004972443,0.9999889646355333,9.718824106290275e-6,-1,1.943764821258055e-5,0.0032689234345488886,0.004358881220486742,0.006537846869097777
GLDN,++++++,0.013601281,9.886018069811777e-6,0.9999991066838295,1,1.9772036139623554e-5,0.0032691609153650564,0.004431207322388493,0.006538321830730113
ADRB2,++++++,0.017561869,1.0002964916162408e-5,0.9999959301558882,1,2.0005929832324817e-5,0.003341808935706502,0.004431207322388493,0.006683617871413004
ATXN7,------,0.002090582,0.9999698391774001,1.0114112945805633e-5,-1,2.0228225891611267e-5,0.003414208920528839,0.004431529240828187,0.006828417841057678
RBM24,------,0.012052711,0.9999999607845944,1.0147035918998707e-5,-1,2.0294071837997413e-5,0.003414208920528839,0.0045041772611696335,0.006828417841057678
SETBP1,------,0.013396429,0.9999981198080732,1.0332038134122581e-5,-1,2.0664076268245162e-5,0.003414208920528839,0.004576825281511079,0.006828417841057678
IRF8,++++++,0.004169162,1.0634109926911273e-5,0.9999970660687902,1,2.1268219853822546e-5,0.0034144569560479476,0.004649135551358419,0.006828913912095895
EXT1,----+-,0.010276231,0.9994707540314011,1.10953409592521e-5,-1,2.21906819185042e-5,0.0034868516635188146,0.004649473301852524,0.006973703327037629
ZBED6CL,------,0.008629982,0.9999873419851846,1.139830166975109e-5,-1,2.279660333950218e-5,0.0034868516635188146,0.00472212132219397,0.006973703327037629
DUSP4,------,0.007261581,0.9999669541983618,1.1652763472289081e-5,-1,2.3305526944578163e-5,0.0034868516635188146,0.004794769342535416,0.006973703327037629
PPAT,++++-+,4.28602e-4,1.1698536110234882e-5,0.9992462634157969,1,2.3397072220469764e-5,0.0034871049763893934,0.004867063780328345,0.006974209952778787
LBH,------,0.004919487,0.9999991084322108,1.1716036079543666e-5,-1,2.343207215908733e-5,0.0035594944065087896,0.004867417362876862,0.007118988813017579
DLG5,------,0.010975175,0.9999981044136355,1.2154142994470454e-5,-1,2.4308285988940908e-5,0.0035594944065087896,0.004940065383218307,0.007118988813017579
PIGF,++++++,0.010831869,1.2638725638290405e-5,0.999999628738039,1,2.527745127658081e-5,0.003559752996730839,0.005012349266308296,0.007119505993461678
NUDT16,++++++,0.002111872,1.3032690974766743e-5,0.999856037969935,1,2.6065381949533486e-5,0.003632401017072285,0.005012349266308296,0.00726480203414457
CCDC144A,++++++,0.001349185,1.3705590834905208e-5,0.9998615197606302,1,2.7411181669810416e-5,0.0037050490374137303,0.005012349266308296,0.007410098074827461
IER2,----+-,0.003913232,0.9924591523325953,1.4270046318994254e-5,-1,2.854009263798851e-5,0.0037774226354787156,0.005012713403559753,0.007554845270957431
OMG,++++++,0.002655239,1.4468258882133049e-5,0.9999925238583205,1,2.8936517764266098e-5,0.003777697057755176,0.005084992009298271,0.007555394115510352
IBA57,------,0.003727938,0.9999828355159703,1.4470331049785709e-5,-1,2.8940662099571418e-5,0.003850065378468691,0.005085361423901199,0.007700130756937382
PLVAP,++++++,0.003459798,1.4924525646498582e-5,0.999986206270135,1,2.9849051292997165e-5,0.003850345078096622,0.005157634752288247,0.007700690156193244
CSRNP1,----+-,0.004429018,0.999495734851916,1.5043813983163226e-5,-1,3.0087627966326452e-5,0.0039227081214586665,0.005158009444242644,0.007845416242917333
VPS53,------,0.003824309,0.9999644972842656,1.512510171249511e-5,-1,3.025020342499022e-5,0.0039227081214586665,0.0052306574645840905,0.007845416242917333
KIF12,------,0.006282339,0.9999994395908464,1.518005915687596e-5,-1,3.036011831375192e-5,0.0039227081214586665,0.005303305484925536,0.007845416242917333
TRIM65,++++++,0.002581385,1.6197939166873334e-5,0.9977837980689019,1,3.239587833374667e-5,0.003922993098438067,0.005375562981258172,0.007845986196876134
CANX,++++++,0.01451807,1.6673650306763288e-5,0.9999944472768912,1,3.3347300613526575e-5,0.003995641118779513,0.005375562981258172,0.007991282237559027
ADAMTS17,------,0.002712418,0.9999835920644575,1.72905514271032e-5,-1,3.45811028542064e-5,0.0040679936074386166,0.005375953505266981,0.008135987214877233
MMAB,++++++,0.008893318,1.7789271962934786e-5,0.9999998508140515,1,3.557854392586957e-5,0.004068289139120959,0.005448205724248148,0.008136578278241918
CAPS2,++++++,0.002684176,1.8191355077034665e-5,0.9999711316260578,1,3.638271015406933e-5,0.004140937159462405,0.005448205724248148,0.00828187431892481
HLA-C,++++++,0.007461564,1.8970755789050904e-5,0.9999996900738192,1,3.794151157810181e-5,0.00421358517980385,0.005448205724248148,0.0084271703596077
TRIB2,------,0.025810356,0.9999998133705439,1.947263397704623e-5,-1,3.894526795409246e-5,0.004285921836408543,0.005448601525608427,0.008571843672817086
CCR1,++++++,0.021530826,2.002205748326952e-5,0.9999993779552401,1,4.004411496653904e-5,0.004286233200145296,0.005520848467238123,0.008572466400290591
SH3BGRL2,++++++,1.95883e-4,2.0024290745513582e-5,0.9994388283813621,1,4.0048581491027164e-5,0.004358881220486742,0.005520848467238123,0.008717762440973484
S100A13,++++++,0.007944259,2.084490633118189e-5,0.9998924903325819,1,4.168981266236378e-5,0.004431529240828187,0.005520848467238123,0.008863058481656375
ERRFI1,------,0.017079355,0.9999990499018137,2.124259710207334e-5,-1,4.248519420414668e-5,0.0045038500653784685,0.005521249545949873,0.009007700130756937
SLC5A11,++++++,0.002531861,2.1631006575784263e-5,0.9999805693714933,1,4.3262013151568525e-5,0.0045041772611696335,0.005593491210228098,0.009008354522339267
TMEM17,++++-+,9.3397e-4,2.1988680743402173e-5,0.9940450265488499,1,4.3977361486804346e-5,0.004576825281511079,0.005593491210228098,0.009153650563022158
C11orf71,++++++,0.001660875,2.1995020426749127e-5,0.9999331873995209,1,4.3990040853498255e-5,0.004649473301852524,0.005593491210228098,0.009298946603705048
CDH1,++++++,0.005030868,2.22501126294128e-5,0.9999498621428149,1,4.45002252588256e-5,0.00472212132219397,0.005593491210228098,0.00944424264438794
SLCO4C1,------,0.001876387,0.9999638846583198,2.2327466460900953e-5,-1,4.465493292180191e-5,0.0047944210373383695,0.005593897566291319,0.009588842074676739
CDHR1,++++++,0.017500063,2.2547592421424023e-5,0.9999662991444525,1,4.5095184842848047e-5,0.004794769342535416,0.005666133953218073,0.009589538685070832
HPS3,++++++,0.019381984,2.2573117008673935e-5,0.999999756366785,1,4.514623401734787e-5,0.004867417362876862,0.005666133953218073,0.009734834725753724
ESYT1,++++++,0.002725509,2.2772359445974712e-5,0.9996693946773688,1,4.5544718891949424e-5,0.004940065383218307,0.005666133953218073,0.009880130766436615
LRP2,++++++,0.011950627,2.283540112786236e-5,0.9999996747759229,1,4.567080225572472e-5,0.005012713403559753,0.005666133953218073,0.010025426807119505
ZFAT,------,0.011016323,0.9999956382306229,2.3124982141400452e-5,-1,4.6249964282800904e-5,0.005084992009298271,0.005666545586632764,0.010169984018596543
KNOP1,++++++,0.013375993,2.316772280807143e-5,0.999960221539941,1,4.633544561614286e-5,0.005085361423901199,0.005738776696208049,0.010170722847802398
MICAL2,------,0.008051493,0.9999964748643312,2.3871844874565422e-5,-1,4.7743689749130845e-5,0.005157634752288247,0.00573919360697421,0.010315269504576494
ASAP1,------,0.007190513,0.999983909562132,2.3989794517646292e-5,-1,4.7979589035292584e-5,0.005157634752288247,0.005811841627315656,0.010315269504576494
CLEC9A,++++++,0.002001496,2.4157216777926748e-5,0.9999818909282547,1,4.8314433555853496e-5,0.005158009444242644,0.005884062182188,0.010316018888485289
SRF,------,0.004857519,0.9999781795384373,2.4354662765361876e-5,-1,4.870932553072375e-5,0.005230277495278221,0.005884489647657101,0.010460554990556443
CTSC,++++++,0.002916914,2.4399729877330766e-5,0.9998862086390095,1,4.879945975466153e-5,0.0052306574645840905,0.005956704925177974,0.010461314929168181
KMO,------,0.013332938,0.9999993059587688,2.5413569944566882e-5,-1,5.0827139889133764e-5,0.005302920238268197,0.0059571376679985475,0.010605840476536394
ITGAX,++++++,0.004399138,2.5671930237272847e-5,0.99999715015473,1,5.1343860474545694e-5,0.005303305484925536,0.00602934766816795,0.010606610969851072
GPR19,------,0.00199779,0.9993850171354636,2.5786168952824238e-5,-1,5.1572337905648476e-5,0.005375562981258172,0.006029785688339993,0.010751125962516345
ADRB1,------,0.023580281,0.9999999277037864,2.6270869654308508e-5,-1,5.2541739308617016e-5,0.005375562981258172,0.006102433708681438,0.010751125962516345
SH3BGR,++++++,0.001525045,2.6620715963608698e-5,0.9999985710132041,1,5.3241431927217395e-5,0.005375953505266981,0.006174633154147901,0.010751907010533962
JKAMP,++++++,0.001120276,2.7368124033979345e-5,0.9997818568973211,1,5.473624806795869e-5,0.005448601525608427,0.006174633154147901,0.010897203051216855
TENT5C,------,0.02655972,0.9999998938143748,2.8320884325034146e-5,-1,5.664176865006829e-5,0.005520848467238123,0.006175081729022884,0.011041696934476247
TMPRSS7,------,0.00989353,0.999999095088203,2.9777008641264953e-5,-1,5.9554017282529906e-5,0.005520848467238123,0.00624772974936433,0.011041696934476247
PIEZO2,++++++,0.006256038,2.9803711428972295e-5,0.9999981391743411,1,5.960742285794459e-5,0.005521249545949873,0.006319918640127852,0.011042499091899746
B3GAT2,++++++,0.008545012,3.227351757120493e-5,0.9999972507137309,1,6.454703514240986e-5,0.005593897566291319,0.006319918640127852,0.011187795132582638
EPHB3,----+-,0.005254208,0.9978477996763288,3.342535069808324e-5,-1,6.685070139616647e-5,0.005666133953218073,0.006320377769705775,0.011332267906436147
GPATCH4,------,6.92629e-4,0.9998225768686615,3.417979817810712e-5,-1,6.835959635621424e-5,0.005666133953218073,0.006393025790047221,0.011332267906436147
FBXW11,++++-+,0.001236181,3.4438918756390124e-5,0.9961737749609599,1,6.887783751278025e-5,0.005666545586632764,0.006465204126107802,0.011333091173265529
FOS,------,0.019294293,0.9999917518228618,3.446496612813675e-5,-1,6.89299322562735e-5,0.005738776696208049,0.006465673810388667,0.011477553392416098
TMEM235,++++++,0.011352243,3.45004291643234e-5,0.9999942753381222,1,6.90008583286468e-5,0.00573919360697421,0.006537846869097777,0.01147838721394842
SMURF1,------,0.005186436,0.9999665615886179,3.5739495226066485e-5,-1,7.147899045213297e-5,0.005811419439198024,0.006538321830730113,0.011622838878396049
FAM160A1,------,0.001171402,0.9999847931873217,3.602566178569819e-5,-1,7.205132357139638e-5,0.005811419439198024,0.006610969851071558,0.011622838878396049
RFLNB,------,0.004312821,0.99958886472088615,3.641523114750182e-5,-1,7.283046229500363e-5,0.005811419439198024,0.006683617871413004,0.011622838878396049
POM121,------,0.003384878,0.9999090331484313,3.710752344101186e-5,-1,7.421504688202371e-5,0.005811419439198024,0.00675626589175445,0.011622838878396049
USP36,------,9.65413e-4,0.9999195608269666,3.728442907821579e-5,-1,7.456885815643158e-5,0.005811419439198024,0.006828913912095895,0.011622838878396049
GABRG3,------,0.001534699,0.9999907232768621,3.8313548295714967e-5,-1,7.662709659142993e-5,0.005811419439198024,0.006901561932437341,0.011622838878396049
CLUL1,------,0.011649265,0.9999997159752176,3.836227005433475e-5,-1,7.67245401086695e-5,0.005811419439198024,0.006974209952778787,0.011622838878396049
