gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
CHST7,-+-+,0.14893382,0.4424580511317007,0.47405618352470563,1,0.8849161022634014
SNW1,+++-,0.114067038,0.6458568441994978,0.37333303889377095,-1,0.7466660777875419
FAM207A,+-+-,0.057988173,0.7843336807070396,0.18735003973625988,-1,0.37470007947251976
IDH2,---+,0.255374606,0.6952753593376504,0.2495944643816939,-1,0.4991889287633878
CSPG4,+-++,0.159354715,0.9034508810773505,0.1336026780244038,-1,0.2672053560488076
BDP1,--++,0.151318499,0.9851259546024523,0.061466116393960345,-1,0.12293223278792069
RP11-274B21.1,+-++,0.210514384,0.5361647753520496,0.5230826863247426,-1,1.0461653726494853
RP11-84A19.4,+++-,0.173469444,0.262389835545433,0.7342032869766502,1,0.524779671090866
SLC35G2,-+--,0.025956368,0.05274250823902289,0.8730623365470124,1,0.10548501647804578
ZFPL1,++++,0.291324236,0.4263763835363824,0.7467710295345182,1,0.8527527670727648
LINC00265,+-++,0.359278805,0.752500199429744,0.3291355849089937,-1,0.6582711698179874
ITGA8,-+--,0.31445293,0.3815341470557253,0.7657259156725641,1,0.7630682941114506
RP11-923I11.3,+++-,0.078936403,0.10692196986830592,0.9401428483351242,1,0.21384393973661184
RP5-968J1.1,---+,0.264600573,0.6239009659425983,0.4605001707270296,-1,0.9210003414540592
RIDA,-+-+,0.078570805,0.20172976073993795,0.643225629581827,1,0.4034595214798759
PITPNC1,---+,0.204741646,0.578597368284261,0.42824097963749924,-1,0.8564819592749985
POLE4,-+-+,0.147624271,0.7103005843142716,0.22738540593789036,-1,0.4547708118757807
HNRNPC,+++-,0.160700865,0.12012946858186767,0.851023261932248,1,0.24025893716373534
TBC1D17,+-++,0.186792776,0.9206902471534177,0.10387974013761823,-1,0.20775948027523647
ZSCAN21,----,0.235254895,0.7170773781955891,0.4385044876603533,-1,0.8770089753207067
AC008440.5,+++-,0.107564836,0.1627237622799542,0.9232752870271578,1,0.3254475245599084
RBBP6,+-++,0.239386931,0.6262967886346194,0.4337701001489297,-1,0.8675402002978594
NARF-IT1,+-++,0.095651919,0.9484042303312581,0.06722674119900994,-1,0.13445348239801988
C16orf91,-++-,0.055249178,0.14591488887821408,0.8488696459910969,1,0.29182977775642815
PHF21B,--++,0.210320148,0.9656079910729604,0.1356276260825771,-1,0.2712552521651542
ENTPD2,+++-,0.172054146,0.4786845280299639,0.5201264606436452,1,0.9573690560599278
FAM111A-DT,++--,0.066282256,0.04798847693175322,0.9883146271999226,1,0.09597695386350644
MLEC,-++-,0.151918142,0.6652931549178018,0.3617349645309955,-1,0.723469929061991
JPH3,---+,0.184945362,0.8887973136996143,0.23381489456858606,-1,0.4676297891371721
ZNF780A,++-+,0.044396356,0.09355450739761641,0.9267407989246566,1,0.18710901479523281
CASK,-++-,0.200459102,0.4212410743942911,0.6198593589846323,1,0.8424821487885822
RANBP3L,++-+,0.077985225,0.07921547369252203,0.9481240142697104,1,0.15843094738504407
GABRG1,-+--,0.039448351,0.08181293719509602,0.8965302088831203,1,0.16362587439019205
FNBP1L,+-++,0.250993697,0.8860754094563161,0.2225796534542983,-1,0.4451593069085966
BORA,+++-,0.229753571,0.09730585419185403,0.9704562717140107,1,0.19461170838370806
SGMS1,+-++,0.248341016,0.7299584169322646,0.3772781090780559,-1,0.7545562181561118
RNU6-37P,+-+-,0.10215582,0.7999759073059871,0.2571136590861196,-1,0.5142273181722392
ITGAV,++--,0.054096108,0.018204215293306875,0.9882967288889468,1,0.03640843058661375
