gene_symbol,male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
RP11-107M16.2,----++,0.052095071,0.9701268353232698,0.01886625837792556,-1,0.03773251675585112
FREM1,+-----,0.046008345,0.9455912401615633,0.01887418782358298,-1,0.03774837564716596
MAP4K3,+---+-,0.028183262,0.9395943594701524,0.018876318016426853,-1,0.037752636032853705
RP11-72B4.2,+---++,0.001050676,0.018883065200611178,0.08941763687629412,1,0.037766130401222356
BRI3,++++++,0.108876178,0.018884785950886114,0.9994417722718414,1,0.03776957190177223
BEST1,++-+++,0.047118693,0.01889836689262961,0.993281576778936,1,0.03779673378525922
TESPA1,++++-+,0.035731751,0.018929580074231137,0.9638655554399901,1,0.03785916014846227
RP11-359J14.2,-+--+-,0.009086769,0.8840833238227208,0.018963364961877796,-1,0.03792672992375559
NLRC4,++++++,0.02702738,0.01898269698175069,0.9959833140597871,1,0.03796539396350138
FBXO3,----+-,0.024425961,0.9313528869941565,0.018995930667414285,-1,0.03799186133482857
RASL10A,+-++-+,0.001961272,0.01902456040258661,0.5349773021774099,1,0.03804912080517322
TMEM184C,------,0.122230011,0.998348958173494,0.019025732303105693,-1,0.03805146460621139
RP11-181D18.4,+---+-,0.053496869,0.9470988148699712,0.019028549296582962,-1,0.038057098593165924
GPSM2,----++,0.04851818,0.8996552348429752,0.019047666333625514,-1,0.03809533266725103
FEM1B,--+---,0.145354055,0.9979150562279615,0.019058396958695933,-1,0.03811679391739187
MRPL13,-+----,0.036254526,0.9913310738187171,0.019061598027205008,-1,0.038123196054410016
CUL4B,+-----,0.053056343,0.9876153809144437,0.019067900571252225,-1,0.03813580114250445
BRI3BP,--+---,0.10870345,0.9941669455453866,0.019089444236439147,-1,0.03817888847287829
HEATR1,++--+-,0.011445887,0.5219477672592601,0.01910933405568326,-1,0.03821866811136652
VPS13C,+----+,0.026622687,0.9446321436125718,0.01912760970036298,-1,0.03825521940072596
CFAP36,++++++,0.062518319,0.01913673880216905,0.9981408535871669,1,0.0382734776043381
