gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
WDR5B,++++++------,0.045988346,2.2018898212875122e-4,0.9999987533366753,1,4.4037796425750245e-4
ADNP2,-------+--+-,0.037939378,0.924372394471529,0.11072881571476972,-1,0.22145763142953945
SLC22A10,------+++--+,0.03109854,0.992481399260641,5.553888473213026e-4,-1,0.0011107776946426052
RP11-61E11.2,-+----------,0.011631942,0.4649871637640999,0.3364877023055781,-1,0.6729754046111562
FAM171B,++++-+------,0.009590907,2.182707846440088e-4,0.9999519405787708,1,4.365415692880176e-4
ZXDA,++++++------,0.001852783,2.1546593500203583e-5,0.9999923227060782,1,4.3093187000407166e-5
CSNK1G2,-+--+-++++-+,0.007327559,0.9928829217622553,0.0012676493360698241,-1,0.0025352986721396483
GPKOW,+++--+++++++,0.053832203,0.8947101184652212,0.062111414406299276,-1,0.12422282881259855
ADAMTS4,++++++---+++,0.019784139,0.0014873296944033613,0.9954205378264757,1,0.0029746593888067227
IFI27,+++++-++++++,0.145783128,0.7579359515796863,0.2013075769810527,-1,0.4026151539621054
MYB,++++--++-++-,0.001149129,0.5242789386426036,0.1317925174176624,-1,0.2635850348353248
LAPTM4B,++++++-+-+--,0.028566496,0.014611327646685327,0.9755652928262698,1,0.029222655293370654
CTC-137K3.1,----+--+--++,0.050303937,0.7136601130995409,0.09122038153392181,-1,0.18244076306784363
RBM12,------+-----,0.064871147,0.38618222246987594,0.6079245727221064,1,0.7723644449397519
NOSIP,-++++-++++++,0.028181933,0.8654603884871177,0.10883803990217664,-1,0.21767607980435327
OR3A2,-----+-+-+++,0.018992864,0.9954424741824714,0.003281467658425533,-1,0.006562935316851066
PSMB3,-+++-++++++-,0.010153714,0.5167534362942481,0.10672317459096059,-1,0.21344634918192118
SNORD113-9,+----+-++---,0.028782447,0.15542180400664646,0.39177870526954645,1,0.3108436080132929
RP11-337C18.9,--+-++-----+,0.037120115,0.09058866934071147,0.5440355068125003,1,0.18117733868142294
NUDT7,-++--+-+++++,0.036379848,0.853513717887154,0.0779035706838881,-1,0.1558071413677762
ORMDL2,++++++-++++-,0.03895921,0.025544639543158408,0.9885728103090669,1,0.051089279086316816
AREL1,----++----+-,0.072541244,0.1668696406334761,0.7384281747693303,1,0.3337392812669522
CRTC1,------++++++,0.002681571,0.9999991217686263,1.3987884248247037e-5,-1,2.7975768496494074e-5
GCC2,++-++-++++++,0.1153332,0.6367131654989915,0.25035125482711196,-1,0.5007025096542239
ADAMTS10,+---+-++++++,0.010815092,0.9981457151086317,0.00203587352011937,-1,0.00407174704023874
LYPD1,+++--+------,0.052204785,0.008737189490713703,0.9613709261741682,1,0.017474378981427407
RNU6-729P,------++--+-,0.07828247,0.9401018944823166,0.02658408737620489,-1,0.05316817475240978
RP11-1152H14.1,+-+---+---+-,0.002817427,0.03793023891450343,0.5904792247323613,1,0.07586047782900686
BTNL9,+---+++++++-,0.046973336,0.9180150613498964,0.04889275742200028,-1,0.09778551484400055
STK4,------+---+-,0.021417675,0.7500280801427456,0.22062233642483836,-1,0.4412446728496767
SLC25A26,++++--++++++,0.024689697,0.8470621751745407,0.0869724852197555,-1,0.173944970439511
RP11-384P7.7,+++-++-----+,0.009890656,6.646663985829618e-4,0.9998206144274836,1,0.0013293327971659237
EEF1B2,+-++--++++++,0.027864098,0.9571553769712626,0.03847729794030664,-1,0.07695459588061328
LINC02102,-----+++--++,0.016896397,0.8627441450826794,0.022176427480050966,-1,0.04435285496010193
ADGRD1,+-+++++--++-,0.012421616,0.2147825966156859,0.6413203410559067,1,0.4295651932313718
MTIF2,++++++--+++-,0.038383786,0.0865400965352979,0.9343116122691972,1,0.1730801930705958
ZC3H8,++-++++++-+-,0.02608782,0.5311162743939798,0.30834448310259555,-1,0.6166889662051911
RP11-326E22.1,+++-+--+++++,0.025138675,0.4639172108771082,0.3620684501035238,-1,0.7241369002070476
HHIP,++++++---+++,0.043826091,0.0061414454610015665,0.9929739165820425,1,0.012282890922003133
EMC2,+++++++---+-,0.028957362,0.0010190714416928577,0.9992254467837783,1,0.0020381428833857154
WASHC4,++++-+-----+,0.01265291,4.2020332187640597e-4,0.9997082340681389,1,8.404066437528119e-4
