brain_region,region_location
angular gyrus inferior bank of gyrus, angular gyrus inferior bank of gyrus <  angular gyrus  <  inferior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
supramarginal gyrus superior bank of gyrus, supramarginal gyrus superior bank of gyrus <  supramarginal gyrus  <  inferior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
supramarginal gyrus inferior bank of gyrus, supramarginal gyrus inferior bank of gyrus <  supramarginal gyrus  <  inferior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
amygdalohippocampal area magnocellular division, amygdalohippocampal area magnocellular division <  amygdalohippocampal area  <  amygdalohippocampal transition zone  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
amygdalohippocampal area parvocellular division, amygdalohippocampal area parvocellular division <  amygdalohippocampal area  <  amygdalohippocampal transition zone  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
amygdalohippocampal area marginal layer, amygdalohippocampal area marginal layer <  amygdalohippocampal area  <  amygdalohippocampal transition zone  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basolateral nucleus dorsolateral division, basolateral nucleus dorsolateral division <  basolateral nucleus magnocellular dorsal  <  basolateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basolateral nucleus ventrolateral division, basolateral nucleus ventrolateral division <  basolateral nucleus parvicellular ventral  <  basolateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basolateral nucleus ventromedial divison, basolateral nucleus ventromedial divison <  basolateral nucleus parvicellular ventral  <  basolateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basomedial nucleus magnocellular division, basomedial nucleus magnocellular division <  basomedial nucleus dorsal division  <  basomedial nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basomedial nucleus dorsolateral division, basomedial nucleus dorsolateral division <  basomedial nucleus dorsal division  <  basomedial nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basomedial nucleus medial division, basomedial nucleus medial division <  basomedial nucleus dorsal division  <  basomedial nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basomedial nucleus parvicellular division, basomedial nucleus parvicellular division <  basomedial nucleus ventral division  <  basomedial nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basomedial nucleus ventromedial division, basomedial nucleus ventromedial division <  basomedial nucleus ventral division  <  basomedial nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
central nucleus medial division dorsal part, central nucleus medial division dorsal part <  central nucleus medial division  <  central nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
central nucleus medial division ventral part, central nucleus medial division ventral part <  central nucleus medial division  <  central nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
central nucleus lateral division apical part, central nucleus lateral division apical part <  central nucleus lateral division  <  central nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
central nucleus lateral division capsular part, central nucleus lateral division capsular part <  central nucleus lateral division  <  central nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
central nucleus lateral division paracapsular part, central nucleus lateral division paracapsular part <  central nucleus lateral division  <  central nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
central nucleus lateral division central part, central nucleus lateral division central part <  central nucleus lateral division  <  central nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
anterior cortical nucleus dorsal division, anterior cortical nucleus dorsal division <  anterior cortical nucleus  <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
anterior cortical nucleus ventral division, anterior cortical nucleus ventral division <  anterior cortical nucleus  <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
anterior cortical nucleus marginal layer, anterior cortical nucleus marginal layer <  anterior cortical nucleus  <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
medial nucleus anterior division, medial nucleus anterior division <  medial nucleus  <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
medial nucleus posterior division, medial nucleus posterior division <  medial nucleus  <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
medial nucleus marginal layer, medial nucleus marginal layer <  medial nucleus  <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
posterior cortical nucleus dorsal division, posterior cortical nucleus dorsal division <  posterior cortical nucleus  <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
posterior cortical nucleus ventral division, posterior cortical nucleus ventral division <  posterior cortical nucleus  <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
posterior cortical nucleus marginal layer, posterior cortical nucleus marginal layer <  posterior cortical nucleus  <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral nucleus dorsal anterior division, lateral nucleus dorsal anterior division <  lateral nucleus dorsal division  <  lateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral nucleus dorsal medial division, lateral nucleus dorsal medial division <  lateral nucleus dorsal division  <  lateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral nucleus dorsal lateral division, lateral nucleus dorsal lateral division <  lateral nucleus dorsal division  <  lateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral nucleus ventral lateral division, lateral nucleus ventral lateral division <  lateral nucleus ventral division  <  lateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral nucleus ventral medial division, lateral nucleus ventral medial division <  lateral nucleus ventral division  <  lateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
