brain_region,region_location
paracentral lobule anterior part, paracentral lobule anterior part <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
paraterminal gyrus, paraterminal gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
parolfactory gyri, parolfactory gyri <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
posterior orbital gyrus, posterior orbital gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
precentral gyrus, precentral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior frontal gyrus, superior frontal gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior rostral gyrus, superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
long insular gyri, long insular gyri <  insula  <  cerebral cortex  <  telencephalon  < gray matter 
short insular gyri, short insular gyri <  insula  <  cerebral cortex  <  telencephalon  < gray matter 
cingulate gyrus, cingulate gyrus <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
hippocampal formation, hippocampal formation <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
parahippocampal gyrus, parahippocampal gyrus <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
piriform cortex, piriform cortex <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
cuneus, cuneus <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
inferior occipital gyrus, inferior occipital gyrus <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
lingual gyrus, lingual gyrus <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
occipital pole, occipital pole <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
occipito temporal gyrus, occipito temporal gyrus <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior occipital gyrus, superior occipital gyrus <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
inferior parietal lobule, inferior parietal lobule <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
paracentral lobule posterior part, paracentral lobule posterior part <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
postcentral gyrus, postcentral gyrus <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
precuneus, precuneus <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior parietal lobule, superior parietal lobule <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
fusiform gyrus, fusiform gyrus <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
Heschl s gyrus, Heschl s gyrus <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
inferior temporal gyrus, inferior temporal gyrus <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
middle temporal gyrus, middle temporal gyrus <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
planum polare, planum polare <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
planum temporale, planum temporale <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior temporal gyrus, superior temporal gyrus <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
temporal pole, temporal pole <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
transverse gyri, transverse gyri <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
amygdalohippocampal transition zone, amygdalohippocampal transition zone <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
anterior amygdaloid area, anterior amygdaloid area <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basolateral nucleus, basolateral nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basomedial nucleus, basomedial nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
central nucleus, central nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
cortico medial group, cortico medial group <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
intercalated nuclei, intercalated nuclei <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral nucleus, lateral nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
nucleus of the lateral olfactory tract, nucleus of the lateral olfactory tract <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
paralaminar nucleus, paralaminar nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
septal nuclei, septal nuclei <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter 
substantia innominata, substantia innominata <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter 
globus pallidus, globus pallidus <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
striatum, striatum <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral habenular nucleus, lateral habenular nucleus <  habenular nuclei  <  epithalamus  <  diencephalon  < gray matter 
medial habenular nucleus, medial habenular nucleus <  habenular nuclei  <  epithalamus  <  diencephalon  < gray matter 
anterior paraventricular nucleus of thalamus, anterior paraventricular nucleus of thalamus <  paraventricular nuclei of thalamus  <  epithalamus  <  diencephalon  < gray matter 
posterior paraventricular nucleus of thalamus, posterior paraventricular nucleus of thalamus <  paraventricular nuclei of thalamus  <  epithalamus  <  diencephalon  < gray matter 
anterior hypothalamic area, anterior hypothalamic area <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
anterior hypothalamic nucleus, anterior hypothalamic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
lateral hypothalamic area anterior region, lateral hypothalamic area anterior region <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus, paraventricular nucleus of the hypothalamus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
periventricular nucleus of the hypothalamus anterior part, periventricular nucleus of the hypothalamus anterior part <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
supraoptic nucleus, supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
suprachiasmatic nucleus, suprachiasmatic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
lateral hypothalamic area mammillary region, lateral hypothalamic area mammillary region <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
mammillary body, mammillary body <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
posterior hypothalamic area, posterior hypothalamic area <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
supramammillary nucleus, supramammillary nucleus <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
tuberomammillary nucleus, tuberomammillary nucleus <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
intermediate hypothalamic nuclei, intermediate hypothalamic nuclei <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
lateral preoptic area, lateral preoptic area <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
medial preoptic area, medial preoptic area <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
periventricular nucleus of the hypothalamus preoptic part, periventricular nucleus of the hypothalamus preoptic part <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
pituitary body, pituitary body <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
arcuate nucleus of the hypothalamus, arcuate nucleus of the hypothalamus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
dorsomedial hypothalamic nucleus, dorsomedial hypothalamic nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
lateral hypothalamic area tuberal region, lateral hypothalamic area tuberal region <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
lateral tuberal nucleus, lateral tuberal nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
median eminence, median eminence <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
perifornical nucleus, perifornical nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
periventricular nucleus of the hypothalamus tuberal part, periventricular nucleus of the hypothalamus tuberal part <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
ventromedial hypothalamic nucleus, ventromedial hypothalamic nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
anterior group of nuclei, anterior group of nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
caudal group of intralaminar nuclei, caudal group of intralaminar nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
dorsal lateral geneiculate nucleus, dorsal lateral geneiculate nucleus <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
lateral group of nuclei, lateral group of nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
medial geniculate complex, medial geniculate complex <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
medial group of nuclei, medial group of nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
posterior group of nuclei, posterior group of nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
rostral group of intralaminar nuclei, rostral group of intralaminar nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
nucleus of the H field of Forel, nucleus of the H field of Forel <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter 
reticular nucleus of thalamus, reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter 
zona incerta, zona incerta <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter 
central nucleus of the inferior colliculus, central nucleus of the inferior colliculus <  inferior colliculus  <  midbrain tectum  <  mesencephalon  < gray matter 
external nucleus of the inferior colliculus, external nucleus of the inferior colliculus <  inferior colliculus  <  midbrain tectum  <  mesencephalon  < gray matter 
pericentral nucleus of the inferior colliculus, pericentral nucleus of the inferior colliculus <  inferior colliculus  <  midbrain tectum  <  mesencephalon  < gray matter 
stratum lemnisci of the superior colliculus, stratum lemnisci of the superior colliculus <  superior colliculus  <  midbrain tectum  <  mesencephalon  < gray matter 
superficial gray layer of the superior colliculus, superficial gray layer of the superior colliculus <  superior colliculus  <  midbrain tectum  <  mesencephalon  < gray matter 
superficial white layer of the superior colliculus, superficial white layer of the superior colliculus <  superior colliculus  <  midbrain tectum  <  mesencephalon  < gray matter 
central gray substance of midbrain dorsolateral division, central gray substance of midbrain dorsolateral division <  central gray substance of midbrain  <  midbrain tegmentum  <  mesencephalon  < gray matter 
central gray substance of midbrain dorsomedial division, central gray substance of midbrain dorsomedial division <  central gray substance of midbrain  <  midbrain tegmentum  <  mesencephalon  < gray matter 
central gray substance of midbrain lateral division, central gray substance of midbrain lateral division <  central gray substance of midbrain  <  midbrain tegmentum  <  mesencephalon  < gray matter 
central gray substance of midbrain pleioglial division, central gray substance of midbrain pleioglial division <  central gray substance of midbrain  <  midbrain tegmentum  <  mesencephalon  < gray matter 
central gray substance of midbrain ventrolateral division, central gray substance of midbrain ventrolateral division <  central gray substance of midbrain  <  midbrain tegmentum  <  mesencephalon  < gray matter 
dorsal raphe nucleus, dorsal raphe nucleus <  midbrain raphe nuclei  <  midbrain tegmentum  <  mesencephalon  < gray matter 
median raphe, median raphe <  midbrain raphe nuclei  <  midbrain tegmentum  <  mesencephalon  < gray matter 
cuneiform nucleus, cuneiform nucleus <  midbrain reticular formation  <  midbrain tegmentum  <  mesencephalon  < gray matter 
pedunculopontine tegmental nucleus, pedunculopontine tegmental nucleus <  midbrain reticular formation  <  midbrain tegmentum  <  mesencephalon  < gray matter 
subcuneiform nucleus, subcuneiform nucleus <  midbrain reticular formation  <  midbrain tegmentum  <  mesencephalon  < gray matter 
anterior median oculomotor nucleus, anterior median oculomotor nucleus <  oculomotor nuclear complex  <  midbrain tegmentum  <  mesencephalon  < gray matter 
caudal central oculomotor nucleus, caudal central oculomotor nucleus <  oculomotor nuclear complex  <  midbrain tegmentum  <  mesencephalon  < gray matter 
central oculomotor nucleus, central oculomotor nucleus <  oculomotor nuclear complex  <  midbrain tegmentum  <  mesencephalon  < gray matter 
dorsal oculomotor nucleus, dorsal oculomotor nucleus <  oculomotor nuclear complex  <  midbrain tegmentum  <  mesencephalon  < gray matter 
intermediate oculomotor nucleus, intermediate oculomotor nucleus <  oculomotor nuclear complex  <  midbrain tegmentum  <  mesencephalon  < gray matter 
medial oculomotor nucleus, medial oculomotor nucleus <  oculomotor nuclear complex  <  midbrain tegmentum  <  mesencephalon  < gray matter 
ventral oculomotor nucleus, ventral oculomotor nucleus <  oculomotor nuclear complex  <  midbrain tegmentum  <  mesencephalon  < gray matter 
magnocellular part of the red nucleus, magnocellular part of the red nucleus <  red nucleus  <  midbrain tegmentum  <  mesencephalon  < gray matter 
parvocellular part of the red nucleus, parvocellular part of the red nucleus <  red nucleus  <  midbrain tegmentum  <  mesencephalon  < gray matter 
parvocellular part of thered nucleus, parvocellular part of thered nucleus <  red nucleus  <  midbrain tegmentum  <  mesencephalon  < gray matter 
substantia nigra pars compacta, substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter 
substantia nigra pars reticulata, substantia nigra pars reticulata <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter 
caudal linear nucleus, caudal linear nucleus <  ventral tegmental area  <  midbrain tegmentum  <  mesencephalon  < gray matter 
interfascicular nucleus, interfascicular nucleus <  ventral tegmental area  <  midbrain tegmentum  <  mesencephalon  < gray matter 
parabrachial pigmented nucleus, parabrachial pigmented nucleus <  ventral tegmental area  <  midbrain tegmentum  <  mesencephalon  < gray matter 
paranigral nucleus, paranigral nucleus <  ventral tegmental area  <  midbrain tegmentum  <  mesencephalon  < gray matter 
rostral linear nucleus, rostral linear nucleus <  ventral tegmental area  <  midbrain tegmentum  <  mesencephalon  < gray matter 
vermis, vermis <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
cerebellar hemispheres, cerebellar hemispheres <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
dentate nucleus, dentate nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter 
emboliform nucleus, emboliform nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter 
fastigial nucleus, fastigial nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter 
globose nucleus, globose nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter 
pontine nuclei, pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter 
abducens nucleus, abducens nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
accessory facial nucleus, accessory facial nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
accessory trigeminal nucleus, accessory trigeminal nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
central gray of the pons, central gray of the pons <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
dorsal nucleus of lateral lemniscus, dorsal nucleus of lateral lemniscus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
dorsomedial tegmental area, dorsomedial tegmental area <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
dorsal tegmental nucleus, dorsal tegmental nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
facial motor nucleus, facial motor nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
intermediate nucleus of lateral lemniscus, intermediate nucleus of lateral lemniscus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
lateral dorsal tegmental nucleus, lateral dorsal tegmental nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
lateral parabrachial nucleus, lateral parabrachial nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
locus ceruleus, locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
medial parabrachial nucleus, medial parabrachial nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
nucleus subceruleus, nucleus subceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
pontine gamma nucleus, pontine gamma nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
pontine raphe nucleus, pontine raphe nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
paramedian pontine reticular formation, paramedian pontine reticular formation <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
superior olivary complex, superior olivary complex <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
superior salivatory nucleus, superior salivatory nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
trapezoid body, trapezoid body <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
trigeminal nuclei, trigeminal nuclei <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
ventral nucleus of lateral lemniscus, ventral nucleus of lateral lemniscus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
anteroventral cochlear nucleus, anteroventral cochlear nucleus <  ventral cochlear nuclei  <  cochlear nuclei  <  myelencephalon  < gray matter 
posteroventral cochlear nucleus, posteroventral cochlear nucleus <  ventral cochlear nuclei  <  cochlear nuclei  <  myelencephalon  < gray matter 
central reticular nucleus of the medulla, central reticular nucleus of the medulla <  central medullary reticular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
medial reticular nucleus of the medulla, medial reticular nucleus of the medulla <  central medullary reticular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
ventral reticular nucleus of the medulla, ventral reticular nucleus of the medulla <  central medullary reticular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
intermediate zone, intermediate zone <  central medullary reticular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
dorsal paragigantocellular nucleus, dorsal paragigantocellular nucleus <  gigantocellular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
lateral paragigantocellular nucleus, lateral paragigantocellular nucleus <  gigantocellular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
gigantocellular nucleus, gigantocellular nucleus <  gigantocellular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
gigantocellular nucleus ventral part, gigantocellular nucleus ventral part <  gigantocellular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
paragigantocellular nucleus alpha part, paragigantocellular nucleus alpha part <  gigantocellular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
epiolivary nucleus, epiolivary nucleus <  lateral medullary reticular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
lateral reticular nucleus, lateral reticular nucleus <  lateral medullary reticular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
parvocellular division, parvocellular division <  lateral medullary reticular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
subtrigeminal division, subtrigeminal division <  lateral medullary reticular group  <  medullary reticular formation  <  myelencephalon  < gray matter 
caudal spinal trigeminal nucleus gelatenous part, caudal spinal trigeminal nucleus gelatenous part <  caudal spinal trigeminal nucleus  <  spinal trigeminal nucleus  <  myelencephalon  < gray matter 
caudal spinal trigeminal nucleus magnocellular part, caudal spinal trigeminal nucleus magnocellular part <  caudal spinal trigeminal nucleus  <  spinal trigeminal nucleus  <  myelencephalon  < gray matter 
caudal spinal trigeminal nucleus zonal part, caudal spinal trigeminal nucleus zonal part <  caudal spinal trigeminal nucleus  <  spinal trigeminal nucleus  <  myelencephalon  < gray matter 
body of the corpus callosum, body of the corpus callosum <  corpus callosum  <  telencephalic commissures  <  telencephalic white matter  < white matter 
genu of the corpus callosum, genu of the corpus callosum <  corpus callosum  <  telencephalic commissures  <  telencephalic white matter  < white matter 
rostrum of the corpus callosum, rostrum of the corpus callosum <  corpus callosum  <  telencephalic commissures  <  telencephalic white matter  < white matter 
splenium of the corpus callosum, splenium of the corpus callosum <  corpus callosum  <  telencephalic commissures  <  telencephalic white matter  < white matter 
radiations of corpus callosum, radiations of corpus callosum <  corpus callosum  <  telencephalic commissures  <  telencephalic white matter  < white matter 
tapetum of corpus callosum, tapetum of corpus callosum <  corpus callosum  <  telencephalic commissures  <  telencephalic white matter  < white matter 
corticobulbar tract supracapsular part, corticobulbar tract supracapsular part <  corticobulbar tract  <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
corticobulbar tract infracapsular part, corticobulbar tract infracapsular part <  corticobulbar tract  <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
anterior column of the fornix, anterior column of the fornix <  fornix  <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
body of the fornix, body of the fornix <  fornix  <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
fimbria, fimbria <  fornix  <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
posterior column of the fornix, posterior column of the fornix <  fornix  <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
external sagittal stratum, external sagittal stratum <  sagittal stratum  <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
internal sagittal stratum, internal sagittal stratum <  sagittal stratum  <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
decussation of the superior cerebellar peduncle, decussation of the superior cerebellar peduncle <  superior cerebellar peduncle  <  cerebellar white matter tracts  <  metencephalic white matter  < white matter 
olfactory tract, olfactory tract <  olfactory nerve  <  cranial nerves  <  myelencephalic white matter  < white matter 
olfactory bulb, olfactory bulb <  olfactory nerve  <  cranial nerves  <  myelencephalic white matter  < white matter 
optic tract, optic tract <  optic nerve  <  cranial nerves  <  myelencephalic white matter  < white matter 
optic chiasm, optic chiasm <  optic nerve  <  cranial nerves  <  myelencephalic white matter  < white matter 
optic radiations, optic radiations <  optic nerve  <  cranial nerves  <  myelencephalic white matter  < white matter 
supraoptic dicussation, supraoptic dicussation <  optic nerve  <  cranial nerves  <  myelencephalic white matter  < white matter 
vestibulchochlear nerve, vestibulchochlear nerve <  vestibulocochlear nerve  <  cranial nerves  <  myelencephalic white matter  < white matter 
vestibulochochlear nerve, vestibulochochlear nerve <  vestibulocochlear nerve  <  cranial nerves  <  myelencephalic white matter  < white matter 
frontal lobe, frontal lobe <  cerebral cortex  <  telencephalon  < gray matter 
insula, insula <  cerebral cortex  <  telencephalon  < gray matter 
limbic lobe, limbic lobe <  cerebral cortex  <  telencephalon  < gray matter 
occipital lobe, occipital lobe <  cerebral cortex  <  telencephalon  < gray matter 
parietal lobe, parietal lobe <  cerebral cortex  <  telencephalon  < gray matter 
temporal lobe, temporal lobe <  cerebral cortex  <  telencephalon  < gray matter 
amygdala, amygdala <  cerebral nuclei  <  telencephalon  < gray matter 
anterior olfactory nucleus, anterior olfactory nucleus <  cerebral nuclei  <  telencephalon  < gray matter 
basal forebrain, basal forebrain <  cerebral nuclei  <  telencephalon  < gray matter 
basal ganglia, basal ganglia <  cerebral nuclei  <  telencephalon  < gray matter 
claustrum, claustrum <  cerebral nuclei  <  telencephalon  < gray matter 
habenular nuclei, habenular nuclei <  epithalamus  <  diencephalon  < gray matter 
paraventricular nuclei of thalamus, paraventricular nuclei of thalamus <  epithalamus  <  diencephalon  < gray matter 
pineal gland, pineal gland <  epithalamus  <  diencephalon  < gray matter 
anterior hypothalamic region, anterior hypothalamic region <  hypothalamus  <  diencephalon  < gray matter 
mammillary region, mammillary region <  hypothalamus  <  diencephalon  < gray matter 
preoptic region, preoptic region <  hypothalamus  <  diencephalon  < gray matter 
tuberal region, tuberal region <  hypothalamus  <  diencephalon  < gray matter 
subthalamic nucleus, subthalamic nucleus <  subthalamus  <  diencephalon  < gray matter 
dorsal thalamus, dorsal thalamus <  thalamus  <  diencephalon  < gray matter 
ventral thalamus, ventral thalamus <  thalamus  <  diencephalon  < gray matter 
inferior colliculus, inferior colliculus <  midbrain tectum  <  mesencephalon  < gray matter 
intercollicular nucleus, intercollicular nucleus <  midbrain tectum  <  mesencephalon  < gray matter 
nucleus of the brachium of the inferior colliculus, nucleus of the brachium of the inferior colliculus <  midbrain tectum  <  mesencephalon  < gray matter 
parabigeminal nucleus, parabigeminal nucleus <  midbrain tectum  <  mesencephalon  < gray matter 
superior colliculus, superior colliculus <  midbrain tectum  <  mesencephalon  < gray matter 
sagulum nucleus, sagulum nucleus <  midbrain tectum  <  mesencephalon  < gray matter 
subcommissural organ, subcommissural organ <  midbrain tectum  <  mesencephalon  < gray matter 
central gray substance of midbrain, central gray substance of midbrain <  midbrain tegmentum  <  mesencephalon  < gray matter 
Edinger Westphal nucleus, Edinger Westphal nucleus <  midbrain tegmentum  <  mesencephalon  < gray matter 
interpeduncular nucleus, interpeduncular nucleus <  midbrain tegmentum  <  mesencephalon  < gray matter 
interstitial nucleus of Cajal, interstitial nucleus of Cajal <  midbrain tegmentum  <  mesencephalon  < gray matter 
isthmic reticular formation, isthmic reticular formation <  midbrain tegmentum  <  mesencephalon  < gray matter 
midbrain raphe nuclei, midbrain raphe nuclei <  midbrain tegmentum  <  mesencephalon  < gray matter 
midbrain reticular formation, midbrain reticular formation <  midbrain tegmentum  <  mesencephalon  < gray matter 
nucleus of Darkschewitsch, nucleus of Darkschewitsch <  midbrain tegmentum  <  mesencephalon  < gray matter 
nucleus of the posterior commissure, nucleus of the posterior commissure <  midbrain tegmentum  <  mesencephalon  < gray matter 
oculomotor nuclear complex, oculomotor nuclear complex <  midbrain tegmentum  <  mesencephalon  < gray matter 
peripeduncular nucleus, peripeduncular nucleus <  midbrain tegmentum  <  mesencephalon  < gray matter 
red nucleus, red nucleus <  midbrain tegmentum  <  mesencephalon  < gray matter 
rostral interstitial nucleus of the medial longitudinal fasciculus, rostral interstitial nucleus of the medial longitudinal fasciculus <  midbrain tegmentum  <  mesencephalon  < gray matter 
substantia nigra, substantia nigra <  midbrain tegmentum  <  mesencephalon  < gray matter 
trochlear nucleus, trochlear nucleus <  midbrain tegmentum  <  mesencephalon  < gray matter 
ventral tegmental area, ventral tegmental area <  midbrain tegmentum  <  mesencephalon  < gray matter 
ventral tegmental nucleus, ventral tegmental nucleus <  midbrain tegmentum  <  mesencephalon  < gray matter 
nucleus of the optic tract, nucleus of the optic tract <  pretectal region  <  mesencephalon  < gray matter 
nucleus of the pretectal area, nucleus of the pretectal area <  pretectal region  <  mesencephalon  < gray matter 
olivary pretectal nucleus, olivary pretectal nucleus <  pretectal region  <  mesencephalon  < gray matter 
principal pretectal nucleus, principal pretectal nucleus <  pretectal region  <  mesencephalon  < gray matter 
sublentiform nucleus, sublentiform nucleus <  pretectal region  <  mesencephalon  < gray matter 
cerebellar cortex, cerebellar cortex <  cerebellum  <  metencephalon  < gray matter 
cerebellar nuclei, cerebellar nuclei <  cerebellum  <  metencephalon  < gray matter 
basal part of pons, basal part of pons <  pons  <  metencephalon  < gray matter 
pontine tegmentum, pontine tegmentum <  pons  <  metencephalon  < gray matter 
dorsal cochlear nucleus, dorsal cochlear nucleus <  cochlear nuclei  <  myelencephalon  < gray matter 
ventral cochlear nuclei, ventral cochlear nuclei <  cochlear nuclei  <  myelencephalon  < gray matter 
dorsal accessory inferior olivary nucleus, dorsal accessory inferior olivary nucleus <  inferior olivary complex  <  myelencephalon  < gray matter 
medial accessory inferior olivary nucleus, medial accessory inferior olivary nucleus <  inferior olivary complex  <  myelencephalon  < gray matter 
principal inferior olivary nucleus, principal inferior olivary nucleus <  inferior olivary complex  <  myelencephalon  < gray matter 
beta inferior olivary nucleus, beta inferior olivary nucleus <  inferior olivary complex  <  myelencephalon  < gray matter 
central medullary reticular group, central medullary reticular group <  medullary reticular formation  <  myelencephalon  < gray matter 
gigantocellular group, gigantocellular group <  medullary reticular formation  <  myelencephalon  < gray matter 
lateral medullary reticular group, lateral medullary reticular group <  medullary reticular formation  <  myelencephalon  < gray matter 
parvicellular reticular nucleus, parvicellular reticular nucleus <  medullary reticular formation  <  myelencephalon  < gray matter 
nucleus raphe magnus, nucleus raphe magnus <  raphe nuclei of medulla  <  myelencephalon  < gray matter 
nucleus raphe obscurus, nucleus raphe obscurus <  raphe nuclei of medulla  <  myelencephalon  < gray matter 
nucleus raphe pallidus, nucleus raphe pallidus <  raphe nuclei of medulla  <  myelencephalon  < gray matter 
nucleus pararaphales, nucleus pararaphales <  raphe nuclei of medulla  <  myelencephalon  < gray matter 
