gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
SLC15A3,++-,++++-+,NA,0.034831053342501916,0.018222153963227832,-,0.0364,0.013461563,9.8,1
DDR2,-+-,------,++--,0.03267819677592693,0.01822531209167198,-,0.0365,0.01287957,9.81,1
DMGDH,---,+---+-,NA,0.033162410877156226,0.01824385006993536,-,0.0365,0.058710931,9.82,1
THY1,++-,-+++--,----,0.021593101548717603,0.018244460991833696,-,0.0365,0.004793165,9.82,1
GPR142,-+-,NA,NA,0.024354075172531797,0.018252338580880677,-,0.0365,0.03718461657413425,9.82,1
GNG4,---,------,+--+,0.02797667938993912,0.018278231210629083,-,0.0366,0.012694856,9.83,1
GPR62,-+-,---++-,++++,0.02192492512122584,0.01829855618840556,-,0.0366,0.038413764,9.84,1
ANKRD54,++-,+-+++-,----,0.024608271338882732,0.018314519716175797,-,0.0366,0.001439489,9.85,1
TMEM159,---,----++,NA,0.03432493663896839,0.018315933353440613,-,0.0366,0.025846086,9.85,1
OGFRL1,--+,----+-,++++,0.02194452815693921,0.01832875000161834,-,0.0367,0.011319007,9.86,1
NMBR,+-+,+----+,NA,0.03441863594804005,0.01837298941483072,-,0.0367,0.003097294,9.88,1
NKAIN1,+++,--+--+,++--,0.032200161707577536,0.018388782599781908,-,0.0368,0.028958866230181374,9.89,1
KANSL1L,--+,++-+++,NA,0.034843849254064495,0.018420707687249113,-,0.0368,0.006457124602829588,9.91,1
CUEDC2,++-,++++++,--+-,0.03150054414360182,0.018467799859077105,-,0.0369,4.96388e-4,9.94,1
PLA2G12B,+-+,NA,NA,0.024412502851927902,0.018479438772600238,-,0.037,0.06203392916393384,9.94,1
KBTBD4,+--,NA,-+-+,0.021413635488920238,0.018488117743763022,-,0.037,0.00655721152313232,9.95,1
PKIB,+++,++-+--,+--+,0.031041249352793433,0.018530617810533678,-,0.0371,0.013729786774514726,9.97,1
IL12RB1,-+-,+-++++,NA,0.035346593808984986,0.01853891907549389,-,0.0371,0.045731216,9.97,1
ADAM33,-++,+++-++,--+-,0.02260954679795013,0.018580532790473052,-,0.0372,0.005331461,10,1
SUPT20H,--+,+---+-,+++-,0.022709157326534102,0.0186178983389838,-,0.0372,7.24345e-4,10,1
GTF2F1,++-,++++++,---+,0.03307736676690204,0.018635885347460714,-,0.0373,4.86012e-4,10,1
TOMM22,++-,++++++,+-++,0.03334187248112804,0.018649951785014687,-,0.0373,0.001412414,10,1
SRD5A2,+++,NA,NA,0.024640657084188913,0.018650544687161354,-,0.0373,0.08048576623434281,10,1
ZNRF4,+++,NA,NA,0.02458361852612366,0.018650544687161354,-,0.0373,0.15356705726904865,10,1
SPON1,---,------,-+++,0.023435946912445833,0.018704751910704417,-,0.0374,0.05689073,10.1,1
SLAIN1,---,----+-,++-+,0.023375719109957765,0.018712978597639124,-,0.0374,0.048894007,10.1,1
CPSF1,++-,++++++,---+,0.03287973677959413,0.018735646945758865,-,0.0375,0.006458765,10.1,1
B4GALT2,++-,++++-+,----,0.023961408361840797,0.018759900298522956,-,0.0375,0.013480993,10.1,1
FOXO1,---,----+-,++++,0.02843668256957643,0.0187607908432771,-,0.0375,0.034382164,10.1,1
TM4SF5,+++,NA,NA,0.024754734200319414,0.01876461529686876,-,0.0375,0.016175944154362933,10.1,1
