gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
ANKRD17,++-+,+---++--,-+++-+,0.33351573944404317,0.5874048051456452,+,0.667,0.067645599,179,1
LRRC43,+-+-,+++--+-+,NA,0.33354528405972256,0.6490430216695848,+,0.667,0.123578661,179,1
EPAS1,-++-,----++++,++--++,0.752432095754309,0.33369896931030013,-,0.667,0.10506133,180,1
RSPH9,+-++,NA,NA,0.8202819781755052,0.33377095815736957,-,0.668,0.31789258981960017,180,1
SRSF12,++++,--------,NA,0.33377420193956964,0.8750057686515309,+,0.668,0.070288062,180,1
CENPO,+++-,++-+----,NA,0.33377598903931316,0.9856316366992725,+,0.668,0.200840486,180,1
CBX5,-+++,-----+--,+-++++,0.6383036983974253,0.333998695788755,-,0.668,0.038100852,180,1
EYA3,-+-+,--+-----,NA,0.3339990092015544,0.6554169079529296,+,0.668,0.055284098,180,1
ANGPTL1,----,-+++--+-,NA,0.8268635438214476,0.3340892848129257,-,0.668,0.07163603574195267,180,1
ANAPC10,++--,-++-----,-----+,0.3341045991624909,0.6519094573067455,+,0.668,0.071087921,180,1
MSR1,----,--+-+-++,NA,0.8701521513199793,0.3341355495221111,-,0.668,0.229952471,180,1
C1QTNF8,+---,NA,NA,0.3342281226416135,0.7840378351512787,+,0.668,0.33360833781251886,180,1
ZFPL1,+-+-,+++-++++,+--+--,0.33423721879931584,0.5090940530114977,+,0.668,0.056262247,180,1
PAF1,+-+-,+-++++++,+-++-+,0.3342429952555873,0.5512022162117127,+,0.668,0.046950399,180,1
CLRN3,+---,NA,NA,0.4949242263347716,0.334278226319509,-,0.669,0.06293983191608868,180,1
COL4A4,++--,----+++-,NA,0.49496083727656276,0.33441567713767195,-,0.669,0.07592386,180,1
MFAP3,-+++,-+++-+--,NA,0.3344804302210201,0.38159884844794484,+,0.669,0.04538666955597534,180,1
PTF1A,+++-,NA,NA,0.7916095365069817,0.3345102684744639,-,0.669,0.14278282176440968,180,1
OR4E2,-+++,NA,NA,0.5157073444291722,0.3345173808382663,-,0.669,0.13963189983242025,180,1
EPB41L2,-+--,+-+-++--,+-+-++,0.3907952559758857,0.334599275603078,-,0.669,0.054459644,180,1
ATG2A,+-+-,-----+++,+-++--,0.33460365552366766,0.688905874580271,+,0.669,0.144133895,180,1
PRG4,---+,NA,NA,0.7251923692018526,0.3346527571709278,-,0.669,0.13082406688405254,180,1
GPR160,-+-+,++++++++,NA,0.33467006458806253,0.726847095945958,+,0.669,0.03359179789476436,180,1
ATP6V0D1,+-+-,-+++--++,-+-+-+,0.33863757347955453,0.3347309660440686,-,0.669,0.004611985,180,1
SYNC,-+++,++++++-+,NA,0.33480392807988807,0.9258340228568018,+,0.67,0.08371026,180,1
USP6NL,-++-,+++-++-+,----++,0.8790558553324151,0.3350269282851522,-,0.67,0.133850843,180,1
RSPH6A,+--+,NA,-+----,0.3350339072086134,0.49095908861905185,+,0.67,0.06371430649847433,180,1
KLK3,-+++,+-+-----,++-+++,0.7661669846436389,0.33511820275472054,-,0.67,0.086242509,180,1
