gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
UBE2J1,+++-,-++--+--,+-+-++,0.09970263017927354,0.1032296481688933,+,0.199,0.02005412,53.6,1
CEP57,-+-+,+++++---,--++-+,0.10111000733558492,0.09972815545633879,-,0.199,0.020861891,53.7,1
LGALS3,++++,-+--++--,+++-++,0.09977031420756734,0.1348228241206136,+,0.2,0.10357079872235013,53.7,1
PRRC2C,-+-+,+---++--,+++++-,0.10083311661464547,0.09978722667192669,-,0.2,0.051411657,53.7,1
NFATC1,----,-----+--,NA,0.12397776918988919,0.09979252512567474,-,0.2,0.233752059,53.7,1
SPI1,-+--,+-++++++,NA,0.16618091878068292,0.09981438352637587,-,0.2,0.075154495,53.7,1
STOX2,++++,---+--+-,++++--,0.10081295911652971,0.09983011838748401,-,0.2,0.018912828,53.7,1
KEL,----,+-++---+,NA,0.10334144796155215,0.09986301718869108,-,0.2,0.099214762,53.7,1
FCGR3B,++++,++++++++,NA,0.1555802716537329,0.09986661188284701,-,0.2,0.031942559,53.7,1
TMEM180,+---,----+---,--+--+,0.09988550873607306,0.11387151256766687,+,0.2,0.108423404,53.7,1
LIPJ,-+-+,+++-+---,NA,0.11210005324309587,0.09989073071693197,-,0.2,0.037556288558572,53.7,1
SRI,++++,++++----,----++,0.10107023751971242,0.09989890300478815,-,0.2,0.014027797,53.7,1
NUTM1,--++,NA,-+++++,0.09990096293685392,0.12993250526794686,+,0.2,0.022340824,53.7,1
C1QTNF3,-+-+,+++-----,NA,0.1127697941475468,0.09991375767079749,-,0.2,0.031193156,53.8,1
ERH,+-+-,+-++++++,+---++,0.1426480013074384,0.09991917879323521,-,0.2,0.055954736,53.8,1
PAK6,+-++,----++++,+++---,0.09999229428210049,0.09992010982238289,-,0.2,0.039021391,53.8,1
LCE1C,++++,NA,NA,0.0999315537303217,0.11749272799863116,+,0.2,0.24673862047165374,53.8,1
DAPK1,-+++,----++--,++++-+,0.09993299702449662,0.13052510509756818,+,0.2,0.041929784,53.8,1
RAD51AP2,-+++,++-+----,NA,0.1698132638217898,0.09998619618022733,-,0.2,0.001925151,53.8,1
AQP1,++--,++++---+,--+++-,0.09999737381707474,0.09999565466792058,-,0.2,0.033571294,53.8,1
SLC30A10,-+-+,++++----,+-+-++,0.11773920618368873,0.10000969540351376,-,0.2,0.01552863,53.8,1
NDUFA9,++++,-+-+-+--,-+---+,0.1000497587993655,0.12721755112191985,+,0.2,0.049085462,53.8,1
CTAGE5,++-+,+-+-+-+-,NA,0.16409222643469673,0.10007270434269962,-,0.2,0.005680827,53.8,1
SHANK1,--++,----++++,NA,0.1691983113197158,0.10007550443386751,-,0.2,0.010933975,53.8,1
MRPS36,++++,++++++++,-+---+,0.11149795576703952,0.10008133245969132,-,0.2,0.029337453,53.8,1
MAP4K1,----,+---++++,NA,0.10008466016376873,0.1032808448665179,+,0.2,0.12723727244487465,53.8,1
GUCA2A,++--,NA,NA,0.1000969600182513,0.11772758384668036,+,0.2,0.29718402421468193,53.9,1
