gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
ZNF385A,+--+-++-,0.185287734,0.6466312806835166,0.4263741465209613,-1,0.8527482930419226
DAB1,-+++--+-,0.205658052,0.18477065652353472,0.9060250726762822,1,0.36954131304706944
WASF1,-+---+-+,0.24119073,0.6709675244314666,0.6606877912943475,-1,1.321375582588695
PRCC,--++---+,0.208864794,0.5606193905400895,0.5009996232176793,-1,1.0019992464353586
CCL2,--+--+-+,0.264847566,0.6535467597707052,0.48882478546549774,-1,0.9776495709309955
EIF5A,-+-+-+-+,0.198750843,0.297312126727971,0.7753243878898095,1,0.594624253455942
CBX1,++---+-+,0.103455805,0.7093419615338548,0.4702025930867297,-1,0.9404051861734594
BUD31,-++---++,0.097086423,0.7448056291132956,0.3821539080903772,-1,0.7643078161807544
TMEM101,--++--++,0.104024438,0.39960190541727614,0.62790220434889,1,0.7992038108345523
MGC45922,-+-+-++-,0.117232397,0.5759217466134899,0.45006242688438375,-1,0.9001248537687675
GOT2,++-----+,0.228460674,0.2648511852424119,0.9411182151532526,1,0.5297023704848238
TSPAN7,-+---+++,0.107680337,0.5700913964687686,0.39717460440184876,-1,0.7943492088036975
IER3,--+---++,0.318350749,0.7526556676097573,0.6084820789805401,-1,1.2169641579610802
SRP14,-----+++,0.081445037,0.9907660430265111,0.07291041940313966,-1,0.14582083880627933
TTC31,---++-+-,0.120152622,0.6400711272470994,0.33903169250651466,-1,0.6780633850130293
CCDC62,---++++-,0.123156929,0.7493245279289514,0.30913966846495694,-1,0.6182793369299139
NDUFB5,++----++,0.191952154,0.7856391554971455,0.32145901069504446,-1,0.6429180213900889
MED12,--+++-+-,0.09771161,0.44828447295714025,0.5405643755703888,1,0.8965689459142805
ARL8A,---++--+,0.046376498,0.7070167255829023,0.2785503539346064,-1,0.5571007078692128
IL23A,----++++,0.1227897,0.9972181762834281,0.07650046886777792,-1,0.15300093773555584
SYT1,++-----+,0.146439419,0.4087217744323424,0.6007061350217442,1,0.8174435488646848
ATP1A1,++++----,0.099008895,0.05890380491166991,0.9949504455984692,1,0.11780760982333982
PEG3,+++-----,0.147280431,0.07167963714767223,0.9879278192556226,1,0.14335927429534445
CTNNBL1,++++--+-,0.178335393,0.20085913186521034,0.9801738146412371,1,0.4017182637304207
C11orf48,+++-----,0.284496816,0.26160585370773437,0.972051288665373,1,0.5232117074154687
TXNIP,--++++-+,0.164630993,0.7571957558360342,0.29259185224351725,-1,0.5851837044870345
SIDT1,++-+----,0.139103745,0.15716494794948627,0.9640768051388927,1,0.31432989589897253
PELP1,-+++--+-,0.247719195,0.35317826450694845,0.8263793233760405,1,0.7063565290138969
TPST1,-+++---+,0.205401592,0.29430586681209187,0.829128251262116,1,0.5886117336241837
ERH,+-+--+-+,0.245274438,0.7865238269626276,0.4512765502735871,-1,0.9025531005471742
SLC17A5,++----++,0.198740449,0.3413972577480015,0.7401556011769806,1,0.682794515496003
FBXO6,--+-+-+-,0.212822846,0.8032721215433988,0.4079720748715648,-1,0.8159441497431296
SLC29A3,-++++-++,0.193349625,0.5738469338883544,0.6169739172901013,1,1.1476938677767088
THNSL1,+--+--++,0.159852622,0.7062459873814322,0.332489549130603,-1,0.664979098261206
RCC2,+++++---,0.213306554,0.21007997322578387,0.9835644626696703,1,0.42015994645156773
TMEM178,+--++---,0.308753839,0.335564714050665,0.8260252604361841,1,0.67112942810133
TRIM47,++--+-+-,0.203346348,0.5539121369558496,0.624025385939768,1,1.1078242739116992
LOC643988,-+-++-+-,0.175658801,0.21151138288853474,0.9029397865794284,1,0.4230227657770695
AATF,++++-+--,0.218236423,0.10006267081225755,0.9931822486673327,1,0.2001253416245151
DUSP1,-+++--+-,0.165486049,0.12184231463312757,0.9876453339656922,1,0.24368462926625514
FUT1,+++++--+,0.118435768,0.18116738495627746,0.9314467423332867,1,0.3623347699125549
FAM40A,-+-+--++,0.241822285,0.5690406341894537,0.5031693094467539,-1,1.0063386188935077
ALG3,+++--++-,0.089385393,0.41822814977053485,0.6698952232130451,1,0.8364562995410697
FLJ33996,++-+----,0.165932959,0.06206560918772392,0.9961211678049947,1,0.12413121837544784
JAKMIP2,---+++-+,0.120296816,0.9215569973964097,0.24404269341890913,-1,0.48808538683781827
FABP5,+-+-+--+,0.085189232,0.6329287169015321,0.4397832149451606,-1,0.8795664298903212
LIMS2,--+-+--+,0.229646255,0.7623922683801088,0.5164983601874239,-1,1.0329967203748478
SNCG,++--+---,0.271948596,0.5346273813493936,0.829162367546131,1,1.0692547626987872
