gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
PSME2,--+--+++,0.005427996,0.156911568933379,0.6429002693766137,1,0.313823137866758,0.2801057770545159,0.3975388996237161,0.5602115541090318
ING1,+-+-+--+,0.016093539,0.15692609071198987,0.7901818805286849,1,0.31385218142397975,0.28020748576078114,0.3975388996237161,0.5604149715215623
GNG12,++-----+,0.030233146,0.6298172285409902,0.15697007874374827,-1,0.31394015748749654,0.28028068748093155,0.3975793327908869,0.5605613749618631
SLC12A9,--+-+--+,0.132845318,0.860125044091306,0.1569775311912989,-1,0.3139550623825978,0.28028068748093155,0.39768104149715217,0.5605613749618631
CCDC92,++-+--+-,0.036311517,0.15703407845851625,0.23931552426599498,1,0.3140681569170325,0.2803091944670464,0.3977422963490288,0.5606183889340928
C7orf23,+++++-+-,0.026033708,0.1571251765566383,0.6586738643321216,1,0.3142503531132766,0.28041090317331163,0.3977422963490288,0.5608218063466233
CCNE1,++-+-++-,0.019557397,0.15723642702228602,0.20126805684997198,1,0.31447285404457204,0.2805126118795769,0.3977422963490288,0.5610252237591538
HGS,+--+----,0.066313764,0.8929303750444797,0.15744746065856818,-1,0.31489492131713637,0.28058578256890065,0.3977827502034174,0.5611715651378013
DNAJB6,--+--+--,0.057313015,0.732279655649155,0.15746119101059894,-1,0.3149223820211979,0.28058578256890065,0.39788445890968266,0.5611715651378013
MT1E,+++++---,0.002501873,0.39973373591451605,0.1575388351526114,-1,0.3150776703052228,0.28058578256890065,0.3979861676159479,0.5611715651378013
SCAMP1,++--++++,0.038297566,0.1575851135471606,0.2974071562347882,1,0.3151702270943212,0.2806143205858421,0.39804739143699785,0.5612286411716843
GFAP,--+++---,0.004480618,0.31930935399176574,0.1576061852058466,-1,0.3152123704116932,0.280687480931557,0.3980878763222132,0.561374961863114
GSTP1,-+--++++,0.070333614,0.15762066157917523,0.5151395686122744,1,0.31524132315835046,0.2807160292921074,0.39814908979965424,0.5614320585842149
PTRF,+-++++++,0.044245412,0.1576275309646509,0.7432585325222221,1,0.3152550619293018,0.2808177379983727,0.39814908979965424,0.5616354759967453
SNAPC1,--+++--+,0.006139607,0.6728099315163644,0.15762906643123956,-1,0.3152581328624791,0.2808908776568697,0.39818958502847845,0.5617817553137394
ADI1,+++-++-+,0.082205899,0.1576882226927077,0.9760396846852565,1,0.3153764453854154,0.2809194467046379,0.3982507881623106,0.5618388934092758
FAM55C,--++++-+,0.12028324,0.157745603590818,0.7095222463298032,1,0.315491207181636,0.28102115541090317,0.3982507881623106,0.5620423108218063
KCNJ4,+-++-+-+,0.085896255,0.15784578620355885,0.7870674029854499,1,0.3156915724071177,0.2811228641171684,0.3982507881623106,0.5622457282343368
KCTD21,+-++-+-+,0.171918914,0.15796672858441738,0.8074566153220355,1,0.31593345716883475,0.28122457282343366,0.3982507881623106,0.5624491456468673
C6orf170,--+---++,0.009663296,0.18123387418614276,0.15800416723643435,-1,0.3160083344728687,0.28129767110749515,0.3982912937347437,0.5625953422149903
CCDC117,++-+-+--,0.017536517,0.15800683739688703,0.5999712652636664,1,0.31601367479377407,0.28132628152969896,0.39835248652496696,0.5626525630593979
RABGGTA,-+--+---,0.042796161,0.8533769879332163,0.15817658573620666,-1,0.3163531714724133,0.28139936947015154,0.39839300244100895,0.5627987389403031
RAC3,-++-+---,0.090300094,0.9055359365162416,0.15817799572940316,-1,0.31635599145880633,0.28139936947015154,0.3984947111472742,0.5627987389403031
PRSS22,-+---+-+,0.034825936,0.46179004851410915,0.15819184900217922,-1,0.31638369800435845,0.28139936947015154,0.39859641985353944,0.5627987389403031
BTBD11,++---+++,0.012298315,0.16525704365490038,0.1582935775763914,-1,0.3165871551527828,0.28139936947015154,0.39869812855980474,0.5627987389403031
AHSA1,-+-----+,0.062930337,0.9601336649501961,0.1583108051692331,-1,0.3166216103384662,0.28139936947015154,0.39879983726607,0.5627987389403031
PRCP,--++-+-+,0.030039794,0.15848690449106728,0.2842293394757125,1,0.31697380898213456,0.2814279902359642,0.39886097833824874,0.5628559804719284
MRAS,-++----+,0.025144288,0.7744352086313238,0.15857698267285364,-1,0.3171539653457073,0.28150106783280787,0.39890154597233524,0.5630021356656157
FSTL5,+----+++,0.061004401,0.8710827614669893,0.15865342328022702,-1,0.31730684656045405,0.28150106783280787,0.3990032546786005,0.5630021356656157
MST1,--++----,0.078153464,0.9329401657356255,0.15869147872904066,-1,0.3173829574580813,0.28150106783280787,0.39910496338486573,0.5630021356656157
TIGD5,+++-+-+-,0.124399157,0.15869251705392226,0.6811130109227774,1,0.3173850341078445,0.28152969894222946,0.39916607342621785,0.5630593978844589
NT5DC1,+-+-++++,0.08718661,0.15869360127858062,0.5947865302057233,1,0.31738720255716124,0.2816314076484947,0.39916607342621785,0.5632628152969894
CLEC11A,-+++----,0.072724064,0.6550837495587221,0.15871423358249676,-1,0.3174284671649935,0.2817044645581206,0.399206672091131,0.5634089291162412
FAM5C,-+-+--++,0.00588221,0.17682171357686538,0.15874943760400392,-1,0.31749887520800785,0.2817044645581206,0.3993083807973963,0.5634089291162412
MEPCE,-+++----,0.008396536,0.15877681037220237,0.3131253767035968,1,0.31755362074440474,0.28173311635475995,0.39936947015153057,0.5634662327095199
MAN2A1,--+-++++,0.037615449,0.1588240706837213,0.19028798424505128,1,0.3176481413674426,0.28183482506102525,0.39936947015153057,0.5636696501220505
SLC16A1,--++++-+,0.073360112,0.15883215132573214,0.7132327389185587,1,0.3176643026514643,0.2819365337672905,0.39936947015153057,0.563873067534581
PTRH1,+++---+-,0.112813577,0.7740572144977618,0.15885628730443724,-1,0.3177125746088745,0.2820095596460897,0.3994100895036615,0.5640191192921794
HSF1,++++--+-,0.093189045,0.15886683151406972,0.7860391281646624,1,0.31773366302813943,0.28203824247355574,0.3994711685141869,0.5640764849471115
RP9,++-+-+++,0.036706554,0.15891598723793007,0.7059721426888245,1,0.31783197447586015,0.282139951179821,0.3994711685141869,0.564279902359642
NFRKB,--+---++,0.182045318,0.7231048228259289,0.15893737718728573,-1,0.31787475437457147,0.2822129563714024,0.39951179820992677,0.5644259127428048
DACH1,+--++--+,0.047576966,0.1589643379320535,0.5586382975283777,1,0.317928675864107,0.28224165988608624,0.3995728668768433,0.5644833197721725
