gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
C6orf115,++----,0.020183521,0.4058254200778295,0.35628628499129494,-1,0.7125725699825899,0.4615541090317331,0.4401383379106907,0.8802766758213814
ZNF586,+---+-,0.0938353,0.6308002181717811,0.1826159961441057,-1,0.3652319922882114,0.36310008136696503,0.3565252771844166,0.7130505543688332
ANXA2,---+--,0.17868427,0.7921018018064283,0.23527234713089037,-1,0.47054469426178075,0.3999186330349878,0.3872444308819042,0.7744888617638084
C6orf145,-++---,0.03524382,0.039237247431879556,0.9910571109085766,1,0.07847449486375911,0.18095819346963687,0.19558584214808789,0.36191638693927375
SUMO2,-+---+,0.099553839,0.48156527458208986,0.5092340195799439,1,0.9631305491641797,0.4977113213304852,0.47009764035801466,0.9401952807160293
LENG8,--+++-,0.01936264,0.9334141717949419,0.006633303327652122,-1,0.013266606655304243,0.07241659886086249,0.08727494659749771,0.14483319772172498
SYN3,+-++-+,0.138602341,0.6148032595072428,0.44307433500655924,-1,0.8861486700131185,0.4900325467860049,0.46292340555386025,0.9258468111077205
AKR1CL2,-+-+--,0.077384363,0.14693501320277544,0.6024499811516297,1,0.2938700264055509,0.3318075475536568,0.32933279088689993,0.6586655817737999
PDIA3,--++-+,0.012091199,0.8764557385674435,0.02259601473954247,-1,0.04519202947908494,0.13578112286411717,0.15512155426711424,0.27156224572823434
MIB1,--+---,0.132128184,0.3839031593566004,0.620649267729892,1,0.7678063187132008,0.47350218695961754,0.44843368592351507,0.8968673718470301
VCP,-++++-,0.061675375,0.7605223746024775,0.16870948087216361,-1,0.33741896174432723,0.35211554109031734,0.34625165293459464,0.6925033058691893
GRIA4,++---+,0.093361423,0.062417145526543164,0.5636719239545442,1,0.12483429105308633,0.2254094191842132,0.23616761594792515,0.4508188383684264
MYLK2,++--++,0.088887921,0.6926680365210869,0.17806867949821084,-1,0.3561373589964217,0.36065907241659884,0.3536771437290204,0.7073542874580409
CD3EAP,+-++++,0.205009082,0.6986448061417121,0.40374093912086123,-1,0.8074818782417225,0.479759967453214,0.4536669718238226,0.9073339436476452
TUBA3C,-+++-+,0.016068633,0.2351287816737069,0.5753125802960523,1,0.4702575633474138,0.3998575933272302,0.38700162733930027,0.7740032546786005
ZMIZ2,-++-+-,0.010677528,0.052050104965378485,0.832967316472206,1,0.10410020993075697,0.2091343708676635,0.2187754271765663,0.418268741735327
FLNB,---++-,0.182182865,0.8987384752229434,0.15314492249197503,-1,0.30628984498395007,0.3378763222131814,0.3342488048011393,0.6684976096022786
ADAM10,---+++,0.01593324,0.9991451404165369,0.0024690357607165614,-1,0.004938071521433123,0.039259560618388936,0.051673278405045264,0.07851912123677787
STIM2,+-----,0.152631835,0.3667246637855126,0.6401076939306407,1,0.7334493275710252,0.4662801342691486,0.4434499593165175,0.886899918633035
C20orf54,--+---,0.161093914,0.1099441597960062,0.9230421744226956,1,0.2198883195920124,0.2918319601261316,0.29485353946297804,0.5836639202522632
RFNG,+-++-+,0.024631742,0.12205798247679585,0.8414742362842216,1,0.2441159649535917,0.30678466076696165,0.3065500406834825,0.613100081366965
COPS3,-+-+-+,0.091098221,0.43378815901060924,0.45637475894733553,1,0.8675763180212185,0.48794629234055537,0.46053702196908053,0.9210740439381611
RPL22L1,++++-+,0.057205712,0.27875987516977846,0.548789063555184,1,0.5575197503395569,0.4258976706337097,0.41120829943043125,0.8224165988608625
CAPRIN1,----++,0.028594476,0.9983698305881484,0.001540422867213163,-1,0.003080845734426326,0.02919039869812856,0.04211168751907232,0.05838079739625712
WDR70,++----,0.063155805,0.13526369860305215,0.8906952155962192,1,0.2705273972061043,0.32051673278405046,0.3193653376729048,0.6387306753458096
ALDH2,+++--+,0.006282491,0.009494537348468115,0.9837665576327027,1,0.01898907469693623,0.0880886990133252,0.10506509357200976,0.1761773980266504
CAB39L,++---+,0.046198221,0.4397818174797319,0.27781917768353376,-1,0.5556383553670675,0.4254475183075671,0.4103346556810091,0.8206693113620182
NCK1,+--+++,0.004669944,0.9234701085749413,0.011714570156906131,-1,0.023429140313812262,0.09713181448331977,0.11473909063167531,0.19426362896663954
PRELP,-+++-+,0.014896723,0.7960556266672847,0.15432346164807306,-1,0.3086469232961461,0.338893409275834,0.3352659953209236,0.6705319906418472
RNF25,+++---,0.086543165,0.03886035723250678,0.9941127816278265,1,0.07772071446501357,0.1801444410538094,0.19426362896663954,0.3602888821076188
GLDN,--+++-,0.040522846,0.8064020180687599,0.01835855798706304,-1,0.03671711597412608,0.12235557363710334,0.14230495371783136,0.24471114727420668
RAD50,---+++,0.004704775,0.9968097286412619,0.0019020394022505884,-1,0.003804078804501177,0.03366558177379984,0.04679076391008036,0.06733116354759967
C6orf120,+----+,0.037031086,0.35777801559604067,0.08512039249318619,-1,0.17024078498637238,0.2596623270951994,0.2660970399755874,0.5193246541903987
C12orf30,--++-+,0.039998127,0.7736622277015506,0.024922604749524367,-1,0.049845209499048734,0.1424938974776241,0.16305564032143222,0.2849877949552482
TRMT1,-+-+--,0.08245515,0.09954935980966398,0.9278697687538522,1,0.19909871961932796,0.278608483368935,0.2830553295362083,0.55721696673787
SUV420H1,+++++-,0.112871348,0.15115924951264567,0.7794476859729332,1,0.30231849902529134,0.3363849048926864,0.3321806346623271,0.6643612693246542
S100A16,+----+,0.064537172,0.2420478795265606,0.7677439858146426,1,0.4840957590531212,0.4044349506662598,0.39137510170870626,0.7827502034174125
IGSF3,++--++,0.019759551,0.19208045808778593,0.5953531727003746,1,0.38416091617557185,0.3706642254094192,0.3634052074857608,0.7268104149715215
ARFIP1,---+++,0.017238483,0.9998004928895587,0.0010037162282604706,-1,0.0020074324565209412,0.02339300244100895,0.0334655681009053,0.0467860048820179
ALG5,-+-++-,0.014350094,0.2213338004175121,0.10757559850091072,-1,0.21515119700182145,0.2892595606183889,0.2921371172820669,0.5785191212367778
TKT,+-+--+,0.006555899,0.0401273822661233,0.8298399512695162,1,0.0802547645322466,0.18289085545722714,0.1969080553295362,0.36578171091445427
RPL34,-++---,0.119526966,0.2678622198119576,0.7164982690716208,1,0.5357244396239152,0.42040484182687415,0.4055126118795769,0.8110252237591538
PEBP1,+++---,0.034575468,0.003197246986982983,0.9999114384035509,1,0.006394493973965966,0.04607873054623131,0.058889340927583404,0.09215746109246262
KCTD15,-++---,0.066857491,0.06251349672913019,0.9483357427522431,1,0.12502699345826038,0.22561285728817007,0.23616761594792515,0.45122571457634014
LOH12CR1,-+-+-+,0.041567603,0.6173204989637182,0.20192491510196595,-1,0.4038498302039319,0.3778478437754272,0.3697487539416133,0.7394975078832265
CCDC66,--+++-,0.03297088,0.2840623520936752,0.1953067984237936,-1,0.3906135968475872,0.37276240846216435,0.3658834299664327,0.7317668599328654
RAPGEF1,+--+++,0.032694195,0.9376769828072472,0.018030586386545585,-1,0.03606117277309117,0.12072823433685924,0.14098260604211169,0.24145646867371848
FEM1A,+++--+,0.015395225,0.008535884751977385,0.9591386539937954,1,0.01707176950395477,0.08310446546638185,0.09926769731489016,0.1662089309327637
GRSF1,+----+,0.00756264,0.7898812875446888,0.013036154885944678,-1,0.026072309771889356,0.10303091944670464,0.12135082901027362,0.2060618388934093
PCBD2,+-+-++,0.045064888,0.411466347399081,0.09043135712003532,-1,0.18086271424007064,0.2674938974776241,0.2734208117180348,0.5349877949552482
PLEKHB2,----++,0.060817322,0.6277660001157109,0.11249007381470305,-1,0.2249801476294061,0.2958706265256306,0.2978333841928593,0.5917412530512612
SCN1B,-++-+-,0.050532584,0.33812458274325957,0.480089133470481,1,0.6762491654865191,0.45407384803173634,0.4351098454027665,0.870219690805533
PLXNC1,-++---,0.014337453,0.0064224069660985955,0.9813495020072924,1,0.012844813932197191,0.07038958396907741,0.08584214808787632,0.14077916793815481
USF2,+-+--+,0.045587734,0.2930162279487128,0.45692298038273604,1,0.5860324558974256,0.43311972332417864,0.4178193653376729,0.8356387306753458
SSBP3,+--+++,0.072278464,0.9770463054621201,0.046070104095576034,-1,0.09214020819115207,0.19700976403580148,0.20659139456820264,0.39401952807160295
DDX5,-++-++,0.028962079,0.8620884678441927,0.07965595409396753,-1,0.15931190818793506,0.25193246541903985,0.2600956159088597,0.5038649308380797
SFRS2,+---++,0.020929213,0.943618894595226,0.019689895238730104,-1,0.03937979047746021,0.12622050447518307,0.1464754348489472,0.25244100895036614
ASCC2,--++--,0.116566667,0.15281512731455096,0.8081512417920114,1,0.3056302546291019,0.3378089716203845,0.3340113913751017,0.6680227827502034
PNPLA2,++-+-+,0.010228371,0.10353305310631482,0.6218522647256438,1,0.20706610621262964,0.283287559759943,0.2879373474369406,0.566575119519886
ICAM5,+++---,0.044514419,0.0043681303133048036,0.9981794736937859,1,0.008736260626609607,0.056250635744074864,0.07038242473555736,0.11250127148814973
PRMT7,---+--,0.105620131,0.5205817920598687,0.4705097902009821,-1,0.9410195804019642,0.4953213995117982,0.4683145153087173,0.9366290306174346
GTF2H5,--+--+,0.039746348,0.4142833255760089,0.21550071424683467,-1,0.43100142849366935,0.38771358828315705,0.3769708066320822,0.7539416132641644
CCNF,++++-+,0.079355618,0.18080554017159936,0.7947662763749899,1,0.3616110803431987,0.3621198250432306,0.35557363710333606,0.7111472742066721
GMFB,---+++,0.02983736,0.9980799978198711,0.00459086203921565,-1,0.0091817240784313,0.05817737998372661,0.07242396500864612,0.11635475996745322
DNAJC18,++--++,0.049950562,0.5504318829855119,0.18261772324727973,-1,0.36523544649455947,0.36310008136696503,0.3566269962363951,0.7132539924727902
SMAP2,+++---,0.058993633,0.009411832616276336,0.9996716977405877,1,0.01882366523255267,0.08768182280541145,0.10455655004068348,0.1753636456108229
DYNLT1,+--+-+,0.004358614,0.14230338814884358,0.3675341598582834,1,0.28460677629768716,0.3277387854745194,0.32546786004882017,0.6509357200976403
GGA3,+-++-+,0.044763951,0.14967145944351537,0.6031386301742035,1,0.29934291888703074,0.33485911911300986,0.3307567127746135,0.661513425549227
HGSNAT,-+----,0.001126404,0.016286524572641594,0.6342560058402471,1,0.03257304914528319,0.11382361916386939,0.1338486574450773,0.22764723832773878
ZNF281,+-++-+,0.061332678,0.3330316445044899,0.2510765646402673,-1,0.5021531292805346,0.4096826688364524,0.3976197741837046,0.7952395483674092
STAU2,++--+-,0.038432865,0.098982342343165,0.5139312029048317,1,0.19796468468633,0.27759129284915063,0.28224165988608624,0.5551825856983013
NET1,-+++++,0.179782959,0.5085290670688118,0.4069010186700879,-1,0.8138020373401758,0.48077705451586655,0.4548876004475638,0.9097752008951276
ACADS,---+-+,0.151575,0.8892071340284756,0.10245067505568158,-1,0.20490135011136315,0.28183482506102525,0.28674600752720986,0.5636696501220505
PTPN1,+-----,0.057155431,0.28694651738879123,0.36478750607974364,1,0.5738930347775825,0.43016987081680397,0.41466639544344996,0.8293327908868999
UPF2,++---+,0.057700655000000003,0.39764860730859536,0.47972511085517233,1,0.7952972146171907,0.47807954429864713,0.4521969080553295,0.904393816110659
STXBP3,---+++,0.016457116,0.9999166545723932,0.0011808536527377893,-1,0.0023617073054755786,0.02563059397884459,0.03590682534838775,0.05126118795768918
DNPEP,-+-++-,0.019090918,0.1486959847648196,0.3390190608820008,1,0.2973919695296392,0.3335367714372902,0.33014646053702196,0.6602929210740439
GRIN2C,+--+-+,0.038507772,0.47011716050616886,0.1146774392263263,-1,0.2293548784526526,0.2991253051261188,0.30027464144034177,0.5982506102522376
TM9SF4,+-+++-,0.040858989,0.176787403254316,0.7655576487743072,1,0.353574806508632,0.3595768487437697,0.35292921074043937,0.7058584214808787
TRAPPC6A,---+++,0.022211142,0.9990940501202212,0.005620730272953329,-1,0.011241460545906658,0.06499186330349878,0.08005289390702879,0.12998372660699756
CYHR1,+-+---,0.155030618,0.026843534836167474,0.9778116019441518,1,0.05368706967233495,0.14850981588851592,0.16914157851912123,0.29701963177703183
SAMD4B,+-+++-,0.171579401,0.5200362083358224,0.3626161715338473,-1,0.7252323430676946,0.4649104963384866,0.44176584274234565,0.8835316854846913
GPATCH4,-+---+,0.074170506,0.23266049688861837,0.19205366374991464,-1,0.3841073274998293,0.370626525630594,0.3632387346149934,0.7264774692299868
ADSSL1,++--++,0.178680337,0.5082360061680462,0.38487348142057637,-1,0.7697469628411527,0.4738608624898291,0.44858101922490085,0.8971620384498017
TBL1XR1,-----+,0.096239326,0.9080567185391316,0.10632145995736685,-1,0.2126429199147337,0.2872253864930838,0.2909164886583257,0.5744507729861676
TMEM44,+++--+,0.079154401,0.05171099938715324,0.9024301474256222,1,0.10342199877430648,0.20862577560777135,0.21816517493897478,0.4172515512155427
SMARCA2,---+++,0.037806742,0.9940472709084301,0.00618652945152943,-1,0.01237305890305886,0.06875508543531327,0.08493540840199369,0.13751017087062653
B4GALT6,++---+,0.016806273,0.4520755894957622,0.08248074831399531,-1,0.16496149662799062,0.2563059397884459,0.26324890652019123,0.5126118795768918
ACBD6,+-++-+,0.024233427,0.31982791501081387,0.28369998267971197,-1,0.5673999653594239,0.42819365337672904,0.41267419387651305,0.8253483877530261
GPR162,++++--,0.096050281,0.008166185848523628,0.9969473073470321,1,0.016332371697047255,0.08178211779066219,0.09713181448331977,0.16356423558132438
ST5,+-+---,0.021861517,0.013484410706726974,0.9935664860376993,1,0.02696882141345395,0.10446546638185332,0.1233726606997559,0.20893093276370664
DLGAP1,-+--++,0.042524251,0.7854349691010498,0.05280634215393712,-1,0.10561268430787424,0.20992676973148902,0.2205269046892483,0.41985353946297804
GDAP2,+--++-,0.027222285,0.22804941195201192,0.20766642528020618,-1,0.41533285056041236,0.38272986167615947,0.37330892076085853,0.7466178415217171
TTC35,-+-+-+,0.008649064,0.2986849409794176,0.06876321017875371,-1,0.13752642035750742,0.23586248982912938,0.24646526294374937,0.47172497965825877
AMY2B,---++-,0.075485112,0.9600491817424991,0.08553982109103417,-1,0.17107964218206834,0.26057770545158665,0.2669107923914149,0.5211554109031733
JOSD2,+-+++-,0.087724719,0.4701394831139123,0.40283335617266736,-1,0.8056667123453347,0.47965825874694873,0.4535652527718442,0.9071305055436883
RAB4A,+--+-+,0.006038483,0.49466448028016086,0.029832998243645322,-1,0.059665996487290644,0.15693653376729047,0.17526192655884448,0.31387306753458094
AP4B1,-++---,0.037551498,0.05982330153878574,0.6591858528543408,1,0.11964660307757148,0.2216458142610111,0.23189585028478438,0.4432916285220222
ARL4C,++---+,0.04199073,0.1544819479543993,0.17980813381290703,1,0.3089638959087986,0.3389278811921473,0.3354353132628153,0.6708706265256306
RBM9,++++--,0.15960927,0.08241731337876043,0.9131186162296725,1,0.16483462675752086,0.2562302919336792,0.26312042310821804,0.5124605838673584
H2AFY,--++++,0.077344007,0.8451455435542465,0.04855765710275011,-1,0.09711531420550022,0.20219690805532953,0.21035499949140474,0.40439381611065905
DDR1,+-++-+,0.009939981,0.09847463092912273,0.2755219044918124,1,0.19694926185824546,0.2763706642254094,0.2816314076484947,0.5527413284508188
CDC25B,+-+---,0.046940918,0.014566618320642865,0.9928801299871673,1,0.02913323664128573,0.1084325094090123,0.12764442636289666,0.2168650188180246
CREBBP,+++---,0.043307397,0.0011826541632517992,0.9999643515706967,1,0.0023653083265035985,0.025734920150544197,0.0363100081366965,0.05146984030108839
COASY,-++---,0.121312734,0.11835694799086309,0.9473395183774103,1,0.23671389598172618,0.3029193367917811,0.30319365337672904,0.6058386735835622
CNTROB,---+--,0.152585955,0.3596270062598075,0.750033894613624,1,0.719254012519615,0.46414403417760147,0.44080553295362085,0.8816110659072417
PPP1CC,+----+,0.015747191,0.20758286053704209,0.16850945686145466,-1,0.3370189137229093,0.3519121236777868,0.3459464957786593,0.6918929915573186
NR3C2,++++-+,0.08336339,0.0657999493681576,0.9171080438562921,1,0.1315998987363152,0.23191943851083308,0.2411513425549227,0.46383887702166615
TBC1D15,--+-++,0.022439607,0.6409191183192354,0.018431202344898326,-1,0.03686240468979665,0.1226606997558991,0.14250839182178823,0.2453213995117982
ZNF346,+-+---,0.014401685,0.010123353029382536,0.8836141335830845,1,0.020246706058765072,0.09052995626080765,0.10811635475996745,0.1810599125216153
EPB41L3,-+-+-+,0.007817322,0.9054890415222524,0.04966536716371703,-1,0.09933073432743406,0.2039259560618389,0.21320313294680093,0.4078519121236778
