gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
SH2B2,++-+-+--,0.004976685,0.13967351960824315,0.7233341502851072,1,0.2793470392164863
HYAL3,-++-+---,0.049104588,0.8301454819563518,0.13970718948409755,-1,0.2794143789681951
PHKA2,+-+-++--,0.013494476,0.13970865967228316,0.21040351233249815,1,0.2794173193445663
PACS2,-+++-+--,0.014955805,0.1397359382028529,0.17169962440845848,1,0.2794718764057058
SHMT1,--++----,0.139163296,0.9496247347465314,0.13974129001569444,-1,0.27948258003138887
FAM40B,+++--+-+,0.045513109,0.13976356525524386,0.9337308019289723,1,0.2795271305104877
GOPC,----++++,0.012016479,0.23642689088394497,0.1397872326318241,-1,0.2795744652636482
GAS2,----+-+-,0.10700927,0.8517577447016973,0.1398002327102698,-1,0.2796004654205396
UTP11L,++-+----,0.005352341,0.13988214962552184,0.4141138834972919,1,0.2797642992510437
METTL6,+---++-+,0.019711142,0.21195215654143906,0.13992993051164923,-1,0.27985986102329846
TMEM66,-+--++-+,0.017855243,0.13998572841775844,0.27016419667743974,1,0.2799714568355169
FBXO42,-+++----,0.045297191,0.3152869018025315,0.14002162343150776,-1,0.2800432468630155
PLEKHB1,--+--+--,0.005644944,0.17270521249012782,0.14002602606693368,-1,0.28005205213386736
CNKSR2,-+++----,0.028043165,0.17447397528683475,0.14004164880708742,-1,0.28008329761417483
KIAA0556,-+++-++-,0.042099813,0.1401208181407818,0.8910060433995971,1,0.2802416362815636
CD59,++-+-+--,0.07666573,0.14015375510577888,0.4593233816793521,1,0.28030751021155775
PPME1,+++-----,0.011558146,0.35928897862999043,0.14020931405619586,-1,0.2804186281123917
RBM34,+-+-+++-,0.034889139,0.6155566044471554,0.14026060569771434,-1,0.2805212113954287
ORC2L,-----+++,0.047325936,0.9351605612233825,0.14032406883338958,-1,0.28064813766677915
PPP3CA,-+-+-+--,0.016769288,0.49560443896934564,0.14033571297198025,-1,0.2806714259439605
TXN2,++++--+-,0.136645318,0.14056731878121653,0.5143918320493227,1,0.28113463756243307
PLD2,--++-+++,0.016999532,0.14080034837662206,0.29194121004363627,1,0.2816006967532441
ARID1A,+--+-+--,0.053587172,0.2929422766655105,0.1408117192047761,-1,0.2816234384095522
MRPS27,------++,0.011941479,0.5091118074839839,0.14082776883688408,-1,0.28165553767376816
