gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
STOX2,++++--,0.018912828,0.014647373373751101,0.7394816530044122,1,0.029294746747502202,0.0668226200162734,0.10373232990948845,0.1336452400325468
PYCRL,-+----,0.026293071,0.987276063233629,0.014657929432906603,-1,0.029315858865813206,0.0669175226278857,0.10374288039056143,0.1338350452557714
KIAA0907,--+-+-,0.004533989,0.4849521369943897,0.014683307400866645,-1,0.02936661480173329,0.0669175226278857,0.10384458909682669,0.1338350452557714
CDC42SE2,----++,0.003518352,0.20906904069581722,0.014691878198480461,-1,0.029383756396960923,0.0669175226278857,0.10394629780309195,0.1338350452557714
PCDH1,++-+--,0.00683633,0.940229557061215,0.014707584928247011,-1,0.029415169856494023,0.0669175226278857,0.10404800650935721,0.1338350452557714
WWOX,+----+,0.014782584,0.6344510250700401,0.014764961460021058,-1,0.029529922920042116,0.0669175226278857,0.10414971521562245,0.1338350452557714
TUBA4A,++++-+,0.022027903,0.014772216774968313,0.8778031790071916,1,0.029544433549936626,0.06692432872253865,0.10424082172277026,0.1338486574450773
ZFHX3,--++--,0.026097378,0.30061866675168836,0.0147796174106577,-1,0.0295592348213154,0.06701922099054206,0.10425142392188771,0.1340384419810841
MESP2,+++++-,0.044672753,0.014782552042026503,0.7859796486306752,1,0.029565104084053006,0.0670260374288039,0.10434252008542662,0.1340520748576078
PKIG,-+--++,0.008436236,0.8148508746812488,0.014783359478760182,-1,0.029566718957520364,0.06712091935319842,0.10435313262815298,0.13424183870639683
SELT,----++,0.008459363,0.2700726585036503,0.014799533887462019,-1,0.029599067774924038,0.06712091935319842,0.10445484133441822,0.13424183870639683
ABLIM2,+-+---,0.034016199,0.7020537034154845,0.014819860252681217,-1,0.029639720505362434,0.06712091935319842,0.10455655004068348,0.13424183870639683
HIBADH,----+-,0.025761985,0.7270923254732684,0.01486326534732987,-1,0.02972653069465974,0.06712091935319842,0.10465825874694874,0.13424183870639683
CWF19L2,--++++,0.020953184,0.014866420996531493,0.8031864058534776,1,0.029732841993062985,0.06712774613506917,0.10474931353605207,0.13425549227013833
MZF1,+-----,0.03640721,0.9817808291230765,0.014867295702994342,-1,0.029734591405988685,0.06722261771585478,0.10475996745321399,0.13444523543170955
NMT1,+++--+,0.043393258,0.014903143746167037,0.7288066687848211,1,0.029806287492334074,0.06722945484133441,0.10485101189870843,0.13445890968266883
ARF6,++---+,0.016906742,0.7965412032255381,0.014911449296285597,-1,0.029822898592571194,0.06732431607851114,0.10486167615947925,0.13464863215702227
PKN1,+-++++,0.00640412,0.014912201079389571,0.9468830253633962,1,0.029824402158779142,0.06733116354759967,0.1049527102613648,0.13466232709519935
PDIA6,----++,0.007597659,0.7715278033984226,0.014929208861496445,-1,0.02985841772299289,0.0674260144411675,0.10496338486574451,0.134852028882335
MAPK12,-++---,0.034282865,0.9181380741957941,0.014956744315899679,-1,0.029913488631799358,0.0674260144411675,0.10506509357200976,0.134852028882335
PTPN2,-+--++,9.08333e-4,0.015806098634850514,0.014959551730880278,-1,0.029919103461760556,0.0674260144411675,0.10516680227827502,0.134852028882335
PDLIM5,++--++,0.052368258,0.014967015925396728,0.9099081955870557,1,0.029934031850793456,0.06743287225386493,0.10525780534933388,0.13486574450772987
ACSS1,+++--+,0.006008708,0.015006538821089542,0.49697915178323715,1,0.030013077642179083,0.06753458096013018,0.10525780534933388,0.13506916192026036
PPP4R2,+-++++,0.006178277,0.015034822635925447,0.7959142829767499,1,0.030069645271850895,0.06763628966639544,0.10525780534933388,0.13527257933279088
PLOD2,+-++-+,0.005516948,0.2114960671277268,0.01507314465210764,-1,0.03014628930421528,0.06773110952913658,0.10526851098454028,0.13546221905827316
ZNF273,++-+++,0.016307116,0.015073989186487264,0.9358189325789797,1,0.03014797837297453,0.0677379983726607,0.10535950371199024,0.1354759967453214
NDE1,--+++-,0.012692884,0.07843038225484782,0.015078501485492701,-1,0.030157002970985402,0.06783280789179294,0.10537021969080554,0.13566561578358588
PAG1,+--+++,0.004343446,0.015079328851585557,0.8386069280510655,1,0.030158657703171114,0.06783970707892596,0.1054612020746466,0.13567941415785192
SERGEF,++++++,0.072109176,0.015094112162790893,0.9980770579485001,1,0.030188224325581787,0.06794141578519121,0.1054612020746466,0.13588283157038242
RWDD2B,+-+--+,0.003980618,0.03689252276813552,0.015094327325143455,-1,0.03018865465028691,0.06803620461710566,0.10547192839707079,0.13607240923421132
C3,----++,0.022980337,0.8402331823513212,0.015121461394035737,-1,0.030242922788071475,0.06803620461710566,0.10557363710333605,0.13607240923421132
DYNC2H1,----++,0.028026404,0.8504801747613207,0.015147913833647966,-1,0.03029582766729593,0.06803620461710566,0.1056753458096013,0.13607240923421132
PUM2,+---++,0.003083521,0.015168017210241556,0.70525774182124,1,0.03033603442048311,0.06804312449145647,0.10576629716261568,0.13608624898291294
SPG21,+-++-+,0.002846161,0.015221096757424881,0.8617380878297866,1,0.030442193514849763,0.06814483319772173,0.10576629716261568,0.13628966639544346
PPP2R5C,+-+--+,0.008311142,0.01522149601252773,0.0639578867993674,1,0.03044299202505546,0.06824654190398698,0.10576629716261568,0.13649308380797395
TH1L,+----+,0.022001873,0.9380129693446151,0.015227097475615136,-1,0.030454194951230272,0.06834129970507474,0.10577705451586655,0.13668259941014949
