gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
PRKCD,-+--,0.00541985,0.9442813516308406,0.0027123730266489666,-1,0.005424746053297933,0.03864537780941727,0.05421074043938161,0.07729075561883454
LASS4,--+-,0.004351498,0.9705583240684037,0.0027165176669921966,-1,0.005433035333984393,0.03864537780941727,0.05431244914564687,0.07729075561883454
PIGY,----,0.017183801,0.9996523973951651,0.0027186729459619608,-1,0.0054373458919239216,0.03864537780941727,0.05441415785191212,0.07729075561883454
TSC22D2,++++,0.005884551,0.002721658440314682,0.993401735398135,1,0.005443316880629364,0.038649308380797394,0.05451032238380962,0.07729861676159479
PHF11,----,0.033652528,0.9982019956086066,0.0027217845428943546,-1,0.005443569085788709,0.03874707617207363,0.05451586655817738,0.07749415234414726
CDK7,-+--,0.00422294,0.8901929540994945,0.0027226577090975956,-1,0.005445315418195191,0.03874707617207363,0.054617575264442636,0.07749415234414726
AMD1,----,0.017118539,0.993804687785588,0.002723500812603557,-1,0.005447001625207114,0.03874707617207363,0.05471928397070789,0.07749415234414726
PGAM1,-+--,0.02435927,0.8567631367832177,0.0027236857990042187,-1,0.005447371598008437,0.03874707617207363,0.05482099267697315,0.07749415234414726
ACLY,----,0.010828464,0.9981952137124694,0.002732656150025478,-1,0.005465312300050956,0.03874707617207363,0.054922701383238404,0.07749415234414726
PHYH,----,0.024793165,0.9987609368052965,0.0027338439708648517,-1,0.0054676879417297035,0.03874707617207363,0.055024410089503664,0.07749415234414726
FA2H,--+-,0.012717322,0.9655096596354101,0.00273512643010056,-1,0.00547025286020112,0.03874707617207363,0.05512611879576892,0.07749415234414726
ATP5L,-+--,0.004649438,0.5290720754572111,0.002735127010987796,-1,0.005470254021975592,0.03874707617207363,0.05522782750203417,0.07749415234414726
MAP2K3,++++,0.007574251,0.0027366155489871144,0.9980088368493188,1,0.005473231097974229,0.038751017087062654,0.05532390928506051,0.07750203417412531
RCN2,+---,7.60112e-4,0.7701818420156212,0.002748246881420709,-1,0.005496493762841418,0.03884877453472999,0.05532953620829943,0.07769754906945998
USP49,++++,0.04622912,0.0027483561552183425,0.9996425708055905,1,0.005496712310436685,0.03885272579332791,0.055425607647716875,0.07770545158665582
DLG2,+-++,0.012668539,0.0027574863048155803,0.9820969369429746,1,0.005514972609631161,0.03895443449959317,0.055425607647716875,0.07790886899918634
KIAA1267,+-++,0.030719569,0.002759686634039735,0.839479490154688,1,0.00551937326807947,0.03905614320585842,0.055425607647716875,0.07811228641171684
DNAJA3,----,0.016616386,0.9974254412928384,0.002760715353861853,-1,0.005521430707723706,0.039153869622699074,0.055431244914564685,0.07830773924539815
TLE4,--+-,0.018800843,0.9639605411700991,0.0027723126183457265,-1,0.005544625236691453,0.039153869622699074,0.055532953620829946,0.07830773924539815
TRIB1,++++,0.023088483,0.002776441033329844,0.9934110904269546,1,0.005552882066659688,0.039157851912123676,0.055629004373029596,0.07831570382424735
CDC2L5,+-++,0.002335393,0.002778318675972332,0.8588064078235387,1,0.005556637351944664,0.039259560618388936,0.055629004373029596,0.07851912123677787
CUTA,-+--,0.001009457,0.8560780806602472,0.0027812921781540825,-1,0.005562584356308165,0.039357266348011795,0.0556346623270952,0.07871453269602359
FBXO22,----,0.017981273,0.9933660964413266,0.0027814492229201507,-1,0.0055628984458403015,0.039357266348011795,0.05573637103336045,0.07871453269602359
NPY5R,-+--,0.003301966,0.9719162695786061,0.0027850336637804864,-1,0.005570067327560973,0.039357266348011795,0.055838079739625714,0.07871453269602359
ST3GAL2,++-+,0.018349532000000002,0.0027902466955674805,0.4722458930445254,1,0.005580493391134961,0.03936126932465419,0.05593409946099868,0.07872253864930838
UAP1,----,0.009982678,0.9993609191066111,0.0027976051340635423,-1,0.0055952102681270845,0.039458964710668155,0.05593978844589097,0.07891792942133631
FAM63A,+-+-,0.003681648,0.0028045026569886167,0.2747339204464066,1,0.005609005313977233,0.03946297803091944,0.05603579782365504,0.07892595606183889
ATP5J2,+---,0.007412453,0.9239134138755128,0.0028168404561650525,-1,0.005633680912330105,0.03956066307332452,0.05604149715215623,0.07912132614664905
OXCT1,++--,0.00450927,0.6554840970584843,0.002818710938440176,-1,0.005637421876880352,0.03956066307332452,0.05614320585842148,0.07912132614664905
CAMK2N2,++++,0.03289897,0.002818794287319546,0.9994213823854599,1,0.005637588574639092,0.039564686737184704,0.05623919454896776,0.07912937347436941
RNF165,++++,0.056386891,0.002820868845731818,0.9998751835810106,1,0.005641737691463636,0.03966639544344996,0.05623919454896776,0.07933279088689991
CAPRIN1,----,0.031941292,0.9990593220768216,0.0028214199085716423,-1,0.005642839817143285,0.039764059798637244,0.056244914564686735,0.07952811959727449
CLASP1,+-++,0.01381882,0.002822142506207837,0.7719465910418818,1,0.005644285012415674,0.03976810414971522,0.05634089291162412,0.07953620829943044
B9D2,++--,3.67603e-4,0.080484135837145,0.0028234125662627376,-1,0.005646825132525475,0.039865758161293605,0.056346623270951995,0.07973151632258721
NKIRAS1,-+--,0.001501966,0.8248704203405127,0.0028273437983589674,-1,0.005654687596717935,0.039865758161293605,0.05644833197721725,0.07973151632258721
TMED3,-+--,0.008625562,0.9451036947312602,0.00283229455261301,-1,0.00566458910522602,0.039865758161293605,0.05655004068348251,0.07973151632258721
GDPD5,++++,0.030958708,0.002852721459350549,0.9992676725510191,1,0.005705442918701098,0.03986981285598047,0.05664598799959321,0.07973962571196094
AAK1,-+-+,0.001023596,0.04194022698179725,0.002852855269306524,-1,0.005705710538613048,0.039967456523949965,0.05665174938974776,0.07993491304789993
OBFC2A,----,0.020102622,0.9962786305674212,0.0028550761892208194,-1,0.005710152378441639,0.039967456523949965,0.05675345809601302,0.07993491304789993
ZNF202,++-+,0.001826873,0.0028662470866623,0.9270361672254976,1,0.0057324941733246,0.039971521562245725,0.05684938472490593,0.07994304312449145
SATB2,++-+,0.005617041,0.0028825120624740084,0.9806228642437856,1,0.005765024124948017,0.040073230268510986,0.05684938472490593,0.08014646053702197
RNF34,++++,0.028554307,0.0028919597744585,0.9994728325079982,1,0.005783919548917,0.04017493897477624,0.05684938472490593,0.08034987794955248
CNNM4,++-+,0.021318071,0.0028959153310086846,0.9738454046669391,1,0.005791830662017369,0.0402766476810415,0.05684938472490593,0.080553295362083
PHLDA3,++++,0.023355805,0.0029115668654698073,0.9995182560153215,1,0.005823133730939615,0.04037835638730675,0.05684938472490593,0.0807567127746135
C7orf49,+---,0.003716292,0.9847455366523291,0.002917052112737662,-1,0.005834104225475324,0.04047594833723177,0.05685516680227828,0.08095189667446354
ZNF626,--+-,0.023719101,0.64711383058433,0.0029227356059053273,-1,0.005845471211810655,0.04047594833723177,0.05695687550854353,0.08095189667446354
UNC5B,--+-,0.001716854,0.10860849591774417,0.0029235341181903496,-1,0.005847068236380699,0.04047594833723177,0.057058584214808784,0.08095189667446354
AKAP8,++++,0.008716948,0.0029272487740118454,0.9987464296953621,1,0.005854497548023691,0.04048006509357201,0.05715447981287501,0.08096013018714401
AMPH,-+--,0.00237912,0.8110199130573924,0.0029278789231334756,-1,0.005855757846266951,0.04057764669988813,0.057160292921074045,0.08115529339977626
CX3CR1,+---,0.023132678,0.7578855037602643,0.0029283827686825254,-1,0.005856765537365051,0.04057764669988813,0.0572620016273393,0.08115529339977626
ARG2,+---,0.005827528,0.9526321375821998,0.002936439616332049,-1,0.005872879232664098,0.04057764669988813,0.05736371033360456,0.08115529339977626
DPH5,----,0.027368352,0.9996524712384134,0.0029464894634834513,-1,0.005892978926966903,0.04057764669988813,0.05746541903986981,0.08115529339977626
DCLRE1C,+-++,0.002522285,0.0029485449927382384,0.7893131588310482,1,0.005897089985476477,0.04058177379983727,0.05756127326350046,0.08116354759967453
