gene_symbol,female_AMY_male_AMY,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
ZNF469,-+,0.123762547,0.8655230248306733,0.12459610072978297,-1,0.24919220145956594
KIAA2018,--,0.315612172,0.38063738472938935,0.4989484031389672,1,0.7612747694587787
C1orf69,--,0.347789326,0.46343113362487326,0.4133449411249707,-1,0.8266898822499414
CRTC1,++,0.189071348,0.7002230261904572,0.22787121969542892,-1,0.45574243939085785
STEAP2,++,0.154483333,0.17632328795952823,0.7813506084183786,1,0.35264657591905646
USP54,++,0.255794944,0.313949728166153,0.5793360833517207,1,0.627899456332306
LSMD1,-+,0.135335768,0.8332162027915477,0.1446819995577753,-1,0.2893639991155506
ELK3,-+,0.075358708,0.9939682707669735,0.018939168620686758,-1,0.037878337241373516
WIBG,+-,0.078902434,0.028904879961032602,0.9882360811954928,1,0.057809759922065204
FAM3C,-+,0.076234738,0.9926998701461545,0.021469813813274057,-1,0.04293962762654811
AXIN2,+-,0.080154213,0.03221762095434338,0.9859057750018324,1,0.06443524190868676
ZMIZ1,+-,0.136183708,0.14606681594057574,0.8310388534150499,1,0.2921336318811515
MMP25,+-,0.083056929,0.03958139787288328,0.9800156717152977,1,0.07916279574576655
TCEAL1,--,0.145851685,0.8051228045428194,0.16206716657845183,-1,0.32413433315690365
CYP46A1,-+,0.076151779,0.993012716405768,0.02088522128881591,-1,0.04177044257763182
TFAP2E,+-,0.098888483,0.0756206910769464,0.939517135221223,1,0.1512413821538928
GRM3,+-,0.099067603,0.0759798020975919,0.9390453560862475,1,0.1519596041951838
KHDC1,--,0.26718221,0.5639378589830785,0.3269199111406192,-1,0.6538398222812384
JAZF1,-+,0.09534382,0.9498688198343166,0.06772854304060208,-1,0.13545708608120416
NSUN2,-+,0.134700843,0.836429713733901,0.14310231659515601,-1,0.28620463319031203
C6orf145,--,0.17387088,0.7362487706363013,0.2053302148950339,-1,0.4106604297900678
SDHB,-+,0.098073689,0.942437314657168,0.07353685829433158,-1,0.14707371658866317
C9orf23,-+,0.111263483,0.9048043768235858,0.10011382311714176,-1,0.20022764623428352
BICD1,-+,0.081323408,0.9846744389965697,0.03399823069285939,-1,0.06799646138571878
DTWD1,++,0.168261142,0.7506566040782104,0.19660185851613177,-1,0.39320371703226353
MLLT1,-+,0.126683614,0.8606786200073478,0.1285109724244842,-1,0.2570219448489684
RAB33A,--,0.22376882,0.636362924960077,0.27344070329845654,-1,0.5468814065969131
PLA2G5,--,0.208714326,0.6645145054271526,0.25369407258485865,-1,0.5073881451697173
AMIGO2,--,0.163843258,0.7624139377862145,0.18956270593297636,-1,0.3791254118659527
SOX8,+-,0.126941292,0.12873459446051735,0.8605794095617464,1,0.2574691889210347
NAT11,+-,0.083570506,0.03912384022516314,0.9806118008390179,1,0.07824768045032628
DGKD,++,0.344397566,0.4708428528586192,0.40908891853465024,-1,0.8181778370693005
PDE9A,-+,0.073551873,0.997165400719473,0.010824894571161753,-1,0.021649789142323506
SMARCA1,-+,0.138731086,0.8281396812650065,0.14899457062764135,-1,0.2979891412552827
PTPLAD2,++,0.361927528,0.4536104594566258,0.42608665937285395,-1,0.8521733187457079
GPSM3,++,0.238285861,0.29141033088436763,0.6126146646177112,1,0.5828206617687353
SMYD4,++,0.154371161,0.7872361830476811,0.1744348675688305,-1,0.348869735137661
ARPP-21,+-,0.073752154,0.010964658130694582,0.997122561142421,1,0.021929316261389165
MYL9,++,0.257255899,0.31433522408396497,0.5826287910750624,1,0.6286704481679299
ZNF30,--,0.168929588,0.7520019092490666,0.1967585005819478,-1,0.3935170011638956
GLTSCR1,-+,0.103171723,0.931060216808726,0.08256731599662656,-1,0.16513463199325312
