gene_symbol,female_AMY_male_AMY,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
MOBKL2A,--,0.455199064,0.7496110600839092,0.36380612713978033,-1,0.7276122542795607,0.4126919556595139,0.4210740439381611,0.8253839113190278
C19orf36,++,0.012541386,0.03210925343415278,0.49353597008063377,1,0.06421850686830556,0.08991049633848658,0.08908776568697244,0.17817553137394487
AP3D1,--,0.118131367,0.6284683230255853,0.1747577522989313,-1,0.3495155045978626,0.2688904708634191,0.269833197721725,0.5377809417268382
PLEKHJ1,++,0.008897097,0.2220392328955526,0.027136564826020507,-1,0.054273129652041015,0.08064680158649445,0.07923108218063467,0.15846216436126934
SF3A2,++,0.00341339,0.46121640215606025,0.010768015812127281,-1,0.021536031624254562,0.04230651886504627,0.04098860862489829,0.08197721724979658
JSRP1,--,0.549198127,0.6748182903215223,0.44709766335454354,-1,0.8941953267090871,0.4541848876233093,0.46430024410089504,0.9083697752466185
OAZ1,--,0.003291199,0.3966797386537925,0.010797565816482505,-1,0.02159513163296501,0.04230651886504627,0.04109031733116355,0.0821806346623271
LSM7,++,0.187736798,0.2770970001067968,0.43974947984765744,1,0.5541940002135936,0.3569975589910496,0.36469032848571137,0.7139951179820992
TIMM13,+-,0.709895506,0.46929414800099356,0.7047326935179274,1,0.9385882960019871,0.4629780309194467,0.4740160683412997,0.9259560618388935
GADD45B,+-,0.031857116,0.019137087523061484,0.9811788894844062,1,0.03827417504612297,0.06244914564686737,0.06193430285772399,0.12386860571544799
