gene_symbol,male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
ARFGAP1,--+-,0.069800843,0.9228836100457678,0.07515063898007229,-1,0.15030127796014459,0.16008950366151342,0.21330485199877938,0.32017900732302684
PREB,----,0.064683801,0.9571856259352782,0.07515785795544859,-1,0.15031571591089718,0.16008950366151342,0.2134065710507578,0.32017900732302684
COL20A1,--++,0.02098764,0.7555194397904093,0.0751710136745546,-1,0.1503420273491092,0.16008950366151342,0.21350829010273625,0.32017900732302684
CACNG2,----,0.118185955,0.982963902638317,0.07517291862738716,-1,0.15034583725477432,0.16008950366151342,0.21361000915471468,0.32017900732302684
PAQR6,+++-,0.112902809,0.07519862898827034,0.9528636171856675,1,0.1503972579765407,0.16010578781405757,0.2136899918633035,0.32021157562811514
TMEM136,-+-+,0.067284831,0.07520315784421823,0.6637976415572324,1,0.15040631568843646,0.16020750686603602,0.2136899918633035,0.32041501373207204
C1orf162,----,0.203781554,0.9867479933302681,0.07520861460404704,-1,0.15041722920809408,0.16029292107404394,0.21371172820669312,0.3205858421480879
TMEM147,++++,0.089434831,0.07523476546676232,0.9663520261696531,1,0.15046953093352464,0.16030922591801444,0.21379170056956875,0.3206184518360289
SEMA4A,-++-,0.042538483,0.07524038251168277,0.8413355781495642,1,0.15048076502336555,0.1604109449699929,0.21379170056956875,0.3208218899399858
DTWD1,+++-,0.168261142,0.07528029364993373,0.8345550423043068,1,0.15056058729986746,0.1605126640219713,0.21379170056956875,0.3210253280439426
C1orf69,+---,0.132127341,0.9593777673900865,0.07529796969208626,-1,0.1505959393841725,0.1605980471928397,0.21381344725867155,0.3211960943856794
ZMYM2,+---,0.085072753,0.8377747988291424,0.07531209668262569,-1,0.15062419336525137,0.1605980471928397,0.21391516631065,0.3211960943856794
ZC3H11A,++-+,0.150249532,0.07533708770362543,0.9579656558601353,1,0.15067417540725087,0.16061438307394976,0.21399511798209928,0.3212287661478995
TNIP1,+---,0.057185674,0.7896421765308006,0.07536448077239316,-1,0.15072896154478632,0.16069975589910496,0.21401688536262842,0.3213995117982099
MT1H,----,0.042399625,0.959779732738612,0.07538146391848388,-1,0.15076292783696776,0.16069975589910496,0.21411860441460687,0.3213995117982099
PIGY,--++,0.011927247,0.07538691309015909,0.7842221956984112,1,0.15077382618031818,0.16071610212592818,0.21419853539462977,0.32143220425185637
TSN,++-+,0.043046348,0.07538889930970535,0.568987694881417,1,0.1507777986194107,0.16081782117790663,0.21419853539462977,0.32163564235581327
ZNF430,++-+,0.042492603,0.0754715874155294,0.7774629506802071,1,0.1509431748310588,0.16091954022988506,0.21419853539462977,0.3218390804597701
PSME3,-+-+,0.056687734,0.07548573061039125,0.4506654281512035,1,0.1509714612207825,0.1610212592818635,0.21419853539462977,0.322042518563727
