gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
LRRC49,++--,0.035380523999999997,0.7303987952433684,0.08784303828637595,-1,0.1756860765727519
KIAA0774,+++-,0.097000468,0.08792037064660611,0.9612861871398155,1,0.17584074129321223
SLC38A2,+-+-,0.013012453,0.08801256862821362,0.13320338549616992,1,0.17602513725642724
MED8,-+--,0.015342884,0.23201956311101612,0.08803205565839008,-1,0.17606411131678015
PAQR4,--++,0.068193446,0.8531585645750539,0.08804250521447265,-1,0.1760850104289453
ZNF233,-+--,0.052480899,0.8860870077507463,0.08809244455257893,-1,0.17618488910515787
SOCS7,++-+,0.168723315,0.08809604322349762,0.9647971715487519,1,0.17619208644699524
ATP6V1E2,++--,0.028238951,0.08811518033207337,0.8746430902752579,1,0.17623036066414674
ARHGAP5,--++,0.024531086,0.08819201984193585,0.40272669029259195,1,0.1763840396838717
COL20A1,-++-,0.005508521,0.08820166851883099,0.08993047903253532,1,0.17640333703766198
NXPH4,---+,0.138478745,0.9179167782911057,0.08820477738590463,-1,0.17640955477180925
UBA6,+-+-,0.076121629,0.48862298899420953,0.08828205729585621,-1,0.17656411459171242
RTKN,--++,0.046929026,0.20652285312532218,0.08829757705254841,-1,0.17659515410509682
TMEM63B,+-+-,0.008534925,0.08832379354164743,0.22489590936012763,1,0.17664758708329487
ACADM,++--,0.00498324,0.10869993614781628,0.08832553004025623,-1,0.17665106008051246
ZNF187,----,0.134695412,0.9767251267289158,0.0883294033571948,-1,0.1766588067143896
IFT80,--+-,0.069036985,0.8583618353543441,0.0883818037479387,-1,0.1767636074958774
EIF1AD,++++,0.201833895,0.08841241579360108,0.9821640962473323,1,0.17682483158720216
KIAA1841,-+++,0.096710581,0.08844190899695628,0.8468265222103317,1,0.17688381799391256
ADCY4,++++,0.111917509,0.0884445437578899,0.9707314549839864,1,0.1768890875157798
MAFF,-+--,0.084891479,0.9535599305154637,0.08850852799655973,-1,0.17701705599311945
C3orf14,-+--,0.112996161,0.8831823649899574,0.08852551486238573,-1,0.17705102972477146
TMEM158,+--+,0.008805243,0.36511857088323707,0.08854235042626811,-1,0.17708470085253622
APBB2,---+,0.033384738,0.798663936403727,0.08855769953003534,-1,0.17711539906007068
IFIT2,--+-,0.093241011,0.8256496527868027,0.08865256963755559,-1,0.17730513927511118
PUS7L,---+,0.051681086,0.9297410127687282,0.08869169610149648,-1,0.17738339220299296
ZFAND1,-+--,0.062880431,0.8905311930877474,0.08875778766120397,-1,0.17751557532240794
URM1,----,0.22307397,0.9885362686855399,0.08876712656095108,-1,0.17753425312190216
C22orf30,++-+,0.026728277,0.08879929891526425,0.2948238183444978,1,0.1775985978305285
CLK4,+-+-,0.099196067,0.8745998664192476,0.08890359929027873,-1,0.17780719858055746
THAP8,+++-,0.116806367,0.08890803195170377,0.9314252813246526,1,0.17781606390340754
USP16,----,0.303239326,0.9909585749862956,0.08891195598294566,-1,0.1778239119658913
AP1S1,----,0.089528652,0.9634195158474508,0.08892183410350267,-1,0.17784366820700534
PMP2,--+-,0.071681835,0.7983319385371028,0.08892548977339841,-1,0.17785097954679682
NGFRAP1,-+--,0.119664888,0.8765677829934734,0.08894505998796666,-1,0.17789011997593332
MAPRE3,+-+-,0.014076404,0.6472144109139951,0.08898653403540221,-1,0.17797306807080443
DRG1,+---,0.147244944,0.9557417100454284,0.08901433014357327,-1,0.17802866028714653
SEMA3C,----,0.1208103,0.9565972312128903,0.08902557369345768,-1,0.17805114738691535
SCML2,++-+,0.011769663,0.08903867536931505,0.6650160730226811,1,0.1780773507386301
MRPS5,+--+,0.063226217,0.08907752653397089,0.6155589557619431,1,0.17815505306794177
EEF1A2,++-+,0.00502809,0.20383370635151585,0.08921141205138745,-1,0.1784228241027749
ARL16,+-+-,0.029039139,0.0892669047115188,0.4926625677110053,1,0.1785338094230376
PCSK5,+-++,0.038187921,0.08930480071417259,0.34335911062091673,1,0.17860960142834517
SLC4A11,--+-,0.086150655,0.9448577859059862,0.08931776403074153,-1,0.17863552806148306
DHTKD1,--++,0.025359925,0.0893238178794445,0.41211796772845,1,0.178647635758889
KCNF1,----,0.10960824,0.9647240389725761,0.08932882195353983,-1,0.17865764390707967
PRPSAP1,-+--,0.057713858,0.8034590463856695,0.08934271210154603,-1,0.17868542420309205
