gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
SNRPN,-+-+,0.004917041,0.004098245689932136,0.05558403635585671,1,0.008196491379864272
GAD1,+---,0.008609925,0.736993499419378,0.004099218066072612,-1,0.0081984361321452235
FKBP4,----,0.001503464,0.9819503713366808,0.004115976372452196,-1,0.008231952744904392
CCNH,-+--,0.011409925,0.8552519173715344,0.004121449346973866,-1,0.008242898693947733
TFEB,-++-,1.61142e-4,0.578814690695239,0.004122987455947184,-1,0.008245974911894369
ZNF408,-+-+,0.010064794,0.004124804733329598,0.8521368109732392,1,0.008249609466659195
JARID2,+-++,0.009405056,0.0041264696332184245,0.9699796886332835,1,0.008252939266436849
P4HB,++++,0.004547846,0.004128922935063339,0.9936436820245383,1,0.008257845870126679
PLDN,++++,0.012187547,0.004130484169961596,0.9945630748398282,1,0.008260968339923193
RNF31,+++-,0.017809363,0.004135174744016399,0.9784572436053299,1,0.008270349488032798
SEC11C,-+--,0.03127912,0.9812683735110926,0.004139942697300183,-1,0.008279885394600365
B3GNT2,-+--,7.61704e-4,0.5786341624982456,0.0041409656684454925,-1,0.008281931336890985
CTDSPL2,+---,0.016101404,0.9633568553492166,0.004158628173306937,-1,0.008317256346613873
SDC4,+-++,8.37547e-4,0.004160466483105151,0.9289124079569352,1,0.008320932966210302
MAT2B,----,0.016867603,0.9981960180736362,0.0041709082448191616,-1,0.008341816489638323
ATP5G3,++--,0.010629401,0.7152869172402672,0.004179893332463809,-1,0.008359786664927617
U2AF1,+-++,0.00447397,0.004188309946594315,0.6232474931939485,1,0.00837661989318863
CES3,++++,0.027522753,0.004189895138005792,0.9966491326315119,1,0.008379790276011583
LGI4,+-++,0.005505243,0.004209742477093133,0.8707102070450314,1,0.008419484954186266
RPS6KA3,-++-,0.002384457,0.5783401911519142,0.004212888764178785,-1,0.00842577752835757
LDB3,--+-,0.031868446,0.40178527821296117,0.0042244349048249225,-1,0.008448869809649845
PLP1,--+-,0.006223221,0.1574325042388429,0.004237597526893877,-1,0.008475195053787753
DUSP14,++++,0.016054026,0.004237671228061484,0.9964381335360366,1,0.008475342456122968
TNFSF10,----,0.002371629,0.9856848719558599,0.00425126526878762,-1,0.00850253053757524
SELPLG,+-+-,0.006155337,0.7545334770846008,0.004251341366441307,-1,0.008502682732882613
VBP1,----,0.024921161,0.9960398898667007,0.004258539064170786,-1,0.008517078128341573
SAP30,----,0.008846161,0.9790058966890134,0.004291360519513295,-1,0.00858272103902659
TRIM46,++++,0.024025375,0.004292492963894785,0.9994359607628425,1,0.00858498592778957
GAL3ST4,----,0.006112828,0.9875832316061268,0.004297938219800352,-1,0.008595876439600704
RUNDC3A,++++,0.054703464,0.004304895752840843,0.9971294812986928,1,0.008609791505681686
NDRG4,-+-+,0.00517397,0.718182311933397,0.0043073549062565665,-1,0.008614709812513133
CDRT4,++++,0.01832191,0.004311996179888939,0.9986674938568323,1,0.008623992359777878
ZFP161,+-+-,0.004814419,0.4711277355055278,0.004322017066814285,-1,0.00864403413362857
C14orf119,--+-,0.008603371,0.769593357522334,0.004324706510271952,-1,0.008649413020543903
MDH2,++-+,6.34e-5,0.1728828407097101,0.0043268278426978925,-1,0.008653655685395785
CCDC132,+---,0.029807678,0.40070922502584067,0.004328618714716385,-1,0.00865723742943277
DCUN1D4,+---,0.001560019,0.8675285603522931,0.004328823282137138,-1,0.008657646564274276
PNKD,++-+,0.009899438,0.004333713826168304,0.2043186844943288,1,0.008667427652336608
RNF5,-+--,0.001753371,0.9399007183820924,0.0043355180754225476,-1,0.008671036150845095
EIF5B,++++,0.03203221,0.004339536599653888,0.9925337431706975,1,0.008679073199307776
TMEM199,----,0.001585206,0.9797730111439944,0.004341855297608146,-1,0.008683710595216292
TMEM63A,--+-,0.015966199,0.4541315743822775,0.004351314296712704,-1,0.008702628593425408
BRP44,++--,0.007558708,0.7468677448157995,0.004355436330274343,-1,0.008710872660548687
SH3PXD2B,--++,4.30618e-4,0.004361109513384098,0.3109458404877959,1,0.008722219026768197
HTR2C,----,0.075014139,0.9994442948419856,0.004363449234425576,-1,0.008726898468851153
TCEAL3,----,0.007512547,0.9959938151522523,0.004376038867569624,-1,0.008752077735139249
TNPO3,++++,0.034971067,0.004381962639048876,0.9983281030413522,1,0.008763925278097752
FSD1,++++,0.01049279,0.004390483433942394,0.9977060719025541,1,0.008780966867884788
TAC1,----,0.007655712,0.9717361409967822,0.004397595684391599,-1,0.008795191368783198
IL11RA,++++,0.024982772,0.0043977939818465395,0.9962427207669373,1,0.008795587963693079
C14orf45,---+,0.024444663,0.947987103341872,0.004400610289348606,-1,0.008801220578697212
INPP5A,----,0.002654869,0.9853029052319998,0.004421277577331511,-1,0.008842555154663022
CTNND1,--+-,0.001687079,0.13011814766126256,0.004426053964607557,-1,0.008852107929215114
MSI2,+-+-,0.002515637,0.6040436795207653,0.00442998761118575,-1,0.0088599752223715
MCM4,+---,0.007226685,0.974804428993255,0.00444053191021143,-1,0.00888106382042286
TTC21A,++++,0.010962266,0.004446136013939427,0.9934604546667272,1,0.008892272027878853
PODNL1,-+-+,3.05993e-4,0.0044462820268961565,0.2727577776578515,1,0.008892564053792313
KIF1A,+-++,0.002023408,0.004446589818607563,0.9089993491836856,1,0.008893179637215125
SNX33,+-++,5.77434e-4,0.004450081383477042,0.8943536372020875,1,0.008900162766954083
CD200,-+--,0.027155524,0.8036283496031572,0.0044511576786854185,-1,0.008902315357370837
ZNF74,-+-+,9.86e-5,0.045299502126406786,0.00445869253854128,-1,0.00891738507708256
CHST11,+++-,0.007207022,0.004464184518295233,0.9441354411465974,1,0.008928369036590465
SLC45A3,--++,0.001768539,0.6267217207018096,0.004470256614342594,-1,0.008940513228685188
PINX1,+---,0.005558146,0.9238276629144266,0.0044780013526706935,-1,0.008956002705341387
ATP5G1,-+--,0.003416386,0.8521989232062044,0.004481386939423818,-1,0.008962773878847636
RBM6,+-++,0.007520412,0.004487514700094336,0.24938862817672933,1,0.008975029400188673
C7orf44,++-+,3.41105e-4,0.004490676112617295,0.6442463494934696,1,0.00898135222523459
INTS4,--++,0.006819007,0.00450645582106252,0.2251281601959455,1,0.00901291164212504
FKRP,+++-,0.005436049,0.004512607286455301,0.26381116215278255,1,0.009025214572910603
NECAP2,-+++,0.008259925,0.004516763923357229,0.8562299182474158,1,0.009033527846714458
PIGZ,++++,0.019557678,0.004527837254708912,0.9918542681687372,1,0.009055674509417824
ZDHHC17,----,0.016860861,0.9946715344430859,0.00452917361322918,-1,0.00905834722645836
PTPN9,+-++,0.003747191,0.004531099369179755,0.6280065334395105,1,0.00906219873835951
AKAP10,+---,0.011964419,0.9734512195093398,0.004531644947398237,-1,0.009063289894796473
TMEM144,--++,0.002390262,0.16674840226684498,0.004536550669347931,-1,0.009073101338695861
CYB5R2,--+-,0.011127341,0.7049081419082539,0.0045435022222752456,-1,0.009087004444550491
CLN5,--+-,4.23783e-4,0.8386611873174431,0.004548728147363961,-1,0.009097456294727921
DGUOK,-+--,0.011797472,0.7653790147181574,0.004550020155740012,-1,0.009100040311480024
CMTM4,++++,0.037422004,0.004556700341288636,0.9992476609054475,1,0.009113400682577271
ALG13,----,0.058623221,0.9974727602355472,0.004559137020347347,-1,0.009118274040694693
LMBR1,-+--,0.001731367,0.8239875197276538,0.004560661305620333,-1,0.009121322611240665
C9orf30,----,0.036340918,0.9970641963164233,0.004566743985662866,-1,0.009133487971325733
GTF2B,----,0.017776498,0.9953238850638968,0.004579214708586291,-1,0.009158429417172582
MKL2,-+++,0.009789888,0.004580959592725699,0.9272929305068748,1,0.009161919185451398
YIF1A,----,0.074058614,0.9998156570197678,0.0045838375621684285,-1,0.009167675124336857
ZNF24,----,0.043725936,0.9979716129141698,0.0046117462603280784,-1,0.009223492520656157
OLIG2,--+-,0.007803464,0.31189658508353635,0.0046155796174502765,-1,0.009231159234900553
PDZRN4,----,0.011929963,0.9984063897976372,0.004620015577356439,-1,0.009240031154712877
GTPBP4,----,0.011837453,0.9897398678125682,0.004622390600959774,-1,0.009244781201919548
ZC3H3,++++,0.005329588,0.004642108607067169,0.978034834084132,1,0.009284217214134338
SNN,++-+,0.014630618,0.004644984843817901,0.5826823312032118,1,0.009289969687635803
SPRY4,+++-,0.011814794,0.004646749940122946,0.9555002293280094,1,0.009293499880245892
KCTD12,----,0.02858839,0.9983379221787337,0.004647002513042329,-1,0.009294005026084658
ARHGEF3,++-+,0.026254213,0.00464789976963334,0.9529221945995917,1,0.00929579953926668
CHN2,--+-,0.019370225,0.9714193484257061,0.004660577461464054,-1,0.009321154922928109
STAG3L1,---+,0.00184691,0.6042106073222544,0.0046627624477221805,-1,0.009325524895444361
CHD1L,+-++,0.017345599,0.004674010485169883,0.958311238731867,1,0.009348020970339765
POLR2G,--+-,0.002254307,0.8724323214619011,0.004676224605768373,-1,0.009352449211536745
CHPT1,+--+,0.004313296,0.004682615073482952,0.8518943558915696,1,0.009365230146965903
TOX,++++,0.026842041,0.00470136630387346,0.9917064011901865,1,0.00940273260774692
ATP5G2,++++,0.089421255,0.004704882789064757,0.999822211158673,1,0.009409765578129514
IGHMBP2,++++,0.029148502,0.004722493306244321,0.9995411033337971,1,0.009444986612488642
CELSR3,++++,0.032366386,0.004768003896721554,0.9972617982875303,1,0.009536007793443107
PRMT6,----,0.006876592,0.994706435644729,0.004770075876644776,-1,0.009540151753289552
ZZEF1,-+++,0.027118165,0.004784705552723977,0.9658007548022063,1,0.009569411105447954
RNF126,++-+,0.018864888,0.0047864012655193765,0.4700685866442016,1,0.009572802531038753
KCTD6,+---,0.010501217,0.9675254118619072,0.00479390228292385,-1,0.0095878045658477
KLHDC9,++++,0.011228652,0.004793938211023668,0.9985207394456459,1,0.009587876422047337
SLC13A3,++++,0.038180805,0.004803646222961724,0.9991535648169074,1,0.009607292445923447
SLC30A6,+---,0.012352341,0.8083871472430433,0.004805986969363067,-1,0.009611973938726134
CCDC53,----,0.040520412,0.9990173601086298,0.004808087385681325,-1,0.00961617477136265
NCAM2,-+--,0.008662547,0.8179266295485107,0.004813983234846305,-1,0.00962796646969261
CDC37L1,----,0.016967697,0.9961679556163001,0.004815997452346556,-1,0.009631994904693112
DDX56,++++,0.010698502,0.004824608427795108,0.9976976469775634,1,0.009649216855590215
PLEKHA3,++--,0.005868446,0.5992271710242851,0.004839927574635755,-1,0.00967985514927151
POMP,-+--,0.012593352,0.8977260138892135,0.0048429505594284146,-1,0.009685901118856829
ZNF493,----,0.02531161,0.9992352290424419,0.004847689359370275,-1,0.00969537871874055
CCDC50,+---,0.016664045,0.9672172016190336,0.004849887931827242,-1,0.009699775863654484
C1orf43,--+-,0.006130712,0.769992439667255,0.0048523787728273655,-1,0.009704757545654731
RAD9A,+-++,0.004015824,0.0048598525243239935,0.9597492915373853,1,0.009719705048647987
CCNL1,----,0.034610861,0.9995798143346065,0.004868082642449555,-1,0.00973616528489911
HAX1,-+--,0.005995412,0.7646292037051101,0.0048848511166832325,-1,0.009769702233366465
CDKL3,---+,0.007829682,0.6373621030325924,0.004884960794694851,-1,0.009769921589389703
ARHGAP23,--+-,0.02536339,0.8086574157770392,0.004885641589357707,-1,0.009771283178715414
C11orf73,+---,0.001461798,0.9327799761800529,0.004891812620214795,-1,0.00978362524042959
VPS13A,++++,0.029310581,0.004892301534603071,0.998862326863649,1,0.009784603069206142
CDC42SE2,----,0.050966292,0.9994066257142245,0.00489757280659017,-1,0.00979514561318034
MRPL3,-+--,0.010662547,0.7712136008728121,0.004934738611169659,-1,0.009869477222339319
HP1BP3,--+-,0.001349906,0.057203013986024204,0.00493864246531584,-1,0.00987728493063168
MVP,--+-,5.81e-5,0.004939433389178328,0.1362480166881174,1,0.009878866778356655
IGFBP2,+++-,0.00514897,0.004950023127176293,0.9074139595156744,1,0.009900046254352587
PLXNA1,+++-,0.012212453,0.0049520653868125025,0.7315576812803009,1,0.009904130773625005
CTSB,++++,0.036750281,0.004959423906807477,0.9915876881082135,1,0.009918847813614955
CITED2,+---,0.004697846,0.7964692087738195,0.004960285279960629,-1,0.009920570559921259
PCNXL3,++++,0.026222846,0.004965890531934451,0.9986480440858033,1,0.009931781063868902
SNX25,-+--,0.001398221,0.6092837261183995,0.00498522383625385,-1,0.0099704476725077
TMEM62,++++,0.018491386,0.00498886533804624,0.9984889948352855,1,0.00997773067609248
ELK3,+---,0.025140637,0.5160039086221794,0.005004622161070214,-1,0.010009244322140428
SHANK2,++-+,0.019429494,0.005004639650705339,0.7163773405748176,1,0.010009279301410679
MBTD1,+-++,0.009027809,0.005006614166418032,0.8844127147548247,1,0.010013228332836063
LZTR1,++++,0.014532865,0.005008170140287324,0.9960766962363853,1,0.010016340280574647
SORBS2,++-+,0.014984644,0.005019917005750984,0.9200567440267107,1,0.010039834011501969
ANGEL2,+-++,0.011634363,0.005022929238707921,0.49054319535125285,1,0.010045858477415842
UBAC1,++++,0.005018258,0.005031901816373924,0.9945950690900296,1,0.010063803632747849
CHCHD3,----,0.013932397,0.9916284278056088,0.0050343809452771575,-1,0.010068761890554315
LOC339047,++++,0.005598876,0.005041115641650735,0.9914010899734363,1,0.01008223128330147
NDUFA8,++--,6.44944e-4,0.4564055228898394,0.005053110084663529,-1,0.010106220169327058
UACA,+-++,0.024492884,0.005053850619276287,0.45287737303969744,1,0.010107701238552574
TACC1,++++,0.013410393,0.005065543211871409,0.9898788667674486,1,0.010131086423742818
SETD8,----,0.02979485,0.9973754537504291,0.005077564943681172,-1,0.010155129887362344
LOC158376,++-+,0.032213015,0.005078448086325474,0.9862439903913702,1,0.010156896172650948
TASP1,----,0.043098876,0.9987893689862248,0.005087834929926005,-1,0.01017566985985201
METAP2,+-++,6.78371e-4,0.005115199066627616,0.46697530562667083,1,0.010230398133255231
RDH5,----,0.002496536,0.9592079494724345,0.005121783660769695,-1,0.01024356732153939
TRAPPC4,-+--,0.009733614,0.7976090410958028,0.005132922919531531,-1,0.010265845839063061
NIPSNAP1,----,0.023216105,0.9894449899740501,0.005147904159795667,-1,0.010295808319591334
LRP4,+-+-,0.001144757,0.005150053144428722,0.6854732037052058,1,0.010300106288857445
C2orf60,+---,0.006969101,0.8836134918757068,0.005151022731593098,-1,0.010302045463186195
PRKCZ,-+--,0.002231273,0.7908897834423085,0.005165951376536756,-1,0.010331902753073512
C10orf118,--+-,0.011807022,0.8556926940209744,0.005166322720618171,-1,0.010332645441236342
UQCRB,+---,0.003501217,0.947518802731991,0.005180042754309711,-1,0.010360085508619422
SPATA7,----,0.008607116,0.9918581515833218,0.00518083048924315,-1,0.0103616609784863
ZNF419,++++,0.001666386,0.005185980451983529,0.9792468591760625,1,0.010371960903967059
C16orf53,--++,0.002181086,0.7072577071374176,0.00519004348761833,-1,0.01038008697523666
HMGCLL1,-+--,0.020336142,0.8980265207929907,0.0051937986250895195,-1,0.010387597250179039
TAPT1,++++,0.009337266,0.005196602894677415,0.9861808755012802,1,0.01039320578935483
SFRS5,----,0.003933146,0.9845958261720273,0.0052034514298481644,-1,0.010406902859696329
CPNE6,-+--,0.001487547,0.963952926157646,0.005210488164047386,-1,0.010420976328094772
MRPL14,++--,0.008138858,0.706484368638582,0.005216128085058122,-1,0.010432256170116243
GRIN3A,----,0.024763109,0.9911237270940272,0.005220235217478422,-1,0.010440470434956843
CDKL2,----,0.009849906,0.9876854542121912,0.005221297051931194,-1,0.010442594103862389
CLCN3,----,0.030689139,0.9937800028555053,0.00522189591530898,-1,0.01044379183061796
IKZF4,++++,0.071751404,0.0052459988692002135,0.999538995692135,1,0.010491997738400427
PISD,-++-,0.0050560859999999996,0.00525338150811719,0.7934512675603427,1,0.01050676301623438
OGFR,++++,0.074603277,0.005261448652174454,0.9997512701921311,1,0.010522897304348909
ATP1B3,--+-,0.001963015,0.5911857689030913,0.00526211816824349,-1,0.01052423633648698
DCN,----,0.014107772,0.9933607727156127,0.005264588695530543,-1,0.010529177391061085
ENPP5,-+--,0.020701873,0.9806785727357737,0.005272082980028809,-1,0.010544165960057618
KCNN3,--++,4.00749e-4,0.005273323905056197,0.404383112301484,1,0.010546647810112395
DYRK1B,+-++,0.009189139,0.005279810028525714,0.9374022804842809,1,0.010559620057051428
NUBP1,-+--,0.002114794,0.6839167254980325,0.005279879778017039,-1,0.010559759556034078
HELZ,+-++,0.009113577,0.005288548316987846,0.6126917541425828,1,0.010577096633975692
SEPT15,+---,7.60393e-4,0.8543366755761415,0.005291146816920376,-1,0.010582293633840752
ARHGEF17,+-++,0.030670599,0.005303917456192642,0.8419867646565699,1,0.010607834912385284
EIF2B2,----,0.018978839,0.9990232943446076,0.005306271679173019,-1,0.010612543358346037
UNC45A,++++,0.038275187,0.005313804782909933,0.9988606255766831,1,0.010627609565819866
DGKQ,++++,0.035055618,0.0053156956489059295,0.9983283618152886,1,0.010631391297811859
THY1,++++,0.04435515,0.005341134101091612,0.9986756342692019,1,0.010682268202183223
LAT2,+--+,0.001439139,0.1690968697869884,0.005349018757759473,-1,0.010698037515518946
E2F3,++-+,0.017337453,0.0053574048282869265,0.9575460500874594,1,0.010714809656573853
PANK2,----,0.014124532,0.9951338409728963,0.005359099849494233,-1,0.010718199698988466
ATP6V0C,-+--,9.33801e-4,0.8487577347356472,0.00536376886659763,-1,0.01072753773319526
GALT,---+,0.00790721,0.7223288706595419,0.005369471824735073,-1,0.010738943649470147
METAP1,++--,0.004214981,0.8348502411103398,0.0053699595931286735,-1,0.010739919186257347
REC8,--+-,0.001936517,0.8205312417399553,0.005379899330388274,-1,0.010759798660776547
POMZP3,----,0.026343352,0.999110602851474,0.005384855239597571,-1,0.010769710479195142
MORF4L2,----,0.026207397,0.9989875230614149,0.005392374356796626,-1,0.010784748713593252
TMEM50B,----,0.016473315,0.9942965584732022,0.0054081417752258115,-1,0.010816283550451623
GNA14,++++,0.020602341,0.005408546486941258,0.9739679323495274,1,0.010817092973882517
ELAVL1,+-++,0.003364981,0.00542922497174247,0.6369497946897869,1,0.01085844994348494
WDR1,+---,0.010739419,0.9648892170800305,0.005434715650057717,-1,0.010869431300115435
LAP3,----,0.025406554,0.9990199715211563,0.005440611684411418,-1,0.010881223368822836
RXFP1,--+-,0.004176966,0.9466002700107586,0.005451114816449308,-1,0.010902229632898617
CHORDC1,----,0.062779494,0.9991406673509423,0.0054583568273641955,-1,0.010916713654728391
MAP3K5,++++,0.071224906,0.005460785804126905,0.9996826627316128,1,0.01092157160825381
IRF8,----,0.033239607,0.9986806088211827,0.0054702241269029344,-1,0.010940448253805869
PNRC2,+---,0.021720974,0.9508664842457393,0.005495570797290037,-1,0.010991141594580074
RAN,-+--,0.006154213,0.8064875454065622,0.005503328594151669,-1,0.011006657188303338
UNKL,++++,0.041385581,0.005530109047159073,0.9991123888325074,1,0.011060218094318145
BUB3,----,0.01903736,0.9959133224498095,0.005546376410117185,-1,0.01109275282023437
KLHL5,--+-,0.011304775,0.5387346996128825,0.005560618707192334,-1,0.011121237414384668
EBP,----,0.006564326,0.9875052133268944,0.005561861810289314,-1,0.011123723620578629
NINJ2,--+-,0.035544288,0.8744835872899296,0.005567997908425036,-1,0.011135995816850071
RAB14,----,0.042491479,0.9983390457536321,0.005574177604194475,-1,0.01114835520838895
AGL,++++,0.03738324,0.005589445911901966,0.9994028418516401,1,0.011178891823803931
ELMO1,+-+-,2.79026e-4,0.0056171367431796905,0.2969453808706775,1,0.011234273486359381
DUS4L,----,0.035477341,0.9965786169434284,0.005620629015290194,-1,0.011241258030580388
ZBTB34,++++,0.074650655,0.005622836525627122,0.9997579338861378,1,0.011245673051254243
MARCH5,----,0.046108427,0.9973928048079372,0.005628074963230153,-1,0.011256149926460306
UTRN,+-+-,0.004890262,0.7086249556336122,0.0056383663626452495,-1,0.011276732725290499
AKR7A2,----,0.032398689,0.9990191854527708,0.005643202340487207,-1,0.011286404680974414
COL7A1,+-++,0.007097285,0.005647248650095998,0.5728576846066701,1,0.011294497300191997
CXCL12,----,0.033307397,0.9985189942026633,0.005653515471787953,-1,0.011307030943575906
TCF7,++++,0.030466854,0.005669363457007454,0.9993947974629828,1,0.011338726914014908
RPP14,----,0.014785019,0.9951861063652663,0.005674758935235568,-1,0.011349517870471136
MAP3K9,++++,0.017347378,0.005713211197700269,0.9986858811682637,1,0.011426422395400537
FRG1,----,0.012822285,0.9978654709373622,0.0057269708228876665,-1,0.011453941645775333
ZNHIT3,++--,0.003040637,0.750466779082992,0.005734579152693312,-1,0.011469158305386624
RAE1,-+--,0.002306648,0.5288026610163552,0.005739179124308004,-1,0.011478358248616007
CCDC51,----,0.003534082,0.9868978794033296,0.005741170268808494,-1,0.011482340537616988
STRC,++++,0.010730243,0.005755287974687618,0.9937197278472136,1,0.011510575949375237
ATP6V1H,-+-+,0.006284831,0.14194674747810576,0.005761366636854577,-1,0.011522733273709155
PRR13,----,0.007123689,0.990643929869324,0.0057657068674314225,-1,0.011531413734862845
NRBP2,----,0.0391103,0.995379598096894,0.0057689322970776455,-1,0.011537864594155291
DCK,----,0.020018446,0.9986645025490991,0.005776452996440321,-1,0.011552905992880643
WDR60,++-+,0.005084551,0.005793796553450824,0.9380627285031665,1,0.011587593106901647
ZNF33B,+++-,6.31929e-4,0.005797397404957432,0.3877721226138199,1,0.011594794809914865
KCTD20,++++,0.008160393,0.005805533258321363,0.9968004369166938,1,0.011611066516642727
H1FX,++++,0.017637172,0.005816020509163814,0.9924999760542558,1,0.011632041018327629
CXorf40A,----,0.015898876,0.9979539506910504,0.005817881685727718,-1,0.011635763371455436
EGLN2,+++-,0.02982294,0.0058279112866346065,0.7431051332872098,1,0.011655822573269213
GCLC,---+,0.025264045,0.9890314233128434,0.005837041138487742,-1,0.011674082276975485
SNPH,+-++,0.029322285,0.005853943233076055,0.8588814705659422,1,0.01170788646615211
CYB5B,----,0.035953745,0.9976138560274219,0.005867342867018394,-1,0.011734685734036788
IRAK2,----,0.012742884,0.9877514045187884,0.005875587648090186,-1,0.011751175296180373
THOP1,++++,0.007332959,0.005880086864519026,0.9949514009213296,1,0.011760173729038053
HIST2H2BE,--+-,0.003904026,0.7519503246606744,0.005890317992185078,-1,0.011780635984370156
ISY1,+-++,0.004208427,0.005893524833447647,0.8718364439344615,1,0.011787049666895293
GPR125,--+-,1.32303e-4,0.005899747982635174,0.45634573620498586,1,0.011799495965270348
DAXX,++++,0.01796779,0.00592333952067509,0.9948645048152489,1,0.01184667904135018
MAN1B1,-+++,0.04769073,0.00592544129855678,0.9823603380934146,1,0.01185088259711356
C15orf29,--++,0.004025,0.005927635045696671,0.18253301252583917,1,0.011855270091393342
ACCN2,-+-+,0.00114691,0.005929862921869706,0.6319746508116245,1,0.011859725843739411
MAZ,++--,0.00204588,0.005930903196720272,0.40733563834910563,1,0.011861806393440545
ECHDC1,----,0.037937921,0.9982777660993163,0.00593367180624225,-1,0.0118673436124845
PELO,+---,0.029523408,0.900907313609791,0.0059396213122619905,-1,0.011879242624523981
EIF2S3,+-++,0.039169195,0.0059419313753619534,0.8844522377282498,1,0.011883862750723907
ZNF514,--+-,7.00094e-4,0.8346079127611933,0.005951961218248763,-1,0.011903922436497526
NCAPG2,+--+,0.012129213,0.882474475170705,0.00595232210539862,-1,0.01190464421079724
DUSP3,+++-,7.79307e-4,0.005954515417158659,0.456429898786748,1,0.011909030834317318
ZNF473,++++,0.016001404,0.005963612766622619,0.99772467513078,1,0.011927225533245238
MDH1,++--,0.011287079,0.680226298574113,0.005967829268684165,-1,0.01193565853736833
CTBP1,++++,0.0498397,0.005981348362359698,0.9992442235936209,1,0.011962696724719396
DDX42,+-++,0.008543071,0.005984373890424246,0.454220274086606,1,0.011968747780848492
C7orf26,++++,0.03996985,0.00600706108884729,0.9974108682014831,1,0.01201412217769458
FBXL18,---+,0.010456929,0.7738349380911566,0.00600972691096703,-1,0.01201945382193406
C6orf134,+-++,0.015628933,0.006013035831000981,0.9783923018304606,1,0.012026071662001961
TUBD1,----,0.008504869,0.9727703179029377,0.006021228100937858,-1,0.012042456201875716
CCDC146,--+-,6.51217e-4,0.9132807563494502,0.006021976037021533,-1,0.012043952074043065
ZC3HAV1L,++++,0.005389607,0.0060256454442247954,0.9844249384901564,1,0.012051290888449591
EHBP1,+---,0.012942416,0.8551993142806562,0.006032218225247626,-1,0.012064436450495252
MAX,--+-,0.008715449,0.7476380129314624,0.006039641015164222,-1,0.012079282030328445
RCCD1,++++,0.048636517,0.006048879442987048,0.9990234846247172,1,0.012097758885974096
PPP1R10,++++,0.009205431,0.006049878754353962,0.9807579023430785,1,0.012099757508707924
ORAI2,-+++,0.010054963,0.006056968007151322,0.764887825051341,1,0.012113936014302645
ACHE,+-++,0.024731648,0.006065355469827795,0.9635937732507153,1,0.01213071093965559
ANKS3,+-++,0.019150281,0.006067968275385467,0.9250182548058482,1,0.012135936550770934
OLFML2B,--+-,0.030211049,0.8845983580870079,0.006071521867347281,-1,0.012143043734694561
GTF3C3,+---,0.012016667,0.8740276683480032,0.006076029441310671,-1,0.012152058882621343
PPP1R8,----,0.028689232,0.9954167261395651,0.006087193664606205,-1,0.01217438732921241
NRXN1,++-+,0.011222191,0.006093312348997681,0.9289725177883148,1,0.012186624697995361
DEK,+---,0.009481086,0.9377846620276143,0.006103941126216438,-1,0.012207882252432876
RSPH3,-+--,0.005040262,0.9433055851040231,0.006109138661323041,-1,0.012218277322646081
YRDC,+---,0.00289794,0.7805940925448578,0.006113732908418048,-1,0.012227465816836095
C19orf25,+-++,0.006357865,0.0061292914100473245,0.7556575761622482,1,0.012258582820094649
CREB1,--+-,0.004968071,0.13324911938457712,0.006133748808951856,-1,0.012267497617903711
ATG3,--+-,0.018079026,0.8030287015851081,0.006141077927092126,-1,0.012282155854184252
FLJ90757,++++,0.013318633,0.006143870731566803,0.9740215356790097,1,0.012287741463133606
DSCAM,-+++,0.001552247,0.006149057306738262,0.062323275078470894,1,0.012298114613476524
GRM7,++-+,0.004752434,0.00615279564357531,0.5989145944681171,1,0.01230559128715062
UTP14C,-+--,0.025514419,0.9659217379407455,0.006168293165317708,-1,0.012336586330635417
ECSIT,-+-+,0.00202912,0.48554353279641344,0.0061729117086180675,-1,0.012345823417236135
TBC1D7,-+--,0.004187734,0.6390803902212566,0.00618064087564841,-1,0.01236128175129682
SESN2,++++,0.01419382,0.006190247540956053,0.995796495652758,1,0.012380495081912106
YTHDC2,+---,0.018132678,0.5492981980625314,0.006268340664785445,-1,0.01253668132957089
CNOT7,+---,0.032038015,0.9686480947823026,0.006273054889647607,-1,0.012546109779295213
CTH,---+,0.003617978,0.9710864569006799,0.006277180388200279,-1,0.012554360776400557
AUH,-+--,0.016369663,0.8152193438736579,0.00628118491848071,-1,0.01256236983696142
UBE2O,++++,0.045053184,0.006287355755228596,0.9989335099977354,1,0.012574711510457193
USP35,++++,0.024660768,0.006301663980708329,0.9974252607232563,1,0.012603327961416657
TSHZ2,--+-,0.001325749,0.12052851259639563,0.006302831097966933,-1,0.012605662195933866
HLA-B,+-+-,0.005617603,0.5361706634466434,0.006321621378828378,-1,0.012643242757656756
ZMYM2,----,0.027327528,0.9990303032175087,0.006322642442116294,-1,0.012645284884232588
ATP5F1,-+--,0.020869476,0.8755541409642591,0.006326177441824321,-1,0.012652354883648641
MPP3,++-+,0.045072285,0.006330983908461212,0.9903664103597439,1,0.012661967816922423
BCAP31,++++,0.003374064,0.006348924303521622,0.9878627169933689,1,0.012697848607043243
RAB30,--++,0.00149485,0.512147354410629,0.006361242079747664,-1,0.012722484159495328
CTSA,++++,0.042956742,0.006365872198522136,0.999299170145511,1,0.012731744397044272
BHLHB9,----,0.002301311,0.9782142292353874,0.006369493168021088,-1,0.012738986336042176
