gene_symbol,female_AMY_male_AMY,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
FAM49B,--,0.046070412,0.9391295854066462,0.04267248071951103,-1,0.08534496143902207,0.10963083494355741,0.12398291293734744,0.21926166988711482
ADCY8,++,0.418840169,0.3378098028652057,0.7670674298017277,1,0.6756196057304114,0.3736777868185517,0.4260144411674972,0.7473555736371034
EFR3A,-+,0.020023221,0.6342865032730892,0.042707664267269047,-1,0.08541532853453809,0.10963083494355741,0.1240846216436127,0.21926166988711482
HHLA1,-+,0.334796816,0.36523452599671646,0.6063716791584239,1,0.7304690519934329,0.3901545972335232,0.44350655954439133,0.7803091944670464
KCNQ3,--,0.09658839,0.8963470117818639,0.09360611634874601,-1,0.18721223269749201,0.17583646903284858,0.2001627339300244,0.35167293806569716
LRRC6,--,0.188567322,0.8194356050161852,0.1879405914232609,-1,0.3758811828465218,0.26502593308247735,0.3122457282343369,0.5300518661649547
PHF20L1,++,0.032026404,0.006430752575582837,0.9978713057002271,1,0.012861505151165674,0.028173311635475998,0.03376385640191193,0.056346623270951995
NDRG1,++,0.194023502,0.14682718807037826,0.9025597748264047,1,0.2936543761407565,0.22843775427176566,0.2677717888741991,0.4568755085435313
ST3GAL1,++,0.109919944,0.032071862542874294,0.9892773709011708,1,0.06414372508574859,0.09062245728234337,0.10057968066714126,0.18124491456468675
KHDRBS3,-+,0.002885674,0.5879280586797049,0.008529185410864231,-1,0.017058370821728463,0.035289331841757345,0.04068348250610252,0.07057866368351469
KCNK9,+-,0.036643258,0.397371137026382,0.08164829022603952,-1,0.16329658045207904,0.16190379334892707,0.1850081366965012,0.32380758669785414
CHRAC1,--,0.401225562,0.816554714311363,0.2954730642195913,-1,0.5909461284391826,0.3448591477677209,0.3982912937347437,0.6897182955354418
EIF2C2,+-,0.125973783,0.17891675267285545,0.6544241938607108,1,0.3578335053457109,0.2570179007323027,0.30255262890267465,0.5140358014646054
PTK2,+-,0.161787172,0.2663985150538658,0.2808499523152349,1,0.5327970301077316,0.32617982099267695,0.3781145123563511,0.6523596419853539
DENND3,+-,0.695330805,0.5315534002514729,0.6178476327434989,1,1.0631068005029458,0.459519934906428,0.5197803315366623,0.919039869812856
SLC45A4,+-,0.054715075,0.18749360760002776,0.1211283632527355,-1,0.242256726505471,0.2059391843791315,0.23606590724165988,0.411878368758263
PTP4A3,+-,0.12399176,0.16586636956627268,0.7135661970233861,1,0.33173273913254536,0.2451179820992677,0.28750127122953323,0.4902359641985354
BAI1,-+,0.003018446,0.8044508975116282,0.006776231459733207,-1,0.013552462919466414,0.030001016983626564,0.03458096013018715,0.06000203396725313
ARC,++,0.477043446,0.2557841697676745,0.8717775209539649,1,0.511568339535349,0.31733116354759966,0.3699786433438422,0.6346623270951993
JRK,++,0.54926676,0.3594587223052621,0.7902076571215152,1,0.7189174446105242,0.38700162733930027,0.44086240211532596,0.7740032546786005
C8orf55,--,4.5515e-4,0.8495898647393396,0.0011378199793974282,-1,0.0022756399587948563,0.006203600122038035,0.007933279088689993,0.01240720024407607
LYNX1,-+,0.257506742,0.32802221540102905,0.5236967430718547,1,0.6560444308020581,0.36625305126118796,0.4200142377707719,0.7325061025223759
LY6E,+-,0.147166105,0.21879690021370146,0.5459801534677667,1,0.4375938004274029,0.2899715215622457,0.33692667548052474,0.5799430431244914
LY6H,-+,0.199222004,0.7639724081956262,0.21644671672021995,-1,0.4328934334404399,0.2881114614054714,0.3354353132628153,0.5762229228109428
GPIHBP1,+-,0.150867416,0.21311547935542155,0.6053497707193924,1,0.4262309587108431,0.2853946297803092,0.33194345571036304,0.5707892595606184
ZFP41,--,0.254010487,0.933261735855454,0.13982475063555516,-1,0.2796495012711103,0.2227194142174311,0.2593572009764036,0.4454388284348622
ZNF696,+-,0.675462453,0.6507699023198599,0.5040507186289654,-1,1.0081014372579309,0.45194752364486934,0.5126118795768918,0.9038950472897387
RHPN1,++,0.163058614,0.11640094004219681,0.9253274562621205,1,0.23280188008439362,0.20097640358014646,0.23085528322994,0.4019528071602929
ZC3H3,+-,0.694931929,0.6766733640455525,0.4899451478913277,-1,0.9798902957826554,0.4469643038747076,0.5069161920260374,0.8939286077494152
NAPRT1,++,0.469843539,0.36373139894566203,0.7577386445682865,1,0.7274627978913241,0.38974776240846215,0.44269297264314045,0.7794955248169243
EEF1D,++,0.00116133,0.002136270927417083,0.910413747757608,1,0.004272541854834166,0.011899918633034988,0.01403437404657785,0.023799837266069976
TIGD5,++,0.124399157,0.061530157564346835,0.9709527549150523,1,0.12306031512869367,0.13649308380797395,0.15386962269907453,0.2729861676159479
PYCRL,--,0.220512172,0.9321449233662997,0.13198768023671734,-1,0.2639753604734347,0.21529543374351673,0.2490846216436127,0.43059086748703346
TSTA3,-+,0.134842228,0.6708971748369926,0.1849928350636966,-1,0.3699856701273932,0.2628902674666938,0.30929617575264445,0.5257805349333876
ZNF623,-+,0.010452622,0.0972756250988972,0.03213929689950092,-1,0.06427859379900185,0.09071493948947422,0.10069161920260375,0.18142987897894844
SCRIB,++,0.069381554,0.04708673546625729,0.9628312507930298,1,0.09417347093251457,0.11676159479251425,0.13058069765076782,0.2335231895850285
PUF60,-+,0.207394101,0.7196493805160525,0.2370595284585837,-1,0.4741190569171674,0.30356961252923825,0.3535394629780309,0.6071392250584765
NRBP2,--,0.793110112,0.6917395580665767,0.4922937174837524,-1,0.9845874349675048,0.44777789077595853,0.50793327908869,0.8955557815519171
PLEC1,++,5.6264e-4,9.108988467886948e-4,0.9447496258223098,1,0.0018217976935773895,0.004882017900732303,0.005898505034068952,0.009764035801464606
PARP10,++,0.003535674,0.002418034725042586,0.9882406175180452,1,0.004836069450085172,0.013425549227013833,0.015051357673141462,0.026851098454027666
GRINA,-+,0.399706461,0.737504323704864,0.347321939942316,-1,0.694643879884632,0.37984338452150923,0.4315500406834825,0.7596867690430185
OPLAH,++,0.360249438,0.26071233623710527,0.8419603153833234,1,0.5214246724742105,0.32129780309194467,0.37445337130072204,0.6425956061838893
GPAA1,-+,0.788138764,0.6048995999347432,0.564397954961289,-1,1.128795909922578,0.46710057968066715,0.5269528071602929,0.9342011593613343
CYC1,-+,0.079323596,0.6939493460546068,0.12126981061497245,-1,0.2425396212299449,0.20604088274178786,0.23616761594792515,0.4120817654835757
SHARPIN,++,0.15721133,0.039476423948782806,0.9872526649707162,1,0.07895284789756561,0.10384458909682669,0.11807179904403539,0.20768917819365337
MAF1,++,0.00556161,5.348897310853816e-4,0.9997917418600194,1,0.0010697794621707631,0.0032546786004882017,0.0036611410556290046,0.006509357200976403
BOP1,+-,0.308935112,0.35910427928405153,0.5646086485013536,1,0.7182085585681031,0.3866965012205045,0.4404556086647005,0.773393002441009
HSF1,++,0.407962828,0.32956103797946973,0.7728326954095192,1,0.6591220759589395,0.367473555736371,0.42062442794671007,0.734947111472742
DGAT1,--,0.494425375,0.7855159087025546,0.3502427324861476,-1,0.7004854649722952,0.38096206651072917,0.43378763222131816,0.7619241330214583
SCRT1,--,0.318124532,0.8242854584608521,0.2569621136045137,-1,0.5139242272090274,0.318417573477067,0.3708299430431245,0.636835146954134
GPR172A,++,0.300501124,0.11070435584343545,0.9559482203137091,1,0.2214087116868709,0.1959926769731489,0.2237363978439947,0.3919853539462978
ADCK5,++,0.036436423,0.023683028121982523,0.9760879686186662,1,0.047366056243965046,0.07373881204231082,0.07993491304789993,0.14747762408462164
CPSF1,+-,0.399999906,0.5170226190397631,0.4359929912848887,-1,0.8719859825697774,0.4257093460795281,0.4822009764035802,0.8514186921590562
SLC39A4,-+,0.047709082,0.7668213803381903,0.07406640102748943,-1,0.14813280205497886,0.1526492423471982,0.17463384865744508,0.3052984846943964
VPS28,-+,0.377464607,0.40716605943398865,0.563643301400763,1,0.8143321188679773,0.41232709519934907,0.465371707515509,0.8246541903986981
CYHR1,--,0.332059831,0.8577666777451418,0.2377111944876819,-1,0.4754223889753638,0.30417980270517647,0.3545565500406835,0.6083596054103529
KIFC2,+-,0.002473876,0.006478211527182374,0.7234843184053538,1,0.012956423054364749,0.02837672904800651,0.03376385640191193,0.05675345809601302
PPP1R16A,-+,0.003731648,0.319837512477529,0.01245988827338134,-1,0.02491977654676268,0.04556086647004983,0.052481692432872255,0.09112173294009966
GPT,+-,0.614997472,0.559471624730778,0.5344979822232812,-1,1.0689959644465623,0.4601850910200346,0.5206468673718471,0.9203701820400692
MFSD3,--,0.003788764,0.9692035068867662,0.0038987566325906996,-1,0.007797513265181399,0.019424387267364996,0.021053702196908056,0.03884877453472999
RECQL4,-+,0.09609382,0.5179406101742109,0.16251433121111744,-1,0.3250286624222349,0.24265229329807791,0.28366558177379986,0.48530458659615583
LRRC14,-+,0.089041573,0.10698434764591817,0.8305393189908767,1,0.21396869529183635,0.19151749389747763,0.21875317807383302,0.38303498779495526
ZNF251,++,0.770847659,0.4436767033547351,0.7355526561107295,1,0.8873534067094702,0.42727827502034177,0.48621987186006305,0.8545565500406835
ZNF34,--,0.75730206,0.7451648975955628,0.4320162865749333,-1,0.8640325731498666,0.42347198210108816,0.479759967453214,0.8469439642021763
RPL8,+-,0.374042041,0.36751773439596624,0.6676738385039761,1,0.7350354687919325,0.3917819365337673,0.4449303366215804,0.7835638730675346
ZNF7,-+,0.242697566,0.2812364895737752,0.6632919401436266,1,0.5624729791475503,0.33513018714401954,0.38787755517136174,0.6702603742880391
COMMD5,-+,0.027297097,0.19499267160048261,0.06936397154241014,-1,0.13872794308482028,0.14654734058781654,0.1652766476810415,0.2930946811756331
ZNF16,--,0.253784176,0.8615067420396101,0.20274814843547548,-1,0.40549629687095096,0.277026339875928,0.32485760781122863,0.554052679751856
C8orf33,-+,0.245532116,0.2812487475558644,0.6705724330470446,1,0.5624974951117288,0.3352318958502848,0.38787755517136174,0.6704637917005696
SMARCA2,++,0.26768427,0.23356638138449135,0.8224797186107402,1,0.4671327627689827,0.30085435313262815,0.35035085935116445,0.6017087062652563
VLDLR,--,0.549375281,0.8576494783859245,0.27986434511687636,-1,0.5597286902337527,0.33428251805145937,0.3871033360455655,0.6685650361029187
KIAA0020,-+,0.22617088,0.3054185494242573,0.49763083677663617,1,0.6108370988485146,0.35231895850284783,0.40486118173497404,0.7046379170056957
GLIS3,++,0.417382772,0.27015696596220035,0.85044224257897,1,0.5403139319244007,0.3291293734743694,0.380351876334791,0.6582587469487388
SLC1A1,--,0.117160487,0.951335920543203,0.0768570341522352,-1,0.1537140683044704,0.1563103834028272,0.17890561432058585,0.3126207668056544
PPAPDC2,--,0.298078839,0.8533030909382187,0.2280821730132963,-1,0.4561643460265926,0.29665412386860573,0.3455044751830757,0.5933082477372115
CDC37L1,--,0.234882491,0.856287257713334,0.19678983761426153,-1,0.39357967522852305,0.27224651683107903,0.3195687550854353,0.5444930336621581
RCL1,--,0.369338764,0.8938469422399777,0.21210167048088724,-1,0.4242033409617745,0.2849588121631242,0.3310618388934093,0.5699176243262484
JAK2,-+,0.729099532,0.5896990676529864,0.5590575436311904,-1,1.1181150872623808,0.46628699277941626,0.5264442636289667,0.9325739855588325
C9orf46,--,0.20789279,0.9249520413716381,0.13476711482682155,-1,0.2695342296536431,0.21783789280992577,0.2526444263628967,0.43567578561985154
ERMP1,++,0.086874532,0.09847990292825377,0.8566021054464578,1,0.19695980585650755,0.18165174938974776,0.20665107291772603,0.3633034987794955
KIAA2026,+-,0.070941573,0.11426159215747235,0.6688897794486605,1,0.2285231843149447,0.19853539462978032,0.22800772907556188,0.39707078925956063
RANBP6,--,0.009630618,0.8996549869944086,0.014277247807140037,-1,0.028554495614280074,0.05003559442692972,0.05787225386493084,0.10007118885385945
IL33,-+,0.214292884,0.22066866627722292,0.7815304877336811,1,0.44133733255444585,0.2915988608624898,0.33855384928302656,0.5831977217249796
UHRF2,++,0.369552903,0.2525869847584105,0.8549322013660994,1,0.505173969516821,0.3145850284784378,0.3672327875521204,0.6291700569568756
GLDC,-+,0.05956339,0.12856924300688607,0.21133915040620996,1,0.25713848601377215,0.21196094385679415,0.24570324417776873,0.4239218877135883
PTPRD,+-,0.182093633,0.5355879105004216,0.2565453320243137,-1,0.5130906640486274,0.3183158751144107,0.3705248169243287,0.6366317502288213
