gene_symbol,male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
HARS,-++-,0.005687828,0.3791488869384284,0.02088091178858266,-1,0.04176182357716532
SLC2A5,---+,0.015961142,0.259719773623551,0.020905317227589,-1,0.041810634455178
TMEM127,--+-,0.047983614,0.8548839641516656,0.020963317028093408,-1,0.041926634056186816
USP31,+--+,0.007531554,0.03314411775713919,0.020969980937642095,-1,0.04193996187528419
SLC39A9,-+-+,0.001386142,0.02097024391356684,0.668889765969856,1,0.04194048782713368
SCRG1,--+-,0.005082491,0.9310083287993015,0.020977550884945396,-1,0.04195510176989079
ARHGEF4,----,0.023188483,0.9892272786196313,0.020984207441542085,-1,0.04196841488308417
PSME2,-+++,0.005427996,0.020985132683244593,0.8583048312843893,1,0.041970265366489186
CTNNA1,-+-+,0.025854213,0.020994160560033295,0.5112768862726512,1,0.04198832112006659
SLC44A2,++++,0.041995037,0.02100106719488645,0.9864171379287178,1,0.0420021343897729
THBS2,++-+,0.005137547,0.02100641312195344,0.13310219038823543,1,0.04201282624390688
MARCKSL1,++-+,0.042660768,0.021023402124666277,0.9018847408546461,1,0.042046804249332555
PRDX2,+-++,0.005703839,0.021025555446119625,0.7043526909986327,1,0.04205111089223925
ZNF576,+---,0.020370693,0.9538838242712384,0.021041614527330707,-1,0.042083229054661414
FOXC1,----,0.011073596,0.969894329347938,0.021049622927422885,-1,0.04209924585484577
TMEM63A,++++,0.118088109,0.021065713794778073,0.9967659270161466,1,0.042131427589556146
MLL3,++++,0.04718661,0.0210843542456877,0.9931849496957823,1,0.0421687084913754
MTMR4,+---,0.034172472,0.8379382637297944,0.021088066734660595,-1,0.04217613346932119
OPA1,----,0.056016386,0.996657297501274,0.021092111392345,-1,0.04218422278469
BBS10,++++,0.066907303,0.021157587786241442,0.9973522797723631,1,0.042315175572482884
NCOR2,+-+-,0.009159925,0.7677178790766571,0.021165422630911698,-1,0.042330845261823395
PRKAG2,-+--,0.018256086,0.25258801258126484,0.021190923863376558,-1,0.042381847726753116
ARAF,++-+,0.004315169,0.02119202143209283,0.5775316987831401,1,0.04238404286418566
QRSL1,++++,0.093233708,0.02119601685724744,0.9928279828077871,1,0.04239203371449488
NCL,++-+,0.032206367,0.021229785156164326,0.9383912931416821,1,0.04245957031232865
TXNDC17,----,0.063275468,0.9919887226800933,0.021241471863276,-1,0.042482943726552
SMCR7,+--+,0.00139073,0.6307365772417781,0.021245229945572916,-1,0.04249045989114583
BBS9,+-++,0.009501873,0.021254167571820123,0.47914305022565007,1,0.04250833514364025
GBE1,---+,0.02138764,0.9484750939617229,0.021258733858747263,-1,0.042517467717494525
ESF1,++++,0.0902,0.021282519558766703,0.9961032682702404,1,0.042565039117533406
AKAP6,+--+,0.01427603,0.021289382468590922,0.3075544502734011,1,0.042578764937181844
PDE8A,+---,0.063282678,0.8976979758938186,0.021302132482588165,-1,0.04260426496517633
STK4,++++,0.162245131,0.021314105254548795,0.998705702024177,1,0.04262821050909759
DACH2,----,0.056586798,0.9857196182707708,0.021323968307512414,-1,0.04264793661502483
PPP2R5C,---+,0.013181742,0.213301828851178,0.02133703717957174,-1,0.04267407435914348
KCTD12,+-++,0.030394757,0.021345886533963694,0.9462239072932378,1,0.04269177306792739
TSPAN33,--+-,0.020802528,0.7342515802214803,0.021383595481892774,-1,0.04276719096378555
NSUN6,+-+-,0.035627434,0.021389732174242813,0.9049379217369297,1,0.042779464348485625
PIK3C2B,++-+,0.001836236,0.021397471215411155,0.6109535190784708,1,0.04279494243082231
PRR3,-+--,0.029945974,0.9594430694087692,0.021408240654443147,-1,0.042816481308886295
C9orf140,+---,0.035723127,0.7481128872040106,0.02143872342762653,-1,0.04287744685525306
HPS6,-++-,9.52903e-4,0.02144505118827088,0.23065431428641028,1,0.04289010237654176
GMFB,++++,0.032765637,0.021485276768261615,0.9923098865769852,1,0.04297055353652323
NAT13,-+-+,0.016724438,0.02151570424258828,0.8924139752903057,1,0.04303140848517656
CYB5B,-+++,0.018151217,0.021521095963156416,0.9482202380779776,1,0.04304219192631283
COMMD5,--+-,0.028193727,0.575880975501777,0.02159383299297363,-1,0.04318766598594726
PCDH24,----,0.027089139,0.9901829534963186,0.021695962545755385,-1,0.04339192509151077
NUDT11,---+,0.087791386,0.9850430225998412,0.02170782710005857,-1,0.04341565420011714
LMO2,-+++,0.060058989,0.02170963332005318,0.9614059594115527,1,0.04341926664010636
ZNF554,---+,0.008405618,0.5512276361166122,0.021748456090549387,-1,0.043496912181098774
FADS2,----,0.085617322,0.9959099300849892,0.021774033281140193,-1,0.043548066562280385
PCNX,--++,0.002446255,0.021803420948251745,0.053519047743980835,1,0.04360684189650349
TRPV6,----,0.078685019,0.9972181230537764,0.021814073188319322,-1,0.043628146376638643
RANBP2,---+,0.035955805,0.5109358384862875,0.02182224011537192,-1,0.04364448023074384
DIRC2,++++,0.108576217,0.021828286272799955,0.9935455583383889,1,0.04365657254559991
GOLGB1,-+++,0.036066199,0.021828685895832214,0.8193302588770593,1,0.04365737179166443
AGPAT1,+---,0.061097378,0.9623834204456602,0.021837886700530718,-1,0.043675773401061435
RND3,----,0.074138858,0.9873420121927796,0.021857829063671886,-1,0.04371565812734377
LASS2,++++,0.015590356,0.021863840805933947,0.9733005009148805,1,0.043727681611867894
NALCN,----,0.102224813,0.993724142798306,0.021876867347883088,-1,0.043753734695766176
SCOC,-+++,0.023037172,0.021889729887115714,0.9050248833602075,1,0.04377945977423143
PITPNC1,-+-+,0.015095693,0.02189884742867434,0.42033121761435277,1,0.04379769485734868
CST9,----,0.088845412,0.9972418945631103,0.021912172642652262,-1,0.043824345285304524
HMGN2,++++,0.038468633,0.02194026786325704,0.9952561106434159,1,0.04388053572651408
TBC1D22B,----,0.092374813,0.9968273526164164,0.021975845685883635,-1,0.04395169137176727
DNM1,----,0.065335861,0.9960612449004925,0.021977247281542073,-1,0.043954494563084145
KIF5B,++-+,0.045671255,0.02198351820093277,0.962165445474998,1,0.04396703640186554
MAP4K5,++-+,0.058053652,0.022026624835957194,0.8235593256369836,1,0.04405324967191439
SPP1,+-++,0.007853933,0.0220270659010822,0.2066269112075033,1,0.0440541318021644
MTHFD1L,---+,0.056329682,0.8306909144377228,0.02202959989331218,-1,0.04405919978662436
AGPAT6,----,0.0484603,0.988501516478097,0.022038867424857587,-1,0.044077734849715174
TRIM13,++--,0.007664139,0.02206788083340099,0.850917531713282,1,0.04413576166680198
CYB5A,-+++,0.041591573,0.02207180354695392,0.958996726700585,1,0.04414360709390784
PPFIA3,--+-,0.018946536,0.6747259826340941,0.022073823326112806,-1,0.04414764665222561
SMAP2,----,0.058993633,0.9917208880795935,0.02211214181134664,-1,0.04422428362269328
PRRT1,----,0.054295787,0.9941904094699936,0.022112805505348464,-1,0.04422561101069693
SMYD2,----,0.139526124,0.9981786371577261,0.022169326013927407,-1,0.044338652027854815
