gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
DYRK2,+-+++-,0.107217603,0.19056328963406985,0.6528636887107893,1,0.3811265792681397
CSGALNACT1,-++--+,0.071431086,0.19720781776045196,0.5469162628434449,1,0.3944156355209039
RANBP3L,----++,0.056382584,0.9768817602477882,0.08872058978826387,-1,0.17744117957652775
SGEF,+-+-+-,0.024345599,0.664551294310517,0.2412951722250069,-1,0.4825903444500138
SMEK1,+--++-,0.085448596,0.8730320147205428,0.15028220670356943,-1,0.30056441340713885
DGKD,+++---,0.134160861,0.038698536113984085,0.9980998879075044,1,0.07739707222796817
TRABD,-++---,0.135160206,0.11322090009788031,0.9443171046353698,1,0.22644180019576063
COMMD7,+++---,0.079885487,0.03206247694740961,0.9951610056820077,1,0.06412495389481922
SGTA,--+++-,0.089006835,0.7728806686467169,0.1714698055534844,-1,0.3429396111069688
TRNT1,----++,0.02966264,0.9677567413019197,0.024493996639530422,-1,0.048987993279060844
RPL8,++--++,0.189800094,0.5412424024108677,0.3212339668724856,-1,0.6424679337449712
TMEM55A,++-+++,0.078048502,0.8173612154764636,0.1759089795214434,-1,0.3518179590428868
CORO2A,++++--,0.256434457,0.2559416397410589,0.857810651230328,1,0.5118832794821178
MAGOH,+++--+,0.309383333,0.2812358077792535,0.8564206554352074,1,0.562471615558507
TTLL1,++-+-+,0.098077622,0.18778055068835,0.5618901798961478,1,0.3755611013767
ZNF768,+-+--+,0.154690824,0.2020212191185325,0.8428296539350714,1,0.404042438237065
C11orf59,---+--,0.02853633,0.49667385670541875,0.2503634858404238,-1,0.5007269716808476
MCM3AP,+-+---,0.03069794,0.03796537150825169,0.9179840268227971,1,0.07593074301650338
PPM1G,+++---,0.075691386,0.014781580337329278,0.9985856829946687,1,0.029563160674658556
EFEMP2,-++-++,0.074456367,0.6498620981367629,0.40493396251904645,-1,0.8098679250380929
