gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
PSIP1,-+-+++,0.011498034,0.02264501346022585,0.26926140566484075,1,0.0452900269204517
SLC7A4,+++--+,0.007075843,0.022667790356207106,0.5778470607080448,1,0.04533558071241421
ELP4,+--+-+,0.014933989,0.797384913855513,0.022670685517813746,-1,0.04534137103562749
BBX,--++-+,0.003818165,0.022692711753375654,0.04462542663246126,1,0.04538542350675131
MANEAL,---+-+,0.033127247,0.8936364905662583,0.02270156510898595,-1,0.0454031302179719
PRMT2,---+-+,0.029659644,0.19762890664356703,0.022703347490339365,-1,0.04540669498067873
GPR37,---+++,0.033806835,0.3229060211449556,0.022709221854462006,-1,0.04541844370892401
CPAMD8,-++++-,0.011523689,0.02280209810241905,0.5728185137209706,1,0.0456041962048381
CHD7,--+--+,0.006860206,0.4820055180767168,0.022809943133198493,-1,0.045619886266396986
IFT122,+++-++,0.032178184,0.022837699327165877,0.904189497659582,1,0.045675398654331754
BIN3,++++--,0.02532809,0.02284390896438642,0.5619455614388661,1,0.04568781792877284
NAT9,------,0.072429213,0.9949505693261721,0.022871901439293848,-1,0.045743802878587696
SSBP2,++-+-+,0.00997912,0.022881279405105294,0.2602669301253845,1,0.04576255881021059
SPON1,+++-++,0.055203745,0.022896188234713448,0.9836890349493127,1,0.045792376469426896
PKP4,-++--+,0.019403371,0.022911478591280718,0.5547241392785944,1,0.045822957182561436
PTPRB,+-----,0.041455712,0.9875765399501875,0.022911562527155965,-1,0.04582312505431193
HP1BP3,---+++,0.009398315,0.17053136959153553,0.022945531346663082,-1,0.045891062693326164
MOBKL2B,---+++,0.006183146,0.49021306682169635,0.02294703556752111,-1,0.04589407113504222
POLR3H,+++---,0.001066199,0.02301096159732676,0.02475277468607753,1,0.04602192319465352
BRD2,+-++-+,0.003897472,0.02303403221644622,0.7888251571425596,1,0.04606806443289244
PPARGC1B,-++---,0.028489513,0.15310933312599675,0.023049835118270807,-1,0.046099670236541615
TSKU,+-++--,0.002724532,0.023067665019733088,0.8268694855513817,1,0.046135330039466176
BICD1,--++-+,0.0150647,0.3165503807084503,0.02308342338065811,-1,0.04616684676131622
LYPD6,-+-+++,0.038745037,0.023106711989382477,0.891612762380368,1,0.046213423978764955
ZNF22,---+-+,0.025732397,0.6684595083662827,0.023118154829366223,-1,0.04623630965873245
C10orf4,-++--+,0.022070131,0.5902274870244755,0.023123905644587942,-1,0.046247811289175884
ZNF721,++++++,0.113424532,0.02313431619148224,0.99693139084236,1,0.04626863238296448
SCRG1,+-----,0.005082491,0.8569785598692039,0.023135442646629614,-1,0.04627088529325923
UCK2,++----,0.048511049,0.745057456733238,0.023174305944149126,-1,0.04634861188829825
MEIS2,+-+-++,0.001821348,0.023183488288042692,0.7487282309983829,1,0.046366976576085385
HIST2H2BE,---++-,0.003904026,0.6779049452482597,0.0231923822723573,-1,0.0463847645447146
PPP2R4,--++--,0.03949073,0.9841032235838014,0.02321117158950365,-1,0.0464223431790073
C9orf4,+++-++,0.012980524,0.023242025487106785,0.9730719200054164,1,0.04648405097421357
ARMCX2,++--+-,2.82491e-4,0.02324851939718624,0.1622444235186493,1,0.04649703879437248
ZNF672,-+++--,0.004951124,0.023253343223252048,0.6816786357040963,1,0.046506686446504096
CALM3,++++++,0.028492322,0.02325378423810803,0.9928702891979454,1,0.04650756847621606
MRPS24,-+----,0.058579213,0.9012591608921519,0.02325724503073712,-1,0.04651449006147424
GP1BA,+++-+-,0.017783052,0.023258016121670805,0.8979131783468487,1,0.04651603224334161
SELI,-----+,0.021941011,0.5795286603142543,0.023288473976456493,-1,0.046576947952912985
ANAPC11,-++--+,0.009805056,0.023323571594957612,0.3299679700646723,1,0.046647143189915224
SLC4A11,-----+,0.048000936,0.9885358330472594,0.02332621171648538,-1,0.04665242343297076
SGSM1,+-++-+,0.044819007,0.02335072628735539,0.6999285943376001,1,0.04670145257471078
MARCH6,+++-+-,0.023088951,0.023382008703968574,0.6348331646317436,1,0.04676401740793715
FNTA,---+++,0.022753184,0.09930442285438315,0.023386333729670864,-1,0.04677266745934173
ETV1,---+++,0.004389888,0.02341711707493342,0.02355470069060549,1,0.04683423414986684
LEF1,----+-,0.034676966,0.8801698344517488,0.023443638469970714,-1,0.04688727693994143
SMC2,---+++,0.003792322,0.023474050517505514,0.11353387644438287,1,0.04694810103501103
FRAS1,+++-+-,0.001042416,0.023498632562285945,0.07717795622573971,1,0.04699726512457189
ATF7,----+-,0.057564139,0.8886855125545664,0.023542362321797766,-1,0.04708472464359553
TRIM68,++-+-+,0.038671816,0.023550086692112393,0.9765487294152168,1,0.047100173384224786
NCBP2,++--++,0.009057678,0.023579362417652655,0.17238700482290725,1,0.04715872483530531
MSRB3,++--++,0.016586798,0.023631902884004387,0.4110922224088564,1,0.047263805768008774
RIT2,++---+,0.009982303,0.732643768936503,0.02363429254160607,-1,0.04726858508321214
FOXRED2,----++,0.018494195,0.8556166562926208,0.023652502246394595,-1,0.04730500449278919
LIPA,---++-,0.007869569,0.8705262430673703,0.02369410235467939,-1,0.04738820470935878
GAD2,+++---,0.005391479,0.2252633430965753,0.023708023525870547,-1,0.04741604705174109
TRIM44,+++--+,0.025621723,0.023729320349286456,0.4296187329565256,1,0.04745864069857291
OPRK1,+++++-,0.091005993,0.02375543676723355,0.994454396095427,1,0.0475108735344671
EXTL2,------,0.077722004,0.9984419376266614,0.02377031895692061,-1,0.04754063791384122
ENOX1,---+--,0.086753371,0.9902030594641821,0.02378240763606023,-1,0.04756481527212046
BCL2L1,----++,0.018535206,0.8885693330059632,0.02379202293267856,-1,0.04758404586535712
PRDM8,++-+--,9.30056e-4,0.14948462788652186,0.02382148746314178,-1,0.04764297492628356
FAM73A,++--++,0.048004307,0.023897365527952193,0.7747418203667219,1,0.047794731055904385
COPA,----++,0.013784457,0.19114954003003495,0.02393059904202351,-1,0.04786119808404702
MDM4,+-+++-,0.017960393,0.023932780631452658,0.08246625733288326,1,0.047865561262905316
RYR2,++++-+,0.073861891,0.023944714997348075,0.9639415298190361,1,0.04788942999469615
FAM101B,+++-+-,0.019052715,0.02394922243341784,0.9085047380557129,1,0.04789844486683568
KLHL26,-+----,0.024580899,0.978738175985139,0.023949383782648357,-1,0.047898767565296714
RRN3,+++-++,0.002617041,0.023981377994793326,0.8174961093121113,1,0.04796275598958665
GARNL3,-++-+-,0.021063202,0.02402584785221547,0.5473292180809758,1,0.04805169570443094
GALNT1,+-++-+,0.006114794,0.02405208760007366,0.5916571355601992,1,0.04810417520014732
BAHD1,-+---+,0.020542884,0.6432139201951274,0.024061473962740103,-1,0.048122947925480206
RNF5,-+--++,0.001753371,0.582429225036921,0.024084192666453216,-1,0.04816838533290643
N4BP1,+-++--,0.00204897,0.02408836552933254,0.1320969248430953,1,0.04817673105866508
ANAPC7,------,0.044752903,0.9848387861490511,0.024139986070374254,-1,0.04827997214074851
GTF2B,-----+,0.017776498,0.819113782027763,0.02414334155948273,-1,0.04828668311896546
BTD,++-++-,0.006678184,0.27628480386533616,0.024144658297406616,-1,0.04828931659481323
THAP8,++-+++,0.081078652,0.024148851250178214,0.9906262455401756,1,0.04829770250035643
MYNN,----+-,0.024866386,0.7726714704667207,0.024155878754426013,-1,0.04831175750885203
FKBP11,+-----,0.012765262,0.5956362299992514,0.024173969087496344,-1,0.04834793817499269
RTF1,+--+-+,0.005300562,0.024219339827179918,0.8418421974534245,1,0.048438679654359836
EIF3G,------,0.021070693,0.9837820637843513,0.024247154500465187,-1,0.04849430900093037
HIST1H2AC,---+++,0.001643352,0.02430835394004474,0.028919726551446142,1,0.04861670788008948
TAF10,-+++--,0.022122378,0.02432697658694993,0.3534218579177386,1,0.04865395317389986
EIF4E2,-+---+,0.010869944,0.5483318684896074,0.02432824585746048,-1,0.04865649171492096
RAVER1,+++-+-,0.01911161,0.0243474128832266,0.6971340548937339,1,0.0486948257664532
DHX38,++--+-,0.015858989,0.28788062402459025,0.024380306789507134,-1,0.04876061357901427
ZNF581,------,0.006924345,0.9865486402571852,0.024383297328037377,-1,0.048766594656074753
PCP4,++----,0.058403184,0.9423029876685284,0.024397565226308846,-1,0.04879513045261769
NR2C2AP,--++--,0.015515262,0.9051705674070092,0.02440772080926082,-1,0.04881544161852164
MTRR,+-----,0.021034176,0.6065526502994991,0.02444245693482378,-1,0.04888491386964756
NCOA5,+--+--,0.027450375,0.8311131446919781,0.02444711048341446,-1,0.04889422096682892
ASXL3,+++--+,0.074798221,0.0245011416865001,0.9225972162480115,1,0.0490022833730002
ALKBH6,------,0.015174157,0.9862580458446302,0.024504629688320116,-1,0.04900925937664023
ATP5G1,-+----,0.026853652,0.9463082160110107,0.024542488019482677,-1,0.049084976038965354
NDUFB4,++---+,0.022932022,0.6595677909481881,0.02464012189055843,-1,0.04928024378111686
MAPT,--++--,0.073513109,0.6348385095081908,0.024650265201940975,-1,0.04930053040388195
ISLR,--+++-,0.008204588,0.3476179851755769,0.024718589342872313,-1,0.049437178685744626
GAS6,++++--,0.005899064,0.024720405416264326,0.7094844033752753,1,0.04944081083252865
RPUSD1,-+----,0.00388221,0.9124999579381057,0.024746435006396714,-1,0.04949287001279343
TMED10,+--+++,0.001043446,0.2437143282988218,0.02477790289649136,-1,0.04955580579298272
LOC401431,---+--,0.014831554,0.9001199523004976,0.024780189817066926,-1,0.04956037963413385
SLC25A29,--+---,0.013295225,0.4826413467006565,0.02478791075327217,-1,0.04957582150654434
UGT8,---+++,0.02051133,0.17374934210313367,0.024792597609229285,-1,0.04958519521845857
SPATA2L,--++--,0.002898127,0.8985631480497062,0.024812664225006713,-1,0.049625328450013426
ARRB1,----++,0.050110674,0.7723257381083145,0.02483275403949245,-1,0.0496655080789849
C17orf48,++-+++,0.021240543,0.02483556546787418,0.9659744330332555,1,0.04967113093574836
ITFG1,++---+,5.853e-4,0.2888515033500406,0.024853144672275354,-1,0.04970628934455071
