gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
OR4C12,-+,NA,NA,0.4593885466575405,0.40124336964581075,-,0.802,0.5826441414960264,216,1
KAAG1,++,NA,NA,0.45944558521560575,0.40141447556037185,-,0.803,0.7135638981087848,216,1
TAX1BP1,++,-++-,++,0.46471982792639677,0.4014193267220345,-,0.803,0.256617499,216,1
C2orf70,-+,NA,NA,0.459476415901443,0.40143737166324434,-,0.803,0.5719124717911077,216,1
NLRP10,-+,NA,NA,0.459476415901443,0.4015514487793749,-,0.803,0.513003957477739,216,1
CLDN17,-+,NA,NA,0.459476415901443,0.4016084873374401,-,0.803,0.6618353311609162,216,1
OXSM,+-,++--,+-,0.45560585390404523,0.401660065150543,-,0.803,0.209117884,216,1
KCNRG,-+,NA,NA,0.4596167008898015,0.40169965208464037,-,0.803,0.4677016516023662,216,1
CCDC85C,-+,--++,NA,0.5264117121117313,0.40172840688736206,-,0.803,0.24009582,216,1
CXCL5,+-,-+++,NA,0.5180804561603075,0.4017289744168988,-,0.803,0.36325162688311147,216,1
AKT3,+-,---+,+-,0.46184344032694175,0.4017772592595546,-,0.804,0.26576236,216,1
NDUFS2,+-,-++-,+-,0.47114333503876693,0.4018323122541097,-,0.804,0.259970872,216,1
NME9,++,+++-,NA,0.5179832144048071,0.401913124250178,-,0.804,0.377860546,216,1
CCL16,-+,NA,NA,0.45998973364512635,0.40200775724389687,-,0.804,0.43755865238985026,216,1
DDI1,-+,NA,NA,0.4601038042548337,0.40206479580196214,-,0.804,0.6126827836105198,216,1
MECR,++,-++-,--,0.44158255663960455,0.4021370943216795,-,0.804,0.3700245707377089,216,1
PCLO,+-,+--+,NA,0.5045461959842669,0.40220534254431706,-,0.804,0.2697224920066962,216,1
RDM1,+-,NA,NA,0.46021787486454113,0.4022359114761579,-,0.804,0.526834508679567,216,1
FBXO46,+-,+-++,+-,0.45987861737434643,0.40225432898364416,-,0.805,0.135417728,216,1
BRDT,-+,NA,NA,0.46021787486454113,0.40229295003422316,-,0.805,0.5260265110299696,216,1
REC8,++,+-+-,+-,0.45170745381538263,0.40231091709498246,-,0.805,0.313223876,216,1
MYH7,+-,--+-,NA,0.5249062678416099,0.402313079138243,-,0.805,0.244668356,216,1
ASPSCR1,-+,+-++,++,0.4678774975613214,0.4023175477441301,-,0.805,0.122291768,216,1
EHD4,++,+---,NA,0.5159898264433759,0.4025816471733913,-,0.805,0.202478538,217,1
CAGE1,+-,NA,NA,0.46047227926078027,0.40261221696229965,-,0.805,0.5296064034901788,217,1
TSEN15,+-,++--,NA,0.5269134203268564,0.4027790113714633,-,0.806,0.271409777,217,1
TEX35,++,NA,NA,0.4607004334930413,0.40278332287686075,-,0.806,0.7230476397880039,217,1
UGT1A7,-+,NA,NA,0.4608145106091718,0.40278332287686075,-,0.806,0.5865783959975094,217,1
CCDC42B,++,NA,NA,0.46075747205110656,0.40278332287686075,-,0.806,0.7206203441363471,217,1
ZFPM1,++,+-+-,--,0.4420346775905193,0.40279971752528193,-,0.806,0.33135213940331665,217,1
GALNT2,--,++--,--,0.44864471940789297,0.4029676147913607,-,0.806,0.428754775,217,1
ANKRD33,--,NA,NA,0.4608452632179319,0.4029774127310062,-,0.806,0.695570416197595,217,1
GBA2,--,---+,-+,0.46964032668225536,0.403062415274302,-,0.806,0.262444944,217,1
ZNF141,-+,+++-,NA,0.5289370001105667,0.40306926711871227,-,0.806,0.131481883,217,1
UMODL1,++,NA,NA,0.4609285877253023,0.403125534705983,-,0.806,0.8026573424396448,217,1
SHBG,-+,NA,NA,0.46098562628336753,0.4031825700108367,-,0.806,0.6601106110069135,217,1
CDHR5,+-,NA,NA,0.4613015456567615,0.4032626055213324,-,0.807,0.5276926763947453,217,1
PRKAG1,-+,-+++,-+,0.471990076573398,0.4032663842466533,-,0.807,0.269388015,217,1
DBN1,+-,--+-,++,0.45363693860609033,0.4032784695701379,-,0.807,0.157013261,217,1
HOXA6,-+,NA,NA,0.4613015456567615,0.4033766826374629,-,0.807,0.5850072105670997,217,1
SPOCD1,--,NA,NA,0.4613015456567615,0.4036048368697239,-,0.807,0.7273076699539491,217,1
FAM120AOS,+-,+-++,NA,0.5267080679979709,0.40362799313432696,-,0.807,0.46454411,217,1
LILRA3,-+,NA,NA,0.46132785763175904,0.40363885244966635,-,0.807,0.4432270736919629,217,1
CHID1,++,--++,-+,0.4838858863086793,0.40365636452444376,-,0.807,0.185454648,217,1
FOXM1,-+,+---,+-,0.4484031507301243,0.40369286358148937,-,0.807,0.074943446,217,1
TAS2R41,+-,NA,NA,0.46149897330595485,0.40369588775452003,-,0.807,0.4887468073866894,217,1
AHRR,++,+-+-,+-,0.4514422633203468,0.4038110418560058,-,0.808,0.151999532,217,1
POU4F1,-+,NA,NA,0.46164375748588377,0.40383299110198495,-,0.808,0.44836626039296196,217,1
SART1,-+,--++,+-,0.46409550254896387,0.4038604180668701,-,0.808,0.134661933,217,1
DNAJC17,-+,+-++,++,0.4505385980677425,0.4039180665960432,-,0.808,0.21382973141746447,217,1
ALDH3B1,-+,+-+-,+-,0.4459758729230855,0.40400063708932094,-,0.808,0.15532044454427965,217,1
C18orf8,+-,++--,--,0.4530005700556174,0.40410503266114484,-,0.808,0.167602154,217,1
