gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
UGT8,--+---,++++++---++-,--+-++-+,5.835382486494057e-4,0.001425042171433765,+,0.00117,1.0200605864689112e-4,0.314,1
PLEKHM2,++-++-,-+----++++-+,+-+-----,9.587238654465e-4,5.866457649172786e-4,-,0.00117,0.003242619,0.316,1
S1PR3,+++-+-,-+--+-++-+++,NA,5.940432157769952e-4,0.002041019892704769,+,0.00119,0.004113700113832252,0.32,1
RNASE1,----+-,++++++-+-++-,--+-+-++,5.945510885165245e-4,0.0012250927792749262,+,0.00119,0.0026220746677592843,0.32,1
CDK10,+---+-,------+-++++,++++--+-,0.0010682684250736514,5.984369277340595e-4,-,0.0012,0.00687397,0.322,1
SESN1,++++-+,++++-++---+-,++++----,6.048456853110654e-4,9.613177613649099e-4,+,0.00121,0.005077528,0.325,1
P4HA1,--+---,++++++------,+------+,7.478869142374705e-4,6.12867841755113e-4,-,0.00123,7.94288e-4,0.33,1
KLF3,-++---,--++++------,----++++,0.001178250558150943,6.210636836410014e-4,-,0.00124,0.004518727,0.334,1
KIFC2,++-++-,------++++++,+-++----,6.728934682622394e-4,6.240990579127211e-4,-,0.00125,0.002473876,0.336,1
UNC5B,----+-,--++++----+-,--+-++-+,6.637459732687051e-4,0.0012671703940735218,+,0.00133,0.0010902470541897958,0.357,1
TMEM235,----+-,++++++---+++,NA,6.805886788336626e-4,0.0020533299154959182,+,0.00136,0.0033632723088069354,0.366,1
MMEL1,+++-+-,NA,NA,6.844626967830253e-4,0.002452518108709291,+,0.00137,0.006657342168118565,0.368,1
TMEM106B,--+--+,++++++------,--+-+-++,7.006855310222004e-4,8.341616089773262e-4,+,0.0014,2.16239e-4,0.377,1
LINGO2,++++-+,-+----+++--+,++++---+,9.77473979912832e-4,7.017616146896471e-4,-,0.0014,1.42322e-4,0.378,1
MAP2K2,+--++-,----+--+++++,++++--+-,9.31990761853133e-4,7.02138067021922e-4,-,0.0014,8.40356e-4,0.378,1
CPSF2,+++---,++++++------,--++++++,8.643358223283437e-4,7.043558703636069e-4,-,0.00141,0.016079405,0.379,1
PTP4A3,+++++-,+-+-+-++++++,++++----,7.103656334759399e-4,0.0012140238835603586,+,0.00142,0.00220354,0.382,1
ASB4,+++-++,++++++----+-,NA,7.368774271635965e-4,9.70013741699039e-4,+,0.00147,0.001065553,0.396,1
TMED7,-++---,++++++------,--+--+++,7.559733485944894e-4,0.0015925333349988424,+,0.00151,3.26372e-4,0.407,1
DPEP2,---+++,++--++-+++++,NA,7.620419635881101e-4,0.0016503784107509264,+,0.00152,0.007092015934311431,0.41,1
EBF1,---++-,-++--+++++++,NA,7.636218464597189e-4,0.0027151439845681863,+,0.00153,0.013760638930338024,0.411,1
SHANK3,---++-,------++++-+,++-+----,7.955318585195066e-4,7.696430897277003e-4,-,0.00154,0.002997285,0.414,1
IPMK,++++-+,-+++++------,NA,7.954309245033888e-4,0.002538727600595106,+,0.00159,0.003786006,0.428,1
ISG15,---++-,++----++++++,++--+-+-,8.005842305689752e-4,0.0027020284319268116,+,0.0016,0.00197878300514643,0.431,1
EGR1,------,----+-------,+++-----,8.052566517645431e-4,0.0015136726571772358,+,0.00161,0.001833689,0.433,1
ENTHD1,++++--,------++++++,++++----,8.13170644204229e-4,0.001280212221126542,+,0.00163,0.007594675,0.437,1
COLEC11,+--+++,+++-++------,+--+++--,8.156913603231829e-4,0.0027308704913096915,+,0.00163,0.009992837782626733,0.439,1
PDE4B,+++---,++++++-----+,-----+--,8.185448915618264e-4,0.0020827859710528113,+,0.00164,0.014338818790589444,0.44,1
CHST6,+++-+-,++++++---++-,--+++--+,8.22887242113845e-4,0.0017458104626192007,+,0.00165,2.58333e-4,0.443,1
GIMAP1,---++-,++++++++++++,NA,8.329297565258473e-4,0.002294756511172486,+,0.00167,0.002590756808104264,0.448,1
