gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
P4HA1,-+--,++++----,+----+,0.5571924566015835,1.3370406683987136e-5,-,2.67e-5,7.94288e-4,0.00719,0.471
SEL1L,-+++,++++----,+-----,0.3521678975841232,1.442427698469517e-5,-,2.88e-5,6.01311e-4,0.00776,0.508
AP1G1,-+++,++++----,+-----,0.9666931791073128,1.4532398824933212e-5,-,2.91e-5,0.001502811,0.00782,0.512
ZNF10,++-+,--------,+--+++,0.578498891554736,1.50109693763341e-5,-,3e-5,0.003490946,0.00808,0.529
SCUBE1,-+--,-------+,NA,0.996887609993626,1.5506667982174067e-5,-,3.1e-5,3.81305e-4,0.00834,0.546
C19orf60,+-+-,++++-+++,NA,1.5842213347184342e-5,0.7245573911035147,+,3.17e-5,1.43341e-5,0.00852,0.558
HERC6,++++,++++++++,-++++-,1.606050501880034e-5,0.745319943250196,+,3.21e-5,0.00288934,0.00864,0.566
PCYOX1,++++,++++-+--,++-+-+,1.65887509074526e-5,0.9993771329837623,+,3.32e-5,3.21724e-4,0.00892,0.584
SNRNP25,+-++,++++++++,NA,1.7709918817388275e-5,0.99824021930138,+,3.54e-5,0.005229586,0.00953,0.624
MRPS10,++++,++++++++,+-+--+,1.797121461980377e-5,0.918474180164273,+,3.59e-5,0.002413109,0.00967,0.633
MACROD1,+-+-,++++++++,++++++,1.850122467118879e-5,0.9933855402052088,+,3.7e-5,0.006461049,0.00995,0.652
SLC39A11,----,--+-----,---+--,0.9999978427486421,2.0008889055571437e-5,-,4e-5,0.028178464,0.0108,0.705
COX6B1,+-+-,++++++++,++----,2.131956801524032e-5,0.5338382080806117,+,4.26e-5,1.16734e-4,0.0115,0.751
BCL11A,+--+,--------,--++--,0.9522864659137218,2.1727392944206897e-5,-,4.35e-5,0.007064712,0.0117,0.765
HNRNPU,----,----+---,+--+--,0.9915297411995834,2.1744154793900463e-5,-,4.35e-5,0.007816386,0.0117,0.766
ZNF331,++--,--------,-+++-+,0.7491437250291231,2.2408001614975477e-5,-,4.48e-5,0.001591073,0.0121,0.789
SAMD4A,++--,--------,NA,0.9982512272347777,2.2698993146459225e-5,-,4.54e-5,7.16375e-4,0.0122,0.8
ANKRD37,++++,-+-+----,++---+,0.029154786826272684,2.2816928781916552e-5,-,4.56e-5,6.06648e-4,0.0123,0.804
