gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
RBBP9,+++,++++++,--+-,1.3207009717952866e-6,0.9124657194203796,+,2.64e-6,5.578165506933493,2.26421e-4,7.11e-4,0.0465
PCYOX1,+++,++++-+,+++-,1.4474763153106223e-6,0.9993128871551511,+,2.89e-6,5.53835853812933,3.21724e-4,7.79e-4,0.051
HLA-DRB5,+-+,++++++,NA,1.6241195893010538e-6,0.9838298329554137,+,3.25e-6,5.488351999713283,0.001867568,8.74e-4,0.0572
SFPQ,---,----+-,+---,0.9998720634941513,1.6257816132974535e-6,-,3.25e-6,5.487907796724726,0.001122515,8.75e-4,0.0573
MCM6,+++,++++++,++--,1.626867768191686e-6,0.9928687288125749,+,3.25e-6,5.48761774941912,0.010518411,8.75e-4,0.0573
PPAP2C,---,++++++,----,1.9316608129707553e-4,1.7110108557763018e-6,-,3.42e-6,5.465717239336831,4.55243e-4,9.21e-4,0.0603
LINGO2,+++,-+----,++++,1.7125706562100138e-6,0.7203859372061379,+,3.43e-6,5.46532150594142,1.42322e-4,9.21e-4,0.0603
ARL4D,---,------,----,0.9999790555661685,1.7189655926560335e-6,-,3.44e-6,5.463702820533883,0.0028408799361372174,9.25e-4,0.0605
NLN,+++,++++++,++++,1.964102797815817e-6,0.999990233229848,+,3.93e-6,5.40580579005218,0.002119382,0.00106,0.0692
HLA-A,++-,++++++,+-+-,2.1746296742201394e-6,0.5444895506853578,+,4.35e-6,5.361584694372319,0.00774014,0.00117,0.0766
IER2,---,----+-,----,0.9999513486191529,2.396452070557046e-6,-,4.79e-6,5.3194012568837605,0.003913232,0.00129,0.0844
KLK2,-+-,++++++,NA,2.4734952318572315e-6,0.8949008375405539,+,4.95e-6,5.305658926822028,0.001113167,0.00133,0.0871
GRASP,++-,------,++--,0.7490447444280746,2.5951106723334537e-6,-,5.19e-6,5.284814120625987,0.00157049,0.0014,0.0914
NEUROD6,+--,-+----,----,0.9981018180713608,2.7596215525584645e-6,-,5.52e-6,5.258120476221825,2.46816e-4,0.00148,0.0972
FMNL1,++-,------,+---,0.9512416323873729,2.7714785576830902e-6,-,5.54e-6,5.256258481434938,0.001258154,0.00149,0.0976
MAF,---,--+--+,----,0.9969132429101613,2.78189767401919e-6,-,5.56e-6,5.254628852952499,0.001806367,0.0015,0.098
RGS10,---,+++--+,----,0.5247031942738369,2.8701426999718943e-6,-,5.74e-6,5.241066514476694,4.305647467464804e-4,0.00154,0.101
MMAB,+++,++++++,-++-,3.0753959351299353e-6,0.8870010597086178,+,6.15e-6,5.211068968330981,0.008506461,0.00165,0.108
DGAT2,+++,++++++,-+++,3.1001192168679623e-6,0.9998904775221616,+,6.2e-6,5.207591609136466,0.017785166,0.00167,0.109
CHURC1,+++,++++++,----,3.1362008572068626e-6,0.6773927611236125,+,6.27e-6,5.202566135150409,0.004305976,0.00169,0.11
ZNF106,+++,------,++++,3.555678466988076e-6,0.6316664839451117,+,7.11e-6,5.148047522658294,3.28e-6,0.00191,0.125
FOS,-+-,------,--+-,0.972168855401895,3.6169194443628052e-6,-,7.23e-6,5.140631168026239,0.019294293,0.00195,0.127
PTGS2,+-+,------,NA,0.9195317666476199,3.895315811618523e-6,-,7.79e-6,5.1084273305987615,2.67881e-4,0.0021,0.137
ITIH5,---,+++-+-,----,0.9915046888160196,3.945127256318462e-6,-,7.89e-6,5.1029089877093305,0.008163561944948572,0.00212,0.139
NFIL3,+-+,------,----,0.26657886308477324,4.0954402000480055e-6,-,8.19e-6,5.086669415412457,0.004388214,0.0022,0.144
CORT,---,+---+-,----,0.9428848390370292,4.504794045800116e-6,-,9.01e-6,5.045295064030296,0.001221536,0.00242,0.159
P2RY12,---,+++--+,----,0.7782820825865154,5.243297933403614e-6,-,1.05e-5,4.979365468545433,0.005457428713355311,0.00282,0.185
ATPIF1,++-,+-++++,++++,5.567339254612681e-6,0.8951297496562196,+,1.11e-5,4.9533223178023755,7.26311e-4,0.003,0.196
ELAC2,+++,++++++,++++,5.780080925806965e-6,0.9999839931739355,+,1.16e-5,4.937036085398989,0.001522472,0.00311,0.204
SPRY2,+--,------,++--,0.8977120071197182,5.924506450176558e-6,-,1.18e-5,4.92631782769486,0.00653533,0.00319,0.209
VSTM2L,++-,---+-+,++++,6.437415730816502e-6,0.5590577875094489,+,1.29e-5,4.890258447394488,1.43539e-4,0.00346,0.227
DDX39A,---,++++++,+-++,6.572020751395944e-6,0.4569284811446631,+,1.31e-5,4.881271078270116,0.004015262,0.00354,0.231
DDX39A,---,++++++,--+-,6.572020751395944e-6,0.4569284811446631,+,1.31e-5,4.881271078270116,0.004015262,0.00354,0.231
FIG4,+++,++++++,++-+,7.04217654584747e-6,0.9935460515331468,+,1.41e-5,4.851263095796363,3.96231e-4,0.00379,0.248
TOMM34,+++,++++-+,++-+,7.201699900307862e-6,0.9991961641134376,+,1.44e-5,4.841534984267676,0.0024112383560317653,0.00387,0.254
EPHB3,+--,----+-,++++,0.16767772676081258,7.321563773209244e-6,-,1.46e-5,4.834366154760708,0.0014442643637351503,0.00394,0.258
KLF4,-+-,------,NA,0.8339564502658261,7.353506735267321e-6,-,1.47e-5,4.832475509798042,2.45318e-4,0.00396,0.259
IP6K3,--+,++++++,NA,7.385437439543069e-6,0.2908735770797436,+,1.48e-5,4.830593780659151,0.005503084,0.00397,0.26
HYAL2,+++,-++++-,++++,8.247804404016034e-6,0.9889742202524104,+,1.65e-5,4.7826316511953495,0.002921920745203559,0.00444,0.29
ZBED6CL,---,------,NA,0.9998130525629767,8.403605703926315e-6,-,1.68e-5,4.774504337164011,0.008629982,0.00452,0.296
