gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p
ZNF326,-+-,+---++,++-+,0.8168789598571119,0.14223695479822013,-,0.284,0.5459575585760661,0.052612156,76.5,1
UNC93A,-+-,NA,NA,0.7541374504922099,0.14224827152328456,-,0.284,0.5459230064039562,0.08544024260908895,76.5,1
CAPZA1,---,--+---,++--,0.14224923527353722,0.16902935215156323,+,0.284,0.5459200640132029,0.001636423,76.5,1
RUVBL2,++-,-++++-,+-++,0.14228699921780386,0.5708068565246013,+,0.285,0.5458047839840319,0.018529026,76.6,1
HDAC11,-+-,-+++++,-+-+,0.14235032345281523,0.5831511745702939,+,0.285,0.5456115460345468,0.036071536,76.6,1
PCDHA1,---,----+-,NA,0.9911126397460769,0.14235935259966792,-,0.285,0.545584000018478,0.09718751,76.6,1
TNFSF13,+--,--+---,NA,0.9216356771007758,0.1423600876293477,-,0.285,0.5455817576753931,0.088935745,76.6,1
PTPRT,+-+,-++--+,+---,0.5895890047078945,0.14244213138569345,-,0.285,0.5453315408634285,0.083158427,76.6,1
C22orf39,++-,++++-+,+-++,0.1424867512192583,0.9894483164916121,+,0.285,0.5451955199203643,0.146545131,76.7,1
MTFMT,+++,++--+-,++++,0.14248685324656205,0.9805043425888337,+,0.285,0.5451952089449313,0.106774438,76.7,1
TMEM230,++-,++++--,---+,0.14248843248872128,0.6002047920434644,+,0.285,0.5451903955018738,0.007231367,76.7,1
CCDC61,-+-,++++++,NA,0.14249376344254772,0.767412294047076,+,0.285,0.5451741474424271,0.17974717,76.7,1
DYRK1A,+-+,-++---,-+-+,0.29704813942017394,0.14250768394584762,-,0.285,0.5451317224103532,0.016869757,76.7,1
CDK13,---,++++++,+-+-,0.34092284758300856,0.1425391160216801,-,0.285,0.5450359432109678,0.030389139,76.7,1
SOX14,++-,NA,NA,0.14254059970753927,0.5286476586361724,+,0.285,0.5450314226748092,0.07128686525762427,76.7,1
BEND7,+-+,-+---+,NA,0.8006778763816444,0.14258311383581918,-,0.285,0.5449019094103931,0.01822499,76.7,1
ERGIC1,+--,+++-+-,--+-,0.6817510494969956,0.14259449899649335,-,0.285,0.5448672326879821,0.014578558,76.7,1
SPINK1,-++,NA,NA,0.14262285908777828,0.5979735859597373,+,0.285,0.5447808660567599,0.04460555967556758,76.7,1
ESD,+-+,+++++-,+-++,0.14263721764005202,0.9527142413871368,+,0.285,0.5447371456729095,0.078363109,76.7,1
ZCCHC6,---,+---++,+--+,0.3417216222986157,0.14273372942710125,-,0.285,0.5444433909050685,0.023597566,76.8,1
PNPLA8,---,------,-+-+,0.5722215523176893,0.14275398836793848,-,0.286,0.5443817536038387,0.027624251,76.8,1
OSR2,+++,NA,NA,0.14277318218314494,0.9380531312095716,+,0.286,0.5443233649886515,0.23559931530585457,76.8,1
CAPN5,+++,--++++,----,0.16822940026004374,0.14281598558937314,-,0.286,0.5441931829973964,0.038170330148584806,76.8,1
TRIM49B,-++,NA,NA,0.14287135919684069,0.6756391328030485,+,0.286,0.5440248279553809,0.056348832808978906,76.9,1
MVB12B,-+-,---+-+,-+++,0.8849764683179719,0.1428792493789494,-,0.286,0.5440008443665516,0.090501966,76.9,1
C16orf59,++-,-+++++,NA,0.1429445685894083,0.8867893643326992,+,0.286,0.5438023460513304,0.134334212,76.9,1
FPR3,+++,NA,NA,0.14300636835100283,0.956215580596782,+,0.286,0.5436146264645475,0.20671483104669686,76.9,1
GLRX3,+++,++-++-,NA,0.14305087113132714,0.9629681003838936,+,0.286,0.5434794974804665,0.11395859092746452,77,1
ASPSCR1,-+-,++++++,+-+-,0.5107199688254981,0.14306492317309716,-,0.286,0.5434368383590438,0.003205431,77,1
COX11,+-+,++++-+,-+-+,0.14312133360658866,0.8740275610075511,+,0.286,0.5432656299957905,0.112847846,77,1
TIAF1,---,+--+++,-+--,0.4758772797173643,0.14325756217650315,-,0.287,0.5428524478687191,0.061005974,77.1,1
RNF183,---,NA,NA,0.9374706463223117,0.1432863962473187,-,0.287,0.5427650443306571,0.2563139373143443,77.1,1
IFNA2,-++,NA,NA,0.46178035194197914,0.14328745119388173,-,0.287,0.5427618468478783,0.029234481513610886,77.1,1
APOL1,++-,++++++,--+-,0.1432889291278175,0.9178385906638538,+,0.287,0.5427573673541237,0.147635387,77.1,1
SMEK2,+-+,-----+,-+-+,0.14332654593037303,0.19243120691948626,+,0.287,0.5426433695327068,0.00918118,77.1,1
FAM19A2,+-+,+++---,-+-+,0.14334503796610834,0.9131622427474162,+,0.287,0.5425873403373398,0.052245589,77.1,1
ANKRD7,-+-,++++-+,NA,0.14339442662311885,0.6561309485541961,+,0.287,0.5424377325988228,0.04414723,77.1,1
INPP5A,+-+,++-+++,--++,0.1434881240614791,0.5033993587762087,+,0.287,0.5421540465970208,0.05814043092848863,77.2,1
PNLIPRP1,-+-,NA,NA,0.14363134651352802,0.44977846895876583,+,0.287,0.5417207724227268,0.03439317612626252,77.3,1
GTF2B,+--,-+----,--++,0.8338366890019531,0.14363643972835008,-,0.287,0.5417053724704973,0.08100454357352231,77.3,1
ZBTB9,+--,------,NA,0.5154504217593223,0.14364693056853578,-,0.287,0.5416736538645752,0.04048509106481126,77.3,1
CARD9,-+-,++++++,NA,0.14366109446059566,0.8520097738002046,+,0.287,0.5416308336184771,0.12910576000000001,77.3,1
UACA,-+-,+--+++,-+-+,0.14371268523528505,0.6622338274186512,+,0.287,0.541474900192476,0.089453745,77.3,1
