gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
OR5K4,++-+,NA,NA,0.32922655715263516,0.31888438943706154,-,0.638,0.14555838003647242,172,1
ALOX12B,++++,--+++--+,NA,0.32455084069139717,0.3189796328660145,-,0.638,0.11748815410261838,172,1
MAP1LC3C,---+,NA,NA,0.3294929561398506,0.31901665525895506,-,0.638,0.37082319165122357,172,1
SPRYD7,+++-,+-++++++,-+-+-+,0.32254726871184647,0.3190967860855931,-,0.638,0.044455913,172,1
CSN2,+++-,NA,NA,0.3294929561398506,0.3191877709331508,-,0.638,0.09580130010176768,172,1
ADAM20,---+,+++-----,NA,0.3255314734626957,0.3192250780447424,-,0.638,0.053444181,172,1
LARP4B,++-+,-------+,NA,0.3257747191307028,0.31927819726854795,-,0.639,0.103974358,172,1
APOL5,---+,NA,NA,0.3294929561398506,0.3193018480492813,-,0.639,0.3404730141546395,172,1
LRR1,-+++,++++++--,NA,0.3208439684246245,0.31942793385301377,-,0.639,0.126760231,172,1
UFSP2,++++,++++++--,---+-+,0.31966306961833996,0.3194594495549383,-,0.639,0.032063527,172,1
TMPRSS15,+---,NA,NA,0.32954999144470426,0.31947296372347705,-,0.639,0.09847543292009192,172,1
ASB7,-+-+,++++----,NA,0.31954230033058595,0.32291181095502575,+,0.639,0.078502628,172,1
NDUFAF7,-++-,-++-----,++++++,0.32016560826070056,0.31959707602956705,-,0.639,0.010072566,172,1
SYT9,-+--,+++-----,+-+--+,0.31961796074501825,0.3206429502165734,+,0.639,0.028556648,172,1
ACRV1,++++,+-++---+,NA,0.32660775035871153,0.3196301769682616,-,0.639,0.02333593,172,1
CHD8,++++,+-+-++++,+-++--,0.32651872526570225,0.31971139146520333,-,0.639,0.031688109,172,1
CPEB3,++++,-----++-,++----,0.32284274479658087,0.3197293575090566,-,0.639,0.074466667,172,1
NDUFAF5,+-+-,+++++-+-,+--+++,0.31981568933329513,0.3219370880392988,+,0.64,0.053816573,172,1
CLDN16,+---,+-----++,NA,0.32588672368410204,0.3198497082661313,-,0.64,0.20673828886599233,172,1
MIPOL1,++--,++--++--,NA,0.3236588137379045,0.31989849484107136,-,0.64,0.189261647,172,1
GPRC5C,+-+-,+-+-++++,++++--,0.3321061281869993,0.3199432604162785,-,0.64,0.045014133,172,1
DDX59,-+--,++++-+--,--+++-,0.33096287917851563,0.3199858110664113,-,0.64,0.02714382,172,1
POU4F2,+--+,NA,NA,0.3300250969655487,0.3200250955341356,-,0.64,0.0979878148913817,172,1
C7orf62,-+++,NA,NA,0.3300633091883876,0.3200433493041296,-,0.64,0.09655048858372779,172,1
COL18A1,----,-++-++++,+--+--,0.3333268166831818,0.32006183670997584,-,0.64,0.04384267640693104,172,1
CAV2,--++,-+-++---,+-++--,0.3296604269500989,0.32008035203333635,-,0.64,0.035285815,172,1
MAP2K1,+++-,+-++-+++,-+---+,0.3270867655643907,0.32009642792044746,-,0.64,0.113720506,172,1
TFAP2B,-++-,NA,NA,0.3301203444932413,0.32015742642026007,-,0.64,0.1353502337597773,172,1
CMTM7,---+,+-+--+++,++++++,0.3306509126106601,0.32019286387229245,-,0.64,0.028237875,172,1
SRSF6,-+-+,--+-+---,+---+-,0.3216362918159425,0.3201936188727977,-,0.64,0.012835979,172,1
HFE2,+++-,NA,NA,0.3301391740816792,0.32019620144869676,-,0.64,0.3360085450358952,172,1
WBSCR28,++-+,NA,NA,0.33059548254620125,0.32019620144869676,-,0.64,0.23322957955938783,172,1
DNAH12,-+-+,+++++--+,NA,0.32020382846775086,0.32249431264460354,+,0.64,0.09171934,172,1
TIMM44,+---,--+---++,+-----,0.32342101904099935,0.3203131991328998,-,0.641,0.032831835,172,1
WDR93,+--+,++--+---,NA,0.32524763899506653,0.32035620497917294,-,0.641,0.069188659,172,1
CFHR4,+-++,NA,NA,0.33063366223692464,0.3203855806525211,-,0.641,0.26362623245674305,172,1
KDM3B,++++,-+--++--,NA,0.32050985197650145,0.3227154828324649,+,0.641,0.038053589,172,1
CNTNAP5,-+-+,-+-+++++,NA,0.3206398204443644,0.3231506225126919,+,0.641,0.046032215,173,1
MAPK7,+++-,+-+-++++,++--+-,0.3322501919449304,0.3206951773173576,-,0.641,0.108029213,173,1
LIG3,++--,+-+-++--,++----,0.3257602436802428,0.3207460653567339,-,0.641,0.063707068,173,1
XPO4,-+-+,-++-++--,NA,0.3248032987977815,0.3207741980928021,-,0.642,0.035290605,173,1
CLK3,+---,+-+-++-+,++++--,0.3218996771308891,0.32078518775857734,-,0.642,0.101443352,173,1
SMYD4,-+-+,--+-+++-,++++--,0.3208354808711117,0.3244389556229672,+,0.642,0.041905618,173,1
UTP15,-+++,+++--+--,NA,0.32749822577150406,0.3208418294971802,-,0.642,0.10486058533400901,173,1
ANGPT4,+-+-,NA,NA,0.3310329093709006,0.32084188911704314,-,0.642,0.08131058879953888,173,1
C14orf166,++++,++++++++,---+--,0.3301711115996585,0.32089962930027793,-,0.642,0.050996558,173,1
PRDX6,-++-,+++--+--,----++,0.3209119203536445,0.32450629739557463,+,0.642,0.05035515,173,1
NT5C,----,+-+-+++-,++--+-,0.32936458493697857,0.3209405025473243,-,0.642,0.031383623,173,1
UBE2E1,-++-,++++++++,-+-+++,0.32095589703019434,0.3240099509196803,+,0.642,0.009486517,173,1
GPR137,+-+-,--+-++++,++--++,0.3324324641421808,0.320987824918105,-,0.642,0.050852755811229174,173,1
CD300E,-+--,NA,NA,0.3311658681268538,0.3209946957166486,-,0.642,0.3794748155160437,173,1
CCDC37,----,--+--+-+,NA,0.32834783901305525,0.32106116564195925,-,0.642,0.047076198426552744,173,1
SPINK2,----,NA,NA,0.33133698380104953,0.321108766326356,-,0.642,0.09124460590951365,173,1
OR51E2,----,NA,NA,0.33139402235911475,0.321108766326356,-,0.642,0.1030045329700576,173,1
RFNG,+---,-+--++++,+-++-+,0.3211584239877742,0.32565104296225045,+,0.642,0.024631742,173,1
MCOLN3,-+-+,++++++-+,NA,0.32118361737888973,0.3232464265999093,+,0.642,0.082256177,173,1
GNPTAB,++-+,+--+--+-,-++---,0.3212111063127067,0.3232161587769979,+,0.642,0.026872191,173,1
ZNF486,++--,++++----,+++-++,0.33173103354770983,0.3212891113960469,-,0.643,0.107085674,173,1
APOM,++-+,+++-++-+,NA,0.3271589642836164,0.3213181000091385,-,0.643,0.140765753,173,1
POLQ,+-+-,-+--+-++,NA,0.32134028709138196,0.3240879132389326,+,0.643,0.040271971,173,1
RSPH9,+-++,NA,NA,0.331717333029145,0.3214122746976956,-,0.643,0.31789258981960017,173,1
CDC42EP4,-+--,-++--+--,++++--,0.3214168978762528,0.33837389676329227,+,0.643,0.010420037,173,1
SRBD1,-+--,+-+-+--+,----++,0.325967709669624,0.3214869339517686,-,0.643,0.104640918,173,1
