gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
HS1BP3,----+-,-++-+-++++++,NA,0.02945821733034069,0.01937446335147164,-,0.0387,0.06156315802709856,10.4,1
BLOC1S1,---++-,++++++++++++,--++--+-,0.022310183577734486,0.01937740881014088,-,0.0388,7.59363e-4,10.4,1
ALAS1,++++--,-+++-+-+++--,-+-----+,0.023117740018423028,0.019387292952906705,-,0.0388,0.002269006,10.4,1
BSCL2,++++--,+--+-+++++++,++-+--+-,0.020900105850954205,0.019437262641780872,-,0.0389,0.005203652,10.5,1
PIGY,+-++++,NA,------++,0.019438306538375052,0.035505789304251086,+,0.0389,0.011927247,10.5,1
SPHK2,++-++-,+-++++++++--,++------,0.024781338282968725,0.01945609775078181,-,0.0389,0.026874813,10.5,1
LLGL1,------,-+++++---+-+,--+---+-,0.01946378869160051,0.019966017759685217,+,0.0389,0.024073502,10.5,1
UBR7,++++-+,---+-+------,NA,0.031422909931358114,0.019491445496331528,-,0.039,0.00131274,10.5,1
OPALIN,------,-++++----+++,NA,0.028850783853401195,0.01949796436187876,-,0.039,0.054897899,10.5,1
TNFRSF18,++----,NA,NA,0.01950607425996692,0.025610312571298196,+,0.039,0.03131689112642813,10.5,1
PITHD1,++-+--,++++-+++++--,----+--+,0.01952649961124967,0.022395306300100337,+,0.0391,0.007799719,10.5,1
PRLR,-+---+,+-+-------+-,NA,0.030524403919924396,0.019538431016619538,-,0.0391,0.063658728,10.5,1
METTL9,++++-+,++++-++-+-++,-+++-+++,0.019673886409786213,0.01957398341842165,-,0.0391,0.019618914,10.5,1
WDR76,----++,-++-+-------,NA,0.03257526475234821,0.019641491004992226,-,0.0393,0.013106159,10.6,1
MS4A5,--+-++,NA,NA,0.019678302532511977,0.026008099013289227,+,0.0394,0.016826783052856616,10.6,1
PCGF1,++-+++,--+++-++++-+,+-++++++,0.019706985475589925,0.02015885293349436,+,0.0394,0.012436533,10.6,1
CELA2B,++----,NA,NA,0.01973421547938174,0.026009582477754964,+,0.0395,0.008273051706180399,10.6,1
PRUNE2,--++--,++++++---+++,--+--++-,0.02207712520959259,0.019755053675889377,-,0.0395,0.013427341,10.6,1
TSPAN3,+-++--,++++++------,++--++++,0.025095777437868574,0.01977169363197049,-,0.0395,0.004209717,10.6,1
PARP14,++-+++,++++++++--++,NA,0.024780567606528834,0.01984357257137845,-,0.0397,0.011203247,10.7,1
RFX6,++++-+,NA,NA,0.019849418206707735,0.02629327553755775,+,0.0397,0.040424033436696434,10.7,1
MBOAT2,--+-+-,++++++------,--+-----,0.025426733373442652,0.01987401713412588,-,0.0397,0.01077439,10.7,1
UQCRFS1,++-+++,+-++-+++++--,-+----++,0.02571252666894483,0.019896793978724927,-,0.0398,0.002088144,10.7,1
MRPS33,----+-,++++-++++++-,-+----++,0.024543410468198357,0.01994033267128421,-,0.0399,0.002391011,10.7,1
ZNF688,----+-,++--+--+++++,-+++--+-,0.025284175818354893,0.019949048019001242,-,0.0399,0.004072378,10.7,1
THAP5,-+++++,++++-+------,NA,0.029212527788584016,0.01996184142400288,-,0.0399,0.008161931,10.7,1
LHFP,+++++-,-+-----+-+-+,+---++-+,0.0201825091362663,0.019963217530461222,-,0.0399,0.0024400994657387187,10.7,1
ZMYND8,-+----,------+---++,++++----,0.022726106434443255,0.019970273630952343,-,0.0399,0.003004373,10.7,1
NDE1,----+-,+-++++---+++,--++++--,0.020831595190888588,0.01997097202309007,-,0.0399,0.012692884,10.7,1
TTC4,+++++-,--+--++-+-+-,---++-+-,0.020673359804879596,0.0200013708730639,-,0.04,0.011812453,10.8,1
NUDT1,-+-++-,+-+--+++--++,--+-----,0.025523852252755972,0.020015655099573475,-,0.04,0.001228745,10.8,1
UGT2B4,-+-+++,NA,NA,0.02002053388090349,0.026464381452118862,+,0.04,0.024537899042398593,10.8,1
CALCOCO1,++++--,+-+-+-+++++-,+-+++++-,0.020863659637173383,0.02002207256517213,-,0.04,0.002503558,10.8,1
LY86,-+--++,+++--+++++++,----++++,0.023114312565527064,0.020039128003947117,-,0.0401,0.007672378,10.8,1
DLG1,-++---,++++------++,---+-+-+,0.020044945189345745,0.02134854043590469,+,0.0401,0.077976592,10.8,1
BAP1,++++-+,------+++++-,++++-++-,0.025539775383012157,0.020070911605571517,-,0.0401,7.89107e-4,10.8,1
ADAMTS2,+-++++,++-+----+++-,NA,0.02441149673988219,0.02008299276559037,-,0.0402,0.01783845234047453,10.8,1
JARID2,-+++--,------+--+-+,+-++-+++,0.025062437004525852,0.020122927963255512,-,0.0402,0.009405056,10.8,1
FAM43B,++-++-,--+-+-----+-,-+-+----,0.02012440078266734,0.0260790286686304,+,0.0402,0.003739818,10.8,1
NUPL2,------,+++--+++++++,+-+---++,0.020325668254721225,0.020133840841202427,-,0.0403,0.004841763,10.8,1
MAP1LC3C,----++,NA,NA,0.020134610997033994,0.02669252267153368,+,0.0403,0.02617053846062071,10.8,1
SBK1,++-++-,------+-++-+,++------,0.02634184663708179,0.02017985448450668,-,0.0404,0.004101951,10.9,1
RPH3A,++++--,----+-++++-+,++-+-+--,0.025010493991619837,0.02018516910864197,-,0.0404,6.90169e-4,10.9,1
CXCL14,+-++++,-+----+-----,++-+----,0.022513950877191626,0.020201789309635187,-,0.0404,0.003978315,10.9,1
EPN2,-+----,----+-+--+++,+-++--++,0.020228042952327538,0.022142082476686663,+,0.0405,0.006670037,10.9,1
RALGAPA1,--+---,----+-+---++,+-+++++-,0.020622485203625546,0.020228514856413204,-,0.0405,0.02621283342043319,10.9,1
S1PR5,----+-,++++++---++-,NA,0.03108483886037396,0.020234770145278993,-,0.0405,0.017677775,10.9,1
RIMBP2,-+-+-+,------+++---,++------,0.02525179051482119,0.020238263944433493,-,0.0405,0.031848637,10.9,1
KRTAP10-11,+-+++-,NA,NA,0.0202486881131645,0.02680659328124109,+,0.0405,0.009076388869854636,10.9,1
HLA-DRA,------,++++++++++-+,----+++-,0.022137505071901525,0.020250542394128074,-,0.0405,0.015382539,10.9,1
FARP1,++---+,------------,++++---+,0.020265728187961643,0.02255871721198252,+,0.0405,0.012253946,10.9,1
FST,--++++,+-+--+-+----,NA,0.031187257470485764,0.020272870790684017,-,0.0405,0.012445485,10.9,1
MRPL55,++-++-,--+---++++-+,++-+----,0.023604383938305315,0.02027353162416687,-,0.0405,0.002288294,10.9,1
C19orf70,-+-++-,+++---++++++,NA,0.024909472597708267,0.020317958560297555,-,0.0406,1.45234e-5,10.9,1
NAB2,+--+--,-+-----++-+-,+++---+-,0.021358330564172176,0.02034033326380605,-,0.0407,0.001542884,10.9,1
MYO1E,--+-+-,++++++---++-,+++++-+-,0.02149673204297764,0.020348577781912812,-,0.0407,0.002695037,10.9,1
TDRD3,+++-+-,+++--++--+++,+-++++++,0.02216443057730883,0.020362590729857695,-,0.0407,3.85768e-4,11,1
OR2A12,++++++,NA,NA,0.020362765229295005,0.027148805110363314,+,0.0407,0.07949513385567478,11,1
MAPK1IP1L,+++--+,------------,NA,0.021176699737236286,0.020367181748611275,-,0.0407,0.037330675,11,1
SLC9A2,-+++-+,+++--++++++-,NA,0.033420399803118034,0.02037143426529281,-,0.0407,0.02637412,11,1
SCN2B,++++--,++++--++++++,++-+++++,0.026284340966545833,0.020378814234537995,-,0.0408,0.009017416,11,1
ACYP1,---+++,+++-+++--+++,-+--+-+-,0.02553380768440334,0.020379183109519222,-,0.0408,0.001529307,11,1
MLKL,--+-+-,++++++++-+++,NA,0.02822668742990045,0.0204026394301787,-,0.0408,0.025299669,11,1
IFNK,+----+,NA,NA,0.02041863913762619,0.027150353639060005,+,0.0408,0.013296522353435695,11,1
AGPS,-+++-+,-+++++------,+----+-+,0.020777168705501822,0.02042831502308339,-,0.0409,5.44e-5,11,1
SLC7A6OS,++++-+,+++++++---+-,---+---+,0.021382967757168594,0.020465665743004915,-,0.0409,0.025432959,11,1
TREH,--+-+-,NA,NA,0.020475674442479896,0.027321469313255763,+,0.041,0.024283826176141842,11,1
TEX36,-+++++,NA,NA,0.020476842345425506,0.02749101693948554,+,0.041,0.06295276323057016,11,1
VWC2L,--++-+,--------+--+,NA,0.03359852363623367,0.020500365083904147,-,0.041,0.006410831,11,1
SLC35G4,+-++++,NA,NA,0.02053388090349076,0.02749101693948554,+,0.0411,0.08782728151558823,11,1
DHRS13,+-+++-,++++++++++++,-++++---,0.024956871780551712,0.020538810780486638,-,0.0411,9.15637e-4,11,1
GPR132,+-+-+-,+-++-+++++++,NA,0.03216691308635815,0.020554040521624264,-,0.0411,0.004110871,11.1,1
CHD7,----+-,--+-+-----++,--++---+,0.020566305206574827,0.02290154362464402,+,0.0411,0.006860206,11.1,1
DOK4,-+-++-,------+++--+,+++-+-+-,0.025943972769427857,0.02058017423067506,-,0.0412,0.016060961,11.1,1
DDX55,----+-,+++-++++++++,-+-+++++,0.02058083310663369,0.02806460857925123,+,0.0412,1.07752e-4,11.1,1
OR2T6,++++-+,NA,NA,0.02059091946155601,0.02749101693948554,+,0.0412,0.030751623580556043,11.1,1
PLLP,----+-,++++++---++-,--+-++++,0.022315948503365587,0.020623161022564375,-,0.0412,0.008954076,11.1,1
