gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
TOX,--,---+,+-,0.17102561615457523,0.6445446227584362,+,0.342,0.46590884060239024,0.048920438,92,1
PRPSAP1,-+,++++,-+,0.8881280323260383,0.1710339290436318,-,0.342,0.4658877317522071,0.057713858,92,1
CRYAB,-+,+++-,+-,0.17110268595247993,0.1861670670154613,+,0.342,0.4657131772310092,0.020953590931103452,92.1,1
EQTN,--,+++-,NA,0.17115022882925815,0.4831368576992083,+,0.342,0.46559252020645436,0.022243971,92.1,1
SEC23B,--,-+--,--,0.17117459143071737,0.6936860115285668,+,0.342,0.4655307043942771,0.0670748965418549,92.1,1
UQCRH,++,-+-+,-+,0.9021256401249783,0.17123332065466765,-,0.342,0.4653817254879028,0.131085955,92.1,1
NPIPA5,++,++++,++,0.17133946741147196,0.45146017492973667,+,0.343,0.46511259172227265,0.028407865,92.2,1
RCE1,-+,+--+,++,0.6437865342651113,0.1713602983481116,-,0.343,0.4650597947159686,0.131325562,92.2,1
JUND,++,+--+,-+,0.8495005552683668,0.17136391773591414,-,0.343,0.4650506218587452,0.008161399,92.2,1
MCF2L,-+,--++,--,0.9259343159426732,0.17136459409990062,-,0.343,0.46504890772562263,0.13398206,92.2,1
STK11,++,+-++,++,0.4107638182418633,0.17136901100421484,-,0.343,0.46503771397547794,0.040889045,92.2,1
LCE1D,++,NA,NA,0.7498283683431592,0.1714030308409164,-,0.343,0.4649515072514772,0.13854911547216645,92.2,1
CNFN,++,NA,NA,0.3973817329855554,0.17140348963285865,-,0.343,0.4649503447834554,0.09467527509414414,92.2,1
FAF2,+-,-++-,NA,0.1714144190174755,0.9279465362691982,+,0.343,0.4649226532812816,0.08592347439468943,92.2,1
POMT1,-+,+-+-,-+,0.9576415656871451,0.17146901284399302,-,0.343,0.46478435673149393,0.161097691,92.3,1
KLHL20,+-,+++-,--,0.17147201887649477,0.9091705108586835,+,0.343,0.46477674315827167,0.07825206,92.3,1
C16orf74,++,--+-,NA,0.7545849627166236,0.17153932358574644,-,0.343,0.46460631110200545,0.129399822,92.3,1
ZNF30,--,++++,--,0.2160068882260357,0.17154524960452475,-,0.343,0.46459130817003796,0.00207997,92.3,1
DCTN2,+-,++-+,--,0.4886632196235463,0.17155250293017452,-,0.343,0.4645729455938781,0.006023127,92.3,1
CHMP4A,-+,++++,++,0.459482378106493,0.17159268595645355,-,0.343,0.464471231991449,0.04006646781246619,92.3,1
SCN4A,-+,NA,NA,0.8807236400351561,0.171607168694976,-,0.343,0.464434578284627,0.21515047020579495,92.3,1
TRPC3,--,+-++,NA,0.6970901816902355,0.17162895991540025,-,0.343,0.46437943370042933,0.010762747,92.3,1
TMEM95,-+,NA,++,0.8343766427983778,0.17164373885803103,-,0.343,0.46434203828122006,0.15256797940852207,92.3,1
TVP23C,-+,++++,NA,0.26254853535240924,0.17166031657290498,-,0.343,0.46430009522820903,0.009727659,92.4,1
PAIP2B,-+,++++,--,0.9144171444079208,0.17168316353863444,-,0.343,0.4642422970655297,0.184049438,92.4,1
E2F3,+-,----,-+,0.17169520618020404,0.884882651026152,+,0.343,0.4642118347345003,0.085812188,92.4,1
CNR1,+-,+-+-,--,0.1717120440797333,0.6202102838380523,+,0.343,0.46416924619361927,0.021394858,92.4,1
ZNF18,+-,-++-,+-,0.1717439148290081,0.25101281855642976,+,0.343,0.46408864610371037,0.002900001,92.4,1
FITM1,++,NA,NA,0.4371467091647579,0.17174739998057484,-,0.343,0.4640798331758207,0.09735605656214649,92.4,1
CCDC84,++,+-++,++,0.171764343361685,0.17816072100634114,+,0.344,0.4640369908738062,0.005661354,92.4,1
PTGS1,++,+++-,NA,0.17176612955475756,0.6283679199950105,+,0.344,0.464032474629361,0.058103787,92.4,1
HSPA9,--,-++-,++,0.17178996404991723,0.33830715435456393,+,0.344,0.4639722155337659,0.025521723,92.4,1
METTL25,-+,--++,-+,0.9918246006462781,0.17182217656788018,-,0.344,0.4638907881498827,0.198046725,92.4,1
RFNG,-+,--++,++,0.33678133317419634,0.17189835156742767,-,0.344,0.4636982923296095,0.015586236,92.5,1
ULBP2,++,+++-,NA,0.17191611841323795,0.6897727714622637,+,0.344,0.4636534074060429,0.092665815,92.5,1
PHKB,--,-+++,++,0.4841595395433055,0.1719666623160047,-,0.344,0.4635257421697843,0.039019781,92.5,1
