gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_Correction
PCDHGB4,-+-+,-++-++--,NA,0.18060052685740885,0.5029289941620498,+,0.3612010537148177,0.022385812,97.16308344928596,1
RDH13,----,+-----+-,+-++--,0.18060302917968254,0.7982323509657767,+,0.3612060583593651,0.005590075,97.16442969866921,1
KIAA0226,-+-+,----+-++,NA,0.5958899228941552,0.1806664837858081,-,0.3613329675716162,0.084432133,97.19856827676476,1
PRLR,---+,+-+-----,NA,0.18069352868717586,0.41582580750577447,+,0.36138705737435173,0.013401649993100473,97.21311843370061,1
PKP3,----,NA,NA,0.48898873075907145,0.18070417046648313,-,0.36140834093296625,0.009496428617190454,97.21884371096792,1
ASB17,--+-,NA,NA,0.7874676171484164,0.18073317770223746,-,0.3614663554044749,0.07225370767365485,97.23444960380375,1
BRINP3,-+--,--------,-++--+,0.1807682409362305,0.2941539782146642,+,0.361536481872461,0.00588221,97.25331362369201,1
RPL9,+-++,++++++++,-+--++,0.18177155772874767,0.180787589822628,-,0.361575179645256,0.012730986,97.26372332457386,1
ELF2,-+--,++++++-+,--++--,0.18079751446236025,0.9111005770961687,+,0.3615950289247205,0.0872453292758565,97.26906278074982,1
SAP130,++++,----++-+,-+-+--,0.38076637757800846,0.18081782284601755,-,0.3616356456920351,0.004490896,97.27998869115744,1
CCDC93,++++,----++--,NA,0.6880992011184239,0.18088386780417284,-,0.3617677356083457,0.012478758,97.31552087864499,1
PMAIP1,--++,++++++--,NA,0.29240975592324214,0.18089576537576907,-,0.36179153075153814,0.10676573,97.32192177216376,1
WDR31,++-+,---+----,+++--+,0.1809142111237494,0.9933624994620873,+,0.3618284222474988,0.160160393,97.33184558457717,1
OR8H1,+++-,NA,NA,0.18095483533564646,0.8019338233950167,+,0.3619096706712929,0.13963189983242025,97.3537014105778,1
PPP1R3D,-++-,-+++-+--,+-++-+,0.18099826578688605,0.5519828700826036,+,0.3619965315737721,0.01851339,97.3770669933447,1
C1orf50,--++,++-+++++,-+++-+,0.8964764177545387,0.1810107001241491,-,0.3620214002482982,0.06055455,97.38375666679222,1
UROS,+-++,+++-++++,------,0.18102676858558764,0.2637253758913104,+,0.3620535371711753,0.023256367,97.39240149904614,1
ZNF407,++++,+-+-++++,NA,0.351371874120863,0.18102885118128414,-,0.3620577023625683,0.017780515,97.39352193553087,1
PHYHIPL,-++-,--++----,---+++,0.4712003671223088,0.1810982753985295,-,0.362196550797059,0.033308333,97.43087216440887,1
MCCD1,-+++,NA,NA,0.5477311640111046,0.18118292207656717,-,0.36236584415313433,0.07195296283679554,97.47641207719313,1
ELK3,----,+++-++-+,+---++,0.7631179591431742,0.18120000976401524,-,0.36240001952803047,0.025140637,97.48560525304019,1
EPS15,-++-,++++-+++,----++,0.6767475504027279,0.18122251262797046,-,0.3624450252559409,0.013757491,97.49771179384811,1
CUX1,--++,----++-+,+++-+-,0.480721028656767,0.1813078450212897,-,0.3626156900425794,0.102931929,97.54362062145385,1
RAB2B,+++-,++++-+-+,++-+--,0.18137693264616042,0.8641844207950478,+,0.36275386529232084,0.088742041,97.5807897636343,1
ZNF318,-+-+,----+--+,++++--,0.3336617020180884,0.18138827065200358,-,0.36277654130400716,0.022023842,97.58688961077793,1
FBXL12,+---,+-+-++++,-+++--,0.23247218280663248,0.18139773429956238,-,0.36279546859912476,0.027617603,97.59198105316456,1
QSOX1,+++-,-+++--++,++++--,0.18147501255803888,0.9105509716153664,+,0.36295002511607777,0.028369382,97.63355675622492,1
BHMT,--++,NA,NA,0.8574479718938436,0.1814926354308174,-,0.3629852708616348,0.04484639862930252,97.64303786177976,1
SUMO4,+--+,-++-+---,NA,0.18152265074474305,0.4841659185074252,+,0.3630453014894861,0.023737751403019865,97.65918610067176,1
ACSM2A,+--+,NA,NA,0.9081984612723053,0.18155896471980154,-,0.3631179294396031,0.09214543713552745,97.67872301925323,1
FAM131A,+-+-,-----++-,--+--+,0.18157175408864798,0.2915451916953341,+,0.36314350817729596,0.035914139,97.6856036996926,1
GJA10,++++,NA,NA,0.18159554281906487,0.5664069844198436,+,0.36319108563812974,0.039008278764339925,97.6984020366569,1
ADCYAP1,+-++,-+-++++-,++--+-,0.20841543466421777,0.18165901088359857,-,0.36331802176719713,0.008058435,97.73254785537603,1
WBP4,+++-,+++++---,---+-+,0.18168357726313225,0.7415295586092423,+,0.3633671545262645,0.019752341,97.74576456756515,1
SDC4,+++-,+++-----,+-++++,0.1816997478032951,0.9629166410127172,+,0.3633994956065902,0.156567806,97.75446431817277,1
RNASE12,+++-,----+-++,+++---,0.21753192279891778,0.18174402597652475,-,0.3634880519530495,0.047992904,97.77828597537032,1
USP5,+-+-,-++++-++,++--++,0.18176431775888216,0.9587669340636458,+,0.3635286355177643,0.017370787,97.78920295427861,1
C6orf229,-+-+,NA,NA,0.18177678893193974,0.8003574683476399,+,0.3635535778638795,0.0880710045062255,97.79591244538358,1
ZSCAN9,-+++,-++-++++,NA,0.9839610536742781,0.18185685279129177,-,0.36371370558258354,0.077200373,97.83898680171497,1
ACER1,---+,NA,NA,0.9194959669919053,0.18187122844896472,-,0.36374245689792944,0.20077226387368996,97.84672090554302,1
