gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
CSRNP2,--,----,NA,0.10249817211293025,0.5077873215584434,+,0.205,0.014301559389584065,55.1,1
RPL10A,++,-+++,-+,0.9743326421011604,0.10253978020113999,-,0.205,0.1318662077727408,55.2,1
OGFOD3,-+,+--+,NA,0.940907776537914,0.10256020464696687,-,0.205,0.08541616094122935,55.2,1
UPP1,-+,--++,-+,0.993789717809018,0.10256513952624043,-,0.205,0.12340687,55.2,1
ZMPSTE24,--,-+--,--,0.10262040531201927,0.931546423413757,+,0.205,0.025826217,55.2,1
AKIRIN1,+-,-+--,NA,0.10263935828247157,0.946725337958882,+,0.205,0.071069101,55.2,1
HOXB3,-+,NA,NA,0.9301848049281314,0.1026694045174538,-,0.205,0.1516088757018433,55.2,1
CDCP2,+-,NA,NA,0.10272644307551905,0.9519164955509924,+,0.205,0.18314811809714482,55.3,1
VPS39,+-,++++,++,0.1027408976070911,0.910773553919858,+,0.205,0.033376505,55.3,1
FAM195A,-+,+--+,NA,0.7693451259022652,0.10274100438823784,-,0.205,0.09698482978827642,55.3,1
ADNP2,--,--+-,--,0.10275971399435278,0.745974586067724,+,0.206,0.019870507809333766,55.3,1
HES2,-+,NA,NA,0.91854893908282,0.10284052019164955,-,0.206,0.13417386508112752,55.3,1
PRR13,++,+++-,-+,0.31935117176655464,0.10288885179427595,-,0.206,0.007123689,55.4,1
NUDT8,++,NA,NA,0.6477869039470682,0.1028975587497148,-,0.206,0.05518009850206979,55.4,1
METTL20,-+,++--,NA,0.10290486972996456,0.6860002932645128,+,0.206,0.113258078,55.4,1
RPL21,++,-+++,++,0.920174059338297,0.1029642537328973,-,0.206,0.058482766784004596,55.4,1
TBX1,-+,NA,NA,0.9484941820670774,0.10301163586584532,-,0.206,0.21564507730170723,55.4,1
INHBB,-+,+-++,++,0.9632192664957544,0.10314288456289164,-,0.206,0.08202281068031196,55.5,1
PBOV1,-+,NA,NA,0.9236824093086927,0.10318275154004107,-,0.206,0.14195566094565598,55.5,1
GLTSCR2,-+,+-++,++,0.43854888591675095,0.10320357509000808,-,0.206,0.008854682,55.5,1
SORBS2,+-,+-++,-+,0.8345069400838513,0.1032299513634501,-,0.206,0.015167353,55.5,1
CD84,-+,++--,NA,0.38350344710213424,0.10324249024166325,-,0.206,0.026093782597281522,55.5,1
SET,-+,-++-,--,0.4915405267547501,0.10325210740461604,-,0.207,9.95131e-4,55.5,1
DLGAP4,+-,--++,-+,0.5807788462510235,0.10325979327460923,-,0.207,0.007264232,55.6,1
KCNIP1,+-,---+,-+,0.24072490869849442,0.10329619453353091,-,0.207,0.022836886,55.6,1
SLC7A7,-+,++++,NA,0.20224914362678106,0.103335984573103,-,0.207,0.02259562566864321,55.6,1
S100A7A,++,NA,NA,0.10335386721423682,0.7188569472963724,+,0.207,0.05115272999499922,55.6,1
CALD1,++,+-++,++,0.4470787063328826,0.10337305571248985,-,0.207,0.018295974,55.6,1
GIMAP1-GIMAP5,-+,NA,NA,0.8983002509696555,0.10341090577230208,-,0.207,0.11539870539940762,55.6,1
GJA9,--,--++,NA,0.865250453185503,0.10342428592563374,-,0.207,0.11890365066211145,55.6,1
FGFR1OP2,+-,-+--,--,0.10344226751900573,0.9150975296569819,+,0.207,0.079393124,55.7,1
NIT2,+-,-+++,-+,0.7707435987421554,0.10350996412242756,-,0.207,0.001029494,55.7,1
FSHR,-+,NA,NA,0.8419461556011864,0.10358202144649784,-,0.207,0.08710939744362722,55.7,1
HTR4,+-,-++-,+-,0.10362228635112676,0.9341950581588283,+,0.207,0.047468581,55.7,1
ACSL6,--,-+--,--,0.10366193050370932,0.3903532299383984,+,0.207,0.013470506,55.8,1
DHH,++,NA,NA,0.7507985398129136,0.10369609856262833,-,0.207,0.06731989745679187,55.8,1
SYN2,+-,-+--,--,0.10369797084189539,0.7768520797408347,+,0.207,0.0776353,55.8,1
JUNB,+-,----,+-,0.10371152630910405,0.26651409452597496,+,0.207,0.001521794,55.8,1
SORBS3,++,+-++,++,0.8344515377344763,0.10371168499976337,-,0.207,0.092673315,55.8,1
ATF1,--,--+-,-+,0.9100853413337205,0.10371938446070218,-,0.207,0.05274472,55.8,1
LRRC63,--,++++,NA,0.10375068142011644,0.2569920821318616,+,0.208,0.017283517,55.8,1
IZUMO3,+-,NA,NA,0.10381017567875885,0.7595824777549623,+,0.208,0.057282214256020966,55.8,1
PARG,+-,-++-,--,0.34925755315123136,0.10382494081265613,-,0.208,0.005100936,55.9,1
LCAT,-+,++++,NA,0.8808481155599821,0.10392798310338498,-,0.208,0.04630486381267498,55.9,1
TBC1D2B,+-,-+++,++,0.10393976032822257,0.6869261787354136,+,0.208,0.004019288,55.9,1
KLRD1,-+,++--,NA,0.10396723206926752,0.6305875894375205,+,0.208,0.097815324,55.9,1
AP3M2,+-,-+--,--,0.1039679102561405,0.6563537353254056,+,0.208,0.042883708,55.9,1
CAPG,-+,-+++,-+,0.9302368218217627,0.10402721941942247,-,0.208,0.147207746,56,1
FRMD6,-+,--++,+-,0.5643106692836258,0.10403033613833164,-,0.208,0.00751151,56,1
MBD3L1,-+,NA,NA,0.8215263518138262,0.10403832991101986,-,0.208,0.08158668092721193,56,1
MAL,-+,++++,+-,0.10404192651135732,0.3484875447370069,+,0.208,0.055815011,56,1
PCYOX1,+-,-+--,++,0.10406928796503348,0.9333752950639371,+,0.208,0.014168352,56,1
MCU,+-,-+--,++,0.10412153065927951,0.9458968600841098,+,0.208,0.053738579555914,56,1
ELMOD3,-+,++++,NA,0.3588054060489136,0.10415403571083036,-,0.208,0.041432577,56,1
RAMP1,++,--++,-+,0.9756983482225482,0.10418080175874742,-,0.208,0.119494616,56,1
LMF1,--,+-++,++,0.6476419795288333,0.10418704291449309,-,0.208,0.027458383,56.1,1
TM2D1,-+,-+++,-+,0.9735802903735006,0.1042054843101555,-,0.208,0.036034551,56.1,1
