gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
ARHGAP22,----,--+-+--+,---++-,0.9652856192452532,0.003272637889807219,-,0.00655,0.023324736365106014,1.76,1
WDR64,++--,NA,NA,0.9868240930869268,0.003308236367784622,-,0.00662,0.007314921825857717,1.78,1
USP2,++++,---+++-+,++-+-+,0.003324341084336591,0.9576029991226072,+,0.00665,0.002521067,1.79,1
BMP4,+-++,-++-++-+,NA,0.003329950392661755,0.8601540365936515,+,0.00666,0.002160387467388921,1.79,1
CFTR,----,+-++----,NA,0.9406077418680283,0.003343546641796474,-,0.00669,0.0014632831058689756,1.8,1
BDNF,+---,------+-,------,0.9999314467490447,0.003347218974069447,-,0.00669,0.012750094,1.8,1
PGAP1,-+-+,--------,---+--,0.9945390016038507,0.0033542150809860796,-,0.00671,0.001316292,1.8,1
DUSP27,----,+-----++,NA,0.9567722732927728,0.003361053249383684,-,0.00672,0.013423020850781316,1.81,1
DZIP1,+-++,+---++++,++++++,0.0033618595544467273,0.9169206382397819,+,0.00672,0.02451798022176868,1.81,1
PRSS45,++++,NA,NA,0.0033652749258498743,0.9983458818161077,+,0.00673,0.03433905957146335,1.81,1
GZMH,++--,NA,NA,0.9975473420031942,0.0033652749258498743,-,0.00673,0.020369664159998784,1.81,1
C9orf3,----,--------,+--+--,0.9986815846045684,0.0033720496163984278,-,0.00674,0.003479084,1.81,1
LAMTOR4,--+-,+++-++++,NA,0.0034074024858894705,0.5354400395035498,+,0.00681,7.60347e-4,1.83,1
ARL4D,--+-,-----++-,------,0.9972381278021714,0.003414687197296046,-,0.00683,0.02080522873145208,1.84,1
OCM2,-+++,NA,NA,0.0034223134839151265,0.9339493497604381,+,0.00684,0.004591755899053835,1.84,1
UTS2,++++,NA,NA,0.0034793520419803786,0.998631074606434,+,0.00696,0.05424271117328976,1.87,1
GPRC5D,----,NA,NA,0.9826032397900981,0.0034793520419803786,-,0.00696,0.006592161495159318,1.87,1
CALN1,++++,--------,++++++,0.0034861886611239888,0.34855903392597903,+,0.00697,0.006168633,1.88,1
ATXN7,++-+,--------,+-++--,0.8185141452302375,0.0034911990168202288,-,0.00698,0.002090582,1.88,1
TMEM98,----,++++---+,---++-,0.40207869103473903,0.003493757519633752,-,0.00699,0.009183869,1.88,1
PDZRN3,++++,++--++++,+++-++,0.00350650272195847,0.9913304884713154,+,0.00701,0.004036236,1.89,1
NR1D2,++++,+++++++-,++++++,0.003538906512645779,0.9996380566783523,+,0.00708,0.009825356,1.9,1
PXK,-+--,++++---+,---+++,0.7714388078721521,0.003557243829089091,-,0.00711,0.003722846,1.91,1
CKLF,---+,++------,------,0.9976156806250784,0.003568121144342048,-,0.00714,0.005335351,1.92,1
FGFR2,-+--,-++-----,---+--,0.9994627979463392,0.003568622748805918,-,0.00714,0.006594195,1.92,1
NDUFA2,+-+-,++++++++,+----+,0.00358134698935343,0.8519923468590587,+,0.00716,6.12726e-5,1.93,1
FFAR3,----,NA,NA,0.9978895733515857,0.003593429158110883,-,0.00719,0.02473547946853128,1.93,1
ATF4,----,-+++-+++,------,0.7898608702668357,0.0035951507460297042,-,0.00719,0.002634363,1.93,1
ZNF24,-+--,-++-----,---+--,0.9662099250107433,0.003628995092226936,-,0.00726,0.001666948,1.95,1
DKKL1,+-++,NA,NA,0.003650467716176135,0.9755874971480721,+,0.0073,0.0074280768651748775,1.96,1
DNAJB12,+++-,-----++-,+-----,0.8635150906896956,0.003701759233211501,-,0.0074,0.006455243,1.99,1
C18orf54,-+--,++++----,NA,0.6503676510464111,0.003717266669280345,-,0.00743,0.001438310135032171,2,1
ODC1,++++,++++++++,+++--+,0.003734904281113729,0.9989794681253785,+,0.00747,0.003506759,2.01,1
UBIAD1,-+--,--+-+--+,---+--,0.9986004716569892,0.0038338974754021237,-,0.00767,0.011190356,2.06,1
PIPOX,+---,+++-----,-----+,0.9856571799927365,0.003844859530883002,-,0.00769,2.47566e-4,2.07,1
OR10G4,++--,NA,NA,0.9381131644992015,0.0038786219484371436,-,0.00776,0.003545382096479019,2.09,1
RPL9,+-++,++++++++,-+--++,0.003887330328831578,0.99327682431302,+,0.00777,0.012730986,2.09,1
HLA-DQB1,----,--+-----,NA,0.9989563416649101,0.003928239441037112,-,0.00786,0.04883371533595394,2.11,1
DDT,+-++,+-++++++,-+---+,0.003974264648523367,0.5200580763065147,+,0.00795,5.17889e-4,2.14,1
DUSP6,+---,------+-,+++---,0.9423921708287866,0.003989583248717989,-,0.00798,0.00841003,2.15,1
RASL11B,++++,++++++++,+++-++,0.004000554928559266,0.9999174336948744,+,0.008,0.032405929530215545,2.15,1
EXOC7,++++,-+--++++,+++--+,0.004001113673339146,0.7557206394493189,+,0.008,7.08895e-4,2.15,1
IRX3,----,NA,NA,0.9680013689253936,0.004106776180698152,-,0.00821,0.005486219464077487,2.21,1
SHISA5,+++-,+++--+++,+++++-,0.004113334983750858,0.9980230679573563,+,0.00823,0.001828371,2.21,1
FAM178A,-+--,++++----,NA,0.79416486350386994,0.004127740963518511,-,0.00826,0.0015254416150636894,2.22,1
CEBPE,--+-,NA,NA,0.8386949577914671,0.004163814738763404,-,0.00833,0.0022157094417267964,2.24,1
AP1G1,-+++,++++----,+-----,0.949791966531319,0.0041782624960314575,-,0.00836,0.001502811,2.25,1
ARNT,-+--,+---+---,NA,0.9990716494084001,0.004195092674330486,-,0.00839,0.045540708,2.26,1
SIK1,++++,--------,NA,0.5511044284813841,0.004255818432218647,-,0.00851,0.0058867,2.29,1
TRPV3,-+--,--+-----,NA,0.9974874289261653,0.00426193752129929,-,0.00852,0.00358548,2.29,1
OR2T6,++++,NA,NA,0.004277891854893908,0.9972051106548027,+,0.00856,0.030751623580556043,2.3,1
GPX4,--+-,++++++++,-+---+,0.004418843355693512,0.6335370329652094,+,0.00884,8.7679e-4,2.38,1
ZC3H7B,+-++,----++++,+++++-,0.004424852132251365,0.8637598800050499,+,0.00885,0.0024309930000000002,2.38,1
