gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
ZNF708,--,++--,+-,0.3152647918441508,0.0010832204071359736,-,0.00217,2.664253171105123,1.147e-4,0.583,1
IGFLR1,++,NA,NA,0.0010941488953442413,0.9989058511046557,+,0.00219,2.6598935781098016,0.0021882977906884826,0.589,1
NLRP5,++,NA,NA,0.0011067315054609948,0.9988932684945391,+,0.00221,2.6549277310994968,0.0022134630109219896,0.595,1
VPS33A,+-,----,--,0.9998467208473788,0.0011067746983743478,-,0.00221,2.6549107820221494,0.020645911,0.595,1
PRKAG2,+-,-++-,--,0.9777594606943121,0.001117635133581768,-,0.00224,2.650669958687963,0.004585674,0.601,1
LRRC25,-+,NA,NA,0.0011405498265264942,0.9988594501734734,+,0.00228,2.641855741542441,0.0022810996530529884,0.614,1
PPP2R2D,+-,+---,--,0.951899757163357,0.0011462225418481966,-,0.00229,2.6397010592057217,6.83801e-4,0.617,1
MRPS6,-+,----,-+,0.7635076103720356,0.0011691783807530488,-,0.00234,2.6310892281043152,1.16199e-4,0.629,1
LTBP2,++,--++,++,0.001179666015376191,0.8763477658152248,+,0.00236,2.627210936190931,5.14888e-4,0.635,1
TMEM205,-+,-++-,--,0.3193648938209713,0.001227138437158413,-,0.00245,2.61007644478541,1.65075e-4,0.66,1
ERRFI1,--,----,--,0.9996481849539238,0.0012406068681988956,-,0.00248,2.605335823176405,0.017079355,0.667,1
DDX23,+-,+++-,+-,0.0012406693767310702,0.6485019554689881,+,0.00248,2.6053139416058575,3.35e-5,0.667,1
KRBA2,++,+++-,+-,0.0012522143456046794,0.5730376695137698,+,0.0025,2.601291329498593,6.9e-5,0.674,1
KIAA1328,-+,+-++,++,0.0012581363769721536,0.9992800300582586,+,0.00252,2.5992422848831107,0.046926229,0.677,1
PURG,--,+---,--,0.9960867253417478,0.0012621564552547273,-,0.00252,2.5978568115180236,6.26966e-4,0.679,1
RFTN1,++,+-+-,--,0.28422117955420745,0.001270221056812062,-,0.00254,2.5950906964513965,1.22378e-4,0.683,1
ZBTB21,+-,----,+-,0.9333400985972893,0.0012705439937541415,-,0.00254,2.594980296843474,0.004311606,0.684,1
TBC1D19,+-,-+--,--,0.9832238229141714,0.0012741309818503767,-,0.00255,2.593755928164907,0.010726784352808017,0.685,1
ARL5B,+-,----,NA,0.9989868650956011,0.0012775068644131848,-,0.00256,2.5926067619333715,0.020155841,0.687,1
NGEF,+-,+-++,--,0.6022124269396275,0.0012793281039716064,-,0.00256,2.5919880638679924,0.006384551,0.688,1
ZNF90,-+,++++,NA,0.0013098645038904725,0.9992358987714008,+,0.00262,2.581743631013186,0.011849053,0.705,1
SUGT1,+-,-+--,--,0.9980363147301794,0.0013130588954114101,-,0.00263,2.5806857981410216,0.020419288,0.706,1
CREB3L4,-+,++++,+-,0.0013246804848291987,0.8934535708366721,+,0.00265,2.57685886599469,0.005252106,0.713,1
B9D2,++,-++-,--,0.8187003504179134,0.0013294823596163273,-,0.00266,2.575287425114551,3.67603e-4,0.715,1
HLA-C,-+,++++,++,0.0013408023460895419,0.9994048646732421,+,0.00268,2.5716052431356986,0.011377227086528515,0.721,1
DCLK1,+-,----,--,0.9941029150920095,0.001341299968062823,-,0.00268,2.571444090089143,0.00528015,0.722,1
RPS19,++,--++,++,0.0013545522950030807,0.9194417107825109,+,0.00271,2.567174227899386,0.012581086,0.729,1
MANEAL,+-,----,--,0.9969156091220727,0.0013576372471086346,-,0.00272,2.5661862598880334,6.5103e-4,0.73,1
S100A13,-+,++++,++,0.0013622408456928604,0.999692571569091,+,0.00272,2.564716106224497,0.016308001,0.733,1
STK10,++,++++,NA,0.0013725136449303135,0.999859551585813,+,0.00275,2.561453333626651,0.026553008520401163,0.738,1
PLD2,++,+++-,++,0.0013845135028234617,0.9990713477595317,+,0.00277,2.5576728086653153,0.016999532,0.745,1
PDE4D,+-,----,--,0.997101686495618,0.0013963165892935077,-,0.00279,2.553986106539557,0.018688896,0.751,1
RAD9A,-+,+-++,++,0.0014104479749855433,0.9963009407726349,+,0.00282,2.54961293269851,0.004015824,0.759,1
C17orf62,++,++++,++,0.0014105218642358188,0.9985685733120655,+,0.00282,2.549590181874855,0.001377715,0.759,1
